port,objects,deployable_valid_area,share
Antwerp-Bruges,262470,256678,0.9779
Busan,6582,6323,0.9607
Callao,57284,53531,0.9345
Fujairah,40035,38713,0.967
Hamburg,319173,313815,0.9832
Houston,141590,139334,0.9841
Jebel Ali,491499,479696,0.976
Los Angeles,16230,15814,0.9744
Melbourne,50810,49702,0.9782
Mombasa,63726,62107,0.9746
New York,10337,10000,0.9674
Newcastle,113822,110568,0.9714
Ningbo-Zhoushan,17654,17166,0.9724
Port Hedland,53132,51239,0.9644
Port Klang,186131,183091,0.9837
Port Said,106332,103600,0.9743
Qingdao,144586,140903,0.9745
Richards Bay,25073,23768,0.948
Rotterdam,197618,193668,0.98
Santos,42314,40526,0.9577
Shanghai,235853,231130,0.98
Singapore,287585,281615,0.9792
Sydney Botany,23526,22906,0.9736
Tanger Med,4020,3868,0.9622
