subset_mask,heads,size,n,correct,acc,ba,rescue,harm,delta_acc,delta_ba
1,0,1,75,6,0.08,0.13446969696969696,1,0,0.013333333333333336,0.011363636363636354
2,1,1,75,5,0.06666666666666667,0.12310606060606061,0,0,0.0,0.0
3,0|1,2,75,5,0.06666666666666667,0.12310606060606061,0,0,0.0,0.0
4,2,1,75,4,0.05333333333333334,0.11174242424242424,1,2,-0.013333333333333329,-0.011363636363636367
5,0|2,2,75,6,0.08,0.13446969696969696,1,0,0.013333333333333336,0.011363636363636354
6,1|2,2,75,4,0.05333333333333334,0.11174242424242424,1,2,-0.013333333333333329,-0.011363636363636367
7,0|1|2,3,75,6,0.08,0.13446969696969696,1,0,0.013333333333333336,0.011363636363636354
8,3,1,75,3,0.04,0.10037878787878787,1,3,-0.026666666666666665,-0.022727272727272735
9,0|3,2,75,6,0.08,0.13446969696969696,1,0,0.013333333333333336,0.011363636363636354
10,1|3,2,75,3,0.04,0.10037878787878787,0,2,-0.026666666666666665,-0.022727272727272735
11,0|1|3,3,75,6,0.08,0.13446969696969696,1,0,0.013333333333333336,0.011363636363636354
12,2|3,2,75,4,0.05333333333333334,0.11174242424242424,1,2,-0.013333333333333329,-0.011363636363636367
13,0|2|3,3,75,4,0.05333333333333334,0.11174242424242424,1,2,-0.013333333333333329,-0.011363636363636367
14,1|2|3,3,75,4,0.05333333333333334,0.11174242424242424,1,2,-0.013333333333333329,-0.011363636363636367
15,0|1|2|3,4,75,5,0.06666666666666667,0.12310606060606061,1,1,0.0,0.0
16,4,1,75,5,0.06666666666666667,0.12310606060606061,0,0,0.0,0.0
17,0|4,2,75,5,0.06666666666666667,0.12310606060606061,0,0,0.0,0.0
18,1|4,2,75,5,0.06666666666666667,0.12310606060606061,0,0,0.0,0.0
19,0|1|4,3,75,5,0.06666666666666667,0.12310606060606061,0,0,0.0,0.0
20,2|4,2,75,6,0.08,0.13446969696969696,1,0,0.013333333333333336,0.011363636363636354
21,0|2|4,3,75,6,0.08,0.13446969696969696,1,0,0.013333333333333336,0.011363636363636354
22,1|2|4,3,75,5,0.06666666666666667,0.12310606060606061,0,0,0.0,0.0
23,0|1|2|4,4,75,6,0.08,0.13446969696969696,1,0,0.013333333333333336,0.011363636363636354
24,3|4,2,75,5,0.06666666666666667,0.12310606060606061,0,0,0.0,0.0
25,0|3|4,3,75,6,0.08,0.13446969696969696,1,0,0.013333333333333336,0.011363636363636354
26,1|3|4,3,75,5,0.06666666666666667,0.12310606060606061,0,0,0.0,0.0
27,0|1|3|4,4,75,5,0.06666666666666667,0.12310606060606061,0,0,0.0,0.0
28,2|3|4,3,75,4,0.05333333333333334,0.11174242424242424,1,2,-0.013333333333333329,-0.011363636363636367
29,0|2|3|4,4,75,6,0.08,0.13446969696969696,1,0,0.013333333333333336,0.011363636363636354
30,1|2|3|4,4,75,6,0.08,0.13446969696969696,1,0,0.013333333333333336,0.011363636363636354
31,0|1|2|3|4,5,75,6,0.08,0.13446969696969696,1,0,0.013333333333333336,0.011363636363636354
32,5,1,75,6,0.08,0.12878787878787878,1,0,0.013333333333333336,0.005681818181818177
33,0|5,2,75,5,0.06666666666666667,0.12310606060606061,0,0,0.0,0.0
34,1|5,2,75,5,0.06666666666666667,0.12310606060606061,0,0,0.0,0.0
35,0|1|5,3,75,5,0.06666666666666667,0.12310606060606061,0,0,0.0,0.0
36,2|5,2,75,5,0.06666666666666667,0.12310606060606061,0,0,0.0,0.0
37,0|2|5,3,75,6,0.08,0.13446969696969696,1,0,0.013333333333333336,0.011363636363636354
38,1|2|5,3,75,5,0.06666666666666667,0.12310606060606061,0,0,0.0,0.0
39,0|1|2|5,4,75,5,0.06666666666666667,0.12310606060606061,0,0,0.0,0.0
40,3|5,2,75,6,0.08,0.12878787878787878,1,0,0.013333333333333336,0.005681818181818177
