subset_mask,heads,size,n,correct,acc,ba,rescue,harm,delta_acc,delta_ba
1,0,1,189,21,0.1111111111111111,0.29079365079365077,2,2,0.0,0.002037037037037004
2,1,1,189,20,0.10582010582010581,0.33682539682539686,2,3,-0.005291005291005291,0.048068783068783094
3,0|1,2,189,20,0.10582010582010581,0.31195767195767193,1,2,-0.005291005291005291,0.023201058201058167
4,2,1,189,23,0.12169312169312169,0.34793650793650793,5,3,0.010582010582010581,0.059179894179894166
5,0|2,2,189,21,0.1111111111111111,0.2928306878306878,2,2,0.0,0.004074074074074008
6,1|2,2,189,23,0.12169312169312169,0.34589947089947093,4,2,0.010582010582010581,0.05714285714285716
7,0|1|2,3,189,24,0.12698412698412698,0.35164021164021164,4,1,0.015873015873015872,0.06288359788359787
8,3,1,189,22,0.1164021164021164,0.3421957671957672,4,3,0.005291005291005291,0.05343915343915345
9,0|3,2,189,25,0.13227513227513227,0.35330687830687835,4,0,0.021164021164021163,0.06455026455026458
10,1|3,2,189,20,0.10582010582010581,0.3347883597883598,2,3,-0.005291005291005291,0.046031746031746035
11,0|1|3,3,189,23,0.12169312169312169,0.34793650793650793,4,2,0.010582010582010581,0.059179894179894166
12,2|3,2,189,22,0.1164021164021164,0.3442328042328043,4,3,0.005291005291005291,0.05547619047619051
13,0|2|3,3,189,23,0.12169312169312169,0.34589947089947093,4,2,0.010582010582010581,0.05714285714285716
14,1|2|3,3,189,23,0.12169312169312169,0.34589947089947093,4,2,0.010582010582010581,0.05714285714285716
15,0|1|2|3,4,189,24,0.12698412698412698,0.3496031746031746,4,1,0.015873015873015872,0.060846560846560815
16,4,1,189,20,0.10582010582010581,0.28505291005291006,0,1,-0.005291005291005291,-0.003703703703703709
17,0|4,2,189,19,0.10052910052910052,0.2833862433862434,0,2,-0.010582010582010581,-0.005370370370370359
18,1|4,2,189,19,0.10052910052910052,0.28134920634920635,0,2,-0.010582010582010581,-0.007407407407407418
19,0|1|4,3,189,19,0.10052910052910052,0.2833862433862434,0,2,-0.010582010582010581,-0.005370370370370359
20,2|4,2,189,23,0.12169312169312169,0.2961640211640212,2,0,0.010582010582010581,0.007407407407407418
21,0|2|4,3,189,23,0.12169312169312169,0.2961640211640212,2,0,0.010582010582010581,0.007407407407407418
22,1|2|4,3,189,22,0.1164021164021164,0.31732804232804235,1,0,0.005291005291005291,0.02857142857142858
23,0|1|2|4,4,189,22,0.1164021164021164,0.2924603174603174,2,1,0.005291005291005291,0.0037037037037036535
24,3|4,2,189,21,0.1111111111111111,0.28875661375661377,0,0,0.0,0.0
25,0|3|4,3,189,22,0.1164021164021164,0.2924603174603174,2,1,0.005291005291005291,0.0037037037037036535
26,1|3|4,3,189,22,0.1164021164021164,0.3421957671957672,2,1,0.005291005291005291,0.05343915343915345
