subset_mask,heads,size,n,correct,acc,ba,rescue,harm,delta_acc,delta_ba
1,0,1,611,177,0.2896890343698854,0.6085806303197607,6,21,-0.024549918166939466,-0.004485852311939209
2,1,1,611,202,0.33060556464811786,0.6219231654014262,13,3,0.016366612111292977,0.008856682769726287
3,0|1,2,611,187,0.3060556464811784,0.615481941568898,7,12,-0.008183306055646489,0.0024154589371980784
4,2,1,611,164,0.2684124386252046,0.5800552104899931,1,29,-0.04582651391162029,-0.03301127214170685
5,0|2,2,611,170,0.27823240589198034,0.59397285484242,2,24,-0.03600654664484454,-0.01909362778927992
6,1|2,2,611,184,0.3011456628477905,0.6055900621118012,6,14,-0.013093289689034393,-0.007476420519898719
7,0|1|2,3,611,180,0.2945990180032733,0.6047849091327352,6,18,-0.019639934533551562,-0.008281573498964745
8,3,1,611,184,0.3011456628477905,0.5997239475500346,2,10,-0.013093289689034393,-0.013342535081665385
9,0|3,2,611,185,0.3027823240589198,0.6082355647573038,2,9,-0.011456628477905073,-0.004830917874396157
10,1|3,2,611,191,0.31260229132569556,0.6084656084656085,4,5,-0.00163666121112932,-0.004600874166091451
11,0|1|3,3,611,190,0.3109656301145663,0.6097308488612837,6,8,-0.0032733224222585844,-0.0033356337704162353
12,2|3,2,611,177,0.2896890343698854,0.5929376581550495,1,16,-0.024549918166939466,-0.02012882447665043
13,0|2|3,3,611,178,0.29132569558101473,0.5975385323211411,1,15,-0.022913256955810146,-0.015527950310558869
14,1|2|3,3,611,183,0.2995090016366612,0.6029445594662985,1,10,-0.014729950900163657,-0.010121923165401392
15,0|1|2|3,4,611,185,0.3027823240589198,0.6082355647573038,3,10,-0.011456628477905073,-0.004830917874396157
16,4,1,611,194,0.31751227495908346,0.6203128594432942,8,6,0.0032733224222585844,0.007246376811594235
17,0|4,2,611,186,0.3044189852700491,0.6187025534851621,6,12,-0.009819967266775753,0.005636070853462183
18,1|4,2,611,199,0.32569558101472995,0.6237635150678629,8,1,0.011456628477905073,0.010697032436162934
19,0|1|4,3,611,193,0.3158756137479542,0.6215780998389694,7,6,0.00163666121112932,0.00851161720726945
20,2|4,2,611,183,0.2995090016366612,0.6088106740280653,2,11,-0.014729950900163657,-0.004255808603634614
21,0|2|4,3,611,178,0.29132569558101473,0.6053600184034967,2,16,-0.022913256955810146,-0.0077064642282032025
22,1|2|4,3,611,184,0.3011456628477905,0.6075454336323901,1,9,-0.013093289689034393,-0.00552104899930983
23,0|1|2|4,4,611,184,0.3011456628477905,0.611456176673568,2,10,-0.013093289689034393,-0.0016103059581319412
24,3|4,2,611,187,0.3060556464811784,0.6076604554865425,1,6,-0.008183306055646489,-0.005406027145157477
25,0|3|4,3,611,186,0.3044189852700491,0.6128364389233955,2,8,-0.009819967266775753,-0.00023004370830448373
26,1|3|4,3,611,194,0.31751227495908346,0.6144467448815275,3,1,0.0032733224222585844,0.0013802622498275685
27,0|1|3|4,4,611,190,0.3109656301145663,0.6136415919024615,3,5,-0.0032733224222585844,0.0005751092707615424
