subset_mask,heads,size,n,correct,acc,ba,rescue,harm,delta_acc,delta_ba
1,0,1,997,257,0.2577733199598796,0.5128412584897961,12,30,-0.01805416248746239,0.0015555367005652965
2,1,1,997,286,0.2868605817452357,0.5159745538437918,17,6,0.0110330992978937,0.004688832054560943
3,0|1,2,997,270,0.2708124373119358,0.5160755627204519,11,16,-0.005015045135406182,0.004789840931221034
4,2,1,997,240,0.24072216649949849,0.48829206110633,5,40,-0.035105315947843524,-0.02299366068290082
5,0|2,2,997,246,0.24674022066198595,0.49777073409211203,6,35,-0.02908726178535606,-0.013514987697118785
6,1|2,2,997,265,0.2657973921765296,0.5081766685656336,9,19,-0.01003009027081242,-0.0031090532235972246
7,0|1|2,3,997,260,0.26078234704112335,0.5071989026395639,9,24,-0.015045135406218657,-0.004086819149666909
8,3,1,997,265,0.2657973921765296,0.5012555403368848,4,14,-0.01003009027081242,-0.010030181452346021
9,0|3,2,997,266,0.2668004012036108,0.5097564473965973,5,14,-0.009027081243731194,-0.0015292743926335062
10,1|3,2,997,272,0.2728184553660983,0.5065463852963399,5,8,-0.0030090270812437314,-0.004739336492890933
11,0|1|3,3,997,272,0.2728184553660983,0.5100069494107142,8,11,-0.0030090270812437314,-0.0012787723785165905
12,2|3,2,997,257,0.2577733199598796,0.4989990020322986,4,22,-0.01805416248746239,-0.01228671975693224
13,0|2|3,3,997,257,0.2577733199598796,0.5013060447752148,4,22,-0.01805416248746239,-0.00997967701401603
14,1|2|3,3,997,266,0.2668004012036108,0.5074494046536809,4,13,-0.009027081243731194,-0.0038363171355498826
15,0|1|2|3,4,997,266,0.2668004012036108,0.5097564473965973,6,15,-0.009027081243731194,-0.0015292743926335062
16,4,1,997,290,0.29087261785356067,0.5292147973963952,21,6,0.015045135406218657,0.01792907560716439
17,0|4,2,997,273,0.27382146439317956,0.521968420584801,14,16,-0.0020060180541624506,0.010682698795570156
18,1|4,2,997,287,0.28786359077231694,0.5210148967891298,14,2,0.012036108324974926,0.009729174999899004
19,0|1|4,3,997,280,0.28084252758274825,0.5203381373155073,12,7,0.0050150451354062375,0.009052415526276447
20,2|4,2,997,265,0.2657973921765296,0.512790754051466,6,16,-0.01003009027081242,0.0015050322622351953
21,0|2|4,3,997,260,0.26078234704112335,0.5106594667539383,6,21,-0.015045135406218657,-0.0006262550352925667
22,1|2|4,3,997,266,0.2668004012036108,0.5097564473965973,3,12,-0.009027081243731194,-0.0015292743926335062
23,0|1|2|4,4,997,266,0.2668004012036108,0.5132170115109717,5,14,-0.009027081243731194,0.0019312897217408365
24,3|4,2,997,270,0.2708124373119358,0.5080009131202451,2,7,-0.005015045135406182,-0.003284808668985728
25,0|3|4,3,997,269,0.26980942828485455,0.5133422625180301,4,10,-0.006018054162487463,0.0020565407287992388
26,1|3|4,3,997,275,0.275827482447342,0.5101322004177727,3,3,0.0,-0.0011535213714580772
27,0|1|3|4,4,997,274,0.2748244734202608,0.5131665070726416,5,6,-0.0010030090270812253,0.0018807852834107353
28,2|3|4,3,997,266,0.2668004012036108,0.5086029260251391,4,13,-0.009027081243731194,-0.0026827957640916944
29,0|2|3|4,4,997,265,0.2657973921765296,0.5104837113085497,5,15,-0.01003009027081242,-0.0008020104806810702
30,1|2|3|4,4,997,269,0.26980942828485455,0.5087281770321975,3,9,-0.006018054162487463,-0.002557544757033292
31,0|1|2|3|4,5,997,267,0.2678034102306921,0.5113362262275608,5,13,-0.008024072216649913,5.050443832999019e-05
32,5,1,997,293,0.2938816449348044,0.5143442705744982,31,13,0.01805416248746239,0.0030585487852673454
33,0|5,2,997,278,0.27883650952858574,0.51717857965358,13,10,0.0030090270812437314,0.005892857864349232
34,1|5,2,997,292,0.2928786359077232,0.5139180131149925,26,9,0.017051153460381163,0.002632291325761704
35,0|1|5,3,997,283,0.283851554663992,0.5181563455796495,15,7,0.008024072216649969,0.006870623790418695
36,2|5,2,997,264,0.26479438314944836,0.507750411106128,3,14,-0.011033099297893645,-0.0035353106831028658
37,0|2|5,3,997,261,0.26178535606820463,0.5087786814705276,5,19,-0.014042126379137376,-0.002507040318703191
38,1|2|5,3,997,271,0.27181544633901705,0.5072736492082924,4,8,-0.004012036108324957,-0.004012072580938386
39,0|1|2|5,4,997,271,0.27181544633901705,0.513041256065583,8,12,-0.004012036108324957,0.001755534276352222
40,3|5,2,997,275,0.275827482447342,0.5078251576748565,3,3,0.0,-0.0034605641143743426
41,0|3|5,3,997,270,0.2708124373119358,0.5103079558631612,3,8,-0.005015045135406182,-0.0009777659260695737
42,1|3|5,3,997,282,0.28284854563691075,0.5108089598913953,10,3,0.007021063189568744,-0.00047676189783552037
43,0|1|3|5,4,997,276,0.2768304914744233,0.5117119792487363,6,5,0.0010030090270812808,0.0004262574595055302
44,2|3|5,3,997,267,0.2678034102306921,0.5055686193702703,3,11,-0.008024072216649913,-0.005717102418960507
45,0|2|3|5,4,997,265,0.2657973921765296,0.5081766685656336,4,14,-0.01003009027081242,-0.0031090532235972246
46,1|2|3|5,4,997,268,0.2688064192577733,0.5048413554583177,2,9,-0.007021063189568688,-0.006444366330913165
47,0|1|2|3|5,5,997,272,0.2728184553660983,0.5123139921536305,7,10,-0.0030090270812437314,0.001028270364399675
48,4|5,2,997,294,0.2948846539618857,0.5251522203771267,28,9,0.01905717151454367,0.013866498587895904
49,0|4|5,3,997,282,0.28284854563691075,0.5211906522345183,15,8,0.007021063189568744,0.009904930445287508
50,1|4|5,3,997,294,0.2948846539618857,0.5228451776342106,23,4,0.01905717151454367,0.011559455844979749
51,0|1|4|5,4,997,283,0.283851554663992,0.5193098669511077,13,5,0.008024072216649969,0.008024145161876883
52,2|4|5,3,997,274,0.2748244734202608,0.5166270711870159,6,7,-0.0010030090270812253,0.005341349397785078
53,0|2|4|5,4,997,268,0.2688064192577733,0.5152230478014408,7,14,-0.007021063189568688,0.003937326012209974
54,1|2|4|5,4,997,276,0.2768304914744233,0.5163260647345689,5,4,0.0010030090270812808,0.005040342945338061
