subset_mask,heads,size,n,correct,acc,ba,rescue,harm,delta_acc,delta_ba
1,0,1,126,79,0.626984126984127,0.810483870967742,3,0,0.023809523809523836,0.012096774193548487
2,1,1,126,77,0.6111111111111112,0.8024193548387097,2,1,0.00793650793650802,0.0040322580645162365
3,0|1,2,126,79,0.626984126984127,0.810483870967742,3,0,0.023809523809523836,0.012096774193548487
4,2,1,126,70,0.5555555555555556,0.7741935483870968,1,7,-0.04761904761904756,-0.024193548387096753
5,0|2,2,126,74,0.5873015873015873,0.7903225806451613,2,4,-0.015873015873015817,-0.008064516129032251
6,1|2,2,126,75,0.5952380952380952,0.7943548387096775,2,3,-0.007936507936507908,-0.004032258064516014
7,0|1|2,3,126,76,0.6031746031746031,0.7983870967741935,2,2,0.0,0.0
8,3,1,126,72,0.5714285714285714,0.782258064516129,0,4,-0.031746031746031744,-0.016129032258064502
9,0|3,2,126,76,0.6031746031746031,0.7983870967741935,2,2,0.0,0.0
10,1|3,2,126,74,0.5873015873015873,0.7903225806451613,0,2,-0.015873015873015817,-0.008064516129032251
11,0|1|3,3,126,75,0.5952380952380952,0.7943548387096775,1,2,-0.007936507936507908,-0.004032258064516014
12,2|3,2,126,72,0.5714285714285714,0.782258064516129,1,5,-0.031746031746031744,-0.016129032258064502
13,0|2|3,3,126,73,0.5793650793650794,0.7862903225806452,1,4,-0.023809523809523725,-0.012096774193548265
14,1|2|3,3,126,74,0.5873015873015873,0.7903225806451613,1,3,-0.015873015873015817,-0.008064516129032251
15,0|1|2|3,4,126,76,0.6031746031746031,0.7983870967741935,2,2,0.0,0.0
16,4,1,126,79,0.626984126984127,0.810483870967742,4,1,0.023809523809523836,0.012096774193548487
17,0|4,2,126,81,0.6428571428571429,0.8185483870967742,5,0,0.039682539682539764,0.02016129032258074
18,1|4,2,126,79,0.626984126984127,0.810483870967742,4,1,0.023809523809523836,0.012096774193548487
19,0|1|4,3,126,80,0.6349206349206349,0.814516129032258,4,0,0.031746031746031744,0.016129032258064502
20,2|4,2,126,77,0.6111111111111112,0.8024193548387097,2,1,0.00793650793650802,0.0040322580645162365
21,0|2|4,3,126,77,0.6111111111111112,0.8024193548387097,2,1,0.00793650793650802,0.0040322580645162365
