subset_mask,heads,size,n,correct,acc,ba,rescue,harm,delta_acc,delta_ba
1,0,1,213,135,0.6338028169014085,0.6907894736842105,8,0,0.03755868544600949,0.019138755980861233
2,1,1,213,127,0.596244131455399,0.6716507177033493,3,3,0.0,0.0
3,0|1,2,213,133,0.6244131455399061,0.6860047846889952,6,0,0.028169014084507116,0.014354066985645897
4,2,1,213,121,0.568075117370892,0.6572966507177034,5,11,-0.028169014084507005,-0.014354066985645897
5,0|2,2,213,126,0.5915492957746479,0.6692583732057416,6,7,-0.0046948356807511304,-0.0023923444976077235
6,1|2,2,213,128,0.6009389671361502,0.674043062200957,5,4,0.0046948356807512415,0.0023923444976077235
7,0|1|2,3,213,129,0.6056338028169014,0.6764354066985646,5,3,0.009389671361502372,0.004784688995215336
8,3,1,213,122,0.5727699530516432,0.659688995215311,2,7,-0.023474178403755763,-0.011961722488038284
9,0|3,2,213,129,0.6056338028169014,0.6764354066985646,5,3,0.009389671361502372,0.004784688995215336
10,1|3,2,213,124,0.5821596244131455,0.6644736842105263,1,4,-0.014084507042253502,-0.0071770334928229484
11,0|1|3,3,213,127,0.596244131455399,0.6716507177033493,3,3,0.0,0.0
12,2|3,2,213,124,0.5821596244131455,0.6644736842105263,4,7,-0.014084507042253502,-0.0071770334928229484
13,0|2|3,3,213,125,0.5868544600938967,0.666866028708134,4,6,-0.009389671361502261,-0.004784688995215225
14,1|2|3,3,213,127,0.596244131455399,0.6716507177033493,4,4,0.0,0.0
15,0|1|2|3,4,213,129,0.6056338028169014,0.6764354066985646,5,3,0.009389671361502372,0.004784688995215336
16,4,1,213,137,0.6431924882629108,0.6955741626794258,11,1,0.04694835680751175,0.02392344497607657
17,0|4,2,213,137,0.6431924882629108,0.6955741626794258,10,0,0.04694835680751175,0.02392344497607657
18,1|4,2,213,131,0.6150234741784038,0.68122009569378,6,2,0.018779342723004744,0.009569377990430672
19,0|1|4,3,213,133,0.6244131455399061,0.6860047846889952,6,0,0.028169014084507116,0.014354066985645897
20,2|4,2,213,132,0.6197183098591549,0.6836124401913876,6,1,0.023474178403755874,0.011961722488038284
21,0|2|4,3,213,132,0.6197183098591549,0.6836124401913876,6,1,0.023474178403755874,0.011961722488038284
22,1|2|4,3,213,129,0.6056338028169014,0.6764354066985646,3,1,0.009389671361502372,0.004784688995215336
23,0|1|2|4,4,213,132,0.6197183098591549,0.6836124401913876,5,0,0.023474178403755874,0.011961722488038284
24,3|4,2,213,126,0.5915492957746479,0.6692583732057416,2,3,-0.0046948356807511304,-0.0023923444976077235
25,0|3|4,3,213,131,0.6150234741784038,0.68122009569378,4,0,0.018779342723004744,0.009569377990430672
26,1|3|4,3,213,126,0.5915492957746479,0.6692583732057416,1,2,-0.0046948356807511304,-0.0023923444976077235
27,0|1|3|4,4,213,129,0.6056338028169014,0.6764354066985646,2,0,0.009389671361502372,0.004784688995215336
28,2|3|4,3,213,128,0.6009389671361502,0.674043062200957,4,3,0.0046948356807512415,0.0023923444976077235
29,0|2|3|4,4,213,130,0.6103286384976526,0.6788277511961722,5,2,0.014084507042253613,0.0071770334928229484
30,1|2|3|4,4,213,127,0.596244131455399,0.6716507177033493,3,3,0.0,0.0
31,0|1|2|3|4,5,213,130,0.6103286384976526,0.6788277511961722,5,2,0.014084507042253613,0.0071770334928229484
32,5,1,213,123,0.5774647887323944,0.6620813397129186,8,12,-0.018779342723004633,-0.009569377990430672
33,0|5,2,213,131,0.6150234741784038,0.68122009569378,5,1,0.018779342723004744,0.009569377990430672
