subset_mask,heads,size,n,correct,acc,ba,rescue,harm,delta_acc,delta_ba
1,0,1,111,18,0.16216216216216217,0.11367965367965367,4,0,0.03603603603603606,0.017489177489177485
2,1,1,111,14,0.12612612612612611,0.09619047619047619,1,1,0.0,0.0
3,0|1,2,111,15,0.13513513513513514,0.1019047619047619,2,1,0.009009009009009028,0.005714285714285713
4,2,1,111,22,0.1981981981981982,0.3197402597402597,8,0,0.07207207207207209,0.22354978354978353
5,0|2,2,111,21,0.1891891891891892,0.31670995670995666,7,0,0.06306306306306309,0.22051948051948048
6,1|2,2,111,18,0.16216216216216217,0.30493506493506495,5,1,0.03603603603603606,0.20874458874458876
7,0|1|2,3,111,20,0.18018018018018017,0.31367965367965367,6,0,0.05405405405405406,0.21748917748917748
8,3,1,111,14,0.12612612612612611,0.09619047619047619,1,1,0.0,0.0
9,0|3,2,111,15,0.13513513513513514,0.09922077922077922,1,0,0.009009009009009028,0.003030303030303036
10,1|3,2,111,13,0.11711711711711711,0.09316017316017315,0,1,-0.009009009009009,-0.003030303030303036
11,0|1|3,3,111,15,0.13513513513513514,0.09922077922077922,1,0,0.009009009009009028,0.003030303030303036
12,2|3,2,111,17,0.15315315315315314,0.2992207792207792,3,0,0.02702702702702703,0.20303030303030303
13,0|2|3,3,111,17,0.15315315315315314,0.20225108225108226,3,0,0.02702702702702703,0.10606060606060608
14,1|2|3,3,111,15,0.13513513513513514,0.09922077922077922,1,0,0.009009009009009028,0.003030303030303036
15,0|1|2|3,4,111,16,0.14414414414414414,0.10225108225108226,2,0,0.01801801801801803,0.006060606060606072
16,4,1,111,16,0.14414414414414414,0.10761904761904761,3,1,0.01801801801801803,0.011428571428571427
17,0|4,2,111,16,0.14414414414414414,0.10493506493506492,2,0,0.01801801801801803,0.008744588744588735
18,1|4,2,111,14,0.12612612612612611,0.09619047619047619,1,1,0.0,0.0
19,0|1|4,3,111,15,0.13513513513513514,0.1019047619047619,2,1,0.009009009009009028,0.005714285714285713
20,2|4,2,111,21,0.1891891891891892,0.31670995670995666,7,0,0.06306306306306309,0.22051948051948048
21,0|2|4,3,111,20,0.18018018018018017,0.2167099567099567,6,0,0.05405405405405406,0.12051948051948053
22,1|2|4,3,111,16,0.14414414414414414,0.10493506493506492,3,1,0.01801801801801803,0.008744588744588735
23,0|1|2|4,4,111,16,0.14414414414414414,0.10761904761904761,3,1,0.01801801801801803,0.011428571428571427
24,3|4,2,111,15,0.13513513513513514,0.09922077922077922,1,0,0.009009009009009028,0.003030303030303036
25,0|3|4,3,111,14,0.12612612612612611,0.09619047619047619,0,0,0.0,0.0
26,1|3|4,3,111,14,0.12612612612612611,0.09619047619047619,0,0,0.0,0.0
27,0|1|3|4,4,111,15,0.13513513513513514,0.09922077922077922,1,0,0.009009009009009028,0.003030303030303036
28,2|3|4,3,111,16,0.14414414414414414,0.10493506493506492,2,0,0.01801801801801803,0.008744588744588735
29,0|2|3|4,4,111,15,0.13513513513513514,0.09922077922077922,1,0,0.009009009009009028,0.003030303030303036
30,1|2|3|4,4,111,15,0.13513513513513514,0.09922077922077922,1,0,0.009009009009009028,0.003030303030303036
31,0|1|2|3|4,5,111,16,0.14414414414414414,0.10225108225108226,2,0,0.01801801801801803,0.006060606060606072
32,5,1,111,16,0.14414414414414414,0.11567099567099567,5,3,0.01801801801801803,0.019480519480519487
33,0|5,2,111,18,0.16216216216216217,0.12173160173160173,6,2,0.03603603603603606,0.025541125541125545
34,1|5,2,111,12,0.10810810810810811,0.09281385281385282,2,4,-0.018018018018018,-0.0033766233766233666
35,0|1|5,3,111,14,0.12612612612612611,0.09887445887445886,2,2,0.0,0.0026839826839826775
36,2|5,2,111,17,0.15315315315315314,0.3045887445887446,5,2,0.02702702702702703,0.2083982683982684
37,0|2|5,3,111,19,0.17117117117117117,0.2163636363636364,5,0,0.04504504504504506,0.12017316017316021
38,1|2|5,3,111,16,0.14414414414414414,0.10761904761904761,3,1,0.01801801801801803,0.011428571428571427
39,0|1|2|5,4,111,17,0.15315315315315314,0.11064935064935064,3,0,0.02702702702702703,0.014458874458874449
40,3|5,2,111,13,0.11711711711711711,0.09316017316017315,1,2,-0.009009009009009,-0.003030303030303036
41,0|3|5,3,111,12,0.10810810810810811,0.09012987012987013,0,2,-0.018018018018018,-0.006060606060606058
42,1|3|5,3,111,12,0.10810810810810811,0.09012987012987013,0,2,-0.018018018018018,-0.006060606060606058
43,0|1|3|5,4,111,12,0.10810810810810811,0.09012987012987013,0,2,-0.018018018018018,-0.006060606060606058
