subset_mask,heads,size,n,correct,acc,ba,rescue,harm,delta_acc,delta_ba
1,0,1,181,32,0.17679558011049723,0.10932539682539684,6,5,0.0055248618784530246,-0.094510582010582
2,1,1,181,29,0.16022099447513813,0.20026455026455028,2,4,-0.011049723756906077,-0.0035714285714285587
3,0|1,2,181,30,0.16574585635359115,0.20396825396825397,3,4,-0.005524861878453052,0.00013227513227512255
4,2,1,181,40,0.22099447513812154,0.20195767195767197,13,4,0.04972375690607733,-0.001878306878306868
5,0|2,2,181,39,0.2154696132596685,0.20017195767195767,10,2,0.04419889502762431,-0.003664021164021175
6,1|2,2,181,38,0.20994475138121546,0.196468253968254,10,3,0.038674033149171255,-0.007367724867724856
7,0|1|2,3,181,35,0.19337016574585636,0.19302910052910055,8,4,0.022099447513812154,-0.010806878306878293
8,3,1,181,35,0.19337016574585636,0.21097883597883596,6,2,0.022099447513812154,0.0071428571428571175
9,0|3,2,181,34,0.1878453038674033,0.20919312169312168,4,1,0.0165745856353591,0.005357142857142838
10,1|3,2,181,32,0.17679558011049723,0.20562169312169312,3,2,0.0055248618784530246,0.0017857142857142794
11,0|1|3,3,181,31,0.1712707182320442,0.20383597883597884,2,2,0.0,0.0
12,2|3,2,181,37,0.20441988950276244,0.19276455026455025,8,2,0.03314917127071823,-0.011071428571428593
13,0|2|3,3,181,37,0.20441988950276244,0.15455026455026455,8,2,0.03314917127071823,-0.049285714285714294
14,1|2|3,3,181,35,0.19337016574585636,0.11276455026455028,6,2,0.022099447513812154,-0.09107142857142857
15,0|1|2|3,4,181,34,0.1878453038674033,0.11097883597883598,5,2,0.0165745856353591,-0.09285714285714286
16,4,1,181,30,0.16574585635359115,0.20588624338624334,4,5,-0.005524861878453052,0.0020502645502644967
17,0|4,2,181,31,0.1712707182320442,0.20575396825396827,3,3,0.0,0.0019179894179894297
18,1|4,2,181,29,0.16022099447513813,0.20026455026455028,2,4,-0.011049723756906077,-0.0035714285714285587
19,0|1|4,3,181,30,0.16574585635359115,0.20396825396825397,3,4,-0.005524861878453052,0.00013227513227512255
20,2|4,2,181,41,0.2265193370165746,0.301957671957672,11,1,0.055248618784530384,0.09812169312169314
21,0|2|4,3,181,38,0.20994475138121546,0.2583862433862434,9,2,0.038674033149171255,0.05455026455026454
22,1|2|4,3,181,33,0.18232044198895028,0.20932539682539683,5,3,0.011049723756906077,0.005489417989417988
23,0|1|2|4,4,181,32,0.17679558011049723,0.20945767195767195,5,4,0.0055248618784530246,0.005621693121693111
24,3|4,2,181,33,0.18232044198895028,0.2074074074074074,3,1,0.011049723756906077,0.0035714285714285587
25,0|3|4,3,181,32,0.17679558011049723,0.20562169312169312,2,1,0.0055248618784530246,0.0017857142857142794
26,1|3|4,3,181,30,0.16574585635359115,0.20205026455026456,1,2,-0.005524861878453052,-0.0017857142857142794
27,0|1|3|4,4,181,31,0.1712707182320442,0.20383597883597884,2,2,0.0,0.0
28,2|3|4,3,181,36,0.19889502762430938,0.21468253968253967,6,1,0.02762430939226518,0.010846560846560827
