subset_mask,heads,size,n,correct,acc,ba,rescue,harm,delta_acc,delta_ba
1,0,1,136,32,0.23529411764705882,0.12061403508771928,2,11,-0.06617647058823528,-0.0317982456140351
2,1,1,136,36,0.2647058823529412,0.12938596491228072,4,9,-0.03676470588235292,-0.023026315789473673
3,0|1,2,136,35,0.25735294117647056,0.1282894736842105,3,9,-0.04411764705882354,-0.02412280701754388
4,2,1,136,35,0.25735294117647056,0.3793859649122807,8,14,-0.04411764705882354,0.22697368421052633
5,0|2,2,136,36,0.2647058823529412,0.1381578947368421,6,11,-0.03676470588235292,-0.014254385964912297
6,1|2,2,136,37,0.27205882352941174,0.14144736842105263,6,10,-0.02941176470588236,-0.01096491228070176
7,0|1|2,3,136,37,0.27205882352941174,0.14144736842105263,5,9,-0.02941176470588236,-0.01096491228070176
8,3,1,136,31,0.22794117647058823,0.10635964912280702,4,14,-0.07352941176470587,-0.04605263157894737
9,0|3,2,136,32,0.23529411764705882,0.11403508771929824,3,12,-0.06617647058823528,-0.03837719298245615
10,1|3,2,136,35,0.25735294117647056,0.12280701754385964,6,12,-0.04411764705882354,-0.029605263157894746
11,0|1|3,3,136,36,0.2647058823529412,0.12719298245614036,4,9,-0.03676470588235292,-0.02521929824561403
12,2|3,2,136,34,0.25,0.12609649122807018,6,13,-0.0514705882352941,-0.02631578947368421
13,0|2|3,3,136,33,0.2426470588235294,0.12390350877192982,4,12,-0.05882352941176469,-0.028508771929824567
14,1|2|3,3,136,35,0.25735294117647056,0.1282894736842105,4,10,-0.04411764705882354,-0.02412280701754388
15,0|1|2|3,4,136,33,0.2426470588235294,0.12171052631578948,1,9,-0.05882352941176469,-0.03070175438596491
16,4,1,136,46,0.3382352941176471,0.17543859649122806,8,3,0.03676470588235298,0.023026315789473673
17,0|4,2,136,43,0.3161764705882353,0.16447368421052633,6,4,0.01470588235294118,0.01206140350877194
18,1|4,2,136,43,0.3161764705882353,0.1600877192982456,4,2,0.01470588235294118,0.007675438596491224
19,0|1|4,3,136,38,0.27941176470588236,0.14144736842105263,2,5,-0.022058823529411742,-0.01096491228070176
20,2|4,2,136,40,0.29411764705882354,0.15460526315789475,5,6,-0.007352941176470562,0.0021929824561403577
21,0|2|4,3,136,40,0.29411764705882354,0.15460526315789475,5,6,-0.007352941176470562,0.0021929824561403577
22,1|2|4,3,136,37,0.27205882352941174,0.14035087719298245,3,7,-0.02941176470588236,-0.01206140350877194
23,0|1|2|4,4,136,35,0.25735294117647056,0.13267543859649122,2,8,-0.04411764705882354,-0.019736842105263164
24,3|4,2,136,39,0.2867647058823529,0.1392543859649123,4,6,-0.01470588235294118,-0.01315789473684209
25,0|3|4,3,136,39,0.2867647058823529,0.1425438596491228,2,4,-0.01470588235294118,-0.009868421052631582
26,1|3|4,3,136,40,0.29411764705882354,0.14473684210526316,4,5,-0.007352941176470562,-0.007675438596491224
27,0|1|3|4,4,136,38,0.27941176470588236,0.13706140350877194,2,5,-0.022058823529411742,-0.015350877192982448
28,2|3|4,3,136,34,0.25,0.125,1,8,-0.0514705882352941,-0.027412280701754388
29,0|2|3|4,4,136,35,0.25735294117647056,0.12938596491228072,1,7,-0.04411764705882354,-0.023026315789473673
30,1|2|3|4,4,136,36,0.2647058823529412,0.13267543859649122,2,7,-0.03676470588235292,-0.019736842105263164
31,0|1|2|3|4,5,136,36,0.2647058823529412,0.13267543859649122,1,6,-0.03676470588235292,-0.019736842105263164
32,5,1,136,42,0.3088235294117647,0.1600877192982456,7,6,0.007352941176470618,0.007675438596491224
33,0|5,2,136,42,0.3088235294117647,0.1611842105263158,6,5,0.007352941176470618,0.008771929824561403
34,1|5,2,136,42,0.3088235294117647,0.1567982456140351,7,6,0.007352941176470618,0.004385964912280715
35,0|1|5,3,136,35,0.25735294117647056,0.1282894736842105,2,8,-0.04411764705882354,-0.02412280701754388
36,2|5,2,136,41,0.3014705882352941,0.15899122807017543,6,6,0.0,0.006578947368421045
37,0|2|5,3,136,41,0.3014705882352941,0.15899122807017543,6,6,0.0,0.006578947368421045
38,1|2|5,3,136,40,0.29411764705882354,0.15350877192982454,6,7,-0.007352941176470562,0.001096491228070151
39,0|1|2|5,4,136,38,0.27941176470588236,0.14583333333333331,5,8,-0.022058823529411742,-0.006578947368421073
40,3|5,2,136,38,0.27941176470588236,0.13706140350877194,3,6,-0.022058823529411742,-0.015350877192982448
41,0|3|5,3,136,35,0.25735294117647056,0.12719298245614036,1,7,-0.04411764705882354,-0.02521929824561403
42,1|3|5,3,136,40,0.29411764705882354,0.14364035087719298,5,6,-0.007352941176470562,-0.008771929824561403
43,0|1|3|5,4,136,36,0.2647058823529412,0.12938596491228072,2,7,-0.03676470588235292,-0.023026315789473673
44,2|3|5,3,136,33,0.2426470588235294,0.12390350877192982,3,11,-0.05882352941176469,-0.028508771929824567
45,0|2|3|5,4,136,34,0.25,0.12719298245614036,2,9,-0.0514705882352941,-0.02521929824561403
46,1|2|3|5,4,136,35,0.25735294117647056,0.12938596491228072,2,8,-0.04411764705882354,-0.023026315789473673
47,0|1|2|3|5,5,136,36,0.2647058823529412,0.13267543859649122,1,6,-0.03676470588235292,-0.019736842105263164
48,4|5,2,136,45,0.33088235294117646,0.17105263157894735,7,3,0.02941176470588236,0.018640350877192957
49,0|4|5,3,136,43,0.3161764705882353,0.16447368421052633,7,5,0.01470588235294118,0.01206140350877194
50,1|4|5,3,136,43,0.3161764705882353,0.1611842105263158,5,3,0.01470588235294118,0.008771929824561403
51,0|1|4|5,4,136,40,0.29411764705882354,0.1513157894736842,4,5,-0.007352941176470562,-0.0010964912280701788
52,2|4|5,3,136,46,0.3382352941176471,0.1787280701754386,9,4,0.03676470588235298,0.02631578947368421
53,0|2|4|5,4,136,43,0.3161764705882353,0.16666666666666666,7,5,0.01470588235294118,0.01425438596491227
54,1|2|4|5,4,136,42,0.3088235294117647,0.1600877192982456,4,3,0.007352941176470618,0.007675438596491224
55,0|1|2|4|5,5,136,39,0.2867647058823529,0.14802631578947367,2,4,-0.01470588235294118,-0.004385964912280715
56,3|4|5,3,136,44,0.3235294117647059,0.16337719298245612,7,4,0.022058823529411797,0.010964912280701733
57,0|3|4|5,4,136,41,0.3014705882352941,0.1524122807017544,4,4,0.0,0.0
58,1|3|4|5,4,136,41,0.3014705882352941,0.15021929824561403,4,4,0.0,-0.0021929824561403577
59,0|1|3|4|5,5,136,37,0.27205882352941174,0.13486842105263158,1,5,-0.02941176470588236,-0.017543859649122806
60,2|3|4|5,4,136,38,0.27941176470588236,0.14144736842105263,1,4,-0.022058823529411742,-0.01096491228070176
61,0|2|3|4|5,5,136,39,0.2867647058823529,0.14583333333333331,1,3,-0.01470588235294118,-0.006578947368421073
62,1|2|3|4|5,5,136,41,0.3014705882352941,0.1524122807017544,2,2,0.0,0.0
63,0|1|2|3|4|5,6,136,39,0.2867647058823529,0.14473684210526316,1,3,-0.01470588235294118,-0.007675438596491224
64,6,1,136,44,0.3235294117647059,0.16447368421052633,9,6,0.022058823529411797,0.01206140350877194
65,0|6,2,136,41,0.3014705882352941,0.15460526315789475,7,7,0.0,0.0021929824561403577
66,1|6,2,136,45,0.33088235294117646,0.16666666666666666,7,3,0.02941176470588236,0.01425438596491227
67,0|1|6,3,136,38,0.27941176470588236,0.14035087719298245,3,6,-0.022058823529411742,-0.01206140350877194
68,2|6,2,136,37,0.27205882352941174,0.14144736842105263,3,7,-0.02941176470588236,-0.01096491228070176
69,0|2|6,3,136,38,0.27941176470588236,0.14473684210526316,3,6,-0.022058823529411742,-0.007675438596491224
