subset_mask,heads,size,n,correct,acc,ba,rescue,harm,delta_acc,delta_ba
1,0,1,189,38,0.20105820105820105,0.22616323417238748,2,13,-0.0582010582010582,-0.028413424866514103
2,1,1,189,47,0.24867724867724866,0.24303966437833713,7,9,-0.010582010582010581,-0.011536994660564459
3,0|1,2,189,41,0.21693121693121692,0.22988176964149504,3,11,-0.042328042328042326,-0.02469488939740655
4,2,1,189,40,0.21164021164021163,0.3562166285278413,8,17,-0.047619047619047616,0.10163996948893972
5,0|2,2,189,42,0.2222222222222222,0.2406559877955759,6,13,-0.037037037037037035,-0.013920671243325689
6,1|2,2,189,45,0.23809523809523808,0.25009534706331044,7,11,-0.021164021164021163,-0.004481311975591151
7,0|1|2,3,189,43,0.2275132275132275,0.24284897025171626,5,11,-0.031746031746031744,-0.01172768878718533
8,3,1,189,39,0.20634920634920634,0.2154843630816171,5,15,-0.05291005291005291,-0.0390922959572845
9,0|3,2,189,40,0.21164021164021163,0.22339816933638443,3,12,-0.047619047619047616,-0.03117848970251716
10,1|3,2,189,44,0.2328042328042328,0.23217009916094583,7,12,-0.026455026455026454,-0.022406559877955756
11,0|1|3,3,189,45,0.23809523809523808,0.23579328756674295,5,9,-0.021164021164021163,-0.01878337147215864
12,2|3,2,189,43,0.2275132275132275,0.23855835240274598,7,13,-0.031746031746031744,-0.01601830663615561
13,0|2|3,3,189,41,0.21693121693121692,0.2341723874904653,4,12,-0.042328042328042326,-0.020404271548436298
14,1|2|3,3,189,44,0.2328042328042328,0.2393211289092296,5,10,-0.026455026455026454,-0.015255530129671985
15,0|1|2|3,4,189,42,0.2222222222222222,0.2349351639969489,2,9,-0.037037037037037035,-0.0196414950419527
16,4,1,189,55,0.291005291005291,0.2748855835240275,11,5,0.031746031746031744,0.02030892448512589
17,0|4,2,189,51,0.2698412698412698,0.26468344774980934,8,6,0.010582010582010581,0.010106788710907755
18,1|4,2,189,51,0.2698412698412698,0.2589626239511823,6,4,0.010582010582010581,0.004385964912280715
19,0|1|4,3,189,46,0.24338624338624337,0.24513729977116705,4,7,-0.015873015873015872,-0.009439359267734537
20,2|4,2,189,46,0.24338624338624337,0.25371853546910755,5,8,-0.015873015873015872,-0.0008581235697940337
21,0|2|4,3,189,46,0.24338624338624337,0.25371853546910755,5,8,-0.015873015873015872,-0.0008581235697940337
22,1|2|4,3,189,44,0.2328042328042328,0.2450419527078566,3,8,-0.026455026455026454,-0.009534706331045001
23,0|1|2|4,4,189,41,0.21693121693121692,0.23560259344012205,2,10,-0.042328042328042326,-0.018974065598779538
24,3|4,2,189,47,0.24867724867724866,0.2416094584286804,4,6,-0.010582010582010581,-0.012967200610221191
25,0|3|4,3,189,46,0.24338624338624337,0.24227688787185353,2,5,-0.015873015873015872,-0.012299771167048057
26,1|3|4,3,189,49,0.25925925925925924,0.25028604118993136,5,5,0.0,-0.004290617848970224
27,0|1|3|4,4,189,45,0.23809523809523808,0.2372234935163997,2,6,-0.021164021164021163,-0.01735316552250188
28,2|3|4,3,189,42,0.2222222222222222,0.23350495804729215,1,8,-0.037037037037037035,-0.021071700991609432
29,0|2|3|4,4,189,41,0.21693121693121692,0.2313119755911518,1,9,-0.042328042328042326,-0.02326468344774979
30,1|2|3|4,4,189,45,0.23809523809523808,0.2429443173150267,3,7,-0.021164021164021163,-0.011632341723874895
31,0|1|2|3|4,5,189,43,0.2275132275132275,0.23712814645308924,1,7,-0.031746031746031744,-0.017448512585812342
32,5,1,189,51,0.2698412698412698,0.2632532418001525,10,8,0.010582010582010581,0.00867658276125094
33,0|5,2,189,48,0.25396825396825395,0.25810450038138827,6,7,-0.005291005291005291,0.0035278413424866817
34,1|5,2,189,50,0.26455026455026454,0.25676964149504194,9,8,0.005291005291005291,0.0021929824561403577
35,0|1|5,3,189,42,0.2222222222222222,0.2320747520976354,3,10,-0.037037037037037035,-0.022501906941266192
36,2|5,2,189,47,0.24867724867724866,0.2573417238749046,6,8,-0.010582010582010581,0.0027650648360030283
37,0|2|5,3,189,47,0.24867724867724866,0.2573417238749046,6,8,-0.010582010582010581,0.0027650648360030283
38,1|2|5,3,189,46,0.24338624338624337,0.2522883295194508,6,9,-0.015873015873015872,-0.0022883295194507935
39,0|1|2|5,4,189,44,0.2328042328042328,0.24647215865751335,5,10,-0.026455026455026454,-0.008104500381388241
40,3|5,2,189,45,0.23809523809523808,0.2372234935163997,3,7,-0.021164021164021163,-0.01735316552250188
41,0|3|5,3,189,41,0.21693121693121692,0.22845156369183828,1,9,-0.042328042328042326,-0.02612509534706331
42,1|3|5,3,189,48,0.25396825396825395,0.24523264683447749,5,6,-0.005291005291005291,-0.009344012204424101
43,0|1|3|5,4,189,43,0.2275132275132275,0.23140732265446223,2,8,-0.031746031746031744,-0.023169336384439354
44,2|3|5,3,189,40,0.21164021164021163,0.23197940503432493,3,12,-0.047619047619047616,-0.022597254004576656
45,0|2|3|5,4,189,40,0.21164021164021163,0.2305491990846682,2,11,-0.047619047619047616,-0.024027459954233388
46,1|2|3|5,4,189,43,0.2275132275132275,0.23855835240274598,3,9,-0.031746031746031744,-0.01601830663615561
47,0|1|2|3|5,5,189,42,0.2222222222222222,0.23350495804729215,1,8,-0.037037037037037035,-0.021071700991609432
