subset_mask,heads,size,n,correct,acc,ba,rescue,harm,delta_acc,delta_ba
1,0,1,240,65,0.2708333333333333,0.3169341208105253,5,2,0.012499999999999956,0.011214347450302531
2,1,1,240,68,0.2833333333333333,0.32922404686449636,7,1,0.024999999999999967,0.023504273504273587
3,0|1,2,240,67,0.2791666666666667,0.32089071353116294,6,1,0.020833333333333315,0.015170940170940173
4,2,1,240,65,0.2708333333333333,0.30314846826082775,6,3,0.012499999999999956,-0.002571305099395016
5,0|2,2,240,64,0.26666666666666666,0.30197685585326034,4,2,0.008333333333333304,-0.0037429175069624288
6,1|2,2,240,65,0.2708333333333333,0.3103101891865937,4,1,0.012499999999999956,0.0045904158263709305
7,0|1|2,3,240,65,0.2708333333333333,0.3103101891865937,4,1,0.012499999999999956,0.0045904158263709305
8,3,1,240,55,0.22916666666666666,0.23845097474310956,6,13,-0.029166666666666702,-0.06726879861711321
9,0|3,2,240,66,0.275,0.3120195908959954,7,3,0.016666666666666663,0.006299817535772634
10,1|3,2,240,63,0.2625,0.306353596465956,6,5,0.004166666666666652,0.0006338231057332333
11,0|1|3,3,240,65,0.2708333333333333,0.3103101891865937,6,3,0.012499999999999956,0.0045904158263709305
12,2|3,2,240,64,0.26666666666666666,0.30090127724959187,7,5,0.008333333333333304,-0.004818496110630899
13,0|2|3,3,240,64,0.26666666666666666,0.3025146451550946,4,2,0.008333333333333304,-0.0032051282051281937
14,1|2|3,3,240,65,0.2708333333333333,0.30368625756266204,6,3,0.012499999999999956,-0.0020335157975607254
15,0|1|2|3,4,240,66,0.275,0.305933448573898,5,1,0.016666666666666663,0.00021367521367521292
16,4,1,240,66,0.275,0.32025689042542976,6,2,0.016666666666666663,0.014537117065206995
17,0|4,2,240,66,0.275,0.32580524344569295,4,0,0.016666666666666663,0.02008547008547018
18,1|4,2,240,67,0.2791666666666667,0.32751464515509465,5,0,0.020833333333333315,0.021794871794871884
19,0|1|4,3,240,67,0.2791666666666667,0.32751464515509465,5,0,0.020833333333333315,0.021794871794871884
20,2|4,2,240,65,0.2708333333333333,0.31084797848842793,3,0,0.012499999999999956,0.0051282051282051655
21,0|2|4,3,240,65,0.2708333333333333,0.31084797848842793,3,0,0.012499999999999956,0.0051282051282051655
22,1|2|4,3,240,66,0.275,0.31918131182176124,4,0,0.016666666666666663,0.01346153846153847
23,0|1|2|4,4,240,65,0.2708333333333333,0.31084797848842793,3,0,0.012499999999999956,0.0051282051282051655
24,3|4,2,240,61,0.25416666666666665,0.29684865072505523,4,5,-0.004166666666666707,-0.008871122635167539
25,0|3|4,3,240,64,0.26666666666666666,0.30913857677902623,4,2,0.008333333333333304,0.003418803418803462
26,1|3|4,3,240,62,0.25833333333333336,0.3051819840583886,4,4,0.0,-0.0005377893018341795
27,0|1|3|4,4,240,65,0.2708333333333333,0.31084797848842793,4,1,0.012499999999999956,0.0051282051282051655
28,2|3|4,3,240,63,0.2625,0.30080524344569287,3,2,0.004166666666666652,-0.004914529914529897
29,0|2|3|4,4,240,64,0.26666666666666666,0.3025146451550946,4,2,0.008333333333333304,-0.0032051282051281937
30,1|2|3|4,4,240,65,0.2708333333333333,0.3042240468644963,4,1,0.012499999999999956,-0.0014957264957264904
31,0|1|2|3|4,5,240,65,0.2708333333333333,0.3042240468644963,4,1,0.012499999999999956,-0.0014957264957264904
32,5,1,240,63,0.2625,0.31566647459905883,5,4,0.004166666666666652,0.009946701238836064
33,0|5,2,240,66,0.275,0.31971910112359553,4,0,0.016666666666666663,0.01399932776337276
34,1|5,2,240,65,0.2708333333333333,0.32517142033995966,5,2,0.012499999999999956,0.019451646979736892
35,0|1|5,3,240,66,0.275,0.32580524344569295,4,0,0.016666666666666663,0.02008547008547018
36,2|5,2,240,64,0.26666666666666666,0.30913857677902623,2,0,0.008333333333333304,0.003418803418803462
37,0|2|5,3,240,65,0.2708333333333333,0.31084797848842793,3,0,0.012499999999999956,0.0051282051282051655
38,1|2|5,3,240,65,0.2708333333333333,0.31084797848842793,3,0,0.012499999999999956,0.0051282051282051655
39,0|1|2|5,4,240,65,0.2708333333333333,0.31084797848842793,3,0,0.012499999999999956,0.0051282051282051655
40,3|5,2,240,60,0.25,0.2956770383174877,2,4,-0.00833333333333336,-0.010042735042735063
41,0|3|5,3,240,63,0.2625,0.3074291750696245,4,3,0.004166666666666652,0.0017094017094017588
42,1|3|5,3,240,62,0.25833333333333336,0.30571977336022277,3,3,0.0,0.0
43,0|1|3|5,4,240,64,0.26666666666666666,0.30913857677902623,4,2,0.008333333333333304,0.003418803418803462
44,2|3|5,3,240,61,0.25416666666666665,0.2973864400268894,1,2,-0.004166666666666707,-0.00833333333333336
45,0|2|3|5,4,240,63,0.2625,0.30080524344569287,3,2,0.004166666666666652,-0.004914529914529897
46,1|2|3|5,4,240,63,0.2625,0.30080524344569287,3,2,0.004166666666666652,-0.004914529914529897
47,0|1|2|3|5,5,240,64,0.26666666666666666,0.3025146451550946,3,1,0.008333333333333304,-0.0032051282051281937
48,4|5,2,240,63,0.2625,0.31566647459905883,5,4,0.004166666666666652,0.009946701238836064
