subset_mask,heads,size,n,correct,acc,ba,rescue,harm,delta_acc,delta_ba
1,0,1,340,88,0.25882352941176473,0.2945352857612473,6,2,0.011764705882352955,0.016273510143702485
2,1,1,340,89,0.26176470588235295,0.29571871771391,7,2,0.01470588235294118,0.01745694209636517
3,0|1,2,340,90,0.2647058823529412,0.29728121771391003,7,1,0.017647058823529405,0.01901944209636519
4,2,1,340,88,0.25882352941176473,0.27627794214332674,7,3,0.011764705882352955,-0.0019838334742180996
5,0|2,2,340,87,0.25588235294117645,0.2814330034281957,5,2,0.008823529411764675,0.0031712278106508784
6,1|2,2,340,87,0.25588235294117645,0.2814330034281957,4,1,0.008823529411764675,0.0031712278106508784
7,0|1|2,3,340,88,0.25882352941176473,0.2885758605710529,5,1,0.011764705882352955,0.010314084953508051
8,3,1,340,76,0.2235294117647059,0.23280413496759653,6,14,-0.023529411764705882,-0.04545764064994831
9,0|3,2,340,88,0.25882352941176473,0.28261643538085846,7,3,0.011764705882352955,0.0043546597633136175
10,1|3,2,340,84,0.24705882352941178,0.277124571475533,6,6,0.0,-0.0011372041420118495
11,0|1|3,3,340,87,0.25588235294117645,0.2814330034281957,6,3,0.008823529411764675,0.0031712278106508784
12,2|3,2,340,86,0.2529411764705882,0.27353201019066403,7,5,0.00588235294117645,-0.004729765426880805
13,0|2|3,3,340,86,0.2529411764705882,0.2746692143326759,4,2,0.00588235294117645,-0.003592561284868956
14,1|2|3,3,340,87,0.25588235294117645,0.27547357823800134,6,3,0.008823529411764675,-0.0027881973795435
15,0|1|2|3,4,340,88,0.25882352941176473,0.27703607823800136,5,1,0.011764705882352955,-0.0012256973795434778
16,4,1,340,89,0.26176470588235295,0.2908964966657274,8,3,0.01470588235294118,0.012634721048182584
17,0|4,2,340,88,0.25882352941176473,0.29491435380858455,4,0,0.011764705882352955,0.016652578191039713
18,1|4,2,340,89,0.26176470588235295,0.29609778576124735,5,0,0.01470588235294118,0.017836010143702508
19,0|1|4,3,340,89,0.26176470588235295,0.29609778576124735,5,0,0.01470588235294118,0.017836010143702508
20,2|4,2,340,87,0.25588235294117645,0.281812071475533,3,0,0.008823529411764675,0.0035502958579881616
21,0|2|4,3,340,87,0.25588235294117645,0.281812071475533,3,0,0.008823529411764675,0.0035502958579881616
