subset_mask,heads,size,n,correct,acc,ba,rescue,harm,delta_acc,delta_ba
1,0,1,41,19,0.4634146341463415,0.39255952380952375,1,0,0.024390243902439046,0.01041666666666663
2,1,1,41,20,0.4878048780487805,0.4029761904761905,2,0,0.04878048780487804,0.02083333333333337
3,0|1,2,41,19,0.4634146341463415,0.39255952380952375,1,0,0.024390243902439046,0.01041666666666663
4,2,1,41,17,0.4146341463414634,0.37172619047619043,0,1,-0.024390243902439046,-0.010416666666666685
5,0|2,2,41,17,0.4146341463414634,0.37172619047619043,0,1,-0.024390243902439046,-0.010416666666666685
6,1|2,2,41,18,0.43902439024390244,0.3821428571428571,0,0,0.0,0.0
7,0|1|2,3,41,18,0.43902439024390244,0.3821428571428571,0,0,0.0,0.0
8,3,1,41,14,0.34146341463414637,0.2755952380952381,0,4,-0.09756097560975607,-0.106547619047619
9,0|3,2,41,18,0.43902439024390244,0.3821428571428571,1,1,0.0,0.0
10,1|3,2,41,18,0.43902439024390244,0.3821428571428571,1,1,0.0,0.0
11,0|1|3,3,41,18,0.43902439024390244,0.3821428571428571,1,1,0.0,0.0
12,2|3,2,41,17,0.4146341463414634,0.37172619047619043,0,1,-0.024390243902439046,-0.010416666666666685
13,0|2|3,3,41,17,0.4146341463414634,0.37172619047619043,0,1,-0.024390243902439046,-0.010416666666666685
14,1|2|3,3,41,17,0.4146341463414634,0.37172619047619043,0,1,-0.024390243902439046,-0.010416666666666685
15,0|1|2|3,4,41,17,0.4146341463414634,0.37172619047619043,0,1,-0.024390243902439046,-0.010416666666666685
16,4,1,41,19,0.4634146341463415,0.39255952380952375,2,1,0.024390243902439046,0.01041666666666663
17,0|4,2,41,20,0.4878048780487805,0.4029761904761905,2,0,0.04878048780487804,0.02083333333333337
18,1|4,2,41,20,0.4878048780487805,0.4029761904761905,2,0,0.04878048780487804,0.02083333333333337
19,0|1|4,3,41,20,0.4878048780487805,0.4029761904761905,2,0,0.04878048780487804,0.02083333333333337
