subset_mask,heads,size,n,correct,acc,ba,rescue,harm,delta_acc,delta_ba
1,0,1,52,25,0.4807692307692308,0.48531746031746026,2,0,0.03846153846153849,0.014285714285714235
2,1,1,52,25,0.4807692307692308,0.48531746031746026,2,0,0.03846153846153849,0.014285714285714235
3,0|1,2,52,25,0.4807692307692308,0.48531746031746026,2,0,0.03846153846153849,0.014285714285714235
4,2,1,52,22,0.4230769230769231,0.4638888888888889,0,1,-0.019230769230769218,-0.0071428571428571175
5,0|2,2,52,23,0.4423076923076923,0.471031746031746,1,1,0.0,0.0
6,1|2,2,52,23,0.4423076923076923,0.471031746031746,0,0,0.0,0.0
7,0|1|2,3,52,24,0.46153846153846156,0.47817460317460314,1,0,0.019230769230769273,0.0071428571428571175
8,3,1,52,19,0.36538461538461536,0.4095238095238095,0,4,-0.07692307692307693,-0.06150793650793651
9,0|3,2,52,23,0.4423076923076923,0.471031746031746,1,1,0.0,0.0
10,1|3,2,52,23,0.4423076923076923,0.471031746031746,1,1,0.0,0.0
11,0|1|3,3,52,23,0.4423076923076923,0.471031746031746,1,1,0.0,0.0
12,2|3,2,52,22,0.4230769230769231,0.4638888888888889,0,1,-0.019230769230769218,-0.0071428571428571175
13,0|2|3,3,52,22,0.4230769230769231,0.4638888888888889,0,1,-0.019230769230769218,-0.0071428571428571175
14,1|2|3,3,52,22,0.4230769230769231,0.4638888888888889,0,1,-0.019230769230769218,-0.0071428571428571175
15,0|1|2|3,4,52,22,0.4230769230769231,0.4638888888888889,0,1,-0.019230769230769218,-0.0071428571428571175
16,4,1,52,24,0.46153846153846156,0.47817460317460314,2,1,0.019230769230769273,0.0071428571428571175
17,0|4,2,52,25,0.4807692307692308,0.48531746031746026,2,0,0.03846153846153849,0.014285714285714235
18,1|4,2,52,25,0.4807692307692308,0.48531746031746026,2,0,0.03846153846153849,0.014285714285714235
19,0|1|4,3,52,25,0.4807692307692308,0.48531746031746026,2,0,0.03846153846153849,0.014285714285714235
20,2|4,2,52,23,0.4423076923076923,0.471031746031746,0,0,0.0,0.0
21,0|2|4,3,52,23,0.4423076923076923,0.471031746031746,0,0,0.0,0.0
22,1|2|4,3,52,24,0.46153846153846156,0.47817460317460314,1,0,0.019230769230769273,0.0071428571428571175
23,0|1|2|4,4,52,23,0.4423076923076923,0.471031746031746,0,0,0.0,0.0
24,3|4,2,52,22,0.4230769230769231,0.4638888888888889,1,2,-0.019230769230769218,-0.0071428571428571175
25,0|3|4,3,52,23,0.4423076923076923,0.471031746031746,1,1,0.0,0.0
26,1|3|4,3,52,23,0.4423076923076923,0.471031746031746,1,1,0.0,0.0
27,0|1|3|4,4,52,23,0.4423076923076923,0.471031746031746,1,1,0.0,0.0
28,2|3|4,3,52,22,0.4230769230769231,0.4638888888888889,0,1,-0.019230769230769218,-0.0071428571428571175
29,0|2|3|4,4,52,22,0.4230769230769231,0.4638888888888889,0,1,-0.019230769230769218,-0.0071428571428571175
30,1|2|3|4,4,52,22,0.4230769230769231,0.4638888888888889,0,1,-0.019230769230769218,-0.0071428571428571175
31,0|1|2|3|4,5,52,22,0.4230769230769231,0.4638888888888889,0,1,-0.019230769230769218,-0.0071428571428571175
32,5,1,52,24,0.46153846153846156,0.47817460317460314,2,1,0.019230769230769273,0.0071428571428571175
33,0|5,2,52,24,0.46153846153846156,0.47817460317460314,1,0,0.019230769230769273,0.0071428571428571175
34,1|5,2,52,25,0.4807692307692308,0.48531746031746026,2,0,0.03846153846153849,0.014285714285714235
35,0|1|5,3,52,25,0.4807692307692308,0.48531746031746026,2,0,0.03846153846153849,0.014285714285714235
36,2|5,2,52,23,0.4423076923076923,0.471031746031746,0,0,0.0,0.0
37,0|2|5,3,52,23,0.4423076923076923,0.471031746031746,0,0,0.0,0.0
38,1|2|5,3,52,23,0.4423076923076923,0.471031746031746,0,0,0.0,0.0
39,0|1|2|5,4,52,23,0.4423076923076923,0.471031746031746,0,0,0.0,0.0
40,3|5,2,52,22,0.4230769230769231,0.4638888888888889,1,2,-0.019230769230769218,-0.0071428571428571175
41,0|3|5,3,52,23,0.4423076923076923,0.471031746031746,1,1,0.0,0.0
42,1|3|5,3,52,23,0.4423076923076923,0.471031746031746,1,1,0.0,0.0
43,0|1|3|5,4,52,23,0.4423076923076923,0.471031746031746,1,1,0.0,0.0
44,2|3|5,3,52,22,0.4230769230769231,0.4638888888888889,0,1,-0.019230769230769218,-0.0071428571428571175
45,0|2|3|5,4,52,22,0.4230769230769231,0.4638888888888889,0,1,-0.019230769230769218,-0.0071428571428571175
46,1|2|3|5,4,52,22,0.4230769230769231,0.4638888888888889,0,1,-0.019230769230769218,-0.0071428571428571175
47,0|1|2|3|5,5,52,22,0.4230769230769231,0.4638888888888889,0,1,-0.019230769230769218,-0.0071428571428571175
48,4|5,2,52,24,0.46153846153846156,0.47817460317460314,2,1,0.019230769230769273,0.0071428571428571175
49,0|4|5,3,52,25,0.4807692307692308,0.48531746031746026,2,0,0.03846153846153849,0.014285714285714235
50,1|4|5,3,52,25,0.4807692307692308,0.48531746031746026,2,0,0.03846153846153849,0.014285714285714235
