subset_mask,heads,size,n,correct,acc,ba,rescue,harm,delta_acc,delta_ba
1,0,1,445,323,0.7258426966292135,0.714712643678161,18,2,0.035955056179775347,0.02488505747126446
2,1,1,445,318,0.7146067415730337,0.7045977011494253,18,7,0.024719101123595544,0.014770114942528778
3,0|1,2,445,322,0.7235955056179775,0.7130459770114943,17,2,0.0337078651685393,0.023218390804597755
4,2,1,445,313,0.7033707865168539,0.6998275862068966,11,5,0.013483146067415741,0.010000000000000009
5,0|2,2,445,316,0.7101123595505618,0.7012643678160919,11,2,0.020224719101123667,0.011436781609195368
6,1|2,2,445,320,0.7191011235955056,0.7079310344827586,16,3,0.02921348314606742,0.018103448275862077
7,0|1|2,3,445,320,0.7191011235955056,0.7079310344827586,15,2,0.02921348314606742,0.018103448275862077
8,3,1,445,308,0.6921348314606741,0.6914942528735633,11,10,0.0022471910112359383,0.0016666666666667052
9,0|3,2,445,316,0.7101123595505618,0.7030459770114943,12,3,0.020224719101123667,0.013218390804597746
10,1|3,2,445,314,0.7056179775280899,0.7014942528735633,13,6,0.01573033707865168,0.011666666666666714
11,0|1|3,3,445,318,0.7146067415730337,0.7063793103448276,14,3,0.024719101123595544,0.016551724137931045
12,2|3,2,445,305,0.6853932584269663,0.6864942528735632,8,10,-0.004494382022471877,-0.0033333333333332993
13,0|2|3,3,445,316,0.7101123595505618,0.7030459770114943,11,2,0.020224719101123667,0.013218390804597746
14,1|2|3,3,445,314,0.7056179775280899,0.6997126436781609,12,5,0.01573033707865168,0.009885057471264336
15,0|1|2|3,4,445,317,0.7123595505617978,0.704712643678161,12,2,0.022471910112359605,0.014885057471264451
16,4,1,445,308,0.6921348314606741,0.6914942528735633,4,3,0.0022471910112359383,0.0016666666666667052
17,0|4,2,445,310,0.6966292134831461,0.6930459770114943,6,3,0.006741573033707926,0.003218390804597737
18,1|4,2,445,314,0.7056179775280899,0.7014942528735633,9,2,0.01573033707865168,0.011666666666666714
19,0|1|4,3,445,316,0.7101123595505618,0.7048275862068966,11,2,0.020224719101123667,0.015000000000000013
20,2|4,2,445,310,0.6966292134831461,0.6948275862068966,3,0,0.006741573033707926,0.0050000000000000044
21,0|2|4,3,445,312,0.701123595505618,0.6963793103448276,6,1,0.011235955056179803,0.0065517241379310365
22,1|2|4,3,445,313,0.7033707865168539,0.6980459770114943,7,1,0.013483146067415741,0.008218390804597742
23,0|1|2|4,4,445,314,0.7056179775280899,0.6997126436781609,8,1,0.01573033707865168,0.009885057471264336
24,3|4,2,445,306,0.6876404494382022,0.6863793103448276,3,4,-0.0022471910112359383,-0.0034482758620689724
25,0|3|4,3,445,313,0.7033707865168539,0.6998275862068966,6,0,0.013483146067415741,0.010000000000000009
26,1|3|4,3,445,314,0.7056179775280899,0.7032758620689654,8,1,0.01573033707865168,0.01344827586206887
27,0|1|3|4,4,445,316,0.7101123595505618,0.7048275862068966,10,1,0.020224719101123667,0.015000000000000013
28,2|3|4,3,445,309,0.6943820224719102,0.6913793103448276,6,4,0.004494382022471988,0.001551724137931032
29,0|2|3|4,4,445,314,0.7056179775280899,0.6997126436781609,8,1,0.01573033707865168,0.009885057471264336
30,1|2|3|4,4,445,311,0.698876404494382,0.694712643678161,6,2,0.008988764044943864,0.004885057471264442
31,0|1|2|3|4,5,445,313,0.7033707865168539,0.696264367816092,8,2,0.013483146067415741,0.006436781609195474
32,5,1,445,302,0.6786516853932584,0.6814942528735632,1,6,-0.011235955056179803,-0.008333333333333304
33,0|5,2,445,309,0.6943820224719102,0.6913793103448276,4,2,0.004494382022471988,0.001551724137931032
34,1|5,2,445,310,0.6966292134831461,0.6948275862068966,8,5,0.006741573033707926,0.0050000000000000044
35,0|1|5,3,445,315,0.7078651685393258,0.70316091954023,10,2,0.017977528089887618,0.01333333333333342
36,2|5,2,445,307,0.6898876404494382,0.6898275862068965,1,1,0.0,0.0
37,0|2|5,3,445,312,0.701123595505618,0.6981609195402299,5,0,0.011235955056179803,0.008333333333333304
38,1|2|5,3,445,311,0.698876404494382,0.6964942528735633,6,2,0.008988764044943864,0.00666666666666671
39,0|1|2|5,4,445,314,0.7056179775280899,0.6997126436781609,8,1,0.01573033707865168,0.009885057471264336
40,3|5,2,445,300,0.6741573033707865,0.6781609195402298,0,7,-0.01573033707865168,-0.011666666666666714
41,0|3|5,3,445,312,0.701123595505618,0.6981609195402299,6,1,0.011235955056179803,0.008333333333333304
42,1|3|5,3,445,311,0.698876404494382,0.6982758620689655,8,4,0.008988764044943864,0.008448275862068977
43,0|1|3|5,4,445,314,0.7056179775280899,0.6997126436781609,9,2,0.01573033707865168,0.009885057471264336
44,2|3|5,3,445,305,0.6853932584269663,0.684712643678161,4,6,-0.004494382022471877,-0.0051149425287355665
45,0|2|3|5,4,445,310,0.6966292134831461,0.6948275862068966,4,1,0.006741573033707926,0.0050000000000000044
46,1|2|3|5,4,445,310,0.6966292134831461,0.6930459770114943,7,4,0.006741573033707926,0.003218390804597737
47,0|1|2|3|5,5,445,314,0.7056179775280899,0.7014942528735633,8,1,0.01573033707865168,0.011666666666666714
48,4|5,2,445,305,0.6853932584269663,0.684712643678161,1,3,-0.004494382022471877,-0.0051149425287355665
49,0|4|5,3,445,309,0.6943820224719102,0.6913793103448276,4,2,0.004494382022471988,0.001551724137931032
50,1|4|5,3,445,311,0.698876404494382,0.6964942528735633,6,2,0.008988764044943864,0.00666666666666671
51,0|1|4|5,4,445,311,0.698876404494382,0.6964942528735633,6,2,0.008988764044943864,0.00666666666666671
52,2|4|5,3,445,307,0.6898876404494382,0.6898275862068965,1,1,0.0,0.0
53,0|2|4|5,4,445,308,0.6921348314606741,0.6897126436781609,3,2,0.0022471910112359383,-0.00011494252873567312
54,1|2|4|5,4,445,309,0.6943820224719102,0.6913793103448276,4,2,0.004494382022471988,0.001551724137931032
55,0|1|2|4|5,5,445,311,0.698876404494382,0.694712643678161,6,2,0.008988764044943864,0.004885057471264442
56,3|4|5,3,445,306,0.6876404494382022,0.6881609195402298,1,2,-0.0022471910112359383,-0.0016666666666667052
57,0|3|4|5,4,445,311,0.698876404494382,0.6964942528735633,5,1,0.008988764044943864,0.00666666666666671
58,1|3|4|5,4,445,311,0.698876404494382,0.6982758620689655,5,1,0.008988764044943864,0.008448275862068977
59,0|1|3|4|5,5,445,312,0.701123595505618,0.6981609195402299,7,2,0.011235955056179803,0.008333333333333304
60,2|3|4|5,4,445,307,0.6898876404494382,0.6898275862068965,1,1,0.0,0.0
61,0|2|3|4|5,5,445,311,0.698876404494382,0.6964942528735633,4,0,0.008988764044943864,0.00666666666666671
62,1|2|3|4|5,5,445,312,0.701123595505618,0.6981609195402299,5,0,0.011235955056179803,0.008333333333333304
63,0|1|2|3|4|5,6,445,314,0.7056179775280899,0.7014942528735633,7,0,0.01573033707865168,0.011666666666666714
64,6,1,445,303,0.6808988764044944,0.677816091954023,4,8,-0.008988764044943753,-0.012011494252873511
65,0|6,2,445,311,0.698876404494382,0.694712643678161,5,1,0.008988764044943864,0.004885057471264442
66,1|6,2,445,310,0.6966292134831461,0.6930459770114943,6,3,0.006741573033707926,0.003218390804597737
67,0|1|6,3,445,318,0.7146067415730337,0.7081609195402299,12,1,0.024719101123595544,0.018333333333333313
68,2|6,2,445,305,0.6853932584269663,0.6829310344827586,4,6,-0.004494382022471877,-0.006896551724137945
69,0|2|6,3,445,312,0.701123595505618,0.6963793103448276,6,1,0.011235955056179803,0.0065517241379310365
70,1|2|6,3,445,313,0.7033707865168539,0.6980459770114943,8,2,0.013483146067415741,0.008218390804597742
71,0|1|2|6,4,445,315,0.7078651685393258,0.6995977011494253,10,2,0.017977528089887618,0.009770114942528774
72,3|6,2,445,300,0.6741573033707865,0.6745977011494253,4,11,-0.01573033707865168,-0.015229885057471249
73,0|3|6,3,445,308,0.6921348314606741,0.6897126436781609,5,4,0.0022471910112359383,-0.00011494252873567312
74,1|3|6,3,445,310,0.6966292134831461,0.6948275862068966,9,6,0.006741573033707926,0.0050000000000000044
75,0|1|3|6,4,445,313,0.7033707865168539,0.6980459770114943,8,2,0.013483146067415741,0.008218390804597742
76,2|3|6,3,445,302,0.6786516853932584,0.6779310344827587,5,10,-0.011235955056179803,-0.011896551724137838
77,0|2|3|6,4,445,308,0.6921348314606741,0.6897126436781609,5,4,0.0022471910112359383,-0.00011494252873567312
78,1|2|3|6,4,445,309,0.6943820224719102,0.6913793103448276,8,6,0.004494382022471988,0.001551724137931032
79,0|1|2|3|6,5,445,313,0.7033707865168539,0.6980459770114943,8,2,0.013483146067415741,0.008218390804597742
80,4|6,2,445,304,0.6831460674157304,0.6830459770114943,1,4,-0.006741573033707815,-0.006781609195402272
81,0|4|6,3,445,307,0.6898876404494382,0.6880459770114943,3,3,0.0,-0.0017816091954022673
82,1|4|6,3,445,311,0.698876404494382,0.6964942528735633,5,1,0.008988764044943864,0.00666666666666671
83,0|1|4|6,4,445,312,0.701123595505618,0.6981609195402299,7,2,0.011235955056179803,0.008333333333333304
84,2|4|6,3,445,305,0.6853932584269663,0.6829310344827586,1,3,-0.004494382022471877,-0.006896551724137945
85,0|2|4|6,4,445,311,0.698876404494382,0.6964942528735633,4,0,0.008988764044943864,0.00666666666666671
86,1|2|4|6,4,445,309,0.6943820224719102,0.6913793103448276,3,1,0.004494382022471988,0.001551724137931032
87,0|1|2|4|6,5,445,312,0.701123595505618,0.6963793103448276,6,1,0.011235955056179803,0.0065517241379310365
88,3|4|6,3,445,301,0.6764044943820224,0.676264367816092,1,7,-0.013483146067415741,-0.013563218390804543
89,0|3|4|6,4,445,310,0.6966292134831461,0.6948275862068966,3,0,0.006741573033707926,0.0050000000000000044
90,1|3|4|6,4,445,312,0.701123595505618,0.6981609195402299,6,1,0.011235955056179803,0.008333333333333304
91,0|1|3|4|6,5,445,312,0.701123595505618,0.6963793103448276,6,1,0.011235955056179803,0.0065517241379310365
92,2|3|4|6,4,445,303,0.6808988764044944,0.6795977011494253,2,6,-0.008988764044943753,-0.010229885057471244
93,0|2|3|4|6,5,445,311,0.698876404494382,0.694712643678161,5,1,0.008988764044943864,0.004885057471264442
94,1|2|3|4|6,5,445,312,0.701123595505618,0.6963793103448276,6,1,0.011235955056179803,0.0065517241379310365
95,0|1|2|3|4|6,6,445,312,0.701123595505618,0.6963793103448276,6,1,0.011235955056179803,0.0065517241379310365
96,5|6,2,445,303,0.6808988764044944,0.68316091954023,1,5,-0.008988764044943753,-0.006666666666666599
97,0|5|6,3,445,307,0.6898876404494382,0.6898275862068965,1,1,0.0,0.0
98,1|5|6,3,445,307,0.6898876404494382,0.6898275862068965,3,3,0.0,0.0
99,0|1|5|6,4,445,309,0.6943820224719102,0.6913793103448276,4,2,0.004494382022471988,0.001551724137931032
100,2|5|6,3,445,306,0.6876404494382022,0.6881609195402298,1,2,-0.0022471910112359383,-0.0016666666666667052
101,0|2|5|6,4,445,308,0.6921348314606741,0.6914942528735633,1,0,0.0022471910112359383,0.0016666666666667052
102,1|2|5|6,4,445,308,0.6921348314606741,0.6914942528735633,2,1,0.0022471910112359383,0.0016666666666667052
103,0|1|2|5|6,5,445,310,0.6966292134831461,0.6930459770114943,4,1,0.006741573033707926,0.003218390804597737
104,3|5|6,3,445,300,0.6741573033707865,0.6781609195402298,1,8,-0.01573033707865168,-0.011666666666666714
105,0|3|5|6,4,445,306,0.6876404494382022,0.6881609195402298,0,1,-0.0022471910112359383,-0.0016666666666667052
106,1|3|5|6,4,445,306,0.6876404494382022,0.6881609195402298,2,3,-0.0022471910112359383,-0.0016666666666667052
107,0|1|3|5|6,5,445,312,0.701123595505618,0.6981609195402299,5,0,0.011235955056179803,0.008333333333333304
108,2|3|5|6,4,445,302,0.6786516853932584,0.6797126436781609,2,7,-0.011235955056179803,-0.010114942528735682
109,0|2|3|5|6,5,445,309,0.6943820224719102,0.6913793103448276,4,2,0.004494382022471988,0.001551724137931032
110,1|2|3|5|6,5,445,306,0.6876404494382022,0.6863793103448276,4,5,-0.0022471910112359383,-0.0034482758620689724
111,0|1|2|3|5|6,6,445,312,0.701123595505618,0.6963793103448276,6,1,0.011235955056179803,0.0065517241379310365
112,4|5|6,3,445,304,0.6831460674157304,0.6848275862068967,0,3,-0.006741573033707815,-0.004999999999999893
113,0|4|5|6,4,445,306,0.6876404494382022,0.6863793103448276,1,2,-0.0022471910112359383,-0.0034482758620689724
114,1|4|5|6,4,445,307,0.6898876404494382,0.6898275862068965,2,2,0.0,0.0
115,0|1|4|5|6,5,445,309,0.6943820224719102,0.6913793103448276,4,2,0.004494382022471988,0.001551724137931032
116,2|4|5|6,4,445,309,0.6943820224719102,0.69316091954023,2,0,0.004494382022471988,0.0033333333333334103
117,0|2|4|5|6,5,445,307,0.6898876404494382,0.6898275862068965,1,1,0.0,0.0
118,1|2|4|5|6,5,445,308,0.6921348314606741,0.6914942528735633,1,0,0.0022471910112359383,0.0016666666666667052
119,0|1|2|4|5|6,6,445,310,0.6966292134831461,0.6930459770114943,4,1,0.006741573033707926,0.003218390804597737
120,3|4|5|6,4,445,307,0.6898876404494382,0.6898275862068965,1,1,0.0,0.0
121,0|3|4|5|6,5,445,308,0.6921348314606741,0.6914942528735633,1,0,0.0022471910112359383,0.0016666666666667052
122,1|3|4|5|6,5,445,307,0.6898876404494382,0.6898275862068965,1,1,0.0,0.0
123,0|1|3|4|5|6,6,445,310,0.6966292134831461,0.6948275862068966,3,0,0.006741573033707926,0.0050000000000000044
124,2|3|4|5|6,5,445,307,0.6898876404494382,0.6898275862068965,1,1,0.0,0.0
125,0|2|3|4|5|6,6,445,309,0.6943820224719102,0.69316091954023,2,0,0.004494382022471988,0.0033333333333334103
126,1|2|3|4|5|6,6,445,309,0.6943820224719102,0.69316091954023,2,0,0.004494382022471988,0.0033333333333334103
127,0|1|2|3|4|5|6,7,445,310,0.6966292134831461,0.6948275862068966,3,0,0.006741573033707926,0.0050000000000000044
128,7,1,445,296,0.6651685393258427,0.6643678160919539,5,16,-0.024719101123595433,-0.025459770114942604
129,0|7,2,445,306,0.6876404494382022,0.6881609195402298,1,2,-0.0022471910112359383,-0.0016666666666667052
130,1|7,2,445,303,0.6808988764044944,0.68316091954023,1,5,-0.008988764044943753,-0.006666666666666599
131,0|1|7,3,445,312,0.701123595505618,0.6963793103448276,6,1,0.011235955056179803,0.0065517241379310365
132,2|7,2,445,300,0.6741573033707865,0.6745977011494253,3,10,-0.01573033707865168,-0.015229885057471249
133,0|2|7,3,445,309,0.6943820224719102,0.69316091954023,3,1,0.004494382022471988,0.0033333333333334103
134,1|2|7,3,445,305,0.6853932584269663,0.684712643678161,3,5,-0.004494382022471877,-0.0051149425287355665
135,0|1|2|7,4,445,313,0.7033707865168539,0.6998275862068966,6,0,0.013483146067415741,0.010000000000000009
136,3|7,2,445,295,0.6629213483146067,0.6644827586206896,3,15,-0.026966292134831482,-0.02534482758620693
137,0|3|7,3,445,307,0.6898876404494382,0.6880459770114943,4,4,0.0,-0.0017816091954022673
138,1|3|7,3,445,302,0.6786516853932584,0.6797126436781609,4,9,-0.011235955056179803,-0.010114942528735682
139,0|1|3|7,4,445,309,0.6943820224719102,0.6913793103448276,5,3,0.004494382022471988,0.001551724137931032
140,2|3|7,3,445,299,0.6719101123595506,0.6729310344827586,3,11,-0.017977528089887618,-0.016896551724137954
141,0|2|3|7,4,445,307,0.6898876404494382,0.6880459770114943,5,5,0.0,-0.0017816091954022673
142,1|2|3|7,4,445,305,0.6853932584269663,0.684712643678161,6,8,-0.004494382022471877,-0.0051149425287355665
143,0|1|2|3|7,5,445,309,0.6943820224719102,0.6913793103448276,5,3,0.004494382022471988,0.001551724137931032
144,4|7,2,445,303,0.6808988764044944,0.6813793103448276,1,5,-0.008988764044943753,-0.008448275862068977
145,0|4|7,3,445,305,0.6853932584269663,0.6864942528735632,0,2,-0.004494382022471877,-0.0033333333333332993
146,1|4|7,3,445,306,0.6876404494382022,0.6881609195402298,0,1,-0.0022471910112359383,-0.0016666666666667052
147,0|1|4|7,4,445,308,0.6921348314606741,0.6897126436781609,3,2,0.0022471910112359383,-0.00011494252873567312
148,2|4|7,3,445,307,0.6898876404494382,0.6898275862068965,2,2,0.0,0.0
149,0|2|4|7,4,445,308,0.6921348314606741,0.6914942528735633,2,1,0.0022471910112359383,0.0016666666666667052
150,1|2|4|7,4,445,308,0.6921348314606741,0.6914942528735633,1,0,0.0022471910112359383,0.0016666666666667052
151,0|1|2|4|7,5,445,309,0.6943820224719102,0.6913793103448276,3,1,0.004494382022471988,0.001551724137931032
152,3|4|7,3,445,302,0.6786516853932584,0.6797126436781609,1,6,-0.011235955056179803,-0.010114942528735682
153,0|3|4|7,4,445,307,0.6898876404494382,0.6898275862068965,1,1,0.0,0.0
154,1|3|4|7,4,445,306,0.6876404494382022,0.6881609195402298,0,1,-0.0022471910112359383,-0.0016666666666667052
155,0|1|3|4|7,5,445,310,0.6966292134831461,0.6948275862068966,3,0,0.006741573033707926,0.0050000000000000044
156,2|3|4|7,4,445,303,0.6808988764044944,0.6813793103448276,2,6,-0.008988764044943753,-0.008448275862068977
157,0|2|3|4|7,5,445,310,0.6966292134831461,0.6948275862068966,3,0,0.006741573033707926,0.0050000000000000044
158,1|2|3|4|7,5,445,307,0.6898876404494382,0.6880459770114943,2,2,0.0,-0.0017816091954022673
159,0|1|2|3|4|7,6,445,311,0.698876404494382,0.6964942528735633,4,0,0.008988764044943864,0.00666666666666671
160,5|7,2,445,300,0.6741573033707865,0.6781609195402298,1,8,-0.01573033707865168,-0.011666666666666714
161,0|5|7,3,445,306,0.6876404494382022,0.6881609195402298,0,1,-0.0022471910112359383,-0.0016666666666667052
162,1|5|7,3,445,301,0.6764044943820224,0.6798275862068965,0,6,-0.013483146067415741,-0.010000000000000009
163,0|1|5|7,4,445,306,0.6876404494382022,0.6863793103448276,1,2,-0.0022471910112359383,-0.0034482758620689724
164,2|5|7,3,445,305,0.6853932584269663,0.6864942528735632,3,5,-0.004494382022471877,-0.0033333333333332993
165,0|2|5|7,4,445,307,0.6898876404494382,0.6898275862068965,1,1,0.0,0.0
166,1|2|5|7,4,445,303,0.6808988764044944,0.68316091954023,0,4,-0.008988764044943753,-0.006666666666666599
167,0|1|2|5|7,5,445,309,0.6943820224719102,0.69316091954023,2,0,0.004494382022471988,0.0033333333333334103
168,3|5|7,3,445,298,0.6696629213483146,0.6748275862068966,1,10,-0.020224719101123556,-0.014999999999999902
169,0|3|5|7,4,445,304,0.6831460674157304,0.6848275862068967,0,3,-0.006741573033707815,-0.004999999999999893
170,1|3|5|7,4,445,303,0.6808988764044944,0.68316091954023,0,4,-0.008988764044943753,-0.006666666666666599
171,0|1|3|5|7,5,445,305,0.6853932584269663,0.6864942528735632,1,3,-0.004494382022471877,-0.0033333333333332993
172,2|3|5|7,4,445,302,0.6786516853932584,0.6797126436781609,2,7,-0.011235955056179803,-0.010114942528735682
173,0|2|3|5|7,5,445,305,0.6853932584269663,0.6864942528735632,1,3,-0.004494382022471877,-0.0033333333333332993
174,1|2|3|5|7,5,445,304,0.6831460674157304,0.6848275862068967,1,4,-0.006741573033707815,-0.004999999999999893
175,0|1|2|3|5|7,6,445,308,0.6921348314606741,0.6914942528735633,3,2,0.0022471910112359383,0.0016666666666667052
176,4|5|7,3,445,303,0.6808988764044944,0.68316091954023,0,4,-0.008988764044943753,-0.006666666666666599
177,0|4|5|7,4,445,305,0.6853932584269663,0.6864942528735632,0,2,-0.004494382022471877,-0.0033333333333332993
178,1|4|5|7,4,445,306,0.6876404494382022,0.6881609195402298,0,1,-0.0022471910112359383,-0.0016666666666667052
179,0|1|4|5|7,5,445,306,0.6876404494382022,0.6863793103448276,1,2,-0.0022471910112359383,-0.0034482758620689724
180,2|4|5|7,4,445,305,0.6853932584269663,0.6864942528735632,0,2,-0.004494382022471877,-0.0033333333333332993
181,0|2|4|5|7,5,445,306,0.6876404494382022,0.6881609195402298,0,1,-0.0022471910112359383,-0.0016666666666667052
182,1|2|4|5|7,5,445,308,0.6921348314606741,0.6914942528735633,1,0,0.0022471910112359383,0.0016666666666667052
183,0|1|2|4|5|7,6,445,309,0.6943820224719102,0.69316091954023,2,0,0.004494382022471988,0.0033333333333334103
184,3|4|5|7,4,445,302,0.6786516853932584,0.6814942528735632,0,5,-0.011235955056179803,-0.008333333333333304
185,0|3|4|5|7,5,445,307,0.6898876404494382,0.6898275862068965,0,0,0.0,0.0
186,1|3|4|5|7,5,445,306,0.6876404494382022,0.6881609195402298,0,1,-0.0022471910112359383,-0.0016666666666667052
187,0|1|3|4|5|7,6,445,309,0.6943820224719102,0.69316091954023,2,0,0.004494382022471988,0.0033333333333334103
188,2|3|4|5|7,5,445,304,0.6831460674157304,0.6848275862068967,0,3,-0.006741573033707815,-0.004999999999999893
189,0|2|3|4|5|7,6,445,307,0.6898876404494382,0.6898275862068965,0,0,0.0,0.0
190,1|2|3|4|5|7,6,445,306,0.6876404494382022,0.6881609195402298,0,1,-0.0022471910112359383,-0.0016666666666667052
191,0|1|2|3|4|5|7,7,445,309,0.6943820224719102,0.69316091954023,2,0,0.004494382022471988,0.0033333333333334103
192,6|7,2,445,301,0.6764044943820224,0.676264367816092,5,11,-0.013483146067415741,-0.013563218390804543
193,0|6|7,3,445,306,0.6876404494382022,0.6863793103448276,2,3,-0.0022471910112359383,-0.0034482758620689724
194,1|6|7,3,445,306,0.6876404494382022,0.6863793103448276,3,4,-0.0022471910112359383,-0.0034482758620689724
195,0|1|6|7,4,445,308,0.6921348314606741,0.6914942528735633,1,0,0.0022471910112359383,0.0016666666666667052
196,2|6|7,3,445,303,0.6808988764044944,0.6795977011494253,4,8,-0.008988764044943753,-0.010229885057471244
197,0|2|6|7,4,445,306,0.6876404494382022,0.6845977011494253,2,3,-0.0022471910112359383,-0.00522988505747124
198,1|2|6|7,4,445,305,0.6853932584269663,0.6829310344827586,3,5,-0.004494382022471877,-0.006896551724137945
199,0|1|2|6|7,5,445,308,0.6921348314606741,0.6897126436781609,3,2,0.0022471910112359383,-0.00011494252873567312
200,3|6|7,3,445,297,0.6674157303370787,0.667816091954023,3,13,-0.022471910112359494,-0.02201149425287352
201,0|3|6|7,4,445,301,0.6764044943820224,0.676264367816092,2,8,-0.013483146067415741,-0.013563218390804543
202,1|3|6|7,4,445,301,0.6764044943820224,0.676264367816092,3,9,-0.013483146067415741,-0.013563218390804543
203,0|1|3|6|7,5,445,308,0.6921348314606741,0.6897126436781609,4,3,0.0022471910112359383,-0.00011494252873567312
204,2|3|6|7,4,445,299,0.6719101123595506,0.6729310344827586,3,11,-0.017977528089887618,-0.016896551724137954
205,0|2|3|6|7,5,445,305,0.6853932584269663,0.6829310344827586,4,6,-0.004494382022471877,-0.006896551724137945
206,1|2|3|6|7,5,445,302,0.6786516853932584,0.6779310344827587,4,9,-0.011235955056179803,-0.011896551724137838
207,0|1|2|3|6|7,6,445,309,0.6943820224719102,0.6913793103448276,5,3,0.004494382022471988,0.001551724137931032
