subset_mask,heads,size,n,correct,acc,ba,rescue,harm,delta_acc,delta_ba
1,0,1,631,454,0.7194928684627575,0.69736355226642,25,4,0.033280507131537185,0.018256904982159372
2,1,1,631,447,0.7083993660855784,0.6858332232060261,25,11,0.022187004754358086,0.00672657592176551
3,0|1,2,631,454,0.7194928684627575,0.69736355226642,25,4,0.033280507131537185,0.018256904982159372
4,2,1,631,441,0.6988906497622821,0.687617285582133,14,6,0.01267828843106178,0.008510638297872353
5,0|2,2,631,446,0.7068145800316957,0.6868111536936699,17,4,0.020602218700475405,0.007704506409409229
6,1|2,2,631,448,0.7099841521394612,0.688938813268138,20,5,0.023771790808240878,0.009832165983877372
7,0|1|2,3,631,450,0.7131537242472267,0.691066472842606,21,4,0.02694136291600635,0.011959825558345405
8,3,1,631,436,0.6909667194928685,0.6822981366459627,15,12,0.004754358161648153,0.0031914893617021045
9,0|3,2,631,443,0.7020602218700476,0.6877031848817232,14,4,0.015847860538827252,0.008596537597462595
10,1|3,2,631,441,0.6988906497622821,0.6855755253072552,16,8,0.01267828843106178,0.006468878022994562
11,0|1|3,3,631,447,0.7083993660855784,0.6899167437557817,19,5,0.022187004754358086,0.010810096471521091
12,2|3,2,631,432,0.6846275752773375,0.6780428174970266,11,12,-0.0015847860538827918,-0.0010638297872340718
13,0|2|3,3,631,444,0.7036450079239303,0.6887670146689573,13,2,0.017432646592709933,0.009660367384696666
14,1|2|3,3,631,443,0.7020602218700476,0.6856614246068455,16,6,0.015847860538827252,0.006554777322584915
15,0|1|2|3,4,631,445,0.705229793977813,0.6877890841813137,16,4,0.019017432646592725,0.008682436897053059
16,4,1,631,434,0.687797147385103,0.6801704770714947,6,5,0.0015847860538826808,0.0010638297872340718
17,0|4,2,631,436,0.6909667194928685,0.6782146160962073,9,6,0.004754358161648153,-0.000892031188053366
18,1|4,2,631,440,0.6973058637083994,0.6845116955200212,12,5,0.011093502377179099,0.005405048235760601
19,0|1|4,3,631,444,0.7036450079239303,0.6887670146689573,16,5,0.017432646592709933,0.009660367384696666
20,2|4,2,631,437,0.6925515055467512,0.6833619664331968,4,0,0.006339144215530834,0.004255319148936176
21,0|2|4,3,631,440,0.6973058637083994,0.6845116955200212,9,2,0.011093502377179099,0.005405048235760601
22,1|2|4,3,631,439,0.6957210776545166,0.6814061054579094,9,3,0.009508716323296307,0.0022994581736487385
23,0|1|2|4,4,631,442,0.7004754358161648,0.6845975948196115,12,3,0.01426307448494446,0.005490947535350843
