subset_mask,heads,size,n,correct,acc,ba,rescue,harm,delta_acc,delta_ba
1,0,1,431,309,0.7169373549883991,0.6977608142493639,18,2,0.037122969837587005,0.0245165394402036
2,1,1,431,304,0.7053364269141531,0.6872773536895673,18,7,0.025522041763341052,0.014033078880407057
3,0|1,2,431,308,0.7146171693735499,0.6960941475826972,17,2,0.03480278422273786,0.022849872773536894
4,2,1,431,299,0.6937354988399071,0.6832442748091603,11,5,0.0139211136890951,0.010000000000000009
5,0|2,2,431,302,0.7006960556844548,0.6839440203562341,11,2,0.02088167053364276,0.010699745547073869
6,1|2,2,431,306,0.7099767981438515,0.6906106870229007,16,3,0.030162412993039456,0.017366412213740468
7,0|1|2,3,431,306,0.7099767981438515,0.6906106870229007,15,2,0.030162412993039456,0.017366412213740468
8,3,1,431,294,0.6821345707656613,0.674910941475827,11,10,0.0023201856148492572,0.0016666666666667052
9,0|3,2,431,302,0.7006960556844548,0.6860941475826972,12,3,0.02088167053364276,0.012849872773536886
10,1|3,2,431,300,0.6960556844547564,0.684910941475827,13,6,0.016241299303944357,0.011666666666666714
11,0|1|3,3,431,304,0.7053364269141531,0.6894274809160306,14,3,0.025522041763341052,0.016183206106870296
12,2|3,2,431,291,0.6751740139211136,0.669910941475827,8,10,-0.004640371229698403,-0.0033333333333332993
13,0|2|3,3,431,302,0.7006960556844548,0.6860941475826972,11,2,0.02088167053364276,0.012849872773536886
14,1|2|3,3,431,300,0.6960556844547564,0.6827608142493639,12,5,0.016241299303944357,0.009516539440203586
15,0|1|2|3,4,431,303,0.703016241299304,0.6877608142493639,12,2,0.023201856148491906,0.01451653944020359
16,4,1,431,294,0.6821345707656613,0.674910941475827,4,3,0.0023201856148492572,0.0016666666666667052
17,0|4,2,431,296,0.6867749419953596,0.6760941475826971,6,3,0.00696055684454755,0.0028498727735368767
18,1|4,2,431,300,0.6960556844547564,0.684910941475827,9,2,0.016241299303944357,0.011666666666666714
19,0|1|4,3,431,302,0.7006960556844548,0.6882442748091603,11,2,0.02088167053364276,0.015000000000000013
20,2|4,2,431,296,0.6867749419953596,0.6782442748091603,3,0,0.00696055684454755,0.0050000000000000044
21,0|2|4,3,431,298,0.691415313225058,0.6794274809160306,6,1,0.011600928074245953,0.006183206106870287
22,1|2|4,3,431,299,0.6937354988399071,0.6810941475826973,7,1,0.0139211136890951,0.007849872773536992
23,0|1|2|4,4,431,300,0.6960556844547564,0.6827608142493639,8,1,0.016241299303944357,0.009516539440203586
24,3|4,2,431,292,0.6774941995359629,0.6694274809160305,3,4,-0.002320185614849146,-0.003816793893129722
25,0|3|4,3,431,299,0.6937354988399071,0.6832442748091603,6,0,0.0139211136890951,0.010000000000000009
26,1|3|4,3,431,300,0.6960556844547564,0.68706106870229,8,1,0.016241299303944357,0.01381679389312973
27,0|1|3|4,4,431,302,0.7006960556844548,0.6882442748091603,10,1,0.02088167053364276,0.015000000000000013
28,2|3|4,3,431,295,0.6844547563805105,0.6744274809160304,6,4,0.004640371229698403,0.0011832061068701716
29,0|2|3|4,4,431,300,0.6960556844547564,0.6827608142493639,8,1,0.016241299303944357,0.009516539440203586
30,1|2|3|4,4,431,297,0.6890951276102089,0.6777608142493639,6,2,0.009280742459396807,0.004516539440203582
31,0|1|2|3|4,5,431,299,0.6937354988399071,0.678944020356234,8,2,0.0139211136890951,0.0056997455470737535
32,5,1,431,288,0.6682134570765661,0.664910941475827,1,6,-0.011600928074245953,-0.008333333333333304
33,0|5,2,431,295,0.6844547563805105,0.6744274809160304,4,2,0.004640371229698403,0.0011832061068701716
34,1|5,2,431,296,0.6867749419953596,0.6782442748091603,8,5,0.00696055684454755,0.0050000000000000044
35,0|1|5,3,431,301,0.6983758700696056,0.6865776081424937,10,2,0.018561484918793503,0.01333333333333342
36,2|5,2,431,293,0.679814385150812,0.6732442748091603,1,1,0.0,0.0
37,0|2|5,3,431,298,0.691415313225058,0.6815776081424936,5,0,0.011600928074245953,0.008333333333333304
38,1|2|5,3,431,297,0.6890951276102089,0.679910941475827,6,2,0.009280742459396807,0.00666666666666671
39,0|1|2|5,4,431,300,0.6960556844547564,0.6827608142493639,8,1,0.016241299303944357,0.009516539440203586
40,3|5,2,431,286,0.6635730858468677,0.6615776081424936,0,7,-0.016241299303944357,-0.011666666666666714
41,0|3|5,3,431,298,0.691415313225058,0.6815776081424936,6,1,0.011600928074245953,0.008333333333333304
42,1|3|5,3,431,297,0.6890951276102089,0.6820610687022901,8,4,0.009280742459396807,0.008816793893129837
43,0|1|3|5,4,431,300,0.6960556844547564,0.6827608142493639,9,2,0.016241299303944357,0.009516539440203586
44,2|3|5,3,431,291,0.6751740139211136,0.6677608142493638,4,6,-0.004640371229698403,-0.005483460559796427
45,0|2|3|5,4,431,296,0.6867749419953596,0.6782442748091603,4,1,0.00696055684454755,0.0050000000000000044
46,1|2|3|5,4,431,296,0.6867749419953596,0.6760941475826971,7,4,0.00696055684454755,0.0028498727735368767
47,0|1|2|3|5,5,431,300,0.6960556844547564,0.684910941475827,8,1,0.016241299303944357,0.011666666666666714
48,4|5,2,431,291,0.6751740139211136,0.6677608142493638,1,3,-0.004640371229698403,-0.005483460559796427
49,0|4|5,3,431,295,0.6844547563805105,0.6744274809160304,4,2,0.004640371229698403,0.0011832061068701716
50,1|4|5,3,431,297,0.6890951276102089,0.679910941475827,6,2,0.009280742459396807,0.00666666666666671
51,0|1|4|5,4,431,297,0.6890951276102089,0.679910941475827,6,2,0.009280742459396807,0.00666666666666671
52,2|4|5,3,431,293,0.679814385150812,0.6732442748091603,1,1,0.0,0.0
53,0|2|4|5,4,431,294,0.6821345707656613,0.6727608142493638,3,2,0.0023201856148492572,-0.00048346055979642255
54,1|2|4|5,4,431,295,0.6844547563805105,0.6744274809160304,4,2,0.004640371229698403,0.0011832061068701716
55,0|1|2|4|5,5,431,297,0.6890951276102089,0.6777608142493639,6,2,0.009280742459396807,0.004516539440203582
56,3|4|5,3,431,292,0.6774941995359629,0.6715776081424936,1,2,-0.002320185614849146,-0.0016666666666667052
57,0|3|4|5,4,431,297,0.6890951276102089,0.679910941475827,5,1,0.009280742459396807,0.00666666666666671
58,1|3|4|5,4,431,297,0.6890951276102089,0.6820610687022901,5,1,0.009280742459396807,0.008816793893129837
59,0|1|3|4|5,5,431,298,0.691415313225058,0.6815776081424936,7,2,0.011600928074245953,0.008333333333333304
60,2|3|4|5,4,431,293,0.679814385150812,0.6732442748091603,1,1,0.0,0.0
61,0|2|3|4|5,5,431,297,0.6890951276102089,0.679910941475827,4,0,0.009280742459396807,0.00666666666666671
62,1|2|3|4|5,5,431,298,0.691415313225058,0.6815776081424936,5,0,0.011600928074245953,0.008333333333333304
63,0|1|2|3|4|5,6,431,300,0.6960556844547564,0.684910941475827,7,0,0.016241299303944357,0.011666666666666714
64,6,1,431,289,0.6705336426914154,0.6601272264631043,4,8,-0.009280742459396696,-0.013117048346055982
65,0|6,2,431,297,0.6890951276102089,0.6777608142493639,5,1,0.009280742459396807,0.004516539440203582
66,1|6,2,431,296,0.6867749419953596,0.6760941475826971,6,3,0.00696055684454755,0.0028498727735368767
67,0|1|6,3,431,304,0.7053364269141531,0.6915776081424936,12,1,0.025522041763341052,0.018333333333333313
68,2|6,2,431,291,0.6751740139211136,0.6656106870229007,4,6,-0.004640371229698403,-0.007633587786259555
69,0|2|6,3,431,298,0.691415313225058,0.6794274809160306,6,1,0.011600928074245953,0.006183206106870287
70,1|2|6,3,431,299,0.6937354988399071,0.6810941475826973,8,2,0.0139211136890951,0.007849872773536992
71,0|1|2|6,4,431,301,0.6983758700696056,0.6822773536895674,10,2,0.018561484918793503,0.009033078880407164
72,3|6,2,431,286,0.6635730858468677,0.6572773536895674,4,11,-0.016241299303944357,-0.01596692111959286
73,0|3|6,3,431,294,0.6821345707656613,0.6727608142493638,5,4,0.0023201856148492572,-0.00048346055979642255
74,1|3|6,3,431,296,0.6867749419953596,0.6782442748091603,9,6,0.00696055684454755,0.0050000000000000044
75,0|1|3|6,4,431,299,0.6937354988399071,0.6810941475826973,8,2,0.0139211136890951,0.007849872773536992
76,2|3|6,3,431,288,0.6682134570765661,0.6606106870229007,5,10,-0.011600928074245953,-0.01263358778625956
77,0|2|3|6,4,431,294,0.6821345707656613,0.6727608142493638,5,4,0.0023201856148492572,-0.00048346055979642255
78,1|2|3|6,4,431,295,0.6844547563805105,0.6744274809160304,8,6,0.004640371229698403,0.0011832061068701716
79,0|1|2|3|6,5,431,299,0.6937354988399071,0.6810941475826973,8,2,0.0139211136890951,0.007849872773536992
