subset_mask,heads,size,n,correct,acc,ba,rescue,harm,delta_acc,delta_ba
1,0,1,613,438,0.7145187601957586,0.6824654069334921,25,3,0.03588907014681886,0.020971581609879553
2,1,1,613,431,0.7030995106035889,0.6701532510043149,25,10,0.02446982055464919,0.008659425680702326
3,0|1,2,613,438,0.7145187601957586,0.6824654069334921,25,3,0.03588907014681886,0.020971581609879553
4,2,1,613,424,0.6916802610114192,0.6700044636214849,14,6,0.013050570962479524,0.008510638297872353
5,0|2,2,613,430,0.7014681892332789,0.6715220949263503,17,3,0.022838499184339223,0.010028269602737727
6,1|2,2,613,432,0.7047308319738989,0.6736497545008183,20,4,0.02610114192495916,0.01215592917720576
7,0|1|2,3,613,434,0.7079934747145188,0.6757774140752864,21,3,0.029363784665579096,0.014283588751673792
8,3,1,613,419,0.6835236541598695,0.6646853146853147,15,12,0.004893964110929794,0.0031914893617021045
9,0|3,2,613,426,0.6949429037520392,0.6696994494866835,14,4,0.01631321370309946,0.008205624163070913
10,1|3,2,613,425,0.6933115823817292,0.6710682934087189,16,7,0.014681892332789492,0.009574468085106314
11,0|1|3,3,613,431,0.7030995106035889,0.6750185984228538,19,4,0.02446982055464919,0.013524773099241272
12,2|3,2,613,415,0.6769983686786297,0.6604299955363786,11,12,-0.0016313213703099683,-0.0010638297872339608
13,0|2|3,3,613,427,0.6965742251223491,0.6707632792739175,13,2,0.01794453507340943,0.009269453950304984
14,1|2|3,3,613,427,0.6965742251223491,0.6707632792739175,16,5,0.01794453507340943,0.009269453950304984
15,0|1|2|3,4,613,429,0.6998368678629691,0.6728909388483857,16,3,0.021207177814029365,0.011397113524773128
16,4,1,613,417,0.6802610114192496,0.6625576551108465,6,5,0.0016313213703098572,0.0010638297872339608
17,0|4,2,613,420,0.6851549755301795,0.6633164707632793,9,5,0.006525285481239762,0.0018226454396667036
18,1|4,2,613,424,0.6916802610114192,0.6700044636214849,12,4,0.013050570962479524,0.008510638297872353
19,0|1|4,3,613,428,0.6982055464926591,0.6742597827704211,16,4,0.019575856443719397,0.012765957446808529
20,2|4,2,613,420,0.6851549755301795,0.6657491444725487,4,0,0.006525285481239762,0.004255319148936176
21,0|2|4,3,613,423,0.6900489396411092,0.6665079601249815,9,2,0.011419249592169556,0.005014134801368919
22,1|2|4,3,613,423,0.6900489396411092,0.6665079601249815,9,2,0.011419249592169556,0.005014134801368919
23,0|1|2|4,4,613,426,0.6949429037520392,0.6696994494866835,12,2,0.01631321370309946,0.008205624163070913
24,3|4,2,613,413,0.6737357259380098,0.655869662252641,3,6,-0.004893964110929905,-0.005624163070971577
25,0|3|4,3,613,421,0.6867862969004894,0.6668129742597828,6,1,0.00815660685154973,0.005319148936170248
26,1|3|4,3,613,424,0.6916802610114192,0.6724371373307543,10,2,0.013050570962479524,0.010943312007141714
27,0|1|3|4,4,613,426,0.6949429037520392,0.672132123195953,12,2,0.01631321370309946,0.010638297872340385
28,2|3|4,3,613,418,0.6818923327895595,0.6611888111888111,6,4,0.0032626427406198255,-0.00030501413480144013
29,0|2|3|4,4,613,422,0.6884176182707994,0.6654441303377474,8,2,0.009787928221859699,0.003950305014134847
30,1|2|3|4,4,613,420,0.6851549755301795,0.6633164707632793,7,3,0.006525285481239762,0.0018226454396667036
31,0|1|2|3|4,5,613,423,0.6900489396411092,0.664075286415712,10,3,0.011419249592169556,0.0025814610920994463
32,5,1,613,410,0.6688417618270799,0.6551108466002082,2,8,-0.00978792822185981,-0.00638297872340432
33,0|5,2,613,419,0.6835236541598695,0.6622526409760452,6,3,0.004893964110929794,0.0007588156524326317
34,1|5,2,613,420,0.6851549755301795,0.6657491444725487,10,6,0.006525285481239762,0.004255319148936176
35,0|1|5,3,613,427,0.6965742251223491,0.673195952983187,14,3,0.01794453507340943,0.011702127659574457
36,2|5,2,613,416,0.6786296900489397,0.6614938253236126,2,2,0.0,0.0
37,0|2|5,3,613,422,0.6884176182707994,0.6678768040470169,7,1,0.009787928221859699,0.00638297872340432
38,1|2|5,3,613,421,0.6867862969004894,0.6668129742597828,8,3,0.00815660685154973,0.005319148936170248
39,0|1|2|5,4,613,425,0.6933115823817292,0.6686356196994495,11,2,0.014681892332789492,0.007141794375836952
40,3|5,2,613,407,0.6639477977161501,0.6519193572385062,0,9,-0.014681892332789603,-0.009574468085106314
41,0|3|5,3,613,421,0.6867862969004894,0.6668129742597828,7,2,0.00815660685154973,0.005319148936170248
42,1|3|5,3,613,421,0.6867862969004894,0.6692456479690523,10,5,0.00815660685154973,0.007751822645439721
43,0|1|3|5,4,613,424,0.6916802610114192,0.6675717899122154,11,3,0.013050570962479524,0.00607796458860288
44,2|3|5,3,613,413,0.6737357259380098,0.655869662252641,4,7,-0.004893964110929905,-0.005624163070971577
45,0|2|3|5,4,613,418,0.6818923327895595,0.6636214848980806,4,2,0.0032626427406198255,0.0021276595744680327
46,1|2|3|5,4,613,420,0.6851549755301795,0.6633164707632793,9,5,0.006525285481239762,0.0018226454396667036
47,0|1|2|3|5,5,613,424,0.6916802610114192,0.6700044636214849,10,2,0.013050570962479524,0.008510638297872353
48,4|5,2,613,413,0.6737357259380098,0.655869662252641,2,5,-0.004893964110929905,-0.005624163070971577
49,0|4|5,3,613,419,0.6835236541598695,0.6622526409760452,7,4,0.004893964110929794,0.0007588156524326317
50,1|4|5,3,613,419,0.6835236541598695,0.6646853146853147,7,4,0.004893964110929794,0.0031914893617021045
51,0|1|4|5,4,613,421,0.6867862969004894,0.6668129742597828,9,4,0.00815660685154973,0.005319148936170248
52,2|4|5,3,613,416,0.6786296900489397,0.6614938253236126,2,2,0.0,0.0
53,0|2|4|5,4,613,417,0.6802610114192496,0.6601249814015772,4,3,0.0016313213703098572,-0.001368843922035401
54,1|2|4|5,4,613,418,0.6818923327895595,0.6611888111888111,5,3,0.0032626427406198255,-0.00030501413480144013
55,0|1|2|4|5,5,613,421,0.6867862969004894,0.6643803005505133,8,3,0.00815660685154973,0.0028864752269007754
56,3|4|5,3,613,413,0.6737357259380098,0.6583023359619105,1,4,-0.004893964110929905,-0.0031914893617021045
57,0|3|4|5,4,613,420,0.6851549755301795,0.6657491444725487,6,2,0.006525285481239762,0.004255319148936176
58,1|3|4|5,4,613,421,0.6867862969004894,0.6692456479690523,7,2,0.00815660685154973,0.007751822645439721
59,0|1|3|4|5,5,613,422,0.6884176182707994,0.6678768040470169,9,3,0.009787928221859699,0.00638297872340432
60,2|3|4|5,4,613,415,0.6769983686786297,0.6604299955363786,1,2,-0.0016313213703099683,-0.0010638297872339608
61,0|2|3|4|5,5,613,420,0.6851549755301795,0.6657491444725487,5,1,0.006525285481239762,0.004255319148936176
62,1|2|3|4|5,5,613,422,0.6884176182707994,0.6678768040470169,7,1,0.009787928221859699,0.00638297872340432
63,0|1|2|3|4|5,6,613,424,0.6916802610114192,0.6700044636214849,9,1,0.013050570962479524,0.008510638297872353
64,6,1,613,409,0.66721044045677,0.646748995685166,4,11,-0.011419249592169667,-0.014744829638446588
65,0|6,2,613,421,0.6867862969004894,0.6643803005505133,6,1,0.00815660685154973,0.0028864752269007754
66,1|6,2,613,421,0.6867862969004894,0.6643803005505133,8,3,0.00815660685154973,0.0028864752269007754
67,0|1|6,3,613,430,0.7014681892332789,0.6763874423448892,16,2,0.022838499184339223,0.014893617021276673
68,2|6,2,613,413,0.6737357259380098,0.6534369885433715,4,7,-0.004893964110929905,-0.00805683678024105
69,0|2|6,3,613,421,0.6867862969004894,0.6643803005505133,6,1,0.00815660685154973,0.0028864752269007754
70,1|2|6,3,613,424,0.6916802610114192,0.6675717899122154,10,2,0.013050570962479524,0.00607796458860288
71,0|1|2|6,4,613,425,0.6933115823817292,0.66620294599018,12,3,0.014681892332789492,0.004709120666567479
72,3|6,2,613,407,0.6639477977161501,0.6470540098199673,4,13,-0.014681892332789603,-0.014439815503645259
73,0|3|6,3,613,417,0.6802610114192496,0.6601249814015772,5,4,0.0016313213703098572,-0.001368843922035401
74,1|3|6,3,613,420,0.6851549755301795,0.6657491444725487,10,6,0.006525285481239762,0.004255319148936176
75,0|1|3|6,4,613,422,0.6884176182707994,0.6654441303377474,9,3,0.009787928221859699,0.003950305014134847
76,2|3|6,3,613,411,0.6704730831973899,0.6513093289689035,6,11,-0.008156606851549841,-0.010184496354709083
77,0|2|3|6,4,613,417,0.6802610114192496,0.6601249814015772,5,4,0.0016313213703098572,-0.001368843922035401
78,1|2|3|6,4,613,419,0.6835236541598695,0.6622526409760452,9,6,0.004893964110929794,0.0007588156524326317
79,0|1|2|3|6,5,613,423,0.6900489396411092,0.6665079601249815,9,2,0.011419249592169556,0.005014134801368919
80,4|6,2,613,411,0.6704730831973899,0.6537420026781728,2,7,-0.008156606851549841,-0.007751822645439721
81,0|4|6,3,613,416,0.6786296900489397,0.6590611516143431,5,5,0.0,-0.002432673709269473
82,1|4|6,3,613,420,0.6851549755301795,0.6657491444725487,7,3,0.006525285481239762,0.004255319148936176
83,0|1|4|6,4,613,422,0.6884176182707994,0.6678768040470169,10,4,0.009787928221859699,0.00638297872340432
84,2|4|6,3,613,413,0.6737357259380098,0.6534369885433715,1,4,-0.004893964110929905,-0.00805683678024105
85,0|2|4|6,4,613,421,0.6867862969004894,0.6668129742597828,5,0,0.00815660685154973,0.005319148936170248
86,1|2|4|6,4,613,419,0.6835236541598695,0.6622526409760452,4,1,0.004893964110929794,0.0007588156524326317
87,0|1|2|4|6,5,613,422,0.6884176182707994,0.6654441303377474,8,2,0.009787928221859699,0.003950305014134847
88,3|4|6,3,613,409,0.66721044045677,0.6491816693944354,1,8,-0.011419249592169667,-0.012312155929177115
89,0|3|4|6,4,613,419,0.6835236541598695,0.6646853146853147,3,0,0.004893964110929794,0.0031914893617021045
90,1|3|4|6,4,613,421,0.6867862969004894,0.6668129742597828,6,1,0.00815660685154973,0.005319148936170248
91,0|1|3|4|6,5,613,422,0.6884176182707994,0.6654441303377474,8,2,0.009787928221859699,0.003950305014134847
92,2|3|4|6,4,613,411,0.6704730831973899,0.6513093289689035,2,7,-0.008156606851549841,-0.010184496354709083
93,0|2|3|4|6,5,613,420,0.6851549755301795,0.6633164707632793,5,1,0.006525285481239762,0.0018226454396667036
94,1|2|3|4|6,5,613,421,0.6867862969004894,0.6643803005505133,6,1,0.00815660685154973,0.0028864752269007754
95,0|1|2|3|4|6,6,613,421,0.6867862969004894,0.6643803005505133,7,2,0.00815660685154973,0.0028864752269007754
96,5|6,2,613,411,0.6704730831973899,0.6561746763874423,2,7,-0.008156606851549841,-0.005319148936170248
97,0|5|6,3,613,416,0.6786296900489397,0.6614938253236126,2,2,0.0,0.0
98,1|5|6,3,613,416,0.6786296900489397,0.6614938253236126,4,4,0.0,0.0
99,0|1|5|6,4,613,419,0.6835236541598695,0.6622526409760452,6,3,0.004893964110929794,0.0007588156524326317
100,2|5|6,3,613,415,0.6769983686786297,0.6604299955363786,2,3,-0.0016313213703099683,-0.0010638297872339608
101,0|2|5|6,4,613,418,0.6818923327895595,0.6636214848980806,2,0,0.0032626427406198255,0.0021276595744680327
102,1|2|5|6,4,613,418,0.6818923327895595,0.6636214848980806,3,1,0.0032626427406198255,0.0021276595744680327
103,0|1|2|5|6,5,613,420,0.6851549755301795,0.6633164707632793,6,2,0.006525285481239762,0.0018226454396667036
104,3|5|6,3,613,408,0.6655791190864601,0.6529831870257402,1,9,-0.013050570962479635,-0.008510638297872353
105,0|3|5|6,4,613,414,0.6753670473083198,0.6593661657491445,0,2,-0.0032626427406199365,-0.0021276595744680327
106,1|3|5|6,4,613,417,0.6802610114192496,0.6625576551108465,4,3,0.0016313213703098572,0.0010638297872339608
107,0|1|3|5|6,5,613,422,0.6884176182707994,0.6678768040470169,7,1,0.009787928221859699,0.00638297872340432
108,2|3|5|6,4,613,410,0.6688417618270799,0.6526781728909389,2,8,-0.00978792822185981,-0.008815652432673682
109,0|2|3|5|6,5,613,418,0.6818923327895595,0.6611888111888111,4,2,0.0032626427406198255,-0.00030501413480144013
110,1|2|3|5|6,5,613,416,0.6786296900489397,0.6590611516143431,5,5,0.0,-0.002432673709269473
111,0|1|2|3|5|6,6,613,422,0.6884176182707994,0.6654441303377474,8,2,0.009787928221859699,0.003950305014134847
112,4|5|6,3,613,410,0.6688417618270799,0.6551108466002082,1,7,-0.00978792822185981,-0.00638297872340432
113,0|4|5|6,4,613,415,0.6769983686786297,0.6579973218271091,3,4,-0.0016313213703099683,-0.0034965034965034336
114,1|4|5|6,4,613,415,0.6769983686786297,0.6604299955363786,3,4,-0.0016313213703099683,-0.0010638297872339608
115,0|1|4|5|6,5,613,419,0.6835236541598695,0.6622526409760452,6,3,0.004893964110929794,0.0007588156524326317
116,2|4|5|6,4,613,418,0.6818923327895595,0.6636214848980806,3,1,0.0032626427406198255,0.0021276595744680327
117,0|2|4|5|6,5,613,416,0.6786296900489397,0.6614938253236126,2,2,0.0,0.0
118,1|2|4|5|6,5,613,417,0.6802610114192496,0.6625576551108465,2,1,0.0016313213703098572,0.0010638297872339608
119,0|1|2|4|5|6,6,613,419,0.6835236541598695,0.6622526409760452,5,2,0.004893964110929794,0.0007588156524326317
120,3|4|5|6,4,613,415,0.6769983686786297,0.6604299955363786,1,2,-0.0016313213703099683,-0.0010638297872339608
121,0|3|4|5|6,5,613,416,0.6786296900489397,0.6614938253236126,1,1,0.0,0.0
122,1|3|4|5|6,5,613,416,0.6786296900489397,0.6614938253236126,2,2,0.0,0.0
123,0|1|3|4|5|6,6,613,419,0.6835236541598695,0.6646853146853147,4,1,0.004893964110929794,0.0031914893617021045
124,2|3|4|5|6,5,613,415,0.6769983686786297,0.6604299955363786,1,2,-0.0016313213703099683,-0.0010638297872339608
125,0|2|3|4|5|6,6,613,418,0.6818923327895595,0.6636214848980806,2,0,0.0032626427406198255,0.0021276595744680327
126,1|2|3|4|5|6,6,613,419,0.6835236541598695,0.6646853146853147,3,0,0.004893964110929794,0.0031914893617021045
127,0|1|2|3|4|5|6,7,613,419,0.6835236541598695,0.6646853146853147,4,1,0.004893964110929794,0.0031914893617021045
128,7,1,613,398,0.6492659053833605,0.6326141943163219,6,24,-0.029363784665579207,-0.02887963100729063
129,0|7,2,613,414,0.6753670473083198,0.6593661657491445,1,3,-0.0032626427406199365,-0.0021276595744680327
130,1|7,2,613,411,0.6704730831973899,0.6561746763874423,1,6,-0.008156606851549841,-0.005319148936170248
131,0|1|7,3,613,421,0.6867862969004894,0.6643803005505133,7,2,0.00815660685154973,0.0028864752269007754
132,2|7,2,613,405,0.6606851549755302,0.6449263502454992,3,14,-0.01794453507340954,-0.016567475078113403
133,0|2|7,3,613,417,0.6802610114192496,0.6625576551108465,3,2,0.0016313213703098572,0.0010638297872339608
134,1|2|7,3,613,414,0.6753670473083198,0.656933492039875,3,5,-0.0032626427406199365,-0.0045603332837375055
135,0|1|2|7,4,613,422,0.6884176182707994,0.6678768040470169,6,0,0.009787928221859699,0.00638297872340432
136,3|7,2,613,399,0.6508972267536705,0.6361106978128255,3,20,-0.02773246329526924,-0.025383127510787085
137,0|3|7,3,613,415,0.6769983686786297,0.6579973218271091,4,5,-0.0016313213703099683,-0.0034965034965034336
138,1|3|7,3,613,410,0.6688417618270799,0.6526781728909389,4,10,-0.00978792822185981,-0.008815652432673682
139,0|1|3|7,4,613,419,0.6835236541598695,0.6622526409760452,6,3,0.004893964110929794,0.0007588156524326317
140,2|3|7,3,613,405,0.6606851549755302,0.6449263502454992,3,14,-0.01794453507340954,-0.016567475078113403
141,0|2|3|7,4,613,416,0.6786296900489397,0.6590611516143431,5,5,0.0,-0.002432673709269473
142,1|2|3|7,4,613,414,0.6753670473083198,0.656933492039875,6,8,-0.0032626427406199365,-0.0045603332837375055
143,0|1|2|3|7,5,613,419,0.6835236541598695,0.6622526409760452,6,3,0.004893964110929794,0.0007588156524326317
144,4|7,2,613,407,0.6639477977161501,0.6494866835292368,1,10,-0.014681892332789603,-0.012007141794375786
145,0|4|7,3,613,412,0.6721044045676998,0.6572385061746764,0,4,-0.006525285481239873,-0.004255319148936176
146,1|4|7,3,613,415,0.6769983686786297,0.6604299955363786,0,1,-0.0016313213703099683,-0.0010638297872339608
147,0|1|4|7,4,613,417,0.6802610114192496,0.6601249814015772,4,3,0.0016313213703098572,-0.001368843922035401
148,2|4|7,3,613,415,0.6769983686786297,0.6604299955363786,2,3,-0.0016313213703099683,-0.0010638297872339608
149,0|2|4|7,4,613,417,0.6802610114192496,0.6625576551108465,2,1,0.0016313213703098572,0.0010638297872339608
150,1|2|4|7,4,613,417,0.6802610114192496,0.6625576551108465,1,0,0.0016313213703098572,0.0010638297872339608
151,0|1|2|4|7,5,613,418,0.6818923327895595,0.6611888111888111,4,2,0.0032626427406198255,-0.00030501413480144013
152,3|4|7,3,613,408,0.6655791190864601,0.6505505133164708,1,9,-0.013050570962479635,-0.010943312007141714
153,0|3|4|7,4,613,416,0.6786296900489397,0.6614938253236126,1,1,0.0,0.0
154,1|3|4|7,4,613,415,0.6769983686786297,0.6604299955363786,0,1,-0.0016313213703099683,-0.0010638297872339608
155,0|1|3|4|7,5,613,418,0.6818923327895595,0.6636214848980806,3,1,0.0032626427406198255,0.0021276595744680327
156,2|3|4|7,4,613,411,0.6704730831973899,0.6537420026781728,2,7,-0.008156606851549841,-0.007751822645439721
157,0|2|3|4|7,5,613,419,0.6835236541598695,0.6646853146853147,3,0,0.004893964110929794,0.0031914893617021045
158,1|2|3|4|7,5,613,416,0.6786296900489397,0.6590611516143431,2,2,0.0,-0.002432673709269473
159,0|1|2|3|4|7,6,613,420,0.6851549755301795,0.6657491444725487,4,0,0.006525285481239762,0.004255319148936176
160,5|7,2,613,405,0.6606851549755302,0.6497916976640381,1,12,-0.01794453507340954,-0.011702127659574457
161,0|5|7,3,613,413,0.6737357259380098,0.6583023359619105,0,3,-0.004893964110929905,-0.0031914893617021045
162,1|5|7,3,613,408,0.6655791190864601,0.6529831870257402,1,9,-0.013050570962479635,-0.008510638297872353
163,0|1|5|7,4,613,415,0.6769983686786297,0.6579973218271091,2,3,-0.0016313213703099683,-0.0034965034965034336
164,2|5|7,3,613,412,0.6721044045676998,0.6572385061746764,3,7,-0.006525285481239873,-0.004255319148936176
165,0|2|5|7,4,613,416,0.6786296900489397,0.6614938253236126,1,1,0.0,0.0
166,1|2|5|7,4,613,413,0.6737357259380098,0.6583023359619105,1,4,-0.004893964110929905,-0.0031914893617021045
167,0|1|2|5|7,5,613,418,0.6818923327895595,0.6636214848980806,3,1,0.0032626427406198255,0.0021276595744680327
168,3|5|7,3,613,404,0.6590538336052202,0.648727867876804,1,13,-0.019575856443719508,-0.012765957446808529
169,0|3|5|7,4,613,412,0.6721044045676998,0.6572385061746764,0,4,-0.006525285481239873,-0.004255319148936176
170,1|3|5|7,4,613,411,0.6704730831973899,0.6561746763874423,0,5,-0.008156606851549841,-0.005319148936170248
171,0|1|3|5|7,5,613,413,0.6737357259380098,0.6583023359619105,1,4,-0.004893964110929905,-0.0031914893617021045
172,2|3|5|7,4,613,409,0.66721044045677,0.6516143431037048,2,9,-0.011419249592169667,-0.009879482219907754
173,0|2|3|5|7,5,613,414,0.6753670473083198,0.6593661657491445,1,3,-0.0032626427406199365,-0.0021276595744680327
174,1|2|3|5|7,5,613,413,0.6737357259380098,0.6583023359619105,1,4,-0.004893964110929905,-0.0031914893617021045
175,0|1|2|3|5|7,6,613,416,0.6786296900489397,0.6614938253236126,3,3,0.0,0.0
176,4|5|7,3,613,407,0.6639477977161501,0.6519193572385062,0,9,-0.014681892332789603,-0.009574468085106314
177,0|4|5|7,4,613,413,0.6737357259380098,0.6583023359619105,1,4,-0.004893964110929905,-0.0031914893617021045
178,1|4|5|7,4,613,415,0.6769983686786297,0.6604299955363786,1,2,-0.0016313213703099683,-0.0010638297872339608
179,0|1|4|5|7,5,613,415,0.6769983686786297,0.6579973218271091,2,3,-0.0016313213703099683,-0.0034965034965034336
180,2|4|5|7,4,613,413,0.6737357259380098,0.6583023359619105,0,3,-0.004893964110929905,-0.0031914893617021045
181,0|2|4|5|7,5,613,414,0.6753670473083198,0.6593661657491445,0,2,-0.0032626427406199365,-0.0021276595744680327
182,1|2|4|5|7,5,613,417,0.6802610114192496,0.6625576551108465,2,1,0.0016313213703098572,0.0010638297872339608
183,0|1|2|4|5|7,6,613,418,0.6818923327895595,0.6636214848980806,3,1,0.0032626427406198255,0.0021276595744680327
184,3|4|5|7,4,613,409,0.66721044045677,0.6540470168129743,0,7,-0.011419249592169667,-0.007446808510638281
185,0|3|4|5|7,5,613,415,0.6769983686786297,0.6604299955363786,0,1,-0.0016313213703099683,-0.0010638297872339608
186,1|3|4|5|7,5,613,414,0.6753670473083198,0.6593661657491445,0,2,-0.0032626427406199365,-0.0021276595744680327
187,0|1|3|4|5|7,6,613,418,0.6818923327895595,0.6636214848980806,3,1,0.0032626427406198255,0.0021276595744680327
188,2|3|4|5|7,5,613,412,0.6721044045676998,0.6572385061746764,0,4,-0.006525285481239873,-0.004255319148936176
189,0|2|3|4|5|7,6,613,416,0.6786296900489397,0.6614938253236126,0,0,0.0,0.0
190,1|2|3|4|5|7,6,613,415,0.6769983686786297,0.6604299955363786,0,1,-0.0016313213703099683,-0.0010638297872339608
191,0|1|2|3|4|5|7,7,613,417,0.6802610114192496,0.6625576551108465,2,1,0.0016313213703098572,0.0010638297872339608
192,6|7,2,613,404,0.6590538336052202,0.6438625204582651,5,17,-0.019575856443719508,-0.017631304865347475
193,0|6|7,3,613,412,0.6721044045676998,0.6548058324654069,2,6,-0.006525285481239873,-0.006687992858205649
194,1|6|7,3,613,412,0.6721044045676998,0.6548058324654069,3,7,-0.006525285481239873,-0.006687992858205649
195,0|1|6|7,4,613,416,0.6786296900489397,0.6614938253236126,1,1,0.0,0.0
196,2|6|7,3,613,408,0.6655791190864601,0.6481178396072014,4,12,-0.013050570962479635,-0.013375985716411187
197,0|2|6|7,4,613,413,0.6737357259380098,0.6534369885433715,2,5,-0.004893964110929905,-0.00805683678024105
198,1|2|6|7,4,613,414,0.6753670473083198,0.6545008183306056,3,5,-0.0032626427406199365,-0.006993006993006978
199,0|1|2|6|7,5,613,417,0.6802610114192496,0.6601249814015772,3,2,0.0016313213703098572,-0.001368843922035401
200,3|6|7,3,613,402,0.6557911908646004,0.6393021871745277,3,17,-0.022838499184339334,-0.02219163814908487
201,0|3|6|7,4,613,407,0.6639477977161501,0.6470540098199673,2,11,-0.014681892332789603,-0.014439815503645259
202,1|3|6|7,4,613,407,0.6639477977161501,0.6470540098199673,3,12,-0.014681892332789603,-0.014439815503645259
203,0|1|3|6|7,5,613,417,0.6802610114192496,0.6601249814015772,4,3,0.0016313213703098572,-0.001368843922035401
204,2|3|6|7,4,613,404,0.6590538336052202,0.6438625204582651,3,15,-0.019575856443719508,-0.017631304865347475
205,0|2|3|6|7,5,613,413,0.6737357259380098,0.6534369885433715,4,7,-0.004893964110929905,-0.00805683678024105
206,1|2|3|6|7,5,613,410,0.6688417618270799,0.6502454991816694,4,10,-0.00978792822185981,-0.011248326141943155
207,0|1|2|3|6|7,6,613,418,0.6818923327895595,0.6611888111888111,5,3,0.0032626427406198255,-0.00030501413480144013
208,4|6|7,3,613,408,0.6655791190864601,0.6505505133164708,1,9,-0.013050570962479635,-0.010943312007141714
209,0|4|6|7,4,613,409,0.66721044045677,0.6516143431037048,0,7,-0.011419249592169667,-0.009879482219907754
210,1|4|6|7,4,613,414,0.6753670473083198,0.656933492039875,1,3,-0.0032626427406199365,-0.0045603332837375055
211,0|1|4|6|7,5,613,416,0.6786296900489397,0.6590611516143431,1,1,0.0,-0.002432673709269473
212,2|4|6|7,4,613,411,0.6704730831973899,0.6537420026781728,2,7,-0.008156606851549841,-0.007751822645439721
213,0|2|4|6|7,5,613,415,0.6769983686786297,0.6604299955363786,2,3,-0.0016313213703099683,-0.0010638297872339608
214,1|2|4|6|7,5,613,417,0.6802610114192496,0.6625576551108465,2,1,0.0016313213703098572,0.0010638297872339608
215,0|1|2|4|6|7,6,613,418,0.6818923327895595,0.6636214848980806,2,0,0.0032626427406198255,0.0021276595744680327
216,3|4|6|7,4,613,407,0.6639477977161501,0.6470540098199673,2,11,-0.014681892332789603,-0.014439815503645259
217,0|3|4|6|7,5,613,412,0.6721044045676998,0.6572385061746764,1,5,-0.006525285481239873,-0.004255319148936176
218,1|3|4|6|7,5,613,414,0.6753670473083198,0.656933492039875,2,4,-0.0032626427406199365,-0.0045603332837375055
219,0|1|3|4|6|7,6,613,417,0.6802610114192496,0.6625576551108465,1,0,0.0016313213703098572,0.0010638297872339608
220,2|3|4|6|7,5,613,410,0.6688417618270799,0.6502454991816694,2,8,-0.00978792822185981,-0.011248326141943155
221,0|2|3|4|6|7,6,613,414,0.6753670473083198,0.656933492039875,2,4,-0.0032626427406199365,-0.0045603332837375055
222,1|2|3|4|6|7,6,613,414,0.6753670473083198,0.656933492039875,3,5,-0.0032626427406199365,-0.0045603332837375055
223,0|1|2|3|4|6|7,7,613,417,0.6802610114192496,0.6601249814015772,2,1,0.0016313213703098572,-0.001368843922035401
224,5|6|7,3,613,406,0.6623164763458401,0.6484228537420027,2,12,-0.01631321370309957,-0.013070971581609858
225,0|5|6|7,4,613,411,0.6704730831973899,0.6561746763874423,0,5,-0.008156606851549841,-0.005319148936170248
226,1|5|6|7,4,613,410,0.6688417618270799,0.6551108466002082,2,8,-0.00978792822185981,-0.00638297872340432
227,0|1|5|6|7,5,613,417,0.6802610114192496,0.6625576551108465,1,0,0.0016313213703098572,0.0010638297872339608
228,2|5|6|7,4,613,409,0.66721044045677,0.6516143431037048,2,9,-0.011419249592169667,-0.009879482219907754
229,0|2|5|6|7,5,613,415,0.6769983686786297,0.6604299955363786,1,2,-0.0016313213703099683,-0.0010638297872339608
230,1|2|5|6|7,5,613,415,0.6769983686786297,0.6604299955363786,2,3,-0.0016313213703099683,-0.0010638297872339608
231,0|1|2|5|6|7,6,613,417,0.6802610114192496,0.6625576551108465,1,0,0.0016313213703098572,0.0010638297872339608
232,3|5|6|7,4,613,404,0.6590538336052202,0.6462951941675346,2,14,-0.019575856443719508,-0.015198631156078002
233,0|3|5|6|7,5,613,412,0.6721044045676998,0.6572385061746764,1,5,-0.006525285481239873,-0.004255319148936176
234,1|3|5|6|7,5,613,410,0.6688417618270799,0.6551108466002082,2,8,-0.00978792822185981,-0.00638297872340432
235,0|1|3|5|6|7,6,613,415,0.6769983686786297,0.6604299955363786,0,1,-0.0016313213703099683,-0.0010638297872339608
236,2|3|5|6|7,5,613,406,0.6623164763458401,0.6459901800327332,2,12,-0.01631321370309957,-0.015503645290879331
237,0|2|3|5|6|7,6,613,414,0.6753670473083198,0.6593661657491445,2,4,-0.0032626427406199365,-0.0021276595744680327
238,1|2|3|5|6|7,6,613,411,0.6704730831973899,0.6537420026781728,3,8,-0.008156606851549841,-0.007751822645439721
