product_id,objects,t1_labelled,t2_labelled,ais_rows
S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8,1543,45,59,24539
S1A_IW_GRDH_1SDV_20250108T141656_20250108T141721_057354_070EF9_747A,801,11,30,7319
S1A_IW_GRDH_1SDV_20250112T055841_20250112T055906_057407_07110D_854D,3363,64,104,203811
S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089,1697,29,48,11456
S1A_IW_GRDH_1SDV_20250120T141655_20250120T141720_057529_0715E8_27AA,512,27,46,67687
S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,2242,46,90,6095
S1A_IW_GRDH_1SDV_20250201T141654_20250201T141719_057704_071CD3_8E9C,484,1,34,24744
S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,1789,43,85,7536
S1A_IW_GRDH_1SDV_20250217T055839_20250217T055904_057932_0725F5_9F4A,2602,53,79,39115
S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C,1888,55,87,30814
S1A_IW_GRDH_1SDV_20250225T141654_20250225T141719_058054_072AFB_9955,640,14,49,19460
S1A_IW_GRDH_1SDV_20250302T142506_20250302T142531_058127_072DF2_C32F,1486,36,55,8977
S1A_IW_GRDH_1SDV_20250310T113410_20250310T113435_058242_07329D_6109,685,22,40,34812
S1A_IW_GRDH_1SDV_20250314T142506_20250314T142531_058302_073505_F8D8,2153,46,92,11425
S1A_IW_GRDH_1SDV_20250317T035236_20250317T035301_058339_07366E_1A19,704,13,22,15156
S1A_IW_GRDH_1SDV_20250321T141654_20250321T141719_058404_07390A_3A64,540,13,47,23982
S1A_IW_GRDH_1SDV_20250326T142506_20250326T142531_058477_073BE1_A5C1,1764,34,66,8954
S1A_IW_GRDH_1SDV_20250407T142506_20250407T142531_058652_07430E_28DD,1773,54,73,14009
S1A_IW_GRDH_1SDV_20250418T055840_20250418T055905_058807_074958_2BFC,3459,66,140,182616
S1A_IW_GRDH_1SDV_20250419T142506_20250419T142531_058827_074A34_03DC,1594,52,78,11702
S1A_IW_GRDH_1SDV_20250422T035237_20250422T035302_058864_074BB7_3AD7,721,14,21,16443
S1A_IW_GRDH_1SDV_20250422T095504_20250422T095529_058868_074BDE_2A15,4050,1184,1553,634768
S1A_IW_GRDH_1SDV_20250501T142507_20250501T142532_059002_075153_F22D,1795,56,94,13933
S1A_IW_GRDH_1SDV_20250504T035237_20250504T035302_059039_0752BC_810D,593,9,13,5514
S1A_IW_GRDH_1SDV_20250504T095504_20250504T095529_059043_0752E1_E126,3674,1108,1388,547392
S1A_IW_GRDH_1SDV_20250508T141655_20250508T141720_059104_07553F_D9D1,515,11,43,54190
S1A_IW_GRDH_1SDV_20250513T142506_20250513T142531_059177_0757CB_F25B,1844,61,101,12219
S1A_IW_GRDH_1SDV_20250516T035237_20250516T035302_059214_07590C_1B74,461,18,23,9304
S1A_IW_GRDH_1SDV_20250516T095504_20250516T095529_059218_07592B_0FC8,3692,896,1213,319974
