fold,group,dim,active,count,blocks,reason,observed,obs_zero_fraction,predicted_min,predicted_max,predicted_mean,spread_head,spread_mech,worst_abs_residual
Rotterdam,0,0,True,2957,2408,active,0.025843737987718916,0.9497455014696394,0.06916292249059987,0.13937923668618887,0.11095648450098776,0.06980472427920642,0.0009581029064389401,0.11353549869846996
Rotterdam,0,1,False,0,0,disabled_by_source_support,,,,,,,,
Rotterdam,0,2,False,0,0,disabled_by_source_support,,,,,,,,
Rotterdam,0,3,True,2957,2408,active,0.13717696561497292,0.22840346978278012,0.114564647439053,0.1428113373745241,0.13192200195952933,0.02823757190418641,0.0007805599036470878,0.022612318175919924
Rotterdam,1,0,True,669,417,active,0.010894469348839045,0.9497455014696394,0.1072006327372335,0.1773436385930131,0.14274116497531586,0.06957481935557949,0.0021532624564602754,0.16644916924417408
Rotterdam,1,1,False,0,0,disabled_by_source_support,,,,,,,,
Rotterdam,1,2,False,0,0,disabled_by_source_support,,,,,,,,
Rotterdam,1,3,True,669,417,active,0.16545982453944258,0.22840346978278012,0.14484358209995,0.15278529630744708,0.14930578797554075,0.007447613077420617,0.002017909600066009,0.020616242439492588
Rotterdam,2,0,True,6822,3785,active,0.025191664242092,0.9497455014696394,0.21009083318212157,0.24581415110562355,0.23178449666425927,0.03395368912170957,0.0036733256950579607,0.22062248686353153
Rotterdam,2,1,False,0,0,disabled_by_source_support,,,,,,,,
Rotterdam,2,2,False,0,0,disabled_by_source_support,,,,,,,,
Rotterdam,2,3,True,6822,3785,active,0.3280328636914186,0.22840346978278012,0.28794570165418365,0.30583443830034795,0.2974438639564099,0.016852295407854878,0.002701891498741893,0.04008716203723495
Rotterdam,3,0,True,3501,2325,active,0.056652861115009535,0.9497455014696394,0.10960648323319377,0.142053653838069,0.12264631663573279,0.03210350110709215,0.0020979034918689465,0.08540079272305948
Rotterdam,3,1,False,0,0,disabled_by_source_support,,,,,,,,
Rotterdam,3,2,False,0,0,disabled_by_source_support,,,,,,,,
Rotterdam,3,3,True,3501,2325,active,0.23635356913921118,0.22840346978278012,0.19006223975292527,0.21482093236947167,0.20352463782702193,0.024748245418009684,0.0011710293009405681,0.04629132938628591
fold,group,dim,active,count,blocks,reason,observed,obs_zero_fraction,predicted_min,predicted_max,predicted_mean,spread_head,spread_mech,worst_abs_residual
Shanghai,0,0,True,3588,2836,active,0.1859998140881425,0.7615524560339599,0.08725647330440967,0.10134399236838924,0.09534576154010914,0.014087519063979578,0.0005947508073544522,0.09874334078373284
Shanghai,0,1,False,0,0,too_few_available_objects,,,,,,,,
Shanghai,0,2,False,0,0,disabled_by_source_support,,,,,,,,
Shanghai,0,3,True,3588,2836,active,0.16283437066868264,0.2031534263189812,0.0974241850492748,0.13684601330377516,0.11991008251522106,0.03942182825450036,0.0006793108653018742,0.06541018561940784
Shanghai,1,0,True,10455,4866,active,0.2779855826506707,0.7615524560339599,0.12318509512039938,0.2375450314596695,0.1782302019999377,0.113399060175551,0.0021885074696727236,0.1548004875302713
Shanghai,1,1,False,0,0,too_few_available_objects,,,,,,,,
Shanghai,1,2,False,0,0,disabled_by_source_support,,,,,,,,
Shanghai,1,3,True,10455,4866,active,0.44688699264693976,0.2031534263189812,0.338414970184824,0.42535109202100674,0.3677557287177004,0.0863026566750944,0.003168868171432415,0.10847202246211574
Shanghai,2,0,True,15603,10619,active,0.12640255505827194,0.7615524560339599,0.08983958076392783,0.14085261172390456,0.11594307019672344,0.05043822837373829,0.0008438167492018089,0.03656297429434412
Shanghai,2,1,False,0,0,too_few_available_objects,,,,,,,,
Shanghai,2,2,False,0,0,disabled_by_source_support,,,,,,,,
Shanghai,2,3,True,15603,10619,active,0.2263679002102297,0.2031534263189812,0.23400484314418732,0.29816114721705744,0.2660673724968294,0.06415630407287012,0.0006584240971683197,0.07179324700682774
Shanghai,3,0,True,3334,2626,active,0.15157666472742143,0.7615524560339599,0.10942055280047167,0.13944990314872427,0.12583958595943512,0.029706256217448768,0.0006507910130872097,0.04215611192694976
Shanghai,3,1,False,0,0,too_few_available_objects,,,,,,,,
Shanghai,3,2,False,0,0,disabled_by_source_support,,,,,,,,
Shanghai,3,3,True,3334,2626,active,0.18637056780133193,0.2031534263189812,0.13077677571262894,0.23190745028800433,0.18754306841192436,0.10105685802054112,0.0007384045443440401,0.05559379208870299
fold,group,dim,active,count,blocks,reason,observed,obs_zero_fraction,predicted_min,predicted_max,predicted_mean,spread_head,spread_mech,worst_abs_residual
Port Klang,0,0,True,798,692,active,0.140600668112654,0.6681802305274188,0.08922432515367212,0.10464479504933077,0.09891103346766665,0.013865026227920102,0.0022889809878570144,0.051376342958981885
Port Klang,0,1,False,0,0,disabled_by_source_support,,,,,,,,
Port Klang,0,2,False,0,0,too_few_available_objects,,,,,,,,
Port Klang,0,3,True,798,692,active,0.09217250599224765,0.38281522878099894,0.10811762867131493,0.12280469186262859,0.1154250986242147,0.01468706319131366,0.0006485618774858676,0.03063218587038094
Port Klang,1,0,True,480,313,active,0.3173384720770021,0.6681802305274188,0.19933024974551417,0.22169366302684126,0.20992532920692164,0.02048183771092016,0.005613413898622799,0.11800822233148794
Port Klang,1,1,False,0,0,disabled_by_source_support,,,,,,,,
Port Klang,1,2,False,0,0,too_few_available_objects,,,,,,,,
Port Klang,1,3,True,480,313,active,0.2785339881045123,0.38281522878099894,0.2723534704137035,0.28552501309254374,0.2803713159017855,0.013171542678840242,0.003704338042996469,0.006991024988031447
Port Klang,2,0,True,1259,904,active,0.22880418369076064,0.6681802305274188,0.1459975572136318,0.19034846775371353,0.1727289325761655,0.0423949808434784,0.007624388279201116,0.08280662647712883
Port Klang,2,1,False,0,0,disabled_by_source_support,,,,,,,,
Port Klang,2,2,False,0,0,too_few_available_objects,,,,,,,,
Port Klang,2,3,True,1259,904,active,0.19084410013141284,0.38281522878099894,0.2486306703488114,0.27028718862737744,0.2570924338745162,0.02029230929957926,0.002383939781727268,0.0794430884959646
Port Klang,3,0,True,326,230,active,0.16117832306601063,0.6681802305274188,0.1020258858390696,0.14438370556350785,0.12540218366479713,0.04095860099041075,0.0029592884311353262,0.059152437226941024
Port Klang,3,1,False,0,0,disabled_by_source_support,,,,,,,,
Port Klang,3,2,False,0,0,too_few_available_objects,,,,,,,,
Port Klang,3,3,True,326,230,active,0.21722889709874896,0.38281522878099894,0.2240685364143735,0.24691776579206273,0.2388858962914201,0.022631527372179522,0.0015362374071152818,0.029688868693313775
fold,group,dim,active,count,blocks,reason,observed,obs_zero_fraction,predicted_min,predicted_max,predicted_mean,spread_head,spread_mech,worst_abs_residual
Fujairah,0,0,True,645,489,active,0.048946253155437554,0.9246849942726232,0.09377475885572432,0.2193606905171756,0.15032282976221145,0.12513268920841703,0.005453566390109382,0.17041443736173806
Fujairah,0,1,False,0,0,disabled_by_source_support,,,,,,,,
Fujairah,0,2,False,0,0,too_few_available_objects,,,,,,,,
Fujairah,0,3,True,645,489,active,0.18291085242300995,0.37084765177548684,0.20208240466155977,0.21305627553261092,0.2086322619057183,0.00964617798945347,0.0030460865494343903,0.03014542310960097
Fujairah,1,0,True,1374,1081,active,0.034572003937964876,0.9246849942726232,0.2044247045385933,0.2391517946369391,0.22357705429210198,0.029760131291674624,0.008853342528334057,0.20457979069897425
Fujairah,1,1,False,0,0,disabled_by_source_support,,,,,,,,
Fujairah,1,2,False,0,0,too_few_available_objects,,,,,,,,
Fujairah,1,3,True,1374,1081,active,0.15898602848446872,0.37084765177548684,0.1516238011948496,0.19192687348037551,0.1680332591114447,0.039992684007055024,0.0020821322866871883,0.0329408449959068
Fujairah,2,0,True,596,507,active,0.05653378085155921,0.9246849942726232,0.1217074446682731,0.2342357469508489,0.1706568979514993,0.10994239713953648,0.005465430826878281,0.17770196609928968
Fujairah,2,1,False,0,0,disabled_by_source_support,,,,,,,,
Fujairah,2,2,False,0,0,too_few_available_objects,,,,,,,,
Fujairah,2,3,True,596,507,active,0.08372603714366088,0.37084765177548684,0.12350115785222018,0.14002980204861099,0.13056500377622507,0.0149720197157448,0.001897126862990095,0.05630376490495011
Fujairah,3,0,True,877,598,active,0.04842409726865207,0.9246849942726232,0.16529884329933392,0.25690219574813217,0.2091022559666981,0.09135759204989605,0.0018846726606303321,0.2084780984794801
Fujairah,3,1,False,0,0,disabled_by_source_support,,,,,,,,
Fujairah,3,2,False,0,0,too_few_available_objects,,,,,,,,
