fold,pseudo_target_port,pseudo_target_role,n_fit,n_adapt,n_eval,adapt_products,eval_products,adapt_dates,eval_dates,cov_residual_t2s,ridge,classes_in_eval,cross_acc,cross_ba,mean_only_acc,mean_only_ba,coral_t2s_acc,coral_t2s_ba,coral_s2t_acc,coral_s2t_ba,in_ref_acc,in_ref_ba
Rotterdam,Antwerp-Bruges,cal,2918,30902,35,8,9,8,9,1.9277884712642853e-15,0.001,dredger|fishing_vessel|product_chemical_tanker|tug_towing,0.6,0.35054347826086957,0.34285714285714286,0.27309782608695654,0.45714285714285713,0.31657608695652173,0.4857142857142857,0.327445652173913,0.6,0.5692934782608696
Rotterdam,Hamburg,cal,2918,12113,32,8,9,8,9,2.6650371119034197e-15,0.001,dredger|fishing_vessel|tug_towing,0.625,0.40598290598290604,0.625,0.40598290598290604,0.6875,0.45726495726495725,0.6875,0.45726495726495725,,
Rotterdam,Qingdao,cal,2918,24919,1588,12,13,12,13,3.0336793126058404e-15,0.001,container_ship|dredger|fishing_vessel|product_chemical_tanker|tug_towing,0.23992443324937027,0.3182995919989482,0.3154911838790932,0.38450264297324993,0.3110831234256927,0.3967250665492437,0.3047858942065491,0.3842577685428374,0.924433249370277,0.3538151555977214
Shanghai,Qingdao,meta,612,24919,1451,12,13,12,13,6.186393086865967e-16,0.001,fishing_vessel|tug_towing,0.3907649896623019,0.5602599814298979,0.35975189524465884,0.5775766016713092,0.4066161268090972,0.5682683379758589,0.40523776705720194,0.5675719591457753,0.9896623018607856,0.5
Shanghai,Singapore,meta,612,24883,34,12,12,12,12,5.798023199030566e-16,0.001,fishing_vessel|tug_towing,0.6176470588235294,0.5357142857142857,0.6176470588235294,0.5357142857142857,0.5882352941176471,0.5107142857142857,0.5882352941176471,0.5107142857142857,0.6176470588235294,0.5357142857142857
Port Klang,Antwerp-Bruges,meta,5523,30902,40,8,9,8,9,2.6706753111761158e-15,0.001,dredger|fishing_vessel|passenger_ship|product_chemical_tanker|tug_towing,0.425,0.2782608695652174,0.325,0.2108695652173913,0.275,0.1934782608695652,0.3,0.21847826086956523,0.525,0.35340579710144926
Port Klang,Hamburg,cal,5523,12113,41,8,9,8,9,2.3290163150837435e-15,0.001,dredger|fishing_vessel|passenger_ship|tug_towing,0.4634146341463415,0.2745726495726496,0.4634146341463415,0.5053418803418803,0.43902439024390244,0.26068376068376065,0.4146341463414634,0.24145299145299143,0.8048780487804879,0.6314102564102564
Port Klang,Rotterdam,cal,5523,13949,47,5,6,5,6,2.4431066306499096e-15,0.001,container_ship|dredger|fishing_vessel|passenger_ship|product_chemical_tanker|tug_towing,0.19148936170212766,0.15973084886128364,0.19148936170212766,0.15973084886128364,0.3191489361702128,0.23633540372670805,0.3191489361702128,0.23633540372670805,0.3191489361702128,0.17971014492753623
Fujairah,Houston,cal,3131,238,60,3,4,3,4,4.681976194216686e-15,0.001,fishing_vessel|tug_towing,0.36666666666666664,0.6041666666666666,0.3,0.5625,0.26666666666666666,0.3541666666666667,0.3,0.4375,,
Jebel Ali,Houston,meta,2713,238,60,3,4,3,4,1.2286777441596642e-15,0.001,fishing_vessel|tug_towing,0.5166666666666667,0.6979166666666666,0.23333333333333334,0.5208333333333334,0.23333333333333334,0.4270833333333333,0.26666666666666666,0.5416666666666666,,
Port Said,Hamburg,meta,3527,12113,32,8,9,8,9,2.19294414481332e-15,0.001,dredger|fishing_vessel|tug_towing,0.59375,0.7022792022792023,0.65625,0.725071225071225,0.6875,0.7435897435897436,0.6875,0.7435897435897436,,
Fujairah,Jebel Ali,cal,3131,35877,178,22,22,22,22,1.8403136262981257e-15,0.001,container_ship|dredger|fishing_vessel|product_chemical_tanker|tug_towing,0.1404494382022472,0.514520202020202,0.056179775280898875,0.4768939393939394,0.07865168539325842,0.4992424242424242,0.08426966292134831,0.5006313131313131,0.7078651685393258,0.2507828282828283
Fujairah,Shanghai,meta,3131,32980,1094,10,10,10,10,4.219585496785995e-15,0.001,container_ship|dredger|fishing_vessel|product_chemical_tanker|tug_towing,0.4186471663619744,0.34372077221244374,0.396709323583181,0.2853602138729279,0.3976234003656307,0.28107162847001166,0.3976234003656307,0.28402064707761765,0.7358318098720292,0.6074076105860892
Jebel Ali,Shanghai,meta,2713,32980,865,10,10,10,10,7.408425526232105e-15,0.001,container_ship|fishing_vessel|tug_towing,0.5722543352601156,0.4941101105498206,0.5352601156069364,0.44691900334333895,0.41965317919075146,0.37058593845327864,0.41734104046242776,0.3690533714034703,0.8404624277456647,0.7356431656783075
Jebel Ali,Singapore,cal,2713,24883,37,12,12,12,12,1.8303548421375723e-14,0.001,container_ship|fishing_vessel|tug_towing,0.5135135135135135,0.6785714285714285,0.43243243243243246,0.5555555555555555,0.3783783783783784,0.3333333333333333,0.3783783783783784,0.3333333333333333,0.5135135135135135,0.6071428571428571
Port Said,Shanghai,meta,3527,32980,1094,10,10,10,10,2.531982760816804e-15,0.001,container_ship|dredger|fishing_vessel|product_chemical_tanker|tug_towing,0.4040219378427788,0.3394316739895337,0.42413162705667273,0.31450987397786034,0.39579524680073125,0.2884195090220894,0.396709323583181,0.2886986551633045,0.7093235831809872,0.5849186691106587
