fold,target_port,role,product_id,acquisition_date
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250104T103939_20250104T104004_057293_070C8F_4A75,20250104
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250105T224813_20250105T224838_057315_070D6B_4F1E,20250105
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250108T141656_20250108T141721_057354_070EF9_747A,20250108
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250112T055841_20250112T055906_057407_07110D_854D,20250112
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250115T153906_20250115T153935_057456_071303_0ED7,20250115
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250117T224812_20250117T224837_057490_071459_C3D3,20250117
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250120T141655_20250120T141720_057529_0715E8_27AA,20250120
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250121T190730_20250121T190755_057546_07169B_6835,20250121
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250126T191540_20250126T191605_057619_07197E_F97F,20250126
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250127T153906_20250127T153935_057631_0719FF_8570,20250127
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250128T103938_20250128T104003_057643_071A72_02D2,20250128
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250201T141654_20250201T141719_057704_071CD3_8E9C,20250201
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250202T135247_20250202T135312_057718_071D69_2EC7,20250202
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250210T224811_20250210T224836_057840_072244_0469,20250210
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250211T225059_20250211T225124_057855_0722DE_45FE,20250211
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250213T083110_20250213T083139_057875_0723AA_0832,20250213
