fold,product_id,object_id,added_class,tier,t1_status,t2_status,t1_mmsi,t2_mmsi,t1_distance_m,t1_abs_dt_s,already_in_frozen
Rotterdam,S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8,"S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8|VH|[7936, 18176]|det_00014",tug_towing,A2,unique_candidate,unique_candidate,470915000,470915000,120.77066012384527,146.0,0
Rotterdam,S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8,"S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8|VH|[7936, 18176]|det_00049",tug_towing,A2,unique_candidate,unique_candidate,470915000,470915000,25.003418091276114,95.0,0
Rotterdam,S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8,"S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8|VH|[7936, 18176]|det_00097",tug_towing,A2,no_candidate,unique_candidate,,470915000,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8,"S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8|VH|[9984, 12032]|det_00014",tug_towing,A2,no_candidate,unique_candidate,,370023000,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8,"S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8|VH|[9984, 12032]|det_00017",tug_towing,A2,unique_candidate,unique_candidate,370023000,370023000,66.97852951041058,28.0,0
Rotterdam,S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8,"S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8|VH|[12032, 14080]|det_00007",dredger,A2,unique_candidate,unique_candidate,253109000,253109000,58.90683469567005,146.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8,"S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8|VV|[5888, 16128]|det_00022",tug_towing,A2,no_candidate,unique_candidate,,470915000,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8,"S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8|VV|[9984, 12032]|det_00011",tug_towing,A2,unique_candidate,unique_candidate,370023000,370023000,120.8277682501771,129.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8,"S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8|VV|[12032, 14080]|det_00008",dredger,A2,unique_candidate,unique_candidate,253109000,253109000,51.17326349885122,146.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8,"S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8|VV|[16128, 7936]|det_00026",tug_towing,A2,unique_candidate,unique_candidate,312019000,312019000,116.44917439470989,149.0,1
