fold,candidate,frozen_support_total,added_total,added_new_novel,frozen_classes,added_classes,per_class_added
Rotterdam,A1,2918,2602,541,5,5,"{""container_ship"": 1011, ""tug_towing"": 548, ""fishing_vessel"": 461, ""dredger"": 330, ""product_chemical_tanker"": 252}"
Rotterdam,A2,2918,3366,1099,5,5,"{""container_ship"": 1147, ""tug_towing"": 771, ""fishing_vessel"": 703, ""dredger"": 391, ""product_chemical_tanker"": 354}"
Rotterdam,A3,2918,1099,1099,5,5,"{""container_ship"": 311, ""tug_towing"": 274, ""fishing_vessel"": 254, ""dredger"": 145, ""product_chemical_tanker"": 115}"
Shanghai,A1,612,308,78,2,2,"{""tug_towing"": 293, ""fishing_vessel"": 15}"
Shanghai,A2,612,493,201,2,2,"{""tug_towing"": 463, ""fishing_vessel"": 30}"
Shanghai,A3,612,201,201,2,2,"{""tug_towing"": 186, ""fishing_vessel"": 15}"
PortKlang,A1,5523,2652,550,6,6,"{""container_ship"": 1008, ""tug_towing"": 540, ""fishing_vessel"": 459, ""dredger"": 329, ""product_chemical_tanker"": 251, ""passenger_ship"": 65}"
PortKlang,A2,5523,3439,1127,6,6,"{""container_ship"": 1138, ""tug_towing"": 760, ""fishing_vessel"": 698, ""dredger"": 390, ""product_chemical_tanker"": 351, ""passenger_ship"": 102}"
PortKlang,A3,5523,1127,1127,6,6,"{""container_ship"": 304, ""tug_towing"": 270, ""fishing_vessel"": 250, ""dredger"": 145, ""product_chemical_tanker"": 112, ""passenger_ship"": 46}"
Fujairah,A1,3131,84,6,5,5,"{""tug_towing"": 38, ""dredger"": 19, ""product_chemical_tanker"": 13, ""fishing_vessel"": 9, ""container_ship"": 5}"
Fujairah,A2,3131,114,24,5,5,"{""tug_towing"": 44, ""dredger"": 27, ""fishing_vessel"": 18, ""product_chemical_tanker"": 16, ""container_ship"": 9}"
Fujairah,A3,3131,24,24,5,5,"{""dredger"": 8, ""fishing_vessel"": 7, ""tug_towing"": 5, ""product_chemical_tanker"": 2, ""container_ship"": 2}"
JebelAli,A1,2713,52,5,3,3,"{""tug_towing"": 38, ""fishing_vessel"": 9, ""container_ship"": 5}"
JebelAli,A2,2713,71,14,3,3,"{""tug_towing"": 44, ""fishing_vessel"": 18, ""container_ship"": 9}"
JebelAli,A3,2713,14,14,3,3,"{""fishing_vessel"": 7, ""tug_towing"": 5, ""container_ship"": 2}"
PortSaid,A1,3527,422,99,5,5,"{""tug_towing"": 293, ""dredger"": 56, ""product_chemical_tanker"": 42, ""container_ship"": 16, ""fishing_vessel"": 15}"
PortSaid,A2,3527,677,278,5,5,"{""tug_towing"": 463, ""product_chemical_tanker"": 81, ""dredger"": 77, ""fishing_vessel"": 30, ""container_ship"": 26}"
PortSaid,A3,3527,278,278,5,5,"{""tug_towing"": 186, ""product_chemical_tanker"": 42, ""dredger"": 19, ""container_ship"": 16, ""fishing_vessel"": 15}"
