fold,pseudo_target,class,support,A0_recall,A1_recall,A2_recall
Rotterdam,Qingdao,container_ship,79,0.46835443037974683,0.4810126582278481,0.45569620253164556
Rotterdam,Qingdao,dredger,43,0.16279069767441862,0.27906976744186046,0.18604651162790697
Rotterdam,Qingdao,fishing_vessel,1436,0.22701949860724233,0.26323119777158777,0.25348189415041783
Rotterdam,Qingdao,product_chemical_tanker,15,0.0,0.06666666666666667,0.0
Rotterdam,Qingdao,tug_towing,15,0.7333333333333333,0.6666666666666666,0.7333333333333333
Shanghai,Qingdao,fishing_vessel,1436,0.387883008356546,0.35236768802228413,0.36768802228412256
Shanghai,Qingdao,tug_towing,15,0.7333333333333333,0.7333333333333333,0.8
Fujairah,Shanghai,container_ship,435,0.25287356321839083,0.25057471264367814,0.25517241379310346
Fujairah,Shanghai,dredger,105,0.2857142857142857,0.2571428571428571,0.2761904761904762
Fujairah,Shanghai,fishing_vessel,314,0.910828025477707,0.9076433121019108,0.9203821656050956
Fujairah,Shanghai,product_chemical_tanker,124,0.0967741935483871,0.08870967741935484,0.06451612903225806
Fujairah,Shanghai,tug_towing,116,0.1724137931034483,0.14655172413793102,0.15517241379310345
JebelAli,Shanghai,container_ship,435,0.42758620689655175,0.42528735632183906,0.4114942528735632
JebelAli,Shanghai,fishing_vessel,314,0.9426751592356688,0.9426751592356688,0.9426751592356688
JebelAli,Shanghai,tug_towing,116,0.10344827586206896,0.11206896551724138,0.1206896551724138
PortSaid,Shanghai,container_ship,435,0.22528735632183908,0.22528735632183908,0.22528735632183908
PortSaid,Shanghai,dredger,105,0.29523809523809524,0.3142857142857143,0.29523809523809524
PortSaid,Shanghai,fishing_vessel,314,0.8885350318471338,0.9012738853503185,0.8694267515923567
PortSaid,Shanghai,product_chemical_tanker,124,0.07258064516129033,0.04838709677419355,0.08064516129032258
PortSaid,Shanghai,tug_towing,116,0.21551724137931033,0.1896551724137931,0.25
