fold,pseudo_target,intervention,seed,changed,delta_BA
Rotterdam,Qingdao,permute_D0,20260920,15918,-0.016042624862343757
Rotterdam,Qingdao,permute_D0,20260921,15811,-0.00955049638260208
Rotterdam,Qingdao,permute_D0,20260922,15783,-0.014649867202176536
Rotterdam,Qingdao,permute_D0,20260923,15828,-0.010555807475545798
Rotterdam,Qingdao,permute_D0,20260924,15726,-0.006183196216881515
Rotterdam,Qingdao,permute_D0,20260925,15924,-0.017877891601880413
Rotterdam,Qingdao,permute_D0,20260926,15762,-0.013226728811182697
Rotterdam,Qingdao,permute_D0,20260927,15871,-0.015903349096326957
Rotterdam,Qingdao,permute_D0,20260928,15840,-0.018713546197980657
Rotterdam,Qingdao,permute_D0,20260929,15899,-0.00941122061658528
Rotterdam,Qingdao,permute_D0,20260930,15812,-0.010973634773595864
Rotterdam,Qingdao,permute_D0,20260931,15864,-0.018713546197980657
Rotterdam,Qingdao,permute_D0,20260932,15743,-0.012530349981099143
Rotterdam,Qingdao,permute_D0,20260933,15790,-0.011252186305629297
Rotterdam,Qingdao,permute_D0,20260934,15771,-0.010277255943512364
Rotterdam,Qingdao,permute_D0,20260935,15827,-0.013226728811182697
Rotterdam,Qingdao,permute_D0,20260936,15822,-0.01350528034321613
Rotterdam,Qingdao,permute_D0,20260937,15856,-0.010416531709529053
Rotterdam,Qingdao,permute_D0,20260938,15859,-0.013226728811182697
Rotterdam,Qingdao,permute_D0,20260939,15833,-0.013923107641266308
Rotterdam,Qingdao,permute_D1,20260920,0,0.0
Rotterdam,Qingdao,permute_D1,20260921,0,0.0
Rotterdam,Qingdao,permute_D1,20260922,0,0.0
Rotterdam,Qingdao,permute_D1,20260923,0,0.0
Rotterdam,Qingdao,permute_D1,20260924,0,0.0
Rotterdam,Qingdao,permute_D1,20260925,0,0.0
Rotterdam,Qingdao,permute_D1,20260926,0,0.0
Rotterdam,Qingdao,permute_D1,20260927,0,0.0
Rotterdam,Qingdao,permute_D1,20260928,0,0.0
Rotterdam,Qingdao,permute_D1,20260929,0,0.0
Rotterdam,Qingdao,permute_D1,20260930,0,0.0
Rotterdam,Qingdao,permute_D1,20260931,0,0.0
Rotterdam,Qingdao,permute_D1,20260932,0,0.0
Rotterdam,Qingdao,permute_D1,20260933,0,0.0
Rotterdam,Qingdao,permute_D1,20260934,0,0.0
Rotterdam,Qingdao,permute_D1,20260935,0,0.0
Rotterdam,Qingdao,permute_D1,20260936,0,0.0
Rotterdam,Qingdao,permute_D1,20260937,0,0.0
Rotterdam,Qingdao,permute_D1,20260938,0,0.0
Rotterdam,Qingdao,permute_D1,20260939,0,0.0
Rotterdam,Qingdao,permute_D2,20260920,319,-0.0001392757660167443
Rotterdam,Qingdao,permute_D2,20260921,320,0.0
Rotterdam,Qingdao,permute_D2,20260922,319,0.0
Rotterdam,Qingdao,permute_D2,20260923,317,0.0
Rotterdam,Qingdao,permute_D2,20260924,319,-0.0001392757660167443
Rotterdam,Qingdao,permute_D2,20260925,319,-0.00027855153203337757
Rotterdam,Qingdao,permute_D2,20260926,318,0.0
Rotterdam,Qingdao,permute_D2,20260927,319,-0.00027855153203337757
Rotterdam,Qingdao,permute_D2,20260928,318,-0.0049297143227310936
Rotterdam,Qingdao,permute_D2,20260929,319,0.01333333333333342
Rotterdam,Qingdao,permute_D2,20260930,317,-0.0001392757660167443
Rotterdam,Qingdao,permute_D2,20260931,320,-0.0001392757660167443
Rotterdam,Qingdao,permute_D2,20260932,316,0.0
Rotterdam,Qingdao,permute_D2,20260933,318,0.0
Rotterdam,Qingdao,permute_D2,20260934,320,-0.005063291139240533
Rotterdam,Qingdao,permute_D2,20260935,319,0.0
Rotterdam,Qingdao,permute_D2,20260936,318,-0.0001392757660167443
Rotterdam,Qingdao,permute_D2,20260937,318,0.0
Rotterdam,Qingdao,permute_D2,20260938,318,-0.0001392757660167443
Rotterdam,Qingdao,permute_D2,20260939,320,0.0
Rotterdam,Qingdao,permute_D3,20260920,19029,0.0025316455696202667
Rotterdam,Qingdao,permute_D3,20260921,19133,0.0037581551694118587
Rotterdam,Qingdao,permute_D3,20260922,18969,0.008682170542635703
Rotterdam,Qingdao,permute_D3,20260923,19026,-0.016143530434987063
Rotterdam,Qingdao,permute_D3,20260924,19077,-0.004511887024680916
Rotterdam,Qingdao,permute_D3,20260925,18980,-0.005341842671273911
Rotterdam,Qingdao,permute_D3,20260926,19093,-0.002392369803603467
Rotterdam,Qingdao,permute_D3,20260927,19008,-0.005068990088747838
Rotterdam,Qingdao,permute_D3,20260928,19019,-0.004372611258664227
Rotterdam,Qingdao,permute_D3,20260929,19149,0.010244584699646175
Rotterdam,Qingdao,permute_D3,20260930,19000,0.010801687763713153
Rotterdam,Qingdao,permute_D3,20260931,19025,0.005871973440981948
Rotterdam,Qingdao,permute_D3,20260932,19017,-0.0049297143227310936
Rotterdam,Qingdao,permute_D3,20260933,19085,0.006289800739032125
Rotterdam,Qingdao,permute_D3,20260934,19078,-0.015313574788394013
Rotterdam,Qingdao,permute_D3,20260935,19085,-0.00746135989235136
Rotterdam,Qingdao,permute_D3,20260936,19047,-0.0025316455696202667
Rotterdam,Qingdao,permute_D3,20260937,19091,-0.009714453929938194
Rotterdam,Qingdao,permute_D3,20260938,19063,-0.00027855153203337757
Rotterdam,Qingdao,permute_D3,20260939,19112,-0.0025316455696202667
Rotterdam,Qingdao,permute_joint,20260920,22483,-0.009026064562401348
Rotterdam,Qingdao,permute_joint,20260921,22569,-0.009998704411478931
Rotterdam,Qingdao,permute_joint,20260922,22503,0.00024588028816729945
Rotterdam,Qingdao,permute_joint,20260923,22502,-0.013650255058740124
Rotterdam,Qingdao,permute_joint,20260924,22470,-0.01280890151313252
Rotterdam,Qingdao,permute_joint,20260925,22543,-0.02040953717150068
Rotterdam,Qingdao,permute_joint,20260926,22642,-0.008581264969992342
Rotterdam,Qingdao,permute_joint,20260927,22516,-0.031350500701230466
Rotterdam,Qingdao,permute_joint,20260928,22533,-0.016763685473746737
Rotterdam,Qingdao,permute_joint,20260929,22630,-0.019822053376607085
Rotterdam,Qingdao,permute_joint,20260930,22528,-0.020270261405483936
Rotterdam,Qingdao,permute_joint,20260931,22580,-0.00017194700988287792
Rotterdam,Qingdao,permute_joint,20260932,22585,-0.016321176394377135
Rotterdam,Qingdao,permute_joint,20260933,22588,-0.018574270431963913
Rotterdam,Qingdao,permute_joint,20260934,22535,-0.005519488630664038
Rotterdam,Qingdao,permute_joint,20260935,22543,-0.013366004577199386
Rotterdam,Qingdao,permute_joint,20260936,22605,-0.007633306902234127
Rotterdam,Qingdao,permute_joint,20260937,22505,-0.014062383407282997
Rotterdam,Qingdao,permute_joint,20260938,22608,0.008433999741428999
Rotterdam,Qingdao,permute_joint,20260939,22624,-0.01281460046263988
Shanghai,Qingdao,permute_D0,20260920,15834,0.0027855153203342198
Shanghai,Qingdao,permute_D0,20260921,15809,0.0031337047353758862
Shanghai,Qingdao,permute_D0,20260922,15862,0.0024373259052923313
Shanghai,Qingdao,permute_D0,20260923,15819,0.002089136490250665
Shanghai,Qingdao,permute_D0,20260924,15881,0.0034818941504177747
Shanghai,Qingdao,permute_D0,20260925,15788,0.0017409470752087763
Shanghai,Qingdao,permute_D0,20260926,15858,0.0024373259052923313
Shanghai,Qingdao,permute_D0,20260927,15798,0.00417827298050133
Shanghai,Qingdao,permute_D0,20260928,15828,0.0010445682451252214
Shanghai,Qingdao,permute_D0,20260929,15839,0.004526462395543107
Shanghai,Qingdao,permute_D0,20260930,15911,0.00417827298050133
Shanghai,Qingdao,permute_D0,20260931,15838,0.002089136490250665
Shanghai,Qingdao,permute_D0,20260932,15795,0.004874651810584885
Shanghai,Qingdao,permute_D0,20260933,15790,0.004874651810584885
Shanghai,Qingdao,permute_D0,20260934,15826,0.0013927576601671099
Shanghai,Qingdao,permute_D0,20260935,15866,0.0017409470752087763
Shanghai,Qingdao,permute_D0,20260936,15786,0.003830083565459552
Shanghai,Qingdao,permute_D0,20260937,15781,0.0013927576601671099
Shanghai,Qingdao,permute_D0,20260938,15847,0.0031337047353758862
Shanghai,Qingdao,permute_D0,20260939,15858,0.0
Shanghai,Qingdao,permute_D1,20260920,0,0.0
Shanghai,Qingdao,permute_D1,20260921,0,0.0
Shanghai,Qingdao,permute_D1,20260922,0,0.0
Shanghai,Qingdao,permute_D1,20260923,0,0.0
Shanghai,Qingdao,permute_D1,20260924,0,0.0
Shanghai,Qingdao,permute_D1,20260925,0,0.0
Shanghai,Qingdao,permute_D1,20260926,0,0.0
Shanghai,Qingdao,permute_D1,20260927,0,0.0
Shanghai,Qingdao,permute_D1,20260928,0,0.0
Shanghai,Qingdao,permute_D1,20260929,0,0.0
Shanghai,Qingdao,permute_D1,20260930,0,0.0
Shanghai,Qingdao,permute_D1,20260931,0,0.0
Shanghai,Qingdao,permute_D1,20260932,0,0.0
Shanghai,Qingdao,permute_D1,20260933,0,0.0
Shanghai,Qingdao,permute_D1,20260934,0,0.0
Shanghai,Qingdao,permute_D1,20260935,0,0.0
Shanghai,Qingdao,permute_D1,20260936,0,0.0
Shanghai,Qingdao,permute_D1,20260937,0,0.0
Shanghai,Qingdao,permute_D1,20260938,0,0.0
Shanghai,Qingdao,permute_D1,20260939,0,0.0
Shanghai,Qingdao,permute_D3,20260920,19069,-0.000696378830083666
Shanghai,Qingdao,permute_D3,20260921,19115,0.0
Shanghai,Qingdao,permute_D3,20260922,19041,-0.000696378830083666
Shanghai,Qingdao,permute_D3,20260923,19016,0.03263695450324966
Shanghai,Qingdao,permute_D3,20260924,19097,-0.0003481894150418885
Shanghai,Qingdao,permute_D3,20260925,19002,-0.004526462395543218
Shanghai,Qingdao,permute_D3,20260926,18981,0.0336815227483751
Shanghai,Qingdao,permute_D3,20260927,19007,-0.002785515320334331
Shanghai,Qingdao,permute_D3,20260928,19031,0.0017409470752087763
Shanghai,Qingdao,permute_D3,20260929,18943,-0.001392757660167221
Shanghai,Qingdao,permute_D3,20260930,19088,0.030547818012998995
Shanghai,Qingdao,permute_D3,20260931,19061,0.00034818941504166645
Shanghai,Qingdao,permute_D3,20260932,18975,0.03228876508820788
Shanghai,Qingdao,permute_D3,20260933,19049,0.0
Shanghai,Qingdao,permute_D3,20260934,19060,0.029503249767873663
Shanghai,Qingdao,permute_D3,20260935,19073,0.029155060352831885
Shanghai,Qingdao,permute_D3,20260936,19036,-0.0003481894150418885
Shanghai,Qingdao,permute_D3,20260937,19073,-0.000696378830083666
Shanghai,Qingdao,permute_D3,20260938,19097,0.00034818941504166645
Shanghai,Qingdao,permute_D3,20260939,19059,-0.002089136490250776
Shanghai,Qingdao,permute_joint,20260920,22530,0.007311977715877438
Shanghai,Qingdao,permute_joint,20260921,22548,0.0034818941504177747
Shanghai,Qingdao,permute_joint,20260922,22514,0.0006963788300835549
Shanghai,Qingdao,permute_joint,20260923,22547,0.004526462395543107
Shanghai,Qingdao,permute_joint,20260924,22536,0.03228876508820788
Shanghai,Qingdao,permute_joint,20260925,22560,0.03646703806870932
Shanghai,Qingdao,permute_joint,20260926,22565,0.0
Shanghai,Qingdao,permute_joint,20260927,22517,-0.0024373259052925533
Shanghai,Qingdao,permute_joint,20260928,22636,0.03228876508820788
Shanghai,Qingdao,permute_joint,20260929,22590,0.0368152274837511
Shanghai,Qingdao,permute_joint,20260930,22552,0.0027855153203342198
Shanghai,Qingdao,permute_joint,20260931,22563,-0.0017409470752089984
Shanghai,Qingdao,permute_joint,20260932,22550,0.03263695450324966
Shanghai,Qingdao,permute_joint,20260933,22566,-0.0017409470752089984
Shanghai,Qingdao,permute_joint,20260934,22533,0.002089136490250665
Shanghai,Qingdao,permute_joint,20260935,22489,-0.004178272980501552
Shanghai,Qingdao,permute_joint,20260936,22550,-0.0031337047353761083
Shanghai,Qingdao,permute_joint,20260937,22591,0.033333333333333215
Shanghai,Qingdao,permute_joint,20260938,22584,0.0024373259052923313
Shanghai,Qingdao,permute_joint,20260939,22559,-0.000696378830083666
Fujairah,Shanghai,permute_D0,20260920,10224,-0.0006499116228964597
Fujairah,Shanghai,permute_D0,20260921,10196,-0.006344581972420327
Fujairah,Shanghai,permute_D0,20260922,10249,-0.007615852615533714
Fujairah,Shanghai,permute_D0,20260923,10272,-0.010108808931704794
Fujairah,Shanghai,permute_D0,20260924,10204,-0.015462103108532577
Fujairah,Shanghai,permute_D0,20260925,10197,-0.006300874189398509
Fujairah,Shanghai,permute_D0,20260926,10236,-0.00904813186761283
Fujairah,Shanghai,permute_D0,20260927,10187,-0.012096765759008976
Fujairah,Shanghai,permute_D0,20260928,10253,-0.011006119089623012
Fujairah,Shanghai,permute_D0,20260929,10252,-0.00904813186761283
Fujairah,Shanghai,permute_D0,20260930,10199,-0.00571109071077186
Fujairah,Shanghai,permute_D0,20260931,10164,-0.007780312638010101
Fujairah,Shanghai,permute_D0,20260932,10244,-0.004509209336157893
Fujairah,Shanghai,permute_D0,20260933,10171,-0.01372844764327158
Fujairah,Shanghai,permute_D0,20260934,10230,-0.008839127355808996
Fujairah,Shanghai,permute_D0,20260935,10180,-0.009054197988328572
Fujairah,Shanghai,permute_D0,20260936,10191,-0.011776526541977195
Fujairah,Shanghai,permute_D0,20260937,10243,-0.01027672036769195
Fujairah,Shanghai,permute_D0,20260938,10149,-0.01130404388929429
Fujairah,Shanghai,permute_D0,20260939,10292,-0.003806328806009951
Fujairah,Shanghai,permute_D1,20260920,0,0.0
Fujairah,Shanghai,permute_D1,20260921,0,0.0
Fujairah,Shanghai,permute_D1,20260922,0,0.0
Fujairah,Shanghai,permute_D1,20260923,0,0.0
Fujairah,Shanghai,permute_D1,20260924,0,0.0
Fujairah,Shanghai,permute_D1,20260925,0,0.0
Fujairah,Shanghai,permute_D1,20260926,0,0.0
Fujairah,Shanghai,permute_D1,20260927,0,0.0
Fujairah,Shanghai,permute_D1,20260928,0,0.0
Fujairah,Shanghai,permute_D1,20260929,0,0.0
Fujairah,Shanghai,permute_D1,20260930,0,0.0
Fujairah,Shanghai,permute_D1,20260931,0,0.0
Fujairah,Shanghai,permute_D1,20260932,0,0.0
Fujairah,Shanghai,permute_D1,20260933,0,0.0
Fujairah,Shanghai,permute_D1,20260934,0,0.0
Fujairah,Shanghai,permute_D1,20260935,0,0.0
Fujairah,Shanghai,permute_D1,20260936,0,0.0
Fujairah,Shanghai,permute_D1,20260937,0,0.0
Fujairah,Shanghai,permute_D1,20260938,0,0.0
Fujairah,Shanghai,permute_D1,20260939,0,0.0
Fujairah,Shanghai,permute_D2,20260920,0,0.0
Fujairah,Shanghai,permute_D2,20260921,0,0.0
Fujairah,Shanghai,permute_D2,20260922,0,0.0
Fujairah,Shanghai,permute_D2,20260923,0,0.0
Fujairah,Shanghai,permute_D2,20260924,0,0.0
Fujairah,Shanghai,permute_D2,20260925,0,0.0
