fold,pseudo_target,dim,n_eval_candidates,n_valid,n_valid_labeled,n_nonzero_after_std,n_distinct_values
Rotterdam,Qingdao,D0,24582,24582,1588,24582,4793
Rotterdam,Qingdao,D1,24582,0,0,0,1
Rotterdam,Qingdao,D2,24582,24582,1588,24582,160
Rotterdam,Qingdao,D3,24582,24582,1588,24582,49
Shanghai,Qingdao,D0,24582,24582,1451,24582,4793
Shanghai,Qingdao,D1,24582,0,0,0,1
Shanghai,Qingdao,D3,24582,24582,1451,24582,49
Fujairah,Shanghai,D0,26653,26653,1094,26653,3005
Fujairah,Shanghai,D1,26653,0,0,0,1
Fujairah,Shanghai,D2,26653,0,0,0,1
Fujairah,Shanghai,D3,26653,26653,1094,26653,47
JebelAli,Shanghai,D0,26653,26653,865,26653,3005
JebelAli,Shanghai,D1,26653,0,0,0,1
JebelAli,Shanghai,D2,26653,0,0,0,1
JebelAli,Shanghai,D3,26653,26653,865,26653,47
PortSaid,Shanghai,D0,26653,26653,1094,26653,3005
PortSaid,Shanghai,D1,26653,0,0,0,1
PortSaid,Shanghai,D2,26653,0,0,0,1
PortSaid,Shanghai,D3,26653,26653,1094,26653,47
