product_id,coast_layer_observed,anchorage_layer_observed,fairway_layer_observed
S1A_IW_GRDH_1SDV_20250115T173330_20250115T173355_057458_07130D_51CB,1,1,0
S1A_IW_GRDH_1SDV_20250220T173328_20250220T173353_057983_07280A_D019,1,1,0
S1A_IW_GRDH_1SDV_20250409T173329_20250409T173354_058683_07444B_FA8B,1,1,0
S1A_IW_GRDH_1SDV_20250714T173326_20250714T173351_060083_077709_FD9C,1,1,0
S1C_IW_GRDH_1SDV_20250611T055738_20250611T055803_002731_005A0C_2C37,1,1,0
S1C_IW_GRDH_1SDV_20250623T055738_20250623T055803_002906_005F16_6E06,1,1,0
S1C_IW_GRDH_1SDV_20250705T055739_20250705T055804_003081_00641D_2DF0,1,1,0
S1C_IW_GRDH_1SDV_20250720T173209_20250720T173234_003307_006AB5_D3FE,1,1,0
S1A_IW_GRDH_1SDV_20250912T173326_20250912T173351_060958_0797F4_2E8D,1,1,0
S1A_IW_GRDH_1SDV_20251217T173322_20251217T173347_062358_07CF5C_3556,1,1,0
S1C_IW_GRDH_1SDV_20250810T055741_20250810T055806_003606_007385_F130,1,1,0
S1C_IW_GRDH_1SDV_20250822T055742_20250822T055806_003781_0078C6_2C32,1,1,0
S1C_IW_GRDH_1SDV_20250903T055742_20250903T055807_003956_007E04_B34B,1,1,0
S1C_IW_GRDH_1SDV_20250906T173211_20250906T173236_004007_007F7E_D39D,1,1,0
S1C_IW_GRDH_1SDV_20250915T055742_20250915T055807_004131_008359_AA20,1,1,0
S1C_IW_GRDH_1SDV_20250927T055742_20250927T055807_004306_0088A6_843A,1,1,0
S1C_IW_GRDH_1SDV_20251117T173211_20251117T173236_005057_00A047_CB70,1,1,0
S1A_IW_GRDH_1SDV_20250812T092320_20250812T092349_060501_0785D8_D733,1,0,0
S1A_IW_GRDH_1SDV_20250104T103939_20250104T104004_057293_070C8F_4A75,1,0,0
S1A_IW_GRDH_1SDV_20250128T103938_20250128T104003_057643_071A72_02D2,1,0,0
S1A_IW_GRDH_1SDV_20250226T104756_20250226T104817_058066_072B73_87CC,1,0,0
S1A_IW_GRDH_1SDV_20250317T103937_20250317T104002_058343_073699_CE68,1,0,0
S1A_IW_GRDH_1SDV_20250528T103937_20250528T104002_059393_075F48_4EAF,1,0,0
S1A_IW_GRDH_1SDV_20250716T233423_20250716T233448_060115_077824_E5F7,1,0,0
S1A_IW_GRDH_1SDV_20250728T233423_20250728T233448_060290_077E28_8D35,1,0,0
S1A_IW_GRDH_1SDV_20250809T233423_20250809T233448_060465_07847A_0D09,1,0,0
S1A_IW_GRDH_1SDV_20250902T233423_20250902T233448_060815_079246_B71C,1,0,0
S1A_IW_GRDH_1SDV_20251101T233423_20251101T233448_061690_07B569_16F6,1,0,0
S1C_IW_GRDH_1SDV_20250802T103843_20250802T103908_003492_00701B_89A1,1,0,0
S1C_IW_GRDH_1SDV_20250803T233313_20250803T233338_003514_0070C0_6937,1,0,0
S1C_IW_GRDH_1SDV_20250827T233314_20250827T233339_003864_007B3B_3B7B,1,0,0
S1C_IW_GRDH_1SDV_20251213T233313_20251213T233338_005439_00AD3E_36D0,1,0,0
S1A_IW_GRDH_1SDV_20250108T141656_20250108T141721_057354_070EF9_747A,1,0,0
S1A_IW_GRDH_1SDV_20250120T141655_20250120T141720_057529_0715E8_27AA,1,0,0
S1A_IW_GRDH_1SDV_20250201T141654_20250201T141719_057704_071CD3_8E9C,1,0,0
S1A_IW_GRDH_1SDV_20250225T141654_20250225T141719_058054_072AFB_9955,1,0,0
S1A_IW_GRDH_1SDV_20250321T141654_20250321T141719_058404_07390A_3A64,1,0,0
S1A_IW_GRDH_1SDV_20250508T141655_20250508T141720_059104_07553F_D9D1,1,0,0
S1A_IW_GRDH_1SDV_20250731T141651_20250731T141716_060329_077F80_00CD,1,0,0
S1A_IW_GRDH_1SDV_20250917T141651_20250917T141716_061029_079AD4_BEB1,1,0,0
S1A_IW_GRDH_1SDV_20251011T141652_20251011T141717_061379_07A8EC_6D05,1,0,0
S1A_IW_GRDH_1SDV_20251023T141652_20251023T141717_061554_07AFF4_3310,1,0,0
S1A_IW_GRDH_1SDV_20251026T020728_20251026T020753_061590_07B161_3CC3,1,0,0
S1A_IW_GRDH_1SDV_20251222T141647_20251222T141712_062429_07D225_B5FC,1,0,0
S1A_IW_GRDH_1SDV_20251017T054129_20251017T054154_061461_07AC2A_79B6,1,0,0
S1A_IW_GRDH_1SDV_20251029T054128_20251029T054153_061636_07B333_88A6,1,0,0
