product,granuleName,platform,flightDirection,pathNumber,frameNumber,startTime,centerLat,centerLon,polarization,lookDirection
S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8,S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8,Sentinel-1A,ASCENDING,,78,2025-01-01T14:25:09Z,25.4239,55.086,VV+VH,R
S1A_IW_GRDH_1SDV_20250102T001853_20250102T001918_057258_070B29_785E,S1A_IW_GRDH_1SDV_20250102T001853_20250102T001918_057258_070B29_785E,Sentinel-1A,ASCENDING,,94,2025-01-02T00:18:53Z,30.0685,-93.9955,VV+VH,R
S1A_IW_GRDH_1SDV_20250102T015821_20250102T015850_057259_070B31_AC37,S1A_IW_GRDH_1SDV_20250102T015821_20250102T015850_057259_070B31_AC37,Sentinel-1A,ASCENDING,,102,2025-01-02T01:58:21Z,32.8207,-119.206,VV+VH,R
S1A_IW_GRDH_1SDV_20250102T054133_20250102T054158_057261_070B43_0A51,S1A_IW_GRDH_1SDV_20250102T054133_20250102T054158_057261_070B43_0A51,Sentinel-1A,DESCENDING,,411,2025-01-02T05:41:33Z,54.439,8.6856,VV+VH,R
S1A_IW_GRDH_1SDV_20250102T122317_20250102T122347_057265_070B6D_EB07,S1A_IW_GRDH_1SDV_20250102T122317_20250102T122347_057265_070B6D_EB07,Sentinel-1A,DESCENDING,,492,2025-01-02T12:23:17Z,29.9487,-95.9966,VV+VH,R
S1A_IW_GRDH_1SDV_20250102T163008_20250102T163033_057267_070B86_350D,S1A_IW_GRDH_1SDV_20250102T163008_20250102T163033_057267_070B86_350D,Sentinel-1A,ASCENDING,,1084,2025-01-02T16:30:08Z,-28.4214,32.2791,VV+VH,R
S1A_IW_GRDH_1SDV_20250102T191541_20250102T191606_057269_070B97_128E,S1A_IW_GRDH_1SDV_20250102T191541_20250102T191606_057269_070B97_128E,Sentinel-1A,DESCENDING,,701,2025-01-02T19:15:41Z,-32.8704,150.7118,VV+VH,R
S1A_IW_GRDH_1SDV_20250102T191606_20250102T191631_057269_070B97_08C8,S1A_IW_GRDH_1SDV_20250102T191606_20250102T191631_057269_070B97_08C8,Sentinel-1A,DESCENDING,,706,2025-01-02T19:16:06Z,-34.3562,150.2153,VV+VH,R
S1A_IW_GRDH_1SDV_20250103T153907_20250103T153936_057281_070C1A_B1ED,S1A_IW_GRDH_1SDV_20250103T153907_20250103T153936_057281_070C1A_B1ED,Sentinel-1A,ASCENDING,,1163,2025-01-03T15:39:07Z,-4.5441,40.6324,VV+VH,R
S1A_IW_GRDH_1SDV_20250103T213202_20250103T213231_057285_070C43_5DB2,S1A_IW_GRDH_1SDV_20250103T213202_20250103T213231_057285_070C43_5DB2,Sentinel-1A,DESCENDING,,659,2025-01-03T21:32:02Z,-20.3418,119.4452,VV+VH,R
S1A_IW_GRDH_1SDV_20250104T021547_20250104T021611_057288_070C5C_2B74,S1A_IW_GRDH_1SDV_20250104T021547_20250104T021611_057288_070C5C_2B74,Sentinel-1A,DESCENDING,,509,2025-01-04T02:15:47Z,24.9923,55.1869,VV+VH,R
S1A_IW_GRDH_1SDV_20250104T035238_20250104T035303_057289_070C66_D580,S1A_IW_GRDH_1SDV_20250104T035238_20250104T035303_057289_070C66_D580,Sentinel-1A,DESCENDING,,486,2025-01-04T03:52:38Z,31.7804,31.9112,VV+VH,R
S1A_IW_GRDH_1SDV_20250104T095441_20250104T095506_057293_070C89_A4EF,S1A_IW_GRDH_1SDV_20250104T095441_20250104T095506_057293_070C89_A4EF,Sentinel-1A,ASCENDING,,91,2025-01-04T09:54:41Z,29.3651,122.1565,VV+VH,R
S1A_IW_GRDH_1SDV_20250104T095506_20250104T095531_057293_070C89_4BA6,S1A_IW_GRDH_1SDV_20250104T095506_20250104T095531_057293_070C89_4BA6,Sentinel-1A,ASCENDING,,96,2025-01-04T09:55:06Z,30.8712,121.8392,VV+VH,R
S1A_IW_GRDH_1SDV_20250104T103939_20250104T104004_057293_070C8F_4A75,S1A_IW_GRDH_1SDV_20250104T103939_20250104T104004_057293_070C8F_4A75,Sentinel-1A,DESCENDING,,631,2025-01-04T10:39:39Z,-11.8388,-75.9663,VV+VH,R
S1A_IW_GRDH_1SDV_20250104T112537_20250104T112602_057293_070C93_D06A,S1A_IW_GRDH_1SDV_20250104T112537_20250104T112602_057293_070C93_D06A,Sentinel-1A,ASCENDING,,1183,2025-01-04T11:25:37Z,1.1035,103.2028,VV+VH,R
S1A_IW_GRDH_1SDV_20250105T083938_20250105T084003_057306_070D1A_15A7,S1A_IW_GRDH_1SDV_20250105T083938_20250105T084003_057306_070D1A_15A7,Sentinel-1A,ASCENDING,,1067,2025-01-05T08:39:38Z,-33.6533,151.2127,VV+VH,R
S1A_IW_GRDH_1SDV_20250105T224813_20250105T224838_057315_070D6B_4F1E,S1A_IW_GRDH_1SDV_20250105T224813_20250105T224838_057315_070D6B_4F1E,Sentinel-1A,DESCENDING,,585,2025-01-05T22:48:13Z,1.8545,104.0052,VV+VH,R
S1A_IW_GRDH_1SDV_20250105T233428_20250105T233453_057315_070D70_D6F9,S1A_IW_GRDH_1SDV_20250105T233428_20250105T233453_057315_070D70_D6F9,Sentinel-1A,ASCENDING,,1141,2025-01-05T23:34:28Z,-11.5577,-77.0882,VV+VH,R
S1A_IW_GRDH_1SDV_20250106T225102_20250106T225127_057330_070E04_1904,S1A_IW_GRDH_1SDV_20250106T225102_20250106T225127_057330_070E04_1904,Sentinel-1A,ASCENDING,,126,2025-01-06T22:51:02Z,39.6956,-73.4669,VV+VH,R
S1A_IW_GRDH_1SDV_20250106T225127_20250106T225152_057330_070E04_00BA,S1A_IW_GRDH_1SDV_20250106T225127_20250106T225152_057330_070E04_00BA,Sentinel-1A,ASCENDING,,131,2025-01-06T22:51:27Z,41.1978,-73.8119,VV+VH,R
S1A_IW_GRDH_1SDV_20250108T083115_20250108T083144_057350_070ECD_95D9,S1A_IW_GRDH_1SDV_20250108T083115_20250108T083144_057350_070ECD_95D9,Sentinel-1A,DESCENDING,,670,2025-01-08T08:31:15Z,-23.6565,-46.0263,VV+VH,R
S1A_IW_GRDH_1SDV_20250108T092325_20250108T092354_057351_070ED6_D190,S1A_IW_GRDH_1SDV_20250108T092325_20250108T092354_057351_070ED6_D190,Sentinel-1A,ASCENDING,,111,2025-01-08T09:23:25Z,35.473,129.0869,VV+VH,R
S1A_IW_GRDH_1SDV_20250108T141656_20250108T141721_057354_070EF9_747A,S1A_IW_GRDH_1SDV_20250108T141656_20250108T141721_057354_070EF9_747A,Sentinel-1A,ASCENDING,,78,2025-01-08T14:16:56Z,25.5363,57.125,VV+VH,R
S1A_IW_GRDH_1SDV_20250109T113412_20250109T113437_057367_070F7A_7BF1,S1A_IW_GRDH_1SDV_20250109T113412_20250109T113437_057367_070F7A_7BF1,Sentinel-1A,ASCENDING,,1187,2025-01-09T11:34:12Z,2.3765,100.8788,VV+VH,R
S1A_IW_GRDH_1SDV_20250109T135249_20250109T135314_057368_070F87_CBE3,S1A_IW_GRDH_1SDV_20250109T135249_20250109T135314_057368_070F87_CBE3,Sentinel-1A,DESCENDING,,480,2025-01-09T13:52:49Z,33.6351,-117.8692,VV+VH,R
S1A_IW_GRDH_1SDV_20250109T181825_20250109T181850_057371_070FA1_4EBA,S1A_IW_GRDH_1SDV_20250109T181825_20250109T181850_057371_070FA1_4EBA,Sentinel-1A,ASCENDING,,113,2025-01-09T18:18:25Z,35.8693,-4.6834,VV+VH,R
S1A_IW_GRDH_1SDV_20250109T190756_20250109T190821_057371_070FA6_03D6,S1A_IW_GRDH_1SDV_20250109T190756_20250109T190821_057371_070FA6_03D6,Sentinel-1A,DESCENDING,,707,2025-01-09T19:07:56Z,-34.6108,152.1957,VV+VH,R
