domain,payoff,rank_quality,n,sd,iqr,skew,q90q10,top10_share,base,pool
Antwerp-Bruges,0.05264029665469472,0.5780345235367128,886,0.35532182455062866,0.36849820613861084,1.8301022052764893,0.7861703038215637,0.19977426636568849,0.557486836574412,sar24
Busan,-0.0068963991349421105,0.7341262847493968,871,0.5043920874595642,0.4366995394229889,1.6064727306365967,1.2481791973114014,0.1997703788748565,0.47026631706453004,sar24
Callao,0.04302927694052583,0.46915003282642176,476,0.2802311182022095,0.3038446307182312,1.8607367277145386,0.5971196889877319,0.19957983193277312,0.2811866672477894,sar24
Fujairah,0.14412997585700488,0.43359095132053327,1158,0.29351991415023804,0.31408244371414185,1.7515326738357544,0.6694272756576538,0.19948186528497408,0.339593556829726,sar24
Hamburg,0.011888290392204404,0.7771968468822454,1619,0.5425226092338562,0.6044138669967651,1.420133113861084,1.3888179063796997,0.19950586781964175,0.6248382429384853,sar24
Houston,-0.08977256664415056,0.6911796437832242,804,0.33930203318595886,0.36670368909835815,1.7143737077713013,0.7882084250450134,0.19900497512437812,0.326741482490597,sar24
Jebel Ali,0.09287742036476443,0.4176654192881428,4602,0.25014689564704895,0.2215883433818817,2.6412882804870605,0.4809798300266266,0.19991308126901347,0.3807233128027161,sar24
Los Angeles,0.006809098848531481,0.5880556781792012,583,0.3132050037384033,0.3986995816230774,1.3423649072647095,0.7447898983955383,0.19897084048027444,0.36408898751414887,sar24
Melbourne,0.2709986772486772,0.5802448936162925,64,0.27784982323646545,0.3166743516921997,1.3764994144439697,0.723803699016571,0.1875,0.5430436556507549,sar24
Mombasa,0.08121502679610271,0.5012024697668758,149,0.2837720215320587,0.323689341545105,1.6964268684387207,0.6131123900413513,0.19463087248322147,0.5623517699762831,sar24
New York,0.10881842137856873,0.58985384861218,470,0.397139310836792,0.2676587700843811,2.1312971115112305,0.8832411766052246,0.2,0.4317554796972627,sar24
Newcastle,0.012811648281020271,0.4748332479823848,299,0.3952445685863495,0.38464251160621643,1.8788946866989136,0.8488937020301819,0.19732441471571907,0.38821544812256886,sar24
Ningbo-Zhoushan,0.43684174188506675,0.9553505483090261,5756,0.5567930340766907,0.9489657878875732,0.3272915184497833,1.4979064464569092,0.19996525364836693,0.569054834142641,sar24
Port Hedland,-0.09015526570354122,0.28061969001534826,859,0.3468537926673889,0.522774338722229,0.8553223609924316,0.8829154968261719,0.1990686845168801,0.1740281855224384,sar24
