arm             mean BA     Δ vs V
----------------------------------
V                0.4395    +0.0000
K                0.4619    +0.0224
gate             0.4600    +0.0205
gate_oracle      0.4733    +0.0338

port                     V       K    ĝgain    w true gain
Fujairah             0.340   0.481  +0.0074    1   +0.141
Antwerp-Bruges       0.557   0.652  +0.0857    1   +0.095
Ningbo-Zhoushan      0.569   0.647  +0.0117    1   +0.078
Newcastle            0.388   0.461  -0.0033    0   +0.073
Rotterdam            0.581   0.653  +0.0830    1   +0.072
Callao               0.281   0.344  +0.0019    1   +0.063
Melbourne            0.543   0.601  +0.0126    1   +0.058
Hamburg              0.625   0.677  +0.0248    1   +0.052
Shanghai             0.605   0.655  +0.0249    1   +0.050
New York             0.432   0.474  +0.0276    1   +0.043
Mombasa              0.562   0.593  +0.0472    1   +0.031
Port Said            0.345   0.372  +0.0575    1   +0.028
Qingdao              0.752   0.767  +0.0177    1   +0.015
Tanger Med           0.387   0.400  +0.0285    1   +0.012
Richards Bay         0.339   0.338  -0.0003    0   -0.001
Sydney Botany        0.418   0.417  +0.0204    1   -0.001
Jebel Ali            0.381   0.374  +0.0472    1   -0.007
Los Angeles          0.364   0.357  +0.0311    1   -0.007
Port Klang           0.358   0.340  +0.0512    1   -0.019
Houston              0.327   0.299  -0.1287    0   -0.028
Santos               0.390   0.360  +0.0325    1   -0.030
Port Hedland         0.174   0.136  +0.0180    1   -0.038
Busan                0.470   0.409  +0.0140    1   -0.061
Singapore            0.360   0.277  +0.0572    1   -0.083

闸门方向判对: 15 / 24 港
