arm           mean BA     Δ vs V
--------------------------------
V              0.4395    +0.0000
K              0.4619    +0.0224
snd_pick       0.4460    +0.0064
mix_pick       0.4531    +0.0135
oracle         0.4733    +0.0338
rand           0.4425    +0.0029

port                    V      K   SND(V)   SND(K)     MixV     MixK
Antwerp-Bruges      0.557  0.652    6.275    6.299    0.001    0.062
Busan               0.470  0.409    6.227    6.057    0.001   -0.028
Callao              0.281  0.344    5.746    5.578    0.001    0.033
Fujairah            0.340  0.481    6.599    6.567    0.001    0.000
Hamburg             0.625  0.677    6.813    6.914    0.000    0.000
Houston             0.327  0.299    6.181    5.336    0.000   -0.018
Jebel Ali           0.381  0.374    8.091    7.748    0.000    0.110
Los Angeles         0.364  0.357    5.966    5.985    0.001    0.002
Melbourne           0.543  0.601    3.842    3.947    0.004    0.004
Mombasa             0.562  0.593    4.650    4.598    0.003   -0.063
New York            0.432  0.474    5.640    5.621    0.001    0.002
Newcastle           0.388  0.461    5.150    5.186    0.006    0.005
Ningbo-Zhoushan     0.569  0.647    8.088    8.171    0.000   -0.002
Port Hedland        0.174  0.136    6.351    6.339    0.001    0.001
Port Klang          0.358  0.340    7.682    7.745    0.000   -0.004
Port Said           0.345  0.372    7.257    7.163    0.000   -0.002
Qingdao             0.752  0.767    6.826    6.813    0.001    0.068
Richards Bay        0.339  0.338    6.287    6.316    0.000    0.001
Rotterdam           0.581  0.653    5.816    5.886    0.001    0.004
Santos              0.390  0.360    7.070    7.073    0.000    0.001
Shanghai            0.605  0.655    7.076    6.982    0.000    0.050
Singapore           0.360  0.277    8.080    7.827    0.000   -0.039
Sydney Botany       0.418  0.417    5.351    5.426    0.005    0.002
Tanger Med          0.387  0.400    6.830    6.859    0.000    0.000

SND 选择正确 12/24 ; MixVal 选择正确 13/24
