arm         mean BA     Δ vs V
------------------------------
V            0.4395    +0.0000
K            0.4619    +0.0224
alignV       0.4628    +0.0233
alignK       0.4595    +0.0200
alignCos     0.4628    +0.0233
shuf         0.4507    +0.0112
oracle       0.4733    +0.0338
rand         0.4451    +0.0056

alignV 方向判对 19/24

port                    V      K  g_alignV  g_alignK   pick
Qingdao             0.752  0.767   +0.0221   +0.0266      K
Hamburg             0.625  0.677   +0.0191   +0.0228      K
Rotterdam           0.581  0.653   +0.0184   +0.0256      K
Antwerp-Bruges      0.557  0.652   +0.0167   +0.0283      K
Shanghai            0.605  0.655   +0.0159   +0.0173      K
Melbourne           0.543  0.601   +0.0122   +0.0135      K
Ningbo-Zhoushan     0.569  0.647   +0.0075   +0.0074      K
Busan               0.470  0.409   +0.0069   -0.0026      K
Port Said           0.345  0.372   +0.0045   +0.0080      K
Mombasa             0.562  0.593   +0.0041   +0.0126      K
Fujairah            0.340  0.481   +0.0028   +0.0137      K
Tanger Med          0.387  0.400   -0.0009   -0.0117      V
New York            0.432  0.474   -0.0044   -0.0248      V
Sydney Botany       0.418  0.417   -0.0056   +0.0002      V
Port Klang          0.358  0.340   -0.0068   +0.0139      V
Jebel Ali           0.381  0.374   -0.0075   +0.0184      V
Newcastle           0.388  0.461   -0.0080   -0.0083      V
Houston             0.327  0.299   -0.0093   -0.0200      V
Richards Bay        0.339  0.338   -0.0102   -0.0052      V
Callao              0.281  0.344   -0.0123   -0.0197      V
Santos              0.390  0.360   -0.0126   +0.0029      V
Singapore           0.360  0.277   -0.0162   +0.0114      V
Los Angeles         0.364  0.357   -0.0231   -0.0093      V
Port Hedland        0.174  0.136   -0.0278   -0.0241      V

corr(g_alignV, true gain) = +0.525
