arm       mean BA     Δ vs V
----------------------------
V          0.4395    +0.0000
K          0.4619    +0.0224
tau0       0.4628    +0.0233
risk       0.4524    +0.0129
p25        0.4628    +0.0233
oracle     0.4733    +0.0338

tau0 判对 19/24 ; risk 判对 16/24 ; p25 判对 19/24

=== 源端 tau 曲线（跨折平均）：mean gain / std / p25 / 应用比例 ===
  tau=-999.000  mean +0.0226  std 0.0529  p25 -0.0137  应用率 1.00
  tau=   0.000  mean +0.0202  std 0.0398  p25 +0.0000  应用率 0.47
  tau=   0.001  mean +0.0192  std 0.0388  p25 +0.0000  应用率 0.45
  tau=   0.002  mean +0.0178  std 0.0374  p25 +0.0000  应用率 0.42
  tau=   0.003  mean +0.0172  std 0.0369  p25 +0.0000  应用率 0.40
  tau=   0.004  mean +0.0160  std 0.0353  p25 +0.0000  应用率 0.37
  tau=   0.006  mean +0.0149  std 0.0335  p25 +0.0000  应用率 0.34
  tau=   0.008  mean +0.0146  std 0.0317  p25 +0.0000  应用率 0.31
  tau=   0.010  mean +0.0142  std 0.0298  p25 +0.0000  应用率 0.27
  tau=   0.015  mean +0.0128  std 0.0277  p25 +0.0000  应用率 0.22

port                    V      K         g tau_risk  tau_p25   pick   true
Qingdao             0.752  0.767   +0.0221    0.015    0.000      K      K
Hamburg             0.625  0.677   +0.0191    0.015    0.000      K      K
Rotterdam           0.581  0.653   +0.0184    0.010    0.000      K      K
Antwerp-Bruges      0.557  0.652   +0.0167    0.008    0.000      K      K
Shanghai            0.605  0.655   +0.0159    0.010    0.000      K      K
Melbourne           0.543  0.601   +0.0122    0.010    0.000      K      K
Ningbo-Zhoushan     0.569  0.647   +0.0075    0.015    0.000      V      K
Busan               0.470  0.409   +0.0069    0.004    0.000      K      V
Port Said           0.345  0.372   +0.0045    0.001    0.000      K      K
Mombasa             0.562  0.593   +0.0041    0.010    0.000      V      K
Fujairah            0.340  0.481   +0.0028    0.008    0.000      V      K
Tanger Med          0.387  0.400   -0.0009    0.010    0.000      V      K
New York            0.432  0.474   -0.0044    0.006    0.000      V      K
Sydney Botany       0.418  0.417   -0.0056    0.010    0.000      V      V
Port Klang          0.358  0.340   -0.0068    0.006    0.000      V      V
Jebel Ali           0.381  0.374   -0.0075    0.008    0.000      V      V
Newcastle           0.388  0.461   -0.0080    0.015    0.000      V      K
Houston             0.327  0.299   -0.0093    0.008    0.000      V      V
Richards Bay        0.339  0.338   -0.0102    0.015    0.000      V      V
Callao              0.281  0.344   -0.0123    0.008    0.000      V      K
Santos              0.390  0.360   -0.0126    0.015    0.000      V      V
Singapore           0.360  0.277   -0.0162    0.006    0.000      V      V
Los Angeles         0.364  0.357   -0.0231    0.008    0.000      V      V
Port Hedland        0.174  0.136   -0.0278    0.010    0.000      V      V
