port,class,n,ridge_V,ridge_VK,gbm_zk,gate3,gate2,oracle3,oracle2
Antwerp-Bruges,0,208,0.44712,0.61538,0.99519,0.99038,0.99519,0.99519,0.99519
Antwerp-Bruges,1,190,0.80526,0.86316,0.93158,0.92632,0.93158,0.96842,0.96842
Antwerp-Bruges,2,488,0.42008,0.54303,0.59016,0.57787,0.58607,0.75205,0.71926
Busan,0,204,0.31373,0.41667,0.94118,0.91176,0.90686,0.95588,0.94608
Busan,1,351,0.75214,0.73504,0.82621,0.81481,0.80627,0.86895,0.85755
Busan,2,316,0.34494,0.35127,0.25949,0.28165,0.28797,0.59494,0.48418
Callao,0,111,0.07207,0.06306,0.55856,0.55856,0.55856,0.58559,0.57658
Callao,1,192,0.48958,0.34375,0.29167,0.30729,0.29167,0.53646,0.40625
Callao,2,47,0.08511,0.44681,0.27660,0.27660,0.27660,0.51064,0.44681
Callao,3,59,0.37288,0.49153,0.79661,0.77966,0.77966,0.79661,0.79661
Callao,4,21,0.52381,0.52381,0.52381,0.52381,0.52381,0.61905,0.61905
Callao,5,16,0.56250,0.56250,0.25000,0.25000,0.25000,0.56250,0.56250
Callao,6,19,0.05263,0.00000,0.00000,0.00000,0.00000,0.05263,0.00000
Callao,7,11,0.09091,0.27273,0.18182,0.18182,0.18182,0.36364,0.36364
Fujairah,0,956,0.32218,0.44038,0.64017,0.61402,0.61820,0.78452,0.74059
Fujairah,1,40,0.42500,0.40000,0.60000,0.55000,0.55000,0.65000,0.62500
Fujairah,2,162,0.27160,0.36420,0.77778,0.74074,0.74691,0.79012,0.77778
Hamburg,0,218,0.47706,0.65138,0.99541,0.99541,0.99541,0.99541,0.99541
Hamburg,1,447,0.91946,0.91051,0.89262,0.90828,0.90828,0.94183,0.93065
Hamburg,2,954,0.47799,0.46122,0.28302,0.41090,0.38994,0.63836,0.57652
Houston,0,57,0.17544,0.47368,0.87719,0.85965,0.87719,0.87719,0.87719
Houston,1,277,0.86643,0.77978,0.66065,0.70036,0.67870,0.92058,0.85921
Houston,2,47,0.31915,0.12766,0.36170,0.34043,0.36170,0.51064,0.42553
Houston,3,230,0.37391,0.30870,0.61739,0.58261,0.59130,0.73043,0.66087
Houston,4,7,0.14286,0.28571,0.28571,0.28571,0.28571,0.28571,0.28571
Houston,5,54,0.64815,0.35185,0.27778,0.27778,0.27778,0.66667,0.42593
Houston,6,125,0.08800,0.09600,0.03200,0.02400,0.01600,0.17600,0.12800
Houston,7,7,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Jebel Ali,0,1056,0.28977,0.59564,0.86080,0.86174,0.86174,0.91667,0.90625
Jebel Ali,1,25,0.64000,0.64000,0.48000,0.48000,0.48000,0.64000,0.64000
Jebel Ali,2,757,0.35535,0.42668,0.44122,0.46367,0.46235,0.64597,0.59049
Jebel Ali,3,1492,0.29893,0.19169,0.69504,0.50737,0.50000,0.76542,0.70912
Jebel Ali,4,306,0.51961,0.47059,0.30065,0.41503,0.41503,0.56863,0.49346
Jebel Ali,5,335,0.60597,0.49254,0.21493,0.38806,0.38507,0.62687,0.51343
Jebel Ali,6,125,0.01600,0.07200,0.00800,0.02400,0.02400,0.08800,0.08000
Jebel Ali,7,506,0.32016,0.40119,0.02964,0.21937,0.22134,0.47628,0.42095
Los Angeles,0,92,0.17391,0.34783,0.96739,0.96739,0.96739,0.96739,0.96739
Los Angeles,1,20,0.90000,0.90000,0.75000,0.80000,0.80000,0.90000,0.90000
Los Angeles,2,36,0.11111,0.19444,0.02778,0.02778,0.02778,0.19444,0.19444
Los Angeles,3,97,0.38144,0.34021,0.34021,0.37113,0.38144,0.55670,0.51546
Los Angeles,4,65,0.61538,0.63077,0.36923,0.41538,0.40000,0.70769,0.69231
Los Angeles,5,215,0.62326,0.58605,0.10233,0.22791,0.18605,0.64651,0.59535
Los Angeles,6,41,0.04878,0.04878,0.00000,0.02439,0.02439,0.09756,0.04878
Los Angeles,7,17,0.05882,0.00000,0.00000,0.00000,0.00000,0.05882,0.00000
Melbourne,0,43,0.41860,0.53488,0.88372,0.51163,0.81395,0.95349,0.93023
Melbourne,1,2,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
Melbourne,2,19,0.21053,0.26316,0.26316,0.21053,0.21053,0.36842,0.36842
Mombasa,0,82,0.39024,0.58537,0.91463,0.46341,0.78049,0.96341,0.93902
Mombasa,1,4,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
Mombasa,2,42,0.42857,0.47619,0.30952,0.42857,0.50000,0.59524,0.57143
Mombasa,3,1,1.00000,1.00000,0.00000,1.00000,0.00000,1.00000,1.00000
Mombasa,4,17,0.11765,0.17647,0.11765,0.11765,0.17647,0.17647,0.17647
Mombasa,5,2,1.00000,1.00000,0.00000,1.00000,0.50000,1.00000,1.00000
Mombasa,6,1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
New York,0,30,0.30000,0.20000,0.96667,0.76667,0.76667,1.00000,1.00000
New York,1,64,0.96875,0.90625,0.95312,0.95312,0.92188,0.98438,0.98438
New York,2,36,0.30556,0.30556,0.36111,0.33333,0.36111,0.52778,0.50000
New York,3,56,0.28571,0.14286,0.39286,0.33929,0.35714,0.55357,0.46429
New York,4,48,0.58333,0.47917,0.41667,0.45833,0.37500,0.66667,0.56250
New York,5,33,0.72727,0.60606,0.36364,0.54545,0.39394,0.72727,0.69697
New York,6,197,0.11675,0.42640,0.00000,0.09137,0.08629,0.44670,0.42640
New York,7,6,0.16667,0.16667,0.00000,0.16667,0.16667,0.16667,0.16667
Newcastle,0,190,0.32105,0.40526,0.47895,0.39474,0.46316,0.60000,0.54211
Newcastle,1,20,0.75000,0.75000,0.70000,0.75000,0.75000,0.80000,0.80000
Newcastle,2,51,0.49020,0.27451,0.39216,0.37255,0.29412,0.60784,0.50980
Newcastle,3,5,0.20000,0.20000,0.80000,0.20000,0.20000,0.80000,0.80000
Newcastle,4,13,0.23077,0.30769,0.30769,0.23077,0.30769,0.46154,0.46154
Newcastle,5,3,0.66667,1.00000,1.00000,0.66667,1.00000,1.00000,1.00000
Newcastle,6,17,0.05882,0.11765,0.00000,0.11765,0.11765,0.11765,0.11765
Ningbo-Zhoushan,0,973,0.42857,0.59096,0.98561,0.98664,0.98664,0.98664,0.98664
Ningbo-Zhoushan,1,4529,0.90064,0.90925,0.84058,0.88320,0.87900,0.93553,0.93376
Ningbo-Zhoushan,2,254,0.37795,0.46063,0.64173,0.61811,0.62598,0.72047,0.72047
Port Hedland,0,783,0.20434,0.23755,0.74840,0.72031,0.72925,0.77778,0.76501
Port Hedland,2,21,0.23810,0.28571,0.23810,0.14286,0.19048,0.42857,0.42857
Port Hedland,3,11,0.36364,0.36364,0.18182,0.18182,0.18182,0.36364,0.36364
Port Hedland,5,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Port Hedland,6,21,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Port Hedland,7,21,0.23810,0.14286,0.00000,0.04762,0.04762,0.23810,0.14286
Port Klang,0,882,0.48186,0.69388,0.97166,0.95805,0.95805,0.97959,0.97959
Port Klang,1,57,0.50877,0.49123,0.64912,0.64912,0.64912,0.80702,0.78947
Port Klang,2,394,0.24873,0.23604,0.11168,0.15228,0.15228,0.36802,0.30711
Port Klang,3,895,0.16089,0.07486,0.20000,0.10503,0.10391,0.29832,0.22793
Port Klang,4,651,0.52227,0.48848,0.28418,0.40246,0.40246,0.58065,0.52995
Port Klang,5,273,0.67766,0.54945,0.32967,0.47253,0.47253,0.71429,0.62637
Port Klang,6,197,0.05584,0.02538,0.00508,0.00508,0.00508,0.06091,0.02538
Port Klang,7,76,0.21053,0.35526,0.00000,0.21053,0.22368,0.35526,0.35526
Port Said,0,564,0.45567,0.50532,0.73404,0.71986,0.72872,0.82447,0.79255
Port Said,1,4,0.50000,0.25000,0.25000,0.25000,0.25000,0.50000,0.25000
Port Said,2,485,0.53608,0.44536,0.41649,0.43505,0.42680,0.67835,0.56289
Port Said,3,463,0.19438,0.21598,0.76458,0.71274,0.73218,0.77754,0.77538
Port Said,4,94,0.31915,0.43617,0.28723,0.28723,0.27660,0.51064,0.48936
Port Said,5,213,0.59624,0.35681,0.18310,0.27700,0.19718,0.60563,0.41315
Port Said,6,21,0.00000,0.14286,0.04762,0.04762,0.04762,0.19048,0.19048
Port Said,7,51,0.15686,0.07843,0.00000,0.00000,0.00000,0.15686,0.07843
Qingdao,0,695,0.70935,0.80288,0.98561,0.98417,0.98561,0.98993,0.98993
Qingdao,1,1017,0.92625,0.87512,0.85644,0.88987,0.88496,0.94887,0.92527
Qingdao,2,269,0.62082,0.64684,0.97026,0.95167,0.95539,0.98141,0.97026
Richards Bay,0,526,0.27757,0.39163,0.91065,0.89924,0.90304,0.91825,0.91445
Richards Bay,1,5,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000,1.00000
Richards Bay,2,52,0.25000,0.26923,0.13462,0.13462,0.13462,0.40385,0.32692
Richards Bay,3,64,0.17188,0.17188,0.39062,0.37500,0.37500,0.42188,0.42188
Richards Bay,4,64,0.81250,0.81250,0.76562,0.84375,0.84375,0.89062,0.89062
Richards Bay,5,10,0.40000,0.50000,0.30000,0.40000,0.40000,0.50000,0.50000
Richards Bay,6,9,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Richards Bay,7,14,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Rotterdam,0,148,0.53378,0.69595,0.98649,0.97297,0.97297,0.98649,0.98649
Rotterdam,1,131,0.87786,0.88550,0.96947,0.96947,0.96947,0.97710,0.96947
Rotterdam,2,294,0.32993,0.52041,0.61565,0.60204,0.60544,0.72109,0.70748
Santos,0,901,0.39623,0.59822,0.92231,0.88124,0.88346,0.94229,0.93341
Santos,1,10,0.90000,0.80000,0.80000,0.80000,0.80000,0.90000,0.80000
Santos,2,90,0.08889,0.14444,0.04444,0.06667,0.06667,0.18889,0.16667
Santos,3,191,0.31937,0.25131,0.24607,0.19895,0.19895,0.48168,0.40314
Santos,4,197,0.79188,0.79188,0.43655,0.54315,0.54315,0.80711,0.79695
Santos,5,56,0.42857,0.53571,0.23214,0.30357,0.30357,0.57143,0.57143
Santos,6,188,0.03191,0.01596,0.00000,0.01064,0.01064,0.04255,0.01596
Santos,7,25,0.16000,0.08000,0.00000,0.04000,0.04000,0.16000,0.08000
Shanghai,0,836,0.49880,0.69378,0.94976,0.95215,0.95215,0.97249,0.97129
Shanghai,1,1150,0.92348,0.90957,0.88435,0.88957,0.88609,0.94522,0.93217
Shanghai,2,404,0.39356,0.51485,0.91089,0.83663,0.85149,0.92079,0.91832
Singapore,0,1108,0.47473,0.57220,0.92329,0.94043,0.94043,0.96209,0.96209
Singapore,1,57,0.26316,0.29825,0.54386,0.54386,0.54386,0.57895,0.54386
Singapore,2,415,0.21928,0.06265,0.36627,0.33253,0.33253,0.45783,0.40723
Singapore,3,1905,0.20997,0.16745,0.25512,0.22100,0.21942,0.39633,0.32388
Singapore,4,446,0.52691,0.42825,0.28924,0.34305,0.33857,0.62332,0.51121
Singapore,5,451,0.63858,0.41020,0.29268,0.31486,0.30599,0.67184,0.46341
Singapore,6,467,0.15418,0.23983,0.03640,0.09208,0.10278,0.34904,0.27195
Singapore,7,410,0.39268,0.21951,0.03171,0.09512,0.09268,0.47805,0.23902
Sydney Botany,0,196,0.42347,0.54592,0.93367,0.55612,0.80102,0.95918,0.95918
Sydney Botany,1,2,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
Sydney Botany,2,18,0.11111,0.11111,0.00000,0.05556,0.00000,0.16667,0.11111
Sydney Botany,3,19,0.42105,0.31579,0.42105,0.42105,0.52632,0.57895,0.52632
Sydney Botany,4,36,0.63889,0.63889,0.52778,0.63889,0.61111,0.72222,0.72222
Sydney Botany,5,10,0.70000,0.80000,0.50000,0.70000,0.80000,0.80000,0.80000
Sydney Botany,6,20,0.05000,0.00000,0.00000,0.05000,0.00000,0.05000,0.00000
Sydney Botany,7,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Tanger Med,0,269,0.21933,0.63569,0.89219,0.90335,0.90335,0.92193,0.92193
Tanger Med,1,5,0.80000,0.80000,0.60000,0.60000,0.60000,0.80000,0.80000
Tanger Med,2,278,0.56115,0.53957,0.26259,0.35252,0.33453,0.66906,0.57914
Tanger Med,3,339,0.33038,0.46608,0.77581,0.61652,0.61652,0.83481,0.83186
Tanger Med,4,243,0.35802,0.34156,0.18519,0.28807,0.28807,0.39095,0.36626
Tanger Med,5,84,0.61905,0.63095,0.33333,0.60714,0.60714,0.70238,0.66667
Tanger Med,6,30,0.10000,0.03333,0.10000,0.06667,0.06667,0.20000,0.13333
Tanger Med,7,18,0.11111,0.11111,0.00000,0.11111,0.11111,0.16667,0.11111
