manifest,date,utm,epsg_raster,epsg_vector,tif_exists,n_points,inside_pct,time_match,sog_med,len_med,status
SAR_Ship_Chip_20210101_UTM09N_EPSG32609_10m.manifest.json,20210101,9,32609,32609,1,3,100.0,3/3,9.43,179.0,ok
SAR_Ship_Chip_20210101_UTM10N_EPSG32610_10m.manifest.json,20210101,10,32610,32610,1,122,100.0,122/122,0.0,139.5,ok
SAR_Ship_Chip_20210101_UTM11N_EPSG32611_10m.manifest.json,20210101,11,32611,32611,1,19,100.0,19/19,0.15,183.0,ok
SAR_Ship_Chip_20210101_UTM16N_EPSG32616_10m.manifest.json,20210101,16,32616,32616,1,198,100.0,198/198,0.0,84.0,ok
SAR_Ship_Chip_20210101_UTM17N_EPSG32617_10m.manifest.json,20210101,17,32617,32617,1,7,100.0,7/7,2.27,192.0,ok
SAR_Ship_Chip_20210101_UTM18N_EPSG32618_10m.manifest.json,20210101,18,32618,32618,1,95,100.0,95/95,0.0,197.0,ok
SAR_Ship_Chip_20210102_UTM10N_EPSG32610_10m.manifest.json,20210102,10,32610,32610,1,60,100.0,60/60,0.05,177.5,ok
SAR_Ship_Chip_20210102_UTM16N_EPSG32616_10m.manifest.json,20210102,16,32616,32616,1,4,100.0,4/4,2.0,94.0,ok
SAR_Ship_Chip_20210102_UTM17N_EPSG32617_10m.manifest.json,20210102,17,32617,32617,1,34,100.0,34/34,2.77,260.0,ok
SAR_Ship_Chip_20210103_UTM04N_EPSG32604_10m.manifest.json,20210103,4,32604,32604,1,16,100.0,16/16,0.0,59.5,ok
SAR_Ship_Chip_20210103_UTM09N_EPSG32609_10m.manifest.json,20210103,9,32609,32609,1,3,100.0,3/3,0.1,75.0,ok
SAR_Ship_Chip_20210103_UTM10N_EPSG32610_10m.manifest.json,20210103,10,32610,32610,1,12,100.0,12/12,11.2,182.5,ok
SAR_Ship_Chip_20210103_UTM18N_EPSG32618_10m.manifest.json,20210103,18,32618,32618,1,119,100.0,119/119,0.0,38.0,ok
SAR_Ship_Chip_20210103_UTM19N_EPSG32619_10m.manifest.json,20210103,19,32619,32619,1,3,100.0,3/3,10.9,231.0,ok
SAR_Ship_Chip_20210103_UTM20N_EPSG32620_10m.manifest.json,20210103,20,32620,32620,1,47,100.0,47/47,0.4,117.0,ok
SAR_Ship_Chip_20210104_UTM04N_EPSG32604_10m.manifest.json,20210104,4,32604,32604,1,3,100.0,3/3,20.15,217.0,ok
SAR_Ship_Chip_20210109_UTM18N_EPSG32618_10m.manifest.json,20210109,18,32618,32618,1,1,100.0,1/1,16.64,84.0,ok
SAR_Ship_Chip_20210110_UTM04N_EPSG32604_10m.manifest.json,20210110,4,32604,32604,1,2,100.0,2/2,8.37,131.5,ok
SAR_Ship_Chip_20210110_UTM10N_EPSG32610_10m.manifest.json,20210110,10,32610,32610,1,224,100.0,224/224,0.01,139.0,ok
SAR_Ship_Chip_20210110_UTM12N_EPSG32612_10m.manifest.json,20210110,12,32612,32612,1,2,100.0,2/2,11.38,182.0,ok
SAR_Ship_Chip_20210110_UTM16N_EPSG32616_10m.manifest.json,20210110,16,32616,32616,1,19,100.0,19/19,9.7,192.0,ok
SAR_Ship_Chip_20210110_UTM18N_EPSG32618_10m.manifest.json,20210110,18,32618,32618,1,8,100.0,8/8,0.0,112.5,ok
SAR_Ship_Chip_20210110_UTM19N_EPSG32619_10m.manifest.json,20210110,19,32619,32619,1,92,100.0,92/92,0.0,69.0,ok
SAR_Ship_Chip_20210110_UTM20N_EPSG32620_10m.manifest.json,20210110,20,32620,32620,1,6,100.0,6/6,0.85,171.0,ok
SAR_Ship_Chip_20210105_UTM19N_EPSG32619_10m.manifest.json,20210105,19,32619,32619,1,42,100.0,42/42,0.0,44.5,ok
