manifest,status,pts,hot,rate
SAR_Ship_Chip_20210529_UTM04N_EPSG32604_10m.manifest.json,ok,2,2,100.0
SAR_Ship_Chip_20211016_UTM05N_EPSG32605_10m.manifest.json,ok,1,0,0.0
SAR_Ship_Chip_20210813_UTM08N_EPSG32608_10m.manifest.json,ok,4,3,75.0
SAR_Ship_Chip_20210727_UTM09N_EPSG32609_10m.manifest.json,ok,1,0,0.0
SAR_Ship_Chip_20211221_UTM12N_EPSG32612_10m.manifest.json,ok,2,2,100.0
SAR_Ship_Chip_20210906_UTM14N_EPSG32614_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20211218_UTM17N_EPSG32617_10m.manifest.json,ok,25,23,92.0
SAR_Ship_Chip_20211009_UTM18N_EPSG32618_10m.manifest.json,ok,2,1,50.0
SAR_Ship_Chip_20210129_UTM15N_EPSG32615_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20210514_UTM16N_EPSG32616_10m.manifest.json,ok,7,7,100.0
SAR_Ship_Chip_20210603_UTM19N_EPSG32619_10m.manifest.json,ok,25,22,88.0
SAR_Ship_Chip_20211202_UTM20N_EPSG32620_10m.manifest.json,ok,3,3,100.0
SAR_Ship_Chip_20220226_UTM10N_EPSG32610_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20220426_UTM11N_EPSG32611_10m.manifest.json,ok,15,15,100.0
SAR_Ship_Chip_20220515_UTM04N_EPSG32604_10m.manifest.json,ok,2,1,50.0
SAR_Ship_Chip_20220129_UTM05N_EPSG32605_10m.manifest.json,ok,1,1,100.0
SAR_Ship_Chip_20211001_UTM10N_EPSG32610_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20211202_UTM11N_EPSG32611_10m.manifest.json,ok,25,24,96.0
SAR_Ship_Chip_20220505_UTM12N_EPSG32612_10m.manifest.json,ok,3,3,100.0
SAR_Ship_Chip_20220317_UTM14N_EPSG32614_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20241129_UTM11N_EPSG32611_10m.manifest.json,ok,25,22,88.0
SAR_Ship_Chip_20241016_UTM12N_EPSG32612_10m.manifest.json,ok,6,5,83.0
SAR_Ship_Chip_20221111_UTM19N_EPSG32619_10m.manifest.json,ok,24,23,96.0
SAR_Ship_Chip_20220308_UTM20N_EPSG32620_10m.manifest.json,ok,1,1,100.0
SAR_Ship_Chip_20240624_UTM14N_EPSG32614_10m.manifest.json,ok,8,7,88.0
SAR_Ship_Chip_20241111_UTM15N_EPSG32615_10m.manifest.json,ok,6,6,100.0
SAR_Ship_Chip_20220414_UTM17N_EPSG32617_10m.manifest.json,ok,20,20,100.0
SAR_Ship_Chip_20221118_UTM18N_EPSG32618_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20220910_UTM15N_EPSG32615_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20221007_UTM16N_EPSG32616_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20220516_UTM09N_EPSG32609_10m.manifest.json,ok,15,14,93.0
SAR_Ship_Chip_20241221_UTM10N_EPSG32610_10m.manifest.json,ok,25,24,96.0
SAR_Ship_Chip_20250810_UTM12N_EPSG32612_10m.manifest.json,ok,4,4,100.0
SAR_Ship_Chip_20251017_UTM14N_EPSG32614_10m.manifest.json,ok,5,5,100.0
SAR_Ship_Chip_20241211_UTM16N_EPSG32616_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20240209_UTM17N_EPSG32617_10m.manifest.json,ok,5,4,80.0
SAR_Ship_Chip_20240601_UTM20N_EPSG32620_10m.manifest.json,ok,3,3,100.0
SAR_Ship_Chip_20240908_UTM04N_EPSG32604_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20251210_UTM04N_EPSG32604_10m.manifest.json,ok,1,0,0.0
SAR_Ship_Chip_20250820_UTM05N_EPSG32605_10m.manifest.json,ok,4,3,75.0
SAR_Ship_Chip_20240903_UTM05N_EPSG32605_10m.manifest.json,ok,4,4,100.0
SAR_Ship_Chip_20240318_UTM09N_EPSG32609_10m.manifest.json,ok,19,18,95.0
SAR_Ship_Chip_20250923_UTM10N_EPSG32610_10m.manifest.json,ok,13,11,85.0
SAR_Ship_Chip_20250925_UTM11N_EPSG32611_10m.manifest.json,ok,25,21,84.0
SAR_Ship_Chip_20250519_UTM15N_EPSG32615_10m.manifest.json,ok,25,24,96.0
SAR_Ship_Chip_20250201_UTM16N_EPSG32616_10m.manifest.json,ok,5,4,80.0
SAR_Ship_Chip_20240808_UTM18N_EPSG32618_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20240824_UTM19N_EPSG32619_10m.manifest.json,ok,22,17,77.0
SAR_Ship_Chip_20250106_UTM19N_EPSG32619_10m.manifest.json,ok,7,6,86.0
SAR_Ship_Chip_20250307_UTM20N_EPSG32620_10m.manifest.json,ok,25,19,76.0
SAR_Ship_Chip_20251220_UTM09N_EPSG32609_10m.manifest.json,ok,1,1,100.0
SAR_Ship_Chip_20210101_UTM10N_EPSG32610_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20251103_UTM17N_EPSG32617_10m.manifest.json,ok,25,24,96.0
SAR_Ship_Chip_20251003_UTM18N_EPSG32618_10m.manifest.json,ok,25,23,92.0
SAR_Ship_Chip_20210710_UTM14N_EPSG32614_10m.manifest.json,ok,1,1,100.0
SAR_Ship_Chip_20210519_UTM15N_EPSG32615_10m.manifest.json,ok,6,6,100.0
SAR_Ship_Chip_20210605_UTM20N_EPSG32620_10m.manifest.json,ok,10,9,90.0
SAR_Ship_Chip_20210414_UTM04N_EPSG32604_10m.manifest.json,ok,1,1,100.0
SAR_Ship_Chip_20210927_UTM11N_EPSG32611_10m.manifest.json,ok,25,24,96.0
SAR_Ship_Chip_20210721_UTM12N_EPSG32612_10m.manifest.json,ok,2,2,100.0
SAR_Ship_Chip_20210213_UTM18N_EPSG32618_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20210406_UTM19N_EPSG32619_10m.manifest.json,ok,8,8,100.0
SAR_Ship_Chip_20210314_UTM05N_EPSG32605_10m.manifest.json,ok,4,4,100.0
SAR_Ship_Chip_20211203_UTM09N_EPSG32609_10m.manifest.json,ok,6,6,100.0
SAR_Ship_Chip_20210618_UTM16N_EPSG32616_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20210915_UTM17N_EPSG32617_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20220821_UTM04N_EPSG32604_10m.manifest.json,ok,1,0,0.0
SAR_Ship_Chip_20220529_UTM05N_EPSG32605_10m.manifest.json,ok,3,3,100.0
SAR_Ship_Chip_20220502_UTM15N_EPSG32615_10m.manifest.json,ok,10,10,100.0
SAR_Ship_Chip_20221110_UTM16N_EPSG32616_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20220418_UTM12N_EPSG32612_10m.manifest.json,ok,13,6,46.0
SAR_Ship_Chip_20220305_UTM14N_EPSG32614_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20220808_UTM10N_EPSG32610_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20220625_UTM11N_EPSG32611_10m.manifest.json,ok,25,22,88.0
SAR_Ship_Chip_20240514_UTM11N_EPSG32611_10m.manifest.json,ok,25,23,92.0
SAR_Ship_Chip_20240829_UTM12N_EPSG32612_10m.manifest.json,ok,1,1,100.0
SAR_Ship_Chip_20220304_UTM19N_EPSG32619_10m.manifest.json,ok,18,15,83.0
SAR_Ship_Chip_20220529_UTM20N_EPSG32620_10m.manifest.json,ok,7,7,100.0
SAR_Ship_Chip_20220812_UTM17N_EPSG32617_10m.manifest.json,ok,19,18,95.0
SAR_Ship_Chip_20221025_UTM18N_EPSG32618_10m.manifest.json,ok,25,24,96.0
SAR_Ship_Chip_20220528_UTM09N_EPSG32609_10m.manifest.json,ok,16,16,100.0
SAR_Ship_Chip_20240804_UTM10N_EPSG32610_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20250610_UTM12N_EPSG32612_10m.manifest.json,ok,2,2,100.0
SAR_Ship_Chip_20250413_UTM14N_EPSG32614_10m.manifest.json,ok,2,2,100.0
SAR_Ship_Chip_20241126_UTM20N_EPSG32620_10m.manifest.json,ok,16,9,56.0
SAR_Ship_Chip_20240528_UTM04N_EPSG32604_10m.manifest.json,ok,1,1,100.0
SAR_Ship_Chip_20240229_UTM18N_EPSG32618_10m.manifest.json,ok,25,24,96.0
SAR_Ship_Chip_20241111_UTM19N_EPSG32619_10m.manifest.json,ok,3,2,67.0
SAR_Ship_Chip_20250312_UTM04N_EPSG32604_10m.manifest.json,ok,1,1,100.0
SAR_Ship_Chip_20250323_UTM05N_EPSG32605_10m.manifest.json,ok,2,2,100.0
SAR_Ship_Chip_20240503_UTM05N_EPSG32605_10m.manifest.json,ok,9,8,89.0
SAR_Ship_Chip_20240914_UTM09N_EPSG32609_10m.manifest.json,ok,7,6,86.0
SAR_Ship_Chip_20240423_UTM14N_EPSG32614_10m.manifest.json,ok,25,23,92.0
SAR_Ship_Chip_20241226_UTM15N_EPSG32615_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20240610_UTM16N_EPSG32616_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20240626_UTM17N_EPSG32617_10m.manifest.json,ok,23,22,96.0
SAR_Ship_Chip_20250418_UTM15N_EPSG32615_10m.manifest.json,ok,10,10,100.0
SAR_Ship_Chip_20250122_UTM16N_EPSG32616_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20250507_UTM10N_EPSG32610_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20250701_UTM11N_EPSG32611_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20250828_UTM17N_EPSG32617_10m.manifest.json,ok,25,21,84.0
SAR_Ship_Chip_20251203_UTM18N_EPSG32618_10m.manifest.json,ok,18,18,100.0
SAR_Ship_Chip_20250420_UTM19N_EPSG32619_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20251020_UTM20N_EPSG32620_10m.manifest.json,ok,2,2,100.0
SAR_Ship_Chip_20210313_UTM11N_EPSG32611_10m.manifest.json,ok,25,24,96.0
SAR_Ship_Chip_20210203_UTM12N_EPSG32612_10m.manifest.json,ok,3,3,100.0
SAR_Ship_Chip_20251126_UTM09N_EPSG32609_10m.manifest.json,ok,2,2,100.0
SAR_Ship_Chip_20210403_UTM10N_EPSG32610_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20210618_UTM20N_EPSG32620_10m.manifest.json,ok,9,9,100.0
SAR_Ship_Chip_20211206_UTM04N_EPSG32604_10m.manifest.json,ok,1,1,100.0
SAR_Ship_Chip_20211221_UTM16N_EPSG32616_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20210519_UTM17N_EPSG32617_10m.manifest.json,ok,3,1,33.0
SAR_Ship_Chip_20210226_UTM14N_EPSG32614_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20211201_UTM15N_EPSG32615_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20210416_UTM05N_EPSG32605_10m.manifest.json,ok,1,1,100.0
SAR_Ship_Chip_20211009_UTM09N_EPSG32609_10m.manifest.json,ok,24,19,79.0
SAR_Ship_Chip_20210714_UTM18N_EPSG32618_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20210916_UTM19N_EPSG32619_10m.manifest.json,ok,7,6,86.0
SAR_Ship_Chip_20220814_UTM12N_EPSG32612_10m.manifest.json,ok,7,5,71.0
SAR_Ship_Chip_20220717_UTM14N_EPSG32614_10m.manifest.json,ok,9,9,100.0
SAR_Ship_Chip_20220628_UTM15N_EPSG32615_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20220626_UTM16N_EPSG32616_10m.manifest.json,ok,7,6,86.0
SAR_Ship_Chip_20220822_UTM10N_EPSG32610_10m.manifest.json,ok,25,23,92.0
SAR_Ship_Chip_20221116_UTM11N_EPSG32611_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20220215_UTM19N_EPSG32619_10m.manifest.json,ok,1,1,100.0
SAR_Ship_Chip_20220605_UTM20N_EPSG32620_10m.manifest.json,ok,25,23,92.0
SAR_Ship_Chip_20240416_UTM14N_EPSG32614_10m.manifest.json,ok,12,11,92.0
SAR_Ship_Chip_20240529_UTM15N_EPSG32615_10m.manifest.json,ok,3,3,100.0
SAR_Ship_Chip_20220909_UTM04N_EPSG32604_10m.manifest.json,ok,2,2,100.0
SAR_Ship_Chip_20220219_UTM05N_EPSG32605_10m.manifest.json,ok,5,5,100.0
SAR_Ship_Chip_20240901_UTM11N_EPSG32611_10m.manifest.json,ok,16,8,50.0
SAR_Ship_Chip_20240705_UTM12N_EPSG32612_10m.manifest.json,ok,9,4,44.0
SAR_Ship_Chip_20241021_UTM20N_EPSG32620_10m.manifest.json,ok,8,6,75.0
SAR_Ship_Chip_20240329_UTM04N_EPSG32604_10m.manifest.json,ok,1,1,100.0
SAR_Ship_Chip_20240527_UTM05N_EPSG32605_10m.manifest.json,ok,4,3,75.0
SAR_Ship_Chip_20241231_UTM09N_EPSG32609_10m.manifest.json,ok,9,9,100.0
SAR_Ship_Chip_20221011_UTM17N_EPSG32617_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20220814_UTM18N_EPSG32618_10m.manifest.json,ok,25,23,92.0
SAR_Ship_Chip_20221112_UTM09N_EPSG32609_10m.manifest.json,ok,12,8,67.0
SAR_Ship_Chip_20240823_UTM10N_EPSG32610_10m.manifest.json,ok,25,23,92.0
SAR_Ship_Chip_20250416_UTM10N_EPSG32610_10m.manifest.json,ok,8,8,100.0
SAR_Ship_Chip_20250719_UTM11N_EPSG32611_10m.manifest.json,ok,25,24,96.0
SAR_Ship_Chip_20250809_UTM12N_EPSG32612_10m.manifest.json,ok,2,2,100.0
SAR_Ship_Chip_20250219_UTM14N_EPSG32614_10m.manifest.json,ok,25,23,92.0
SAR_Ship_Chip_20251017_UTM04N_EPSG32604_10m.manifest.json,ok,2,1,50.0
SAR_Ship_Chip_20251130_UTM05N_EPSG32605_10m.manifest.json,ok,3,3,100.0
SAR_Ship_Chip_20240111_UTM16N_EPSG32616_10m.manifest.json,ok,9,9,100.0
SAR_Ship_Chip_20241025_UTM17N_EPSG32617_10m.manifest.json,ok,25,21,84.0
SAR_Ship_Chip_20251123_UTM17N_EPSG32617_10m.manifest.json,ok,3,2,67.0
SAR_Ship_Chip_20251226_UTM18N_EPSG32618_10m.manifest.json,ok,25,24,96.0
SAR_Ship_Chip_20240619_UTM18N_EPSG32618_10m.manifest.json,ok,4,3,75.0
SAR_Ship_Chip_20240307_UTM19N_EPSG32619_10m.manifest.json,ok,25,22,88.0
SAR_Ship_Chip_20250407_UTM19N_EPSG32619_10m.manifest.json,ok,25,23,92.0
SAR_Ship_Chip_20250203_UTM20N_EPSG32620_10m.manifest.json,ok,1,1,100.0
SAR_Ship_Chip_20250717_UTM09N_EPSG32609_10m.manifest.json,ok,5,5,100.0
SAR_Ship_Chip_20210221_UTM10N_EPSG32610_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20250303_UTM15N_EPSG32615_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20250404_UTM16N_EPSG32616_10m.manifest.json,ok,25,24,96.0
SAR_Ship_Chip_20210404_UTM20N_EPSG32620_10m.manifest.json,ok,9,9,100.0
SAR_Ship_Chip_20210116_UTM04N_EPSG32604_10m.manifest.json,ok,1,1,100.0
SAR_Ship_Chip_20211103_UTM05N_EPSG32605_10m.manifest.json,ok,5,5,100.0
SAR_Ship_Chip_20210106_UTM09N_EPSG32609_10m.manifest.json,ok,9,9,100.0
SAR_Ship_Chip_20210112_UTM11N_EPSG32611_10m.manifest.json,ok,25,24,96.0
SAR_Ship_Chip_20210404_UTM12N_EPSG32612_10m.manifest.json,ok,20,19,95.0
SAR_Ship_Chip_20220327_UTM15N_EPSG32615_10m.manifest.json,ok,5,5,100.0
SAR_Ship_Chip_20220918_UTM16N_EPSG32616_10m.manifest.json,ok,5,4,80.0
SAR_Ship_Chip_20210427_UTM14N_EPSG32614_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20211218_UTM15N_EPSG32615_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20220512_UTM12N_EPSG32612_10m.manifest.json,ok,3,1,33.0
SAR_Ship_Chip_20221124_UTM14N_EPSG32614_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20220322_UTM10N_EPSG32610_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20220316_UTM11N_EPSG32611_10m.manifest.json,ok,12,4,33.0
SAR_Ship_Chip_20210308_UTM16N_EPSG32616_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20210526_UTM17N_EPSG32617_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20210309_UTM18N_EPSG32618_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20210707_UTM19N_EPSG32619_10m.manifest.json,ok,23,21,91.0
SAR_Ship_Chip_20240403_UTM11N_EPSG32611_10m.manifest.json,ok,25,22,88.0
SAR_Ship_Chip_20240417_UTM12N_EPSG32612_10m.manifest.json,ok,3,3,100.0
SAR_Ship_Chip_20220916_UTM04N_EPSG32604_10m.manifest.json,ok,22,22,100.0
SAR_Ship_Chip_20220210_UTM05N_EPSG32605_10m.manifest.json,ok,2,2,100.0
SAR_Ship_Chip_20220128_UTM17N_EPSG32617_10m.manifest.json,ok,25,22,88.0
SAR_Ship_Chip_20220120_UTM18N_EPSG32618_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20240617_UTM14N_EPSG32614_10m.manifest.json,ok,1,1,100.0
SAR_Ship_Chip_20240830_UTM15N_EPSG32615_10m.manifest.json,ok,25,24,96.0
SAR_Ship_Chip_20221018_UTM19N_EPSG32619_10m.manifest.json,ok,24,22,92.0
SAR_Ship_Chip_20220802_UTM20N_EPSG32620_10m.manifest.json,ok,25,22,88.0
SAR_Ship_Chip_20240930_UTM16N_EPSG32616_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20240310_UTM17N_EPSG32617_10m.manifest.json,ok,16,16,100.0
SAR_Ship_Chip_20240210_UTM18N_EPSG32618_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20240930_UTM19N_EPSG32619_10m.manifest.json,ok,6,5,83.0
SAR_Ship_Chip_20240802_UTM20N_EPSG32620_10m.manifest.json,ok,8,6,75.0
SAR_Ship_Chip_20240131_UTM04N_EPSG32604_10m.manifest.json,ok,1,0,0.0
SAR_Ship_Chip_20250615_UTM12N_EPSG32612_10m.manifest.json,ok,6,6,100.0
SAR_Ship_Chip_20250518_UTM14N_EPSG32614_10m.manifest.json,ok,14,14,100.0
SAR_Ship_Chip_20220808_UTM09N_EPSG32609_10m.manifest.json,ok,25,18,72.0
SAR_Ship_Chip_20240130_UTM10N_EPSG32610_10m.manifest.json,ok,25,25,100.0
SAR_Ship_Chip_20240912_UTM05N_EPSG32605_10m.manifest.json,ok,3,3,100.0
SAR_Ship_Chip_20240211_UTM09N_EPSG32609_10m.manifest.json,ok,15,14,93.0
SAR_Ship_Chip_20251216_UTM10N_EPSG32610_10m.manifest.json,ok,8,6,75.0
SAR_Ship_Chip_20250819_UTM11N_EPSG32611_10m.manifest.json,ok,25,23,92.0
