port,product,pol,objects,quark_file,quark_mb,quark_fid
Melbourne,S1A_IW_GRDH_1SDV_20250217T193335_20250217T193400_057940_072653_7401,VH,20,S1A_IW_GRDH_1SDV_20250217T193335_20250217T193400_057940_072653_7401_VH_UTM_8bit.tif,379.8,3cbb4dd4fce448058bf7e70a6317503a
Melbourne,S1A_IW_GRDH_1SDV_20250217T193335_20250217T193400_057940_072653_7401,VV,16,S1A_IW_GRDH_1SDV_20250217T193335_20250217T193400_057940_072653_7401_VV_UTM_8bit.tif,449.3,3089335b25a54e60b4446c7bd8006b7f
Melbourne,S1A_IW_GRDH_1SDV_20250406T193335_20250406T193400_058640_074290_9E86,VH,22,S1A_IW_GRDH_1SDV_20250406T193335_20250406T193400_058640_074290_9E86_VH_UTM_8bit.tif,394.7,c41a834ddf154fa1a22daf44b6d87396
Melbourne,S1A_IW_GRDH_1SDV_20250406T193335_20250406T193400_058640_074290_9E86,VV,23,S1A_IW_GRDH_1SDV_20250406T193335_20250406T193400_058640_074290_9E86_VV_UTM_8bit.tif,471.3,97a5d06fdddb4a519b8aa34c2faf6c49
Melbourne,S1A_IW_GRDH_1SDV_20250418T193335_20250418T193400_058815_0749B9_7FEC,VH,18,S1A_IW_GRDH_1SDV_20250418T193335_20250418T193400_058815_0749B9_7FEC_VH_UTM_8bit.tif,384.9,01f9645f987548baa382730abec907c1
Melbourne,S1A_IW_GRDH_1SDV_20250418T193335_20250418T193400_058815_0749B9_7FEC,VV,19,S1A_IW_GRDH_1SDV_20250418T193335_20250418T193400_058815_0749B9_7FEC_VV_UTM_8bit.tif,445.1,c220ac5c8cc64fcb97c9ba30411c3021
Melbourne,S1A_IW_GRDH_1SDV_20250629T193333_20250629T193358_059865_076F8D_C18A,VH,11,S1A_IW_GRDH_1SDV_20250629T193333_20250629T193358_059865_076F8D_C18A_VH_UTM_8bit.tif,401.0,57605d3dac31496a891b546b3e2891c4
Melbourne,S1A_IW_GRDH_1SDV_20250629T193333_20250629T193358_059865_076F8D_C18A,VV,11,S1A_IW_GRDH_1SDV_20250629T193333_20250629T193358_059865_076F8D_C18A_VV_UTM_8bit.tif,455.7,6141e8a1047846db8d4a88d9ad90ab8a
Mombasa,S1A_IW_GRDH_1SDV_20250115T153906_20250115T153935_057456_071303_0ED7,VH,20,S1A_IW_GRDH_1SDV_20250115T153906_20250115T153935_057456_071303_0ED7_VH_UTM_8bit.tif,349.1,697541c8a98f45a1b99b6f6bc9d87b63
Mombasa,S1A_IW_GRDH_1SDV_20250115T153906_20250115T153935_057456_071303_0ED7,VV,15,S1A_IW_GRDH_1SDV_20250115T153906_20250115T153935_057456_071303_0ED7_VV_UTM_8bit.tif,535.8,8b79c05fd0cc41728f8ab85b4cd797c5
Mombasa,S1A_IW_GRDH_1SDV_20250127T153906_20250127T153935_057631_0719FF_8570,VH,20,S1A_IW_GRDH_1SDV_20250127T153906_20250127T153935_057631_0719FF_8570_VH_UTM_8bit.tif,346.5,6b2622b8bc91428b90defdb594aea3cc
Mombasa,S1A_IW_GRDH_1SDV_20250127T153906_20250127T153935_057631_0719FF_8570,VV,20,S1A_IW_GRDH_1SDV_20250127T153906_20250127T153935_057631_0719FF_8570_VV_UTM_8bit.tif,517.5,babf9b64565944e4a99ca18a860f4b0d
Mombasa,S1A_IW_GRDH_1SDV_20250220T153905_20250220T153934_057981_0727FE_BF71,VH,27,S1A_IW_GRDH_1SDV_20250220T153905_20250220T153934_057981_0727FE_BF71_VH_UTM_8bit.tif,340.8,cf3f60b83596466e828e17fb00b5bdc8
Mombasa,S1A_IW_GRDH_1SDV_20250220T153905_20250220T153934_057981_0727FE_BF71,VV,27,S1A_IW_GRDH_1SDV_20250220T153905_20250220T153934_057981_0727FE_BF71_VV_UTM_8bit.tif,511.9,386d8b6264464772a6614e7749ec6786
Mombasa,S1A_IW_GRDH_1SDV_20250316T153905_20250316T153934_058331_073622_85D9,VH,14,S1A_IW_GRDH_1SDV_20250316T153905_20250316T153934_058331_073622_85D9_VH_UTM_8bit.tif,339.9,3ec8fd391049476b841640084e84e63f
Mombasa,S1A_IW_GRDH_1SDV_20250316T153905_20250316T153934_058331_073622_85D9,VV,16,S1A_IW_GRDH_1SDV_20250316T153905_20250316T153934_058331_073622_85D9_VV_UTM_8bit.tif,461.7,4ce43598343e4714b8cc85c089c8aef9
Mombasa,S1A_IW_GRDH_1SDV_20250328T153905_20250328T153934_058506_073D15_583F,VH,19,S1A_IW_GRDH_1SDV_20250328T153905_20250328T153934_058506_073D15_583F_VH_UTM_8bit.tif,341.2,1d1a5cf36b8941999599f317d9f7d128
Mombasa,S1A_IW_GRDH_1SDV_20250328T153905_20250328T153934_058506_073D15_583F,VV,18,S1A_IW_GRDH_1SDV_20250328T153905_20250328T153934_058506_073D15_583F_VV_UTM_8bit.tif,427.5,9a4df548949742ba92d432e94f02e08f
Mombasa,S1A_IW_GRDH_1SDV_20250421T153906_20250421T153935_058856_074B68_80A1,VH,28,S1A_IW_GRDH_1SDV_20250421T153906_20250421T153935_058856_074B68_80A1_VH_UTM_8bit.tif,339.9,5830a2be65d347af982da7ff34c384c5
Mombasa,S1A_IW_GRDH_1SDV_20250421T153906_20250421T153935_058856_074B68_80A1,VV,27,S1A_IW_GRDH_1SDV_20250421T153906_20250421T153935_058856_074B68_80A1_VV_UTM_8bit.tif,449.6,d89a9dcc2df648228b6fc1a4b329d554
Mombasa,S1A_IW_GRDH_1SDV_20250515T153905_20250515T153934_059206_0758C3_2241,VH,18,S1A_IW_GRDH_1SDV_20250515T153905_20250515T153934_059206_0758C3_2241_VH_UTM_8bit.tif,344.5,816819dcdded4a5e8708cc5e405d55d7
Mombasa,S1A_IW_GRDH_1SDV_20250515T153905_20250515T153934_059206_0758C3_2241,VV,21,S1A_IW_GRDH_1SDV_20250515T153905_20250515T153934_059206_0758C3_2241_VV_UTM_8bit.tif,471.9,4a276c33b2134fee877c22983c33e6ba
Mombasa,S1A_IW_GRDH_1SDV_20250527T153905_20250527T153934_059381_075EDC_EE48,VH,19,S1A_IW_GRDH_1SDV_20250527T153905_20250527T153934_059381_075EDC_EE48_VH_UTM_8bit.tif,342.2,f84373f09b81497aba602eafe1fbb2bd
Mombasa,S1A_IW_GRDH_1SDV_20250527T153905_20250527T153934_059381_075EDC_EE48,VV,20,S1A_IW_GRDH_1SDV_20250527T153905_20250527T153934_059381_075EDC_EE48_VV_UTM_8bit.tif,457.6,0f46470d51184815b187533733e03b99
Mombasa,S1A_IW_GRDH_1SDV_20250620T153903_20250620T153932_059731_076AE1_A027,VH,24,S1A_IW_GRDH_1SDV_20250620T153903_20250620T153932_059731_076AE1_A027_VH_UTM_8bit.tif,342.3,b22c67f6c4724868bf1b67c6eaecb525
Mombasa,S1A_IW_GRDH_1SDV_20250620T153903_20250620T153932_059731_076AE1_A027,VV,22,S1A_IW_GRDH_1SDV_20250620T153903_20250620T153932_059731_076AE1_A027_VV_UTM_8bit.tif,456.4,6d6cebb14c0e4dd7950861c79ddd0695
Mombasa,S1A_IW_GRDH_1SDV_20250702T153903_20250702T153932_059906_0770FC_6D94,VH,23,S1A_IW_GRDH_1SDV_20250702T153903_20250702T153932_059906_0770FC_6D94_VH_UTM_8bit.tif,341.7,e5092fcf482e4d878d8fe8f877057ad1
Mombasa,S1A_IW_GRDH_1SDV_20250702T153903_20250702T153932_059906_0770FC_6D94,VV,22,S1A_IW_GRDH_1SDV_20250702T153903_20250702T153932_059906_0770FC_6D94_VV_UTM_8bit.tif,463.4,b01fc28703fa46838b5186511f84925e
Mombasa,S1A_IW_GRDH_1SDV_20250714T153902_20250714T153931_060081_0776FF_25DB,VH,28,S1A_IW_GRDH_1SDV_20250714T153902_20250714T153931_060081_0776FF_25DB_VH_UTM_8bit.tif,342.3,55256b7c167740c7b68e9e2ad66adeb2
Mombasa,S1A_IW_GRDH_1SDV_20250714T153902_20250714T153931_060081_0776FF_25DB,VV,28,S1A_IW_GRDH_1SDV_20250714T153902_20250714T153931_060081_0776FF_25DB_VV_UTM_8bit.tif,468.4,ca2b113c9ae647fa87eb7ccc57da6d12
Mombasa,S1A_IW_GRDH_1SDV_20250726T153902_20250726T153931_060256_077D04_0826,VH,22,S1A_IW_GRDH_1SDV_20250726T153902_20250726T153931_060256_077D04_0826_VH_UTM_8bit.tif,343.1,eca7abb5d368440281d3f7e416d555d5
Mombasa,S1A_IW_GRDH_1SDV_20250726T153902_20250726T153931_060256_077D04_0826,VV,20,S1A_IW_GRDH_1SDV_20250726T153902_20250726T153931_060256_077D04_0826_VV_UTM_8bit.tif,468.2,13602c3a6e9241618d45ef2733bb7b63
Mombasa,S1A_IW_GRDH_1SDV_20250819T153902_20250819T153931_060606_078A07_42F0,VH,22,S1A_IW_GRDH_1SDV_20250819T153902_20250819T153931_060606_078A07_42F0_VH_UTM_8bit.tif,341.9,3b452ff29c9d48b48d5abdcd72009ca7
Mombasa,S1A_IW_GRDH_1SDV_20250819T153902_20250819T153931_060606_078A07_42F0,VV,20,S1A_IW_GRDH_1SDV_20250819T153902_20250819T153931_060606_078A07_42F0_VV_UTM_8bit.tif,462.9,826715d066af4540a4bb31330ca738bd
Mombasa,S1A_IW_GRDH_1SDV_20250831T153902_20250831T153931_060781_0790EA_0B81,VH,41,S1A_IW_GRDH_1SDV_20250831T153902_20250831T153931_060781_0790EA_0B81_VH_UTM_8bit.tif,345.9,909b9a130bf64087bafa204cedd244fe
Mombasa,S1A_IW_GRDH_1SDV_20250831T153902_20250831T153931_060781_0790EA_0B81,VV,40,S1A_IW_GRDH_1SDV_20250831T153902_20250831T153931_060781_0790EA_0B81_VV_UTM_8bit.tif,473.9,300c14aa63a1418bb99663ed08ab6662
Mombasa,S1A_IW_GRDH_1SDV_20250912T153902_20250912T153931_060956_0797E9_52CC,VH,41,S1A_IW_GRDH_1SDV_20250912T153902_20250912T153931_060956_0797E9_52CC_VH_UTM_8bit.tif,340.9,e40a0d74bbcc40e4a7d660a92cec6033
Mombasa,S1A_IW_GRDH_1SDV_20250912T153902_20250912T153931_060956_0797E9_52CC,VV,40,S1A_IW_GRDH_1SDV_20250912T153902_20250912T153931_060956_0797E9_52CC_VV_UTM_8bit.tif,464.4,3660e304adb44d4c98a37b34044dd868
Mombasa,S1A_IW_GRDH_1SDV_20250924T153902_20250924T153931_061131_079EEF_95D2,VH,28,S1A_IW_GRDH_1SDV_20250924T153902_20250924T153931_061131_079EEF_95D2_VH_UTM_8bit.tif,341.5,4dbb79c1cb8342f293d6385fdccdde62
Mombasa,S1A_IW_GRDH_1SDV_20250924T153902_20250924T153931_061131_079EEF_95D2,VV,27,S1A_IW_GRDH_1SDV_20250924T153902_20250924T153931_061131_079EEF_95D2_VV_UTM_8bit.tif,462.0,b97c9fa8685d46ffa7e05de35bef3e59
Mombasa,S1A_IW_GRDH_1SDV_20251006T153903_20251006T153932_061306_07A5FE_9B54,VH,22,S1A_IW_GRDH_1SDV_20251006T153903_20251006T153932_061306_07A5FE_9B54_VH_UTM_8bit.tif,340.7,dcc12706ddd848deb9ba7916e184c826
Mombasa,S1A_IW_GRDH_1SDV_20251006T153903_20251006T153932_061306_07A5FE_9B54,VV,19,S1A_IW_GRDH_1SDV_20251006T153903_20251006T153932_061306_07A5FE_9B54_VV_UTM_8bit.tif,445.3,c9803404921c4e9997a0e9766402311d
Mombasa,S1A_IW_GRDH_1SDV_20251018T153903_20251018T153932_061481_07AD03_B243,VH,37,S1A_IW_GRDH_1SDV_20251018T153903_20251018T153932_061481_07AD03_B243_VH_UTM_8bit.tif,342.5,38c1b5e137484e1a9a6f0cb0548ff462
Mombasa,S1A_IW_GRDH_1SDV_20251018T153903_20251018T153932_061481_07AD03_B243,VV,37,S1A_IW_GRDH_1SDV_20251018T153903_20251018T153932_061481_07AD03_B243_VV_UTM_8bit.tif,462.4,0646c3d5608f4caa96af3cb83989ecb0
Mombasa,S1A_IW_GRDH_1SDV_20251030T153902_20251030T153931_061656_07B411_FB08,VH,55,S1A_IW_GRDH_1SDV_20251030T153902_20251030T153931_061656_07B411_FB08_VH_UTM_8bit.tif,339.7,f3f64841e29e419eb958f9627a4b3161
Mombasa,S1A_IW_GRDH_1SDV_20251030T153902_20251030T153931_061656_07B411_FB08,VV,56,S1A_IW_GRDH_1SDV_20251030T153902_20251030T153931_061656_07B411_FB08_VV_UTM_8bit.tif,437.6,cc7bbd92d6b94fec89210fad8b1abc0a
Mombasa,S1C_IW_GRDH_1SDV_20250920T030348_20250920T030413_004202_008573_E1A5,VH,31,S1C_IW_GRDH_1SDV_20250920T030348_20250920T030413_004202_008573_E1A5_VH_UTM_8bit.tif,414.2,dcb6556b62374024a0022da8fc271be8
Mombasa,S1C_IW_GRDH_1SDV_20250920T030348_20250920T030413_004202_008573_E1A5,VV,31,S1C_IW_GRDH_1SDV_20250920T030348_20250920T030413_004202_008573_E1A5_VV_UTM_8bit.tif,483.2,20e2723c335d46b6a66d8057c0294979
Mombasa,S1C_IW_GRDH_1SDV_20251026T030348_20251026T030413_004727_009566_6FE4,VH,57,S1C_IW_GRDH_1SDV_20251026T030348_20251026T030413_004727_009566_6FE4_VH_UTM_8bit.tif,401.8,c79371110cf04f91a94a71a1ce848ba4
Mombasa,S1C_IW_GRDH_1SDV_20251026T030348_20251026T030413_004727_009566_6FE4,VV,53,S1C_IW_GRDH_1SDV_20251026T030348_20251026T030413_004727_009566_6FE4_VV_UTM_8bit.tif,483.9,e339c9ece0c448eaa5769d9935f271ef
Mombasa,S1C_IW_GRDH_1SDV_20251107T030348_20251107T030413_004902_009B16_327F,VH,40,S1C_IW_GRDH_1SDV_20251107T030348_20251107T030413_004902_009B16_327F_VH_UTM_8bit.tif,407.1,f4b5cbaf9149451484d28c5188005c21
Mombasa,S1C_IW_GRDH_1SDV_20251107T030348_20251107T030413_004902_009B16_327F,VV,41,S1C_IW_GRDH_1SDV_20251107T030348_20251107T030413_004902_009B16_327F_VV_UTM_8bit.tif,477.8,7d6fea950c854e2586687a0e3c10ad9f
Mombasa,S1C_IW_GRDH_1SDV_20251201T030347_20251201T030412_005252_00A6CF_3A0E,VH,51,S1C_IW_GRDH_1SDV_20251201T030347_20251201T030412_005252_00A6CF_3A0E_VH_UTM_8bit.tif,403.3,df6b422bc8834a9593515543926d84d9
Mombasa,S1C_IW_GRDH_1SDV_20251201T030347_20251201T030412_005252_00A6CF_3A0E,VV,51,S1C_IW_GRDH_1SDV_20251201T030347_20251201T030412_005252_00A6CF_3A0E_VV_UTM_8bit.tif,489.9,5c380f22682747be877896e9ab07f193
New York,S1A_IW_GRDH_1SDV_20250211T225059_20250211T225124_057855_0722DE_45FE,VH,27,S1A_IW_GRDH_1SDV_20250211T225059_20250211T225124_057855_0722DE_45FE_VH_UTM_8bit.tif,319.4,a4c2e44f49ee4a86891e4f5fa9d469d1
New York,S1A_IW_GRDH_1SDV_20250211T225059_20250211T225124_057855_0722DE_45FE,VV,25,S1A_IW_GRDH_1SDV_20250211T225059_20250211T225124_057855_0722DE_45FE_VV_UTM_8bit.tif,378.0,1d98564730d440658434942a83d7cc08
New York,S1A_IW_GRDH_1SDV_20251126T225109_20251126T225134_062055_07C38B_B529,VH,87,S1A_IW_GRDH_1SDV_20251126T225109_20251126T225134_062055_07C38B_B529_VH_UTM_8bit.tif,388.0,067e9853c5ba4653b1e3dfee63933bdd
New York,S1A_IW_GRDH_1SDV_20251126T225109_20251126T225134_062055_07C38B_B529,VV,79,S1A_IW_GRDH_1SDV_20251126T225109_20251126T225134_062055_07C38B_B529_VV_UTM_8bit.tif,411.4,744a397543434cf0ad27ce15274cecc4
Newcastle,S1A_IW_GRDH_1SDV_20250121T190730_20250121T190755_057546_07169B_6835,VH,61,S1A_IW_GRDH_1SDV_20250121T190730_20250121T190755_057546_07169B_6835_VH_UTM_8bit.tif,329.4,832d8313a17a46a08431c71cba090555
Newcastle,S1A_IW_GRDH_1SDV_20250121T190730_20250121T190755_057546_07169B_6835,VV,66,S1A_IW_GRDH_1SDV_20250121T190730_20250121T190755_057546_07169B_6835_VV_UTM_8bit.tif,438.0,b654d9fc449b4811b856336ae1c1ed7e
Newcastle,S1A_IW_GRDH_1SDV_20250126T191540_20250126T191605_057619_07197E_F97F,VH,16,S1A_IW_GRDH_1SDV_20250126T191540_20250126T191605_057619_07197E_F97F_VH_UTM_8bit.tif,433.3,85ec00a14785437f9e10c05f14296416
