port,no_facility_hit,hit_not_dated,dated_existed_before_scene,dated_edited_after_scene
Antwerp-Bruges,259646,2824,0,0
Busan,5116,0,287,1179
Callao,51941,0,445,4898
Fujairah,14499,0,134,25402
Hamburg,115991,5342,117862,79978
Houston,114349,117,19187,7937
Jebel Ali,464647,26038,814,0
Los Angeles,16192,38,0,0
Melbourne,50695,115,0,0
Mombasa,63555,171,0,0
New York,7877,0,1006,1454
Newcastle,107822,106,841,5053
Ningbo-Zhoushan,17616,0,30,8
Port Hedland,52694,438,0,0
Port Klang,113814,32,70999,1286
Port Said,44150,508,53117,8557
Qingdao,130742,0,13642,202
Richards Bay,24912,161,0,0
Rotterdam,34518,25240,88684,49176
Santos,29794,528,8592,3400
Shanghai,232582,0,1223,2048
Singapore,924,294,239260,47107
Sydney Botany,22917,512,97,0
Tanger Med,1925,0,2062,33
