product_id,port,track,relative_orbit,start_utc,stop_utc,footprint_min_lon,footprint_min_lat,footprint_max_lon,footprint_max_lat,ais_files,ais_rows,ais_mmsi_unique,fine_resolved,fine_resolved_from_fill,fine_resolved_coarse,fine_unresolved,fine_conflict,worldcover_need,worldcover_have,raster_polarizations,raster_local_complete,raster_remote_22559_complete,raster_action,detection_status,knowledge_ready,blockers
S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8,Jebel Ali,,130,2025-01-01T14:25:09Z,2025-01-01T14:25:34Z,53.663036,24.452805,56.496143,26.382782,2,24539,1190,880,5,77,232,1,2,2,VV;VH,True,False,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map
S1A_IW_GRDH_1SDV_20250102T001853_20250102T001918_057258_070B29_785E,Houston,136_94,136,2025-01-02T00:18:53Z,2025-01-02T00:19:18Z,,,,,1,35546,1131,981,226,63,87,0,4,4,VV;VH,False,True,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster_remote_only
S1A_IW_GRDH_1SDV_20250102T015821_20250102T015850_057259_070B31_AC37,Los Angeles,137_102,137,2025-01-02T01:58:21Z,2025-01-02T01:58:50Z,,,,,1,5189,372,335,3,8,29,0,3,3,VV;VH,False,True,already_geocoded,pending_rasters,False,fine_class_unresolved;worldcover_tile_esa_unpublished;osm_facility_map;local_raster_remote_only
S1A_IW_GRDH_1SDV_20250102T054133_20250102T054158_057261_070B43_0A51,Hamburg,,139,2025-01-02T05:41:33Z,2025-01-02T05:41:58Z,6.468334,53.467762,10.961589,55.378326,2,39491,1264,851,17,84,305,24,4,4,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250102T122317_20250102T122347_057265_070B6D_EB07,Houston,143_492,143,2025-01-02T12:23:17Z,2025-01-02T12:23:47Z,,,,,1,27913,825,721,156,40,64,0,4,4,VV;VH,True,False,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map
S1A_IW_GRDH_1SDV_20250102T163008_20250102T163033_057267_070B86_350D,Richards Bay,,145,2025-01-02T16:30:08Z,2025-01-02T16:30:33Z,,,,,1,328,49,35,1,11,3,0,1,1,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;worldcover_tile_esa_unpublished;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250102T191541_20250102T191606_057269_070B97_128E,Newcastle,147_701,147,2025-01-02T19:15:41Z,2025-01-02T19:16:06Z,,,,,1,3796,338,219,42,9,110,0,4,4,VV;VH,False,True,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster_remote_only
S1A_IW_GRDH_1SDV_20250102T191606_20250102T191631_057269_070B97_08C8,Sydney Botany,147_706,147,2025-01-02T19:16:06Z,2025-01-02T19:16:31Z,,,,,1,3714,310,191,43,3,116,0,2,2,VV;VH,False,True,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster_remote_only
S1A_IW_GRDH_1SDV_20250103T153907_20250103T153936_057281_070C1A_B1ED,Mombasa,,159,2025-01-03T15:39:07Z,2025-01-03T15:39:36Z,,,,,2,7116,62,52,0,5,5,0,1,1,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250103T213202_20250103T213231_057285_070C43_5DB2,Port Hedland,,163,2025-01-03T21:32:02Z,2025-01-03T21:32:31Z,,,,,1,2747,97,84,0,9,4,0,4,4,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250104T021547_20250104T021611_057288_070C5C_2B74,Jebel Ali,166_509,166,2025-01-04T02:15:47Z,2025-01-04T02:16:11Z,,,,,1,14229,1388,1048,7,86,254,0,2,2,VV;VH,True,True,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map
S1A_IW_GRDH_1SDV_20250104T035238_20250104T035303_057289_070C66_D580,Port Said,,167,2025-01-04T03:52:38Z,2025-01-04T03:53:03Z,,,,,1,676,170,143,0,17,9,1,2,2,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250104T095441_20250104T095506_057293_070C89_A4EF,Ningbo-Zhoushan,,171,2025-01-04T09:54:41Z,2025-01-04T09:55:06Z,120.699913,28.400282,123.598099,30.316563,2,36880,4214,1749,346,1122,1340,3,3,3,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;worldcover_tile_esa_unpublished;osm_facility_map;local_raster
