mmsi,ais_rows,final_class,class_level,source,confidence,type_code,imo,vessel_kind,registry_type,flag,name,note
100000001,84,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,no_usable_type
100000003,16,non_ship,non_ship,mmsi_structure,certain,253,,nonstandard,,,,ITU-R M.585 range: nonstandard
100000005,5,non_ship,non_ship,mmsi_structure,certain,37,,nonstandard,,,,ITU-R M.585 range: nonstandard
100000008,29,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,no_usable_type
100000010,10,non_ship,non_ship,mmsi_structure,certain,37,,nonstandard,,,,ITU-R M.585 range: nonstandard
100000012,25,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,no_usable_type
100000013,11,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,no_usable_type
100000016,28,non_ship,non_ship,mmsi_structure,certain,,,nonstandard,,,,ITU-R M.585 range: nonstandard
100000017,2,non_ship,non_ship,mmsi_structure,certain,,,nonstandard,,,,ITU-R M.585 range: nonstandard
100000019,6,non_ship,non_ship,mmsi_structure,certain,,,nonstandard,,,,ITU-R M.585 range: nonstandard
100000032,2,non_ship,non_ship,mmsi_structure,certain,,,nonstandard,,,,ITU-R M.585 range: nonstandard
100000036,1,non_ship,non_ship,mmsi_structure,certain,37,,nonstandard,,,,ITU-R M.585 range: nonstandard
100000037,8,non_ship,non_ship,mmsi_structure,certain,37,,nonstandard,,,,ITU-R M.585 range: nonstandard
100000038,2,non_ship,non_ship,mmsi_structure,certain,,,nonstandard,,,,ITU-R M.585 range: nonstandard
100000047,4,non_ship,non_ship,mmsi_structure,certain,,,nonstandard,,,,ITU-R M.585 range: nonstandard
100000049,23,non_ship,non_ship,mmsi_structure,certain,,,nonstandard,,,,ITU-R M.585 range: nonstandard
100000058,7,non_ship,non_ship,mmsi_structure,certain,37,,nonstandard,,,,ITU-R M.585 range: nonstandard
100000070,6,non_ship,non_ship,mmsi_structure,certain,7,,nonstandard,,,,ITU-R M.585 range: nonstandard
100000071,45,non_ship,non_ship,mmsi_structure,certain,,,nonstandard,,,,ITU-R M.585 range: nonstandard
100000082,7,non_ship,non_ship,mmsi_structure,certain,37,,nonstandard,,,,ITU-R M.585 range: nonstandard
