port,objects,facility_hits,facility_with_osm_id,facility_dated,facility_existed_at_scene,on_fairway,channel_angle_osm_fairway,channel_angle_ais_traffic,support_0,support_1,support_2,support_3,support_4,support_5,support_6
Antwerp-Bruges,262470,2824,0,0,0,226,226,81223,0,0,0,244102,6502,11485,381
Busan,6582,1466,1466,0,0,0,0,2017,0,0,0,4574,1409,464,135
Callao,57284,5343,5338,0,0,0,0,3755,0,0,0,51747,5385,152,0
Fujairah,40035,25536,134,0,0,0,0,13976,0,0,0,13964,18261,1241,6569
Hamburg,319173,203182,134513,980,891,9,9,53506,0,0,0,115096,198447,1628,4002
Houston,141590,27241,24635,0,0,603,600,5806,0,0,0,113936,26224,581,849
Jebel Ali,491499,26852,814,0,0,0,0,153540,0,0,0,435197,25149,24790,6363
Los Angeles,16230,38,0,0,0,0,0,416,0,0,0,16065,41,118,6
Melbourne,50810,115,0,0,0,236,236,1528,0,0,0,50569,146,87,8
Mombasa,63726,171,0,0,0,0,0,2260,0,0,0,62260,220,1203,43
New York,10337,2460,366,0,0,0,0,2014,0,0,0,7674,2473,180,10
Newcastle,113822,6000,3923,0,0,16,8,581,0,0,0,106964,6253,596,9
Ningbo-Zhoushan,17654,38,8,0,0,0,0,12156,0,0,0,13751,1794,2109,0
Port Hedland,53132,438,0,0,0,0,0,2169,0,0,0,51553,495,980,104
Port Klang,186131,72317,19854,0,0,34,34,14537,0,0,0,109497,71835,3856,943
Port Said,106332,62182,57864,0,0,1400,1400,17722,0,0,0,36137,62011,7263,921
Qingdao,144586,13844,12791,0,0,217,217,85703,0,0,0,106007,20976,17195,408
Richards Bay,25073,161,0,0,0,5,5,1440,0,0,0,24053,230,771,19
Rotterdam,197618,163100,110677,0,0,11807,9584,55941,0,0,0,33878,151448,3979,8313
Santos,42314,12520,7186,2057,2057,105,77,6077,0,0,0,29669,11547,377,721
Shanghai,235853,3271,3254,0,0,0,0,150144,0,0,0,178961,34458,22434,0
Singapore,287585,286661,271145,0,0,3497,2995,101640,0,0,0,924,243634,6791,36236
Sydney Botany,23526,609,0,0,0,128,128,3211,0,0,0,21603,869,992,62
Tanger Med,4020,2095,2044,0,0,0,0,685,0,0,0,1715,2111,179,15
