port,product,pol,width,height,origin_x,origin_y,pixel_m,land_pct,nearshore_pct,offshore_pct,invalid_pct,worldcover_ok,status
Antwerp-Bruges,S1A_IW_GRDH_1SDV_20250115T173330_20250115T173355_057458_07130D_51CB,VH,3627,2676,401843.4011571135,5858681.494409657,80.0,25.99,2.13,40.28,31.6,1,ok
Antwerp-Bruges,S1A_IW_GRDH_1SDV_20250220T173328_20250220T173353_057983_07280A_D019,VH,3626,2676,401709.20497165085,5858686.300820604,80.0,25.95,2.12,40.32,31.6,1,ok
Antwerp-Bruges,S1A_IW_GRDH_1SDV_20250409T173329_20250409T173354_058683_07444B_FA8B,VH,3626,2676,401869.23379820527,5858704.512531234,80.0,25.99,2.12,40.29,31.59,1,ok
Antwerp-Bruges,S1A_IW_GRDH_1SDV_20250714T173326_20250714T173351_060083_077709_FD9C,VH,3626,2676,402139.94921698933,5858762.10527246,80.0,26.03,2.13,40.25,31.59,1,ok
Antwerp-Bruges,S1A_IW_GRDH_1SDV_20250912T173326_20250912T173351_060958_0797F4_2E8D,VH,3626,2676,401663.52190433536,5858723.000728335,80.0,25.94,2.12,40.35,31.59,1,ok
Antwerp-Bruges,S1A_IW_GRDH_1SDV_20251217T173322_20251217T173347_062358_07CF5C_3556,VH,3627,2676,401845.578794078,5858694.460979615,80.0,25.99,2.12,40.28,31.6,1,ok
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250611T055738_20250611T055803_002731_005A0C_2C37,VH,3649,2629,401700.24823299516,5804905.229197869,80.0,40.28,1.82,27.1,30.8,1,ok
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250623T055738_20250623T055803_002906_005F16_6E06,VH,3643,2629,401802.3391122851,5804887.807506698,80.0,40.36,1.81,27.15,30.68,1,ok
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250705T055739_20250705T055804_003081_00641D_2DF0,VH,3644,2628,401914.22142143577,5804877.960470067,80.0,40.38,1.82,27.12,30.68,1,ok
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250720T173209_20250720T173234_003307_006AB5_D3FE,VH,3645,2685,415485.6434150975,5786511.8629455,80.0,7.6,0.19,60.05,32.15,1,ok
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250810T055741_20250810T055806_003606_007385_F130,VH,3649,2629,401704.8283637893,5804885.20913605,80.0,40.29,1.81,27.1,30.8,1,ok
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250822T055742_20250822T055806_003781_0078C6_2C32,VH,3644,2628,401824.9281003525,5804870.987281338,80.0,40.36,1.82,27.14,30.68,1,ok
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250903T055742_20250903T055807_003956_007E04_B34B,VH,3644,2628,401988.7352017623,5804866.665912789,80.0,40.4,1.82,27.1,30.68,1,ok
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250906T173211_20250906T173236_004007_007F7E_D39D,VH,3645,2685,415548.54378699313,5786495.742138017,80.0,7.61,0.19,60.05,32.16,1,ok
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250915T055742_20250915T055807_004131_008359_AA20,VH,3649,2630,401835.743883996,5804883.751625156,80.0,40.32,1.81,27.06,30.81,1,ok
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250927T055742_20250927T055807_004306_0088A6_843A,VH,3649,2629,401887.1051948798,5804887.9842939535,80.0,40.33,1.81,27.06,30.81,1,ok
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20251117T173211_20251117T173236_005057_00A047_CB70,VH,3646,2685,415477.3162974946,5786478.659038596,80.0,7.62,0.19,60.04,32.16,1,ok
Antwerp-Bruges,S1A_IW_GRDH_1SDV_20250115T173330_20250115T173355_057458_07130D_51CB,VV,3627,2676,401843.4011571135,5858681.494409657,80.0,25.99,2.13,40.28,31.6,1,ok
Antwerp-Bruges,S1A_IW_GRDH_1SDV_20250220T173328_20250220T173353_057983_07280A_D019,VV,3626,2676,401709.20497165085,5858686.300820604,80.0,25.95,2.12,40.32,31.6,1,ok
Antwerp-Bruges,S1A_IW_GRDH_1SDV_20250409T173329_20250409T173354_058683_07444B_FA8B,VV,3626,2676,401869.23379820527,5858704.512531234,80.0,25.99,2.12,40.29,31.59,1,ok
Antwerp-Bruges,S1A_IW_GRDH_1SDV_20250714T173326_20250714T173351_060083_077709_FD9C,VV,3626,2676,402139.94921698933,5858762.10527246,80.0,26.03,2.13,40.25,31.59,1,ok
Antwerp-Bruges,S1A_IW_GRDH_1SDV_20250912T173326_20250912T173351_060958_0797F4_2E8D,VV,3626,2676,401663.52190433536,5858723.000728335,80.0,25.94,2.12,40.35,31.59,1,ok
Antwerp-Bruges,S1A_IW_GRDH_1SDV_20251217T173322_20251217T173347_062358_07CF5C_3556,VV,3627,2676,401845.578794078,5858694.460979615,80.0,25.99,2.12,40.29,31.6,1,ok
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250611T055738_20250611T055803_002731_005A0C_2C37,VV,3649,2629,401700.24823299516,5804905.229197869,80.0,40.28,1.82,27.1,30.8,1,ok
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250623T055738_20250623T055803_002906_005F16_6E06,VV,3643,2629,401802.3391122851,5804887.807506698,80.0,40.36,1.81,27.15,30.68,1,ok
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250705T055739_20250705T055804_003081_00641D_2DF0,VV,3644,2628,401914.22142143577,5804877.960470067,80.0,40.38,1.82,27.12,30.68,1,ok
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250720T173209_20250720T173234_003307_006AB5_D3FE,VV,3645,2685,415485.6434150975,5786511.8629455,80.0,7.6,0.19,60.05,32.15,1,ok
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250810T055741_20250810T055806_003606_007385_F130,VV,3649,2629,401704.8283637893,5804885.20913605,80.0,40.29,1.81,27.1,30.8,1,ok
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250822T055742_20250822T055806_003781_0078C6_2C32,VV,3644,2628,401824.9281003525,5804870.987281338,80.0,40.36,1.82,27.14,30.68,1,ok
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250903T055742_20250903T055807_003956_007E04_B34B,VV,3644,2628,401988.7352017623,5804866.665912789,80.0,40.4,1.82,27.1,30.68,1,ok
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250906T173211_20250906T173236_004007_007F7E_D39D,VV,3645,2685,415548.54378699313,5786495.742138017,80.0,7.61,0.19,60.05,32.16,1,ok
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250915T055742_20250915T055807_004131_008359_AA20,VV,3649,2630,401835.743883996,5804883.751625156,80.0,40.32,1.81,27.06,30.81,1,ok
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250927T055742_20250927T055807_004306_0088A6_843A,VV,3649,2629,401887.1051948798,5804887.9842939535,80.0,40.33,1.81,27.06,30.81,1,ok
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20251117T173211_20251117T173236_005057_00A047_CB70,VV,3646,2685,415477.3162974946,5786478.659038596,80.0,7.62,0.19,60.04,32.16,1,ok
Busan,S1A_IW_GRDH_1SDV_20250812T092320_20250812T092349_060501_0785D8_D733,VH,3550,2977,366266.739020852,4044301.7571777017,80.0,33.74,1.91,34.81,29.53,1,ok
Busan,S1A_IW_GRDH_1SDV_20250812T092320_20250812T092349_060501_0785D8_D733,VV,3550,2977,366266.739020852,4044301.7571777017,80.0,33.74,1.91,34.81,29.53,1,ok
Callao,S1A_IW_GRDH_1SDV_20250104T103939_20250104T104004_057293_070C8F_4A75,VH,3579,2793,255402.47096658198,8802971.742820106,80.0,63.99,0.6,1.5,33.91,1,ok
Callao,S1A_IW_GRDH_1SDV_20250128T103938_20250128T104003_057643_071A72_02D2,VH,3579,2793,255302.06365168773,8802967.565420453,80.0,63.99,0.6,1.51,33.91,1,ok
Callao,S1A_IW_GRDH_1SDV_20250226T104756_20250226T104817_058066_072B73_87CC,VH,3515,2459,683073.8312869673,8762170.732276537,80.0,3.88,0.15,55.91,40.06,1,ok
Callao,S1A_IW_GRDH_1SDV_20250317T103937_20250317T104002_058343_073699_CE68,VH,3579,2793,255268.5117993672,8802990.597221488,80.0,63.99,0.6,1.51,33.91,1,ok
Callao,S1A_IW_GRDH_1SDV_20250528T103937_20250528T104002_059393_075F48_4EAF,VH,3580,2793,255439.94980979132,8802919.913750717,80.0,64.0,0.59,1.5,33.91,1,ok
Callao,S1A_IW_GRDH_1SDV_20250716T233423_20250716T233448_060115_077824_E5F7,VH,3698,2854,126368.47056258953,8836026.185779704,80.0,39.03,0.64,25.48,34.85,1,ok
Callao,S1A_IW_GRDH_1SDV_20250728T233423_20250728T233448_060290_077E28_8D35,VH,3698,2854,126350.6423938112,8836028.825906094,80.0,39.03,0.64,25.49,34.85,1,ok
Callao,S1A_IW_GRDH_1SDV_20250809T233423_20250809T233448_060465_07847A_0D09,VH,3698,2854,126315.43746747245,8836034.216727164,80.0,39.02,0.64,25.49,34.85,1,ok
Callao,S1A_IW_GRDH_1SDV_20250902T233423_20250902T233448_060815_079246_B71C,VH,3698,2854,126421.9026302243,8836078.682012435,80.0,39.05,0.64,25.46,34.84,1,ok
Callao,S1A_IW_GRDH_1SDV_20251101T233423_20251101T233448_061690_07B569_16F6,VH,3698,2854,126377.0615377769,8836087.64537805,80.0,39.04,0.64,25.47,34.84,1,ok
Callao,S1C_IW_GRDH_1SDV_20250802T103843_20250802T103908_003492_00701B_89A1,VH,3514,2801,236970.47679569304,8717088.594464522,80.0,52.02,0.47,13.72,33.79,1,ok
Callao,S1C_IW_GRDH_1SDV_20250803T233313_20250803T233338_003514_0070C0_6937,VH,3680,2851,135178.28235242725,8798577.919560978,80.0,36.15,0.58,28.77,34.5,1,ok
Callao,S1C_IW_GRDH_1SDV_20250827T233314_20250827T233339_003864_007B3B_3B7B,VH,3680,2851,135189.26482403307,8798587.45259186,80.0,36.15,0.58,28.77,34.5,1,ok
Callao,S1C_IW_GRDH_1SDV_20251213T233313_20251213T233338_005439_00AD3E_36D0,VH,3680,2851,135187.51729927637,8798597.757955696,80.0,36.15,0.58,28.77,34.5,1,ok
Callao,S1A_IW_GRDH_1SDV_20250104T103939_20250104T104004_057293_070C8F_4A75,VV,3579,2793,255402.47096658198,8802971.742820106,80.0,63.99,0.6,1.5,33.91,1,ok
Callao,S1A_IW_GRDH_1SDV_20250128T103938_20250128T104003_057643_071A72_02D2,VV,3579,2793,255302.06365168773,8802967.565420453,80.0,63.99,0.6,1.51,33.91,1,ok
Callao,S1A_IW_GRDH_1SDV_20250226T104756_20250226T104817_058066_072B73_87CC,VV,3515,2459,683073.8312869673,8762170.732276537,80.0,3.88,0.15,55.91,40.06,1,ok
Callao,S1A_IW_GRDH_1SDV_20250317T103937_20250317T104002_058343_073699_CE68,VV,3579,2793,255268.5117993672,8802990.597221488,80.0,63.99,0.6,1.51,33.91,1,ok
Callao,S1A_IW_GRDH_1SDV_20250528T103937_20250528T104002_059393_075F48_4EAF,VV,3580,2793,255439.94980979123,8802919.913750717,80.0,64.0,0.59,1.5,33.91,1,ok
