port,objects,facility_hits,facility_with_osm_id,facility_dated,facility_existed_at_scene,on_fairway,channel_angle_osm_fairway,channel_angle_ais_traffic,support_0,support_1,support_2,support_3,support_4,support_5,support_6
Antwerp-Bruges,262470,2824,0,0,0,226,226,81223,0,0,0,244102,17320,1032,16
Busan,6582,1466,1466,1466,287,0,0,2017,0,0,0,4574,1741,262,5
Callao,57284,5343,5343,5343,445,0,0,3755,0,0,0,51747,5532,5,0
Fujairah,40035,25536,25536,25536,134,0,0,13976,0,0,0,13964,18718,7297,56
Hamburg,319173,203182,197843,197840,117862,9,9,53506,0,0,0,115096,199127,4719,231
Houston,141590,27241,27241,27124,19187,603,600,5806,0,0,0,113936,26444,906,304
Jebel Ali,491499,26852,814,814,814,0,0,153540,0,0,0,435197,48144,8023,135
Los Angeles,16230,38,0,0,0,0,0,416,0,0,0,16065,159,6,0
Melbourne,50810,115,0,0,0,236,236,1528,0,0,0,50569,227,14,0
Mombasa,63726,171,0,0,0,0,0,2260,0,0,0,62260,1393,70,3
New York,10337,2460,2460,2460,1006,0,0,2014,0,0,0,7674,2631,31,1
Newcastle,113822,6000,5895,5894,841,16,8,581,0,0,0,106964,6800,58,0
Ningbo-Zhoushan,17654,38,38,38,30,0,0,12156,0,0,0,13751,3651,252,0
Port Hedland,53132,438,0,0,0,0,0,2169,0,0,0,51553,1467,112,0
Port Klang,186131,72317,72285,72285,70999,34,34,14537,0,0,0,109497,75562,1067,5
Port Said,106332,62182,62182,61674,53117,1400,1400,17722,0,0,0,36137,69088,1096,11
Qingdao,144586,13844,13844,13844,13642,217,217,85703,0,0,0,106007,32056,6442,81
Richards Bay,25073,161,0,0,0,5,5,1440,0,0,0,24053,993,27,0
Rotterdam,197618,163100,138950,137860,88684,11807,9584,55941,0,0,0,33878,151970,11495,275
Santos,42314,12520,12002,11992,8592,105,77,6077,0,0,0,29669,11657,978,10
Shanghai,235853,3271,3271,3271,1223,0,0,150144,0,0,0,178961,52178,4714,0
Singapore,287585,286661,286661,286367,239260,3497,2995,101640,0,0,0,924,243634,42308,719
Sydney Botany,23526,609,97,97,97,128,128,3211,0,0,0,21603,1698,216,9
Tanger Med,4020,2095,2095,2095,2062,0,0,685,0,0,0,1715,2290,15,0
