product,pol,port,objects,status,seconds
S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8,VH,Jebel Ali,-1,skipped,
S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8,VV,Jebel Ali,847,skipped,
S1A_IW_GRDH_1SDV_20250102T122317_20250102T122347_057265_070B6D_EB07,VH,Houston,38,skipped,
S1A_IW_GRDH_1SDV_20250102T122317_20250102T122347_057265_070B6D_EB07,VV,Houston,27,skipped,
S1A_IW_GRDH_1SDV_20250104T021547_20250104T021611_057288_070C5C_2B74,VH,Jebel Ali,685,skipped,
S1A_IW_GRDH_1SDV_20250104T021547_20250104T021611_057288_070C5C_2B74,VV,Jebel Ali,697,skipped,
S1A_IW_GRDH_1SDV_20250104T103939_20250104T104004_057293_070C8F_4A75,VH,Callao,20,skipped,
S1A_IW_GRDH_1SDV_20250104T103939_20250104T104004_057293_070C8F_4A75,VV,Callao,19,skipped,
S1A_IW_GRDH_1SDV_20250105T224813_20250105T224838_057315_070D6B_4F1E,VH,Singapore,1204,skipped,
S1A_IW_GRDH_1SDV_20250105T224813_20250105T224838_057315_070D6B_4F1E,VV,Singapore,1297,skipped,
S1A_IW_GRDH_1SDV_20250108T141656_20250108T141721_057354_070EF9_747A,VH,Fujairah,392,ok,76.4
S1A_IW_GRDH_1SDV_20250108T141656_20250108T141721_057354_070EF9_747A,VV,Fujairah,598,ok,77.5
S1A_IW_GRDH_1SDV_20250109T190756_20250109T190821_057371_070FA6_03D6,VH,Sydney Botany,135,ok,81.0
S1A_IW_GRDH_1SDV_20250109T190756_20250109T190821_057371_070FA6_03D6,VV,Sydney Botany,322,ok,78.1
S1A_IW_GRDH_1SDV_20250112T055841_20250112T055906_057407_07110D_854D,VH,Rotterdam,1642,ok,77.8
S1A_IW_GRDH_1SDV_20250112T055841_20250112T055906_057407_07110D_854D,VV,Rotterdam,2328,ok,83.0
S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089,VH,Jebel Ali,928,ok,90.8
S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089,VV,Jebel Ali,1012,ok,77.7
S1A_IW_GRDH_1SDV_20250115T153906_20250115T153935_057456_071303_0ED7,VH,Mombasa,13,ok,62.4
S1A_IW_GRDH_1SDV_20250115T153906_20250115T153935_057456_071303_0ED7,VV,Mombasa,43,ok,58.8
S1A_IW_GRDH_1SDV_20250115T173330_20250115T173355_057458_07130D_51CB,VH,Antwerp-Bruges,2362,ok,48.3
S1A_IW_GRDH_1SDV_20250115T173330_20250115T173355_057458_07130D_51CB,VV,Antwerp-Bruges,3758,ok,47.5
S1A_IW_GRDH_1SDV_20250117T224812_20250117T224837_057490_071459_C3D3,VH,Singapore,1208,ok,25.1
S1A_IW_GRDH_1SDV_20250117T224812_20250117T224837_057490_071459_C3D3,VV,Singapore,1356,ok,23.1
S1A_IW_GRDH_1SDV_20250120T141655_20250120T141720_057529_0715E8_27AA,VH,Fujairah,362,ok,22.2
S1A_IW_GRDH_1SDV_20250120T141655_20250120T141720_057529_0715E8_27AA,VV,Fujairah,379,ok,22.5
S1A_IW_GRDH_1SDV_20250121T190730_20250121T190755_057546_07169B_6835,VH,Newcastle,56,ok,50.5
S1A_IW_GRDH_1SDV_20250121T190730_20250121T190755_057546_07169B_6835,VV,Newcastle,65,ok,54.8
S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,VH,Jebel Ali,1050,ok,53.0
S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,VV,Jebel Ali,1489,ok,49.6
S1A_IW_GRDH_1SDV_20250126T122315_20250126T122344_057615_071953_D83D,VH,Houston,39,ok,69.5
S1A_IW_GRDH_1SDV_20250126T122315_20250126T122344_057615_071953_D83D,VV,Houston,37,ok,66.3
S1A_IW_GRDH_1SDV_20250126T191540_20250126T191605_057619_07197E_F97F,VH,Newcastle,19,ok,56.2
S1A_IW_GRDH_1SDV_20250126T191540_20250126T191605_057619_07197E_F97F,VV,Newcastle,42,ok,57.0
S1A_IW_GRDH_1SDV_20250127T153906_20250127T153935_057631_0719FF_8570,VH,Mombasa,20,ok,25.7
S1A_IW_GRDH_1SDV_20250127T153906_20250127T153935_057631_0719FF_8570,VV,Mombasa,34,ok,26.0
S1A_IW_GRDH_1SDV_20250128T095619_20250128T095644_057643_071A6C_C629,VH,Qingdao,519,ok,21.4
S1A_IW_GRDH_1SDV_20250128T095619_20250128T095644_057643_071A6C_C629,VV,Qingdao,606,ok,24.0
S1A_IW_GRDH_1SDV_20250128T103938_20250128T104003_057643_071A72_02D2,VH,Callao,21,ok,34.7
S1A_IW_GRDH_1SDV_20250128T103938_20250128T104003_057643_071A72_02D2,VV,Callao,29,ok,33.8
S1A_IW_GRDH_1SDV_20250201T141654_20250201T141719_057704_071CD3_8E9C,VH,Fujairah,332,ok,50.0
S1A_IW_GRDH_1SDV_20250201T141654_20250201T141719_057704_071CD3_8E9C,VV,Fujairah,352,ok,47.3
S1A_IW_GRDH_1SDV_20250202T135247_20250202T135312_057718_071D69_2EC7,VH,Los Angeles,55,ok,17.3
S1A_IW_GRDH_1SDV_20250202T135247_20250202T135312_057718_071D69_2EC7,VV,Los Angeles,45,ok,49.5
S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,VH,Jebel Ali,979,ok,40.5
S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,VV,Jebel Ali,1126,ok,36.7
S1A_IW_GRDH_1SDV_20250209T095619_20250209T095644_057818_072156_A282,VH,Qingdao,767,ok,44.3
S1A_IW_GRDH_1SDV_20250209T095619_20250209T095644_057818_072156_A282,VV,Qingdao,1021,ok,30.2
S1A_IW_GRDH_1SDV_20250210T224811_20250210T224836_057840_072244_0469,VH,Singapore,1281,ok,35.2
S1A_IW_GRDH_1SDV_20250210T224811_20250210T224836_057840_072244_0469,VV,Singapore,1408,ok,46.8
S1A_IW_GRDH_1SDV_20250211T225059_20250211T225124_057855_0722DE_45FE,VH,New York,104,ok,16.5
S1A_IW_GRDH_1SDV_20250211T225059_20250211T225124_057855_0722DE_45FE,VV,New York,254,ok,87.6
S1A_IW_GRDH_1SDV_20250213T083110_20250213T083139_057875_0723AA_0832,VH,Santos,128,ok,67.5
S1A_IW_GRDH_1SDV_20250213T083110_20250213T083139_057875_0723AA_0832,VV,Santos,221,ok,89.9
S1A_IW_GRDH_1SDV_20250214T190754_20250214T190819_057896_07248A_4BF0,VH,Sydney Botany,78,ok,90.5
S1A_IW_GRDH_1SDV_20250214T190754_20250214T190819_057896_07248A_4BF0,VV,Sydney Botany,198,ok,43.5
S1A_IW_GRDH_1SDV_20250217T055839_20250217T055904_057932_0725F5_9F4A,VH,Rotterdam,1233,ok,81.4
S1A_IW_GRDH_1SDV_20250217T055839_20250217T055904_057932_0725F5_9F4A,VV,Rotterdam,1649,ok,78.0
S1A_IW_GRDH_1SDV_20250217T193335_20250217T193400_057940_072653_7401,VH,Melbourne,153,ok,64.9
S1A_IW_GRDH_1SDV_20250217T193335_20250217T193400_057940_072653_7401,VV,Melbourne,386,ok,58.1
S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C,VH,Jebel Ali,894,ok,71.7
S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C,VV,Jebel Ali,1151,ok,64.1
S1A_IW_GRDH_1SDV_20250219T191539_20250219T191604_057969_072771_AEEC,VH,Newcastle,22,ok,59.6
S1A_IW_GRDH_1SDV_20250219T191539_20250219T191604_057969_072771_AEEC,VV,Newcastle,41,ok,59.7
S1A_IW_GRDH_1SDV_20250220T153905_20250220T153934_057981_0727FE_BF71,VH,Mombasa,21,ok,42.2
S1A_IW_GRDH_1SDV_20250220T153905_20250220T153934_057981_0727FE_BF71,VV,Mombasa,29,ok,42.1
S1A_IW_GRDH_1SDV_20250220T173328_20250220T173353_057983_07280A_D019,VH,Antwerp-Bruges,1638,ok,32.3
S1A_IW_GRDH_1SDV_20250220T173328_20250220T173353_057983_07280A_D019,VV,Antwerp-Bruges,2566,ok,28.9
S1A_IW_GRDH_1SDV_20250222T224810_20250222T224835_058015_072961_178E,VH,Singapore,1159,ok,30.0
S1A_IW_GRDH_1SDV_20250222T224810_20250222T224835_058015_072961_178E,VV,Singapore,1382,ok,31.9
S1A_IW_GRDH_1SDV_20250225T141654_20250225T141719_058054_072AFB_9955,VH,Fujairah,418,ok,18.7
S1A_IW_GRDH_1SDV_20250225T141654_20250225T141719_058054_072AFB_9955,VV,Fujairah,358,ok,46.0
S1A_IW_GRDH_1SDV_20250226T104756_20250226T104817_058066_072B73_87CC,VH,Callao,72,ok,32.2
S1A_IW_GRDH_1SDV_20250226T104756_20250226T104817_058066_072B73_87CC,VV,Callao,505,ok,36.6
S1A_IW_GRDH_1SDV_20250302T142506_20250302T142531_058127_072DF2_C32F,VH,Jebel Ali,811,ok,42.8
S1A_IW_GRDH_1SDV_20250302T142506_20250302T142531_058127_072DF2_C32F,VV,Jebel Ali,792,ok,30.2
S1A_IW_GRDH_1SDV_20250306T224811_20250306T224836_058190_07308D_CDA9,VH,Singapore,1206,ok,71.0
S1A_IW_GRDH_1SDV_20250306T224811_20250306T224836_058190_07308D_CDA9,VV,Singapore,1496,ok,67.4
S1A_IW_GRDH_1SDV_20250309T083110_20250309T083139_058225_0731F2_0C8F,VH,Santos,139,ok,57.1
S1A_IW_GRDH_1SDV_20250309T083110_20250309T083139_058225_0731F2_0C8F,VV,Santos,294,ok,47.9
S1A_IW_GRDH_1SDV_20250310T113410_20250310T113435_058242_07329D_6109,VH,Port Klang,342,ok,38.0
S1A_IW_GRDH_1SDV_20250310T113410_20250310T113435_058242_07329D_6109,VV,Port Klang,485,ok,42.5
S1A_IW_GRDH_1SDV_20250310T190754_20250310T190819_058246_0732C7_AA66,VH,Sydney Botany,98,ok,27.9
S1A_IW_GRDH_1SDV_20250310T190754_20250310T190819_058246_0732C7_AA66,VV,Sydney Botany,382,ok,28.9
S1A_IW_GRDH_1SDV_20250314T142506_20250314T142531_058302_073505_F8D8,VH,Jebel Ali,912,ok,40.5
S1A_IW_GRDH_1SDV_20250314T142506_20250314T142531_058302_073505_F8D8,VV,Jebel Ali,1470,ok,36.4
S1A_IW_GRDH_1SDV_20250315T122314_20250315T122344_058315_07357B_31CC,VH,Houston,61,ok,36.5
S1A_IW_GRDH_1SDV_20250315T122314_20250315T122344_058315_07357B_31CC,VV,Houston,56,ok,65.3
S1A_IW_GRDH_1SDV_20250315T191539_20250315T191604_058319_0735A5_19A8,VH,Newcastle,21,ok,35.3
S1A_IW_GRDH_1SDV_20250315T191539_20250315T191604_058319_0735A5_19A8,VV,Newcastle,47,ok,33.8
S1A_IW_GRDH_1SDV_20250316T153905_20250316T153934_058331_073622_85D9,VH,Mombasa,20,ok,43.5
S1A_IW_GRDH_1SDV_20250316T153905_20250316T153934_058331_073622_85D9,VV,Mombasa,22,ok,24.9
S1A_IW_GRDH_1SDV_20250317T021545_20250317T021609_058338_073664_181C,VH,Jebel Ali,606,ok,20.9
S1A_IW_GRDH_1SDV_20250317T021545_20250317T021609_058338_073664_181C,VV,Jebel Ali,650,ok,20.8
S1A_IW_GRDH_1SDV_20250317T035236_20250317T035301_058339_07366E_1A19,VH,Port Said,261,ok,22.0
S1A_IW_GRDH_1SDV_20250317T035236_20250317T035301_058339_07366E_1A19,VV,Port Said,542,ok,32.2
S1A_IW_GRDH_1SDV_20250317T095619_20250317T095644_058343_073693_570A,VH,Qingdao,558,ok,32.5
S1A_IW_GRDH_1SDV_20250317T095619_20250317T095644_058343_073693_570A,VV,Qingdao,624,ok,34.9
S1A_IW_GRDH_1SDV_20250317T103937_20250317T104002_058343_073699_CE68,VH,Callao,17,ok,18.5
S1A_IW_GRDH_1SDV_20250317T103937_20250317T104002_058343_073699_CE68,VV,Callao,22,ok,23.4
S1A_IW_GRDH_1SDV_20250318T224811_20250318T224836_058365_073771_B1C2,VH,Singapore,1167,ok,44.0
S1A_IW_GRDH_1SDV_20250318T224811_20250318T224836_058365_073771_B1C2,VV,Singapore,1303,ok,43.2
S1A_IW_GRDH_1SDV_20250321T141654_20250321T141719_058404_07390A_3A64,VH,Fujairah,378,ok,24.0
S1A_IW_GRDH_1SDV_20250321T141654_20250321T141719_058404_07390A_3A64,VV,Fujairah,379,ok,37.7
S1A_IW_GRDH_1SDV_20250326T142506_20250326T142531_058477_073BE1_A5C1,VH,Jebel Ali,854,ok,23.7
S1A_IW_GRDH_1SDV_20250326T142506_20250326T142531_058477_073BE1_A5C1,VV,Jebel Ali,1109,ok,23.0
S1A_IW_GRDH_1SDV_20250327T163005_20250327T163030_058492_073C79_EAA7,VH,Richards Bay,35,ok,37.9
S1A_IW_GRDH_1SDV_20250327T163005_20250327T163030_058492_073C79_EAA7,VV,Richards Bay,47,ok,33.4
S1A_IW_GRDH_1SDV_20250328T153905_20250328T153934_058506_073D15_583F,VH,Mombasa,24,ok,31.2
S1A_IW_GRDH_1SDV_20250328T153905_20250328T153934_058506_073D15_583F,VV,Mombasa,35,ok,28.5
S1A_IW_GRDH_1SDV_20250329T095619_20250329T095644_058518_073D8B_5302,VH,Qingdao,930,ok,21.4
S1A_IW_GRDH_1SDV_20250329T095619_20250329T095644_058518_073D8B_5302,VV,Qingdao,1139,ok,25.2
S1A_IW_GRDH_1SDV_20250330T224811_20250330T224836_058540_073E75_9F1A,VH,Singapore,1213,ok,31.4
S1A_IW_GRDH_1SDV_20250330T224811_20250330T224836_058540_073E75_9F1A,VV,Singapore,1355,ok,36.2
S1A_IW_GRDH_1SDV_20250401T002647_20250401T002712_058556_073F16_5FFE,VH,Houston,254,ok,18.7
S1A_IW_GRDH_1SDV_20250401T002647_20250401T002712_058556_073F16_5FFE,VV,Houston,206,ok,56.9
S1A_IW_GRDH_1SDV_20250406T193335_20250406T193400_058640_074290_9E86,VH,Melbourne,122,ok,36.2
S1A_IW_GRDH_1SDV_20250406T193335_20250406T193400_058640_074290_9E86,VV,Melbourne,166,ok,33.0
S1A_IW_GRDH_1SDV_20250407T142506_20250407T142531_058652_07430E_28DD,VH,Jebel Ali,850,ok,36.4
S1A_IW_GRDH_1SDV_20250407T142506_20250407T142531_058652_07430E_28DD,VV,Jebel Ali,1161,ok,60.3
S1A_IW_GRDH_1SDV_20250409T173329_20250409T173354_058683_07444B_FA8B,VH,Antwerp-Bruges,1483,ok,60.2
S1A_IW_GRDH_1SDV_20250409T173329_20250409T173354_058683_07444B_FA8B,VV,Antwerp-Bruges,2544,ok,50.7
S1A_IW_GRDH_1SDV_20250410T021545_20250410T021609_058688_074483_D3BC,VH,Jebel Ali,730,ok,46.5
S1A_IW_GRDH_1SDV_20250410T021545_20250410T021609_058688_074483_D3BC,VV,Jebel Ali,991,ok,16.6
S1A_IW_GRDH_1SDV_20250410T095619_20250410T095644_058693_0744B4_726C,VH,Qingdao,1085,ok,27.9
S1A_IW_GRDH_1SDV_20250410T095619_20250410T095644_058693_0744B4_726C,VV,Qingdao,1422,ok,28.0
S1A_IW_GRDH_1SDV_20250411T224811_20250411T224836_058715_07459E_9525,VH,Singapore,1196,ok,28.3
S1A_IW_GRDH_1SDV_20250411T224811_20250411T224836_058715_07459E_9525,VV,Singapore,1404,ok,42.0
S1A_IW_GRDH_1SDV_20250418T055840_20250418T055905_058807_074958_2BFC,VH,Rotterdam,1530,ok,37.7
S1A_IW_GRDH_1SDV_20250418T055840_20250418T055905_058807_074958_2BFC,VV,Rotterdam,2472,ok,39.1
S1A_IW_GRDH_1SDV_20250418T193335_20250418T193400_058815_0749B9_7FEC,VH,Melbourne,146,ok,39.7
S1A_IW_GRDH_1SDV_20250418T193335_20250418T193400_058815_0749B9_7FEC,VV,Melbourne,315,ok,72.9
S1A_IW_GRDH_1SDV_20250419T142506_20250419T142531_058827_074A34_03DC,VH,Jebel Ali,874,ok,74.6
S1A_IW_GRDH_1SDV_20250419T142506_20250419T142531_058827_074A34_03DC,VV,Jebel Ali,885,ok,64.4
S1A_IW_GRDH_1SDV_20250421T153906_20250421T153935_058856_074B68_80A1,VH,Mombasa,13,ok,74.7
S1A_IW_GRDH_1SDV_20250421T153906_20250421T153935_058856_074B68_80A1,VV,Mombasa,21,ok,29.2
S1A_IW_GRDH_1SDV_20250422T035237_20250422T035302_058864_074BB7_3AD7,VH,Port Said,332,ok,24.8
S1A_IW_GRDH_1SDV_20250422T035237_20250422T035302_058864_074BB7_3AD7,VV,Port Said,509,ok,22.2
S1A_IW_GRDH_1SDV_20250422T095504_20250422T095529_058868_074BDE_2A15,VH,Shanghai,2391,ok,22.6
S1A_IW_GRDH_1SDV_20250422T095504_20250422T095529_058868_074BDE_2A15,VV,Shanghai,2590,ok,23.3
S1A_IW_GRDH_1SDV_20250422T095619_20250422T095644_058868_074BDE_EE82,VH,Qingdao,1429,ok,24.4
S1A_IW_GRDH_1SDV_20250422T095619_20250422T095644_058868_074BDE_EE82,VV,Qingdao,1695,ok,24.7
S1A_IW_GRDH_1SDV_20250423T224811_20250423T224836_058890_074CC9_8953,VH,Singapore,1240,ok,32.1
S1A_IW_GRDH_1SDV_20250423T224811_20250423T224836_058890_074CC9_8953,VV,Singapore,1566,ok,53.8
S1A_IW_GRDH_1SDV_20250501T142507_20250501T142532_059002_075153_F22D,VH,Jebel Ali,848,ok,54.5
S1A_IW_GRDH_1SDV_20250501T142507_20250501T142532_059002_075153_F22D,VV,Jebel Ali,1171,ok,50.5
S1A_IW_GRDH_1SDV_20250502T163006_20250502T163031_059017_0751E2_680E,VH,Richards Bay,41,ok,47.3
S1A_IW_GRDH_1SDV_20250502T163006_20250502T163031_059017_0751E2_680E,VV,Richards Bay,75,ok,25.8
S1A_IW_GRDH_1SDV_20250504T035237_20250504T035302_059039_0752BC_810D,VH,Port Said,300,ok,22.5
S1A_IW_GRDH_1SDV_20250504T035237_20250504T035302_059039_0752BC_810D,VV,Port Said,340,ok,23.9
S1A_IW_GRDH_1SDV_20250504T095504_20250504T095529_059043_0752E1_E126,VH,Shanghai,2248,ok,22.5
S1A_IW_GRDH_1SDV_20250504T095504_20250504T095529_059043_0752E1_E126,VV,Shanghai,2355,ok,21.9
S1A_IW_GRDH_1SDV_20250504T095619_20250504T095644_059043_0752E1_23FF,VH,Qingdao,637,ok,22.0
S1A_IW_GRDH_1SDV_20250504T095619_20250504T095644_059043_0752E1_23FF,VV,Qingdao,820,ok,22.0
S1A_IW_GRDH_1SDV_20250505T224811_20250505T224836_059065_0753C1_B8EA,VH,Singapore,1252,ok,22.6
S1A_IW_GRDH_1SDV_20250505T224811_20250505T224836_059065_0753C1_B8EA,VV,Singapore,1478,ok,23.5
S1A_IW_GRDH_1SDV_20250508T141655_20250508T141720_059104_07553F_D9D1,VH,Fujairah,398,ok,24.0
S1A_IW_GRDH_1SDV_20250508T141655_20250508T141720_059104_07553F_D9D1,VV,Fujairah,407,ok,23.9
S1A_IW_GRDH_1SDV_20250509T190755_20250509T190820_059121_0755D9_0C55,VH,Sydney Botany,44,ok,34.7
S1A_IW_GRDH_1SDV_20250509T190755_20250509T190820_059121_0755D9_0C55,VV,Sydney Botany,91,ok,73.9
S1A_IW_GRDH_1SDV_20250513T142506_20250513T142531_059177_0757CB_F25B,VH,Jebel Ali,843,ok,72.3
S1A_IW_GRDH_1SDV_20250513T142506_20250513T142531_059177_0757CB_F25B,VV,Jebel Ali,1253,ok,62.9
S1A_IW_GRDH_1SDV_20250514T191539_20250514T191604_059194_07585D_32C0,VH,Newcastle,36,ok,63.2
S1A_IW_GRDH_1SDV_20250514T191539_20250514T191604_059194_07585D_32C0,VV,Newcastle,48,ok,55.5
S1A_IW_GRDH_1SDV_20250515T153905_20250515T153934_059206_0758C3_2241,VH,Mombasa,16,ok,65.3
S1A_IW_GRDH_1SDV_20250515T153905_20250515T153934_059206_0758C3_2241,VV,Mombasa,65,ok,62.2
S1A_IW_GRDH_1SDV_20250516T035237_20250516T035302_059214_07590C_1B74,VH,Port Said,280,ok,54.3
S1A_IW_GRDH_1SDV_20250516T035237_20250516T035302_059214_07590C_1B74,VV,Port Said,262,ok,28.4
S1A_IW_GRDH_1SDV_20250516T095504_20250516T095529_059218_07592B_0FC8,VH,Shanghai,2182,ok,21.4
S1A_IW_GRDH_1SDV_20250516T095504_20250516T095529_059218_07592B_0FC8,VV,Shanghai,2348,ok,21.9
S1A_IW_GRDH_1SDV_20250516T095619_20250516T095644_059218_07592B_E377,VH,Qingdao,696,ok,21.8
S1A_IW_GRDH_1SDV_20250516T095619_20250516T095644_059218_07592B_E377,VV,Qingdao,1074,ok,26.8
S1A_IW_GRDH_1SDV_20250521T190754_20250521T190819_059296_075BE6_A716,VH,Sydney Botany,43,ok,45.5
S1A_IW_GRDH_1SDV_20250521T190754_20250521T190819_059296_075BE6_A716,VV,Sydney Botany,63,ok,47.9
S1A_IW_GRDH_1SDV_20250525T142506_20250525T142531_059352_075DD8_6C78,VH,Jebel Ali,864,ok,46.7
S1A_IW_GRDH_1SDV_20250525T142506_20250525T142531_059352_075DD8_6C78,VV,Jebel Ali,1253,ok,37.6
