port,product,pol,date,role,objects
Antwerp-Bruges,S1A_IW_GRDH_1SDV_20250115T173330_20250115T173355_057458_07130D_51CB,VH,2025-01-15,adapt,2362
Antwerp-Bruges,S1A_IW_GRDH_1SDV_20250220T173328_20250220T173353_057983_07280A_D019,VH,2025-02-20,adapt,1638
Antwerp-Bruges,S1A_IW_GRDH_1SDV_20250409T173329_20250409T173354_058683_07444B_FA8B,VH,2025-04-09,adapt,1483
Antwerp-Bruges,S1A_IW_GRDH_1SDV_20250714T173326_20250714T173351_060083_077709_FD9C,VH,2025-07-14,adapt,1445
Antwerp-Bruges,S1A_IW_GRDH_1SDV_20250912T173326_20250912T173351_060958_0797F4_2E8D,VH,2025-09-12,eval,1266
Antwerp-Bruges,S1A_IW_GRDH_1SDV_20251217T173322_20251217T173347_062358_07CF5C_3556,VH,2025-12-17,eval,2065
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250611T055738_20250611T055803_002731_005A0C_2C37,VH,2025-06-11,adapt,899
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250623T055738_20250623T055803_002906_005F16_6E06,VH,2025-06-23,adapt,1085
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250705T055739_20250705T055804_003081_00641D_2DF0,VH,2025-07-05,adapt,1053
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250720T173209_20250720T173234_003307_006AB5_D3FE,VH,2025-07-20,adapt,804
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250810T055741_20250810T055806_003606_007385_F130,VH,2025-08-10,eval,1058
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250822T055742_20250822T055806_003781_0078C6_2C32,VH,2025-08-22,eval,1090
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250903T055742_20250903T055807_003956_007E04_B34B,VH,2025-09-03,eval,1025
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250906T173211_20250906T173236_004007_007F7E_D39D,VH,2025-09-06,eval,776
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250915T055742_20250915T055807_004131_008359_AA20,VH,2025-09-15,eval,646
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250927T055742_20250927T055807_004306_0088A6_843A,VH,2025-09-27,eval,969
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20251117T173211_20251117T173236_005057_00A047_CB70,VH,2025-11-17,eval,729
Antwerp-Bruges,S1A_IW_GRDH_1SDV_20250115T173330_20250115T173355_057458_07130D_51CB,VV,2025-01-15,adapt,3758
Antwerp-Bruges,S1A_IW_GRDH_1SDV_20250220T173328_20250220T173353_057983_07280A_D019,VV,2025-02-20,adapt,2566
Antwerp-Bruges,S1A_IW_GRDH_1SDV_20250409T173329_20250409T173354_058683_07444B_FA8B,VV,2025-04-09,adapt,2544
Antwerp-Bruges,S1A_IW_GRDH_1SDV_20250714T173326_20250714T173351_060083_077709_FD9C,VV,2025-07-14,adapt,1339
Antwerp-Bruges,S1A_IW_GRDH_1SDV_20250912T173326_20250912T173351_060958_0797F4_2E8D,VV,2025-09-12,eval,1428
Antwerp-Bruges,S1A_IW_GRDH_1SDV_20251217T173322_20251217T173347_062358_07CF5C_3556,VV,2025-12-17,eval,1548
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250611T055738_20250611T055803_002731_005A0C_2C37,VV,2025-06-11,adapt,1075
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250623T055738_20250623T055803_002906_005F16_6E06,VV,2025-06-23,adapt,1015
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250705T055739_20250705T055804_003081_00641D_2DF0,VV,2025-07-05,adapt,1064
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250720T173209_20250720T173234_003307_006AB5_D3FE,VV,2025-07-20,adapt,821
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250810T055741_20250810T055806_003606_007385_F130,VV,2025-08-10,eval,1044
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250822T055742_20250822T055806_003781_0078C6_2C32,VV,2025-08-22,eval,1105
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250903T055742_20250903T055807_003956_007E04_B34B,VV,2025-09-03,eval,957
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250906T173211_20250906T173236_004007_007F7E_D39D,VV,2025-09-06,eval,804
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250915T055742_20250915T055807_004131_008359_AA20,VV,2025-09-15,eval,659
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20250927T055742_20250927T055807_004306_0088A6_843A,VV,2025-09-27,eval,1122
Antwerp-Bruges,S1C_IW_GRDH_1SDV_20251117T173211_20251117T173236_005057_00A047_CB70,VV,2025-11-17,eval,724
Busan,S1A_IW_GRDH_1SDV_20250812T092320_20250812T092349_060501_0785D8_D733,VH,2025-08-12,adapt,765
Busan,S1A_IW_GRDH_1SDV_20250812T092320_20250812T092349_060501_0785D8_D733,VV,2025-08-12,adapt,1069
Callao,S1A_IW_GRDH_1SDV_20250104T103939_20250104T104004_057293_070C8F_4A75,VH,2025-01-04,adapt,20
Callao,S1A_IW_GRDH_1SDV_20250128T103938_20250128T104003_057643_071A72_02D2,VH,2025-01-28,adapt,21
Callao,S1A_IW_GRDH_1SDV_20250226T104756_20250226T104817_058066_072B73_87CC,VH,2025-02-26,adapt,72
Callao,S1A_IW_GRDH_1SDV_20250317T103937_20250317T104002_058343_073699_CE68,VH,2025-03-17,adapt,17
Callao,S1A_IW_GRDH_1SDV_20250528T103937_20250528T104002_059393_075F48_4EAF,VH,2025-05-28,adapt,14
Callao,S1A_IW_GRDH_1SDV_20250716T233423_20250716T233448_060115_077824_E5F7,VH,2025-07-16,adapt,82
Callao,S1A_IW_GRDH_1SDV_20250728T233423_20250728T233448_060290_077E28_8D35,VH,2025-07-28,adapt,93
Callao,S1A_IW_GRDH_1SDV_20250809T233423_20250809T233448_060465_07847A_0D09,VH,2025-08-09,eval,83
Callao,S1A_IW_GRDH_1SDV_20250902T233423_20250902T233448_060815_079246_B71C,VH,2025-09-02,eval,115
Callao,S1A_IW_GRDH_1SDV_20251101T233423_20251101T233448_061690_07B569_16F6,VH,2025-11-01,eval,92
Callao,S1C_IW_GRDH_1SDV_20250802T103843_20250802T103908_003492_00701B_89A1,VH,2025-08-02,eval,61
Callao,S1C_IW_GRDH_1SDV_20250803T233313_20250803T233338_003514_0070C0_6937,VH,2025-08-03,eval,110
Callao,S1C_IW_GRDH_1SDV_20250827T233314_20250827T233339_003864_007B3B_3B7B,VH,2025-08-27,eval,94
Callao,S1C_IW_GRDH_1SDV_20251213T233313_20251213T233338_005439_00AD3E_36D0,VH,2025-12-13,eval,167
Callao,S1A_IW_GRDH_1SDV_20250104T103939_20250104T104004_057293_070C8F_4A75,VV,2025-01-04,adapt,19
Callao,S1A_IW_GRDH_1SDV_20250128T103938_20250128T104003_057643_071A72_02D2,VV,2025-01-28,adapt,29
Callao,S1A_IW_GRDH_1SDV_20250226T104756_20250226T104817_058066_072B73_87CC,VV,2025-02-26,adapt,505
Callao,S1A_IW_GRDH_1SDV_20250317T103937_20250317T104002_058343_073699_CE68,VV,2025-03-17,adapt,22
Callao,S1A_IW_GRDH_1SDV_20250528T103937_20250528T104002_059393_075F48_4EAF,VV,2025-05-28,adapt,27
Callao,S1A_IW_GRDH_1SDV_20250716T233423_20250716T233448_060115_077824_E5F7,VV,2025-07-16,adapt,129
Callao,S1A_IW_GRDH_1SDV_20250728T233423_20250728T233448_060290_077E28_8D35,VV,2025-07-28,adapt,119
Callao,S1A_IW_GRDH_1SDV_20250809T233423_20250809T233448_060465_07847A_0D09,VV,2025-08-09,eval,131
Callao,S1A_IW_GRDH_1SDV_20250902T233423_20250902T233448_060815_079246_B71C,VV,2025-09-02,eval,158
Callao,S1A_IW_GRDH_1SDV_20251101T233423_20251101T233448_061690_07B569_16F6,VV,2025-11-01,eval,132
Callao,S1C_IW_GRDH_1SDV_20250802T103843_20250802T103908_003492_00701B_89A1,VV,2025-08-02,eval,73
Callao,S1C_IW_GRDH_1SDV_20250803T233313_20250803T233338_003514_0070C0_6937,VV,2025-08-03,eval,86
Callao,S1C_IW_GRDH_1SDV_20250827T233314_20250827T233339_003864_007B3B_3B7B,VV,2025-08-27,eval,96
Callao,S1C_IW_GRDH_1SDV_20251213T233313_20251213T233338_005439_00AD3E_36D0,VV,2025-12-13,eval,161
Fujairah,S1A_IW_GRDH_1SDV_20250108T141656_20250108T141721_057354_070EF9_747A,VH,2025-01-08,adapt,392
Fujairah,S1A_IW_GRDH_1SDV_20250120T141655_20250120T141720_057529_0715E8_27AA,VH,2025-01-20,adapt,362
Fujairah,S1A_IW_GRDH_1SDV_20250201T141654_20250201T141719_057704_071CD3_8E9C,VH,2025-02-01,adapt,332
Fujairah,S1A_IW_GRDH_1SDV_20250225T141654_20250225T141719_058054_072AFB_9955,VH,2025-02-25,adapt,418
Fujairah,S1A_IW_GRDH_1SDV_20250321T141654_20250321T141719_058404_07390A_3A64,VH,2025-03-21,adapt,378
Fujairah,S1A_IW_GRDH_1SDV_20250508T141655_20250508T141720_059104_07553F_D9D1,VH,2025-05-08,adapt,398
Fujairah,S1A_IW_GRDH_1SDV_20250731T141651_20250731T141716_060329_077F80_00CD,VH,2025-07-31,eval,390
Fujairah,S1A_IW_GRDH_1SDV_20250917T141651_20250917T141716_061029_079AD4_BEB1,VH,2025-09-17,eval,383
Fujairah,S1A_IW_GRDH_1SDV_20251011T141652_20251011T141717_061379_07A8EC_6D05,VH,2025-10-11,eval,393
Fujairah,S1A_IW_GRDH_1SDV_20251023T141652_20251023T141717_061554_07AFF4_3310,VH,2025-10-23,eval,409
Fujairah,S1A_IW_GRDH_1SDV_20251026T020728_20251026T020753_061590_07B161_3CC3,VH,2025-10-26,eval,453
Fujairah,S1A_IW_GRDH_1SDV_20251222T141647_20251222T141712_062429_07D225_B5FC,VH,2025-12-22,eval,382
Fujairah,S1A_IW_GRDH_1SDV_20250108T141656_20250108T141721_057354_070EF9_747A,VV,2025-01-08,adapt,598
Fujairah,S1A_IW_GRDH_1SDV_20250120T141655_20250120T141720_057529_0715E8_27AA,VV,2025-01-20,adapt,379
Fujairah,S1A_IW_GRDH_1SDV_20250201T141654_20250201T141719_057704_071CD3_8E9C,VV,2025-02-01,adapt,352
Fujairah,S1A_IW_GRDH_1SDV_20250225T141654_20250225T141719_058054_072AFB_9955,VV,2025-02-25,adapt,358
Fujairah,S1A_IW_GRDH_1SDV_20250321T141654_20250321T141719_058404_07390A_3A64,VV,2025-03-21,adapt,379
Fujairah,S1A_IW_GRDH_1SDV_20250508T141655_20250508T141720_059104_07553F_D9D1,VV,2025-05-08,adapt,407
Fujairah,S1A_IW_GRDH_1SDV_20250731T141651_20250731T141716_060329_077F80_00CD,VV,2025-07-31,eval,382
Fujairah,S1A_IW_GRDH_1SDV_20250917T141651_20250917T141716_061029_079AD4_BEB1,VV,2025-09-17,eval,440
Fujairah,S1A_IW_GRDH_1SDV_20251011T141652_20251011T141717_061379_07A8EC_6D05,VV,2025-10-11,eval,412
Fujairah,S1A_IW_GRDH_1SDV_20251023T141652_20251023T141717_061554_07AFF4_3310,VV,2025-10-23,eval,432
Fujairah,S1A_IW_GRDH_1SDV_20251026T020728_20251026T020753_061590_07B161_3CC3,VV,2025-10-26,eval,537
Fujairah,S1A_IW_GRDH_1SDV_20251222T141647_20251222T141712_062429_07D225_B5FC,VV,2025-12-22,eval,397
Hamburg,S1A_IW_GRDH_1SDV_20251017T054129_20251017T054154_061461_07AC2A_79B6,VH,2025-10-17,adapt,888
Hamburg,S1A_IW_GRDH_1SDV_20251029T054128_20251029T054153_061636_07B333_88A6,VH,2025-10-29,adapt,723
Hamburg,S1A_IW_GRDH_1SDV_20251122T054127_20251122T054152_061986_07C0D6_F7BE,VH,2025-11-22,eval,841
Hamburg,S1A_IW_GRDH_1SDV_20251204T054126_20251204T054151_062161_07C7AC_F97F,VH,2025-12-04,eval,995
Hamburg,S1A_IW_GRDH_1SDV_20251216T054125_20251216T054150_062336_07CE83_4CC7,VH,2025-12-16,eval,899
Hamburg,S1A_IW_GRDH_1SDV_20251228T054123_20251228T054148_062511_07D550_B09A,VH,2025-12-28,eval,776
Hamburg,S1C_IW_GRDH_1SDV_20250824T054027_20250824T054052_003810_0079A1_4DF0,VH,2025-08-24,adapt,914
Hamburg,S1C_IW_GRDH_1SDV_20250905T054027_20250905T054052_003985_007ED9_EA5D,VH,2025-09-05,adapt,857
Hamburg,S1C_IW_GRDH_1SDV_20250917T054028_20250917T054053_004160_00842D_7E1A,VH,2025-09-17,adapt,772
Hamburg,S1C_IW_GRDH_1SDV_20250929T054028_20250929T054053_004335_008987_A32B,VH,2025-09-29,adapt,839
Hamburg,S1C_IW_GRDH_1SDV_20251011T054028_20251011T054053_004510_008ED9_EBA7,VH,2025-10-11,adapt,837
Hamburg,S1C_IW_GRDH_1SDV_20251023T054028_20251023T054053_004685_009421_38F8,VH,2025-10-23,adapt,860
Hamburg,S1C_IW_GRDH_1SDV_20251104T054028_20251104T054053_004860_0099AE_A2F9,VH,2025-11-04,eval,850
Hamburg,S1C_IW_GRDH_1SDV_20251116T054027_20251116T054052_005035_009F87_5F14,VH,2025-11-16,eval,914
Hamburg,S1C_IW_GRDH_1SDV_20251128T054027_20251128T054052_005210_00A568_4CE6,VH,2025-11-28,eval,696
Hamburg,S1C_IW_GRDH_1SDV_20251210T054026_20251210T054051_005385_00AB6C_2021,VH,2025-12-10,eval,867
Hamburg,S1C_IW_GRDH_1SDV_20251222T054026_20251222T054051_005560_00B165_BF35,VH,2025-12-22,eval,754
Hamburg,S1A_IW_GRDH_1SDV_20251017T054129_20251017T054154_061461_07AC2A_79B6,VV,2025-10-17,adapt,919
Hamburg,S1A_IW_GRDH_1SDV_20251029T054128_20251029T054153_061636_07B333_88A6,VV,2025-10-29,adapt,742
Hamburg,S1A_IW_GRDH_1SDV_20251122T054127_20251122T054152_061986_07C0D6_F7BE,VV,2025-11-22,eval,839
Hamburg,S1A_IW_GRDH_1SDV_20251204T054126_20251204T054151_062161_07C7AC_F97F,VV,2025-12-04,eval,956
Hamburg,S1A_IW_GRDH_1SDV_20251216T054125_20251216T054150_062336_07CE83_4CC7,VV,2025-12-16,eval,991
Hamburg,S1A_IW_GRDH_1SDV_20251228T054123_20251228T054148_062511_07D550_B09A,VV,2025-12-28,eval,890
Hamburg,S1C_IW_GRDH_1SDV_20250824T054027_20250824T054052_003810_0079A1_4DF0,VV,2025-08-24,adapt,897
Hamburg,S1C_IW_GRDH_1SDV_20250905T054027_20250905T054052_003985_007ED9_EA5D,VV,2025-09-05,adapt,1415
Hamburg,S1C_IW_GRDH_1SDV_20250917T054028_20250917T054053_004160_00842D_7E1A,VV,2025-09-17,adapt,581
Hamburg,S1C_IW_GRDH_1SDV_20250929T054028_20250929T054053_004335_008987_A32B,VV,2025-09-29,adapt,922
Hamburg,S1C_IW_GRDH_1SDV_20251011T054028_20251011T054053_004510_008ED9_EBA7,VV,2025-10-11,adapt,828
Hamburg,S1C_IW_GRDH_1SDV_20251023T054028_20251023T054053_004685_009421_38F8,VV,2025-10-23,adapt,692
Hamburg,S1C_IW_GRDH_1SDV_20251104T054028_20251104T054053_004860_0099AE_A2F9,VV,2025-11-04,eval,821
Hamburg,S1C_IW_GRDH_1SDV_20251116T054027_20251116T054052_005035_009F87_5F14,VV,2025-11-16,eval,969
Hamburg,S1C_IW_GRDH_1SDV_20251128T054027_20251128T054052_005210_00A568_4CE6,VV,2025-11-28,eval,697
Hamburg,S1C_IW_GRDH_1SDV_20251210T054026_20251210T054051_005385_00AB6C_2021,VV,2025-12-10,eval,803
Hamburg,S1C_IW_GRDH_1SDV_20251222T054026_20251222T054051_005560_00B165_BF35,VV,2025-12-22,eval,684
Houston,S1A_IW_GRDH_1SDV_20250102T122317_20250102T122347_057265_070B6D_EB07,VH,2025-01-02,adapt,38
Houston,S1A_IW_GRDH_1SDV_20250126T122315_20250126T122344_057615_071953_D83D,VH,2025-01-26,adapt,39
Houston,S1A_IW_GRDH_1SDV_20250315T122314_20250315T122344_058315_07357B_31CC,VH,2025-03-15,adapt,61
Houston,S1A_IW_GRDH_1SDV_20250401T002647_20250401T002712_058556_073F16_5FFE,VH,2025-04-01,eval,254
Houston,S1A_IW_GRDH_1SDV_20250607T122314_20250607T122344_059540_076452_AEAB,VH,2025-06-07,eval,48
Houston,S1A_IW_GRDH_1SDV_20250612T002645_20250612T002710_059606_07667E_E24C,VH,2025-06-12,eval,228
Houston,S1A_IW_GRDH_1SDV_20250718T002643_20250718T002708_060131_0778A6_1D3D,VH,2025-07-18,eval,284
Houston,S1A_IW_GRDH_1SDV_20250102T122317_20250102T122347_057265_070B6D_EB07,VV,2025-01-02,adapt,27
Houston,S1A_IW_GRDH_1SDV_20250126T122315_20250126T122344_057615_071953_D83D,VV,2025-01-26,adapt,37
Houston,S1A_IW_GRDH_1SDV_20250315T122314_20250315T122344_058315_07357B_31CC,VV,2025-03-15,adapt,56
Houston,S1A_IW_GRDH_1SDV_20250401T002647_20250401T002712_058556_073F16_5FFE,VV,2025-04-01,eval,206
Houston,S1A_IW_GRDH_1SDV_20250607T122314_20250607T122344_059540_076452_AEAB,VV,2025-06-07,eval,48
Houston,S1A_IW_GRDH_1SDV_20250612T002645_20250612T002710_059606_07667E_E24C,VV,2025-06-12,eval,273
Houston,S1A_IW_GRDH_1SDV_20250718T002643_20250718T002708_060131_0778A6_1D3D,VV,2025-07-18,eval,436
Jebel Ali,S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8,VH,2025-01-01,adapt,862
Jebel Ali,S1A_IW_GRDH_1SDV_20250104T021547_20250104T021611_057288_070C5C_2B74,VH,2025-01-04,adapt,685
Jebel Ali,S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089,VH,2025-01-13,adapt,928
Jebel Ali,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,VH,2025-01-25,adapt,1050
Jebel Ali,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,VH,2025-02-06,adapt,979
Jebel Ali,S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C,VH,2025-02-18,adapt,894
Jebel Ali,S1A_IW_GRDH_1SDV_20250302T142506_20250302T142531_058127_072DF2_C32F,VH,2025-03-02,adapt,811
Jebel Ali,S1A_IW_GRDH_1SDV_20250314T142506_20250314T142531_058302_073505_F8D8,VH,2025-03-14,adapt,912
Jebel Ali,S1A_IW_GRDH_1SDV_20250317T021545_20250317T021609_058338_073664_181C,VH,2025-03-17,adapt,606
