cell_x,cell_y,cell_lon,cell_lat,points,direction_deg,anisotropy
594500.0,5679500.0,4.35432,51.25901,2174,128.28,14.96
629500.0,5805500.0,4.9028,52.38442,2131,131.03,1.27
588500.0,5688500.0,4.27059,51.34088,1982,118.38,7.55
541500.0,5698500.0,3.59704,51.43617,1913,18.49,2.98
593500.0,5682500.0,4.34078,51.28615,1909,118.71,47.6
593500.0,5681500.0,4.34051,51.27716,1888,82.9,2.9
591500.0,5686500.0,4.31313,51.32243,1873,117.89,5.56
593500.0,5680500.0,4.34025,51.26817,1824,116.47,5.52
597500.0,5727500.0,4.41055,51.68998,1781,42.09,150.33
590500.0,5688500.0,4.29929,51.34057,1766,105.27,6.18
629500.0,5804500.0,4.90241,52.37544,1744,168.75,1.22
540500.0,5698500.0,3.58266,51.43625,1695,170.99,2.19
601500.0,5751500.0,4.47542,51.90499,1688,34.71,2.77
587500.0,5689500.0,4.25648,51.35003,1682,150.37,9.34
590500.0,5749500.0,4.31505,51.88891,1652,35.12,1.33
629500.0,5803500.0,4.90202,52.36645,1640,26.45,1.6
602500.0,5752500.0,4.49025,51.9138,1636,54.09,4.76
590500.0,5689500.0,4.29955,51.34956,1629,87.99,5.13
590500.0,5687500.0,4.29904,51.33158,1495,110.68,61.34
598500.0,5677500.0,4.41108,51.24036,1489,167.14,13.52
597500.0,5677500.0,4.39675,51.24053,1454,162.55,19.18
596500.0,5726500.0,4.39581,51.68117,1434,43.87,61.45
595500.0,5678500.0,4.36838,51.24986,1425,177.11,19.89
558500.0,5679500.0,3.83847,51.26384,1356,63.77,56.33
591500.0,5678500.0,4.31108,51.25051,1349,156.99,3.77
628500.0,5805500.0,4.88811,52.38466,1348,68.23,1.69
588500.0,5685500.0,4.26984,51.31392,1347,96.98,33.96
595500.0,5725500.0,4.38107,51.67235,1322,52.36,49.86
557500.0,5688500.0,3.82558,51.34487,1306,5.95,3.62
595500.0,5677500.0,4.36811,51.24087,1293,7.5,8.88
557500.0,5678500.0,3.82397,51.25496,1288,58.43,588.41
