cell_x,cell_y,cell_lon,cell_lat,points,direction_deg,anisotropy
505500.0,3885500.0,129.06036,35.11231,513,125.83,4.15
383500.0,3843500.0,127.72756,34.72695,503,76.0,3.37
506500.0,3884500.0,129.07132,35.10329,452,145.86,14.22
386500.0,3845500.0,127.76005,34.74531,397,54.07,14.84
509500.0,3882500.0,129.10422,35.08523,359,143.59,23.08
508500.0,3883500.0,129.09326,35.09426,332,111.6,2.44
387500.0,3846500.0,127.77084,34.75444,323,8.5,1.77
386500.0,3846500.0,127.75992,34.75433,321,93.93,1.52
504500.0,3884500.0,129.04938,35.1033,310,27.67,3.69
392500.0,3842500.0,127.82597,34.71892,291,141.55,3.99
510500.0,3881500.0,129.11517,35.0762,286,141.88,4.37
391500.0,3846500.0,127.81453,34.75487,268,118.4,10.5
506500.0,3877500.0,129.07127,35.04017,262,16.01,76.81
500500.0,3878500.0,129.00548,35.04921,259,122.74,9.47
483500.0,3881500.0,128.81901,35.07612,259,5.8,33.68
501500.0,3877500.0,129.01645,35.04019,252,95.72,2.24
384500.0,3844500.0,127.73834,34.73607,251,167.52,3.01
517500.0,3886500.0,129.19206,35.12119,241,52.42,564.02
504500.0,3885500.0,129.04938,35.11232,240,163.31,1.67
501500.0,3875500.0,129.01644,35.02215,239,42.96,4.15
504500.0,3886500.0,129.04939,35.12134,235,117.22,2.2
508500.0,3882500.0,129.09325,35.08524,229,147.59,8.61
507500.0,3883500.0,129.08228,35.09427,229,146.47,23.2
500500.0,3879500.0,129.00548,35.05822,226,108.06,10.37
505500.0,3884500.0,129.06035,35.1033,224,152.05,4.3
392500.0,3844500.0,127.82571,34.73695,218,116.19,3.08
391500.0,3847500.0,127.81441,34.76389,211,108.36,4.11
391500.0,3843500.0,127.81492,34.72783,210,142.46,9.88
386500.0,3844500.0,127.76019,34.7363,208,11.13,9.14
389500.0,3844500.0,127.79295,34.73663,203,166.87,9.98
499500.0,3881500.0,128.99452,35.07626,200,120.76,4.81
393500.0,3841500.0,127.83701,34.71,198,152.96,55.45
508500.0,3878500.0,129.0932,35.04917,198,27.8,37.59
499500.0,3868500.0,128.99452,34.95903,194,40.99,15.48
500500.0,3880500.0,129.00548,35.06724,192,98.79,22.6
481500.0,3880500.0,128.7971,35.06707,187,15.11,2.99
502500.0,3882500.0,129.02743,35.08527,182,103.55,3.46
511500.0,3879500.0,129.12611,35.05816,178,49.81,2.47
394500.0,3841500.0,127.84793,34.71011,177,146.95,85.17
392500.0,3845500.0,127.82559,34.74596,174,110.57,44.95
387500.0,3847500.0,127.77071,34.76346,173,71.88,3.01
501500.0,3876500.0,129.01644,35.03117,172,178.03,3.32
390500.0,3856500.0,127.80231,34.84492,164,103.27,20.35
391500.0,3845500.0,127.81466,34.74586,163,40.02,149.73
392500.0,3843500.0,127.82584,34.72793,160,135.53,6.73
382500.0,3842500.0,127.71678,34.71781,159,76.46,14.21
390500.0,3851500.0,127.80296,34.79985,158,104.58,6.79
480500.0,3881500.0,128.78611,35.07607,156,0.96,2.34
388500.0,3845500.0,127.7819,34.74553,156,141.36,45.6
380500.0,3864500.0,127.69181,34.91592,156,25.75,8.41
500500.0,3881500.0,129.00548,35.07626,152,89.5,6.8
509500.0,3881500.0,129.1042,35.07621,151,143.93,2.73
387500.0,3844500.0,127.77111,34.73641,148,20.25,3.0
514500.0,3882500.0,129.15907,35.08517,148,47.13,49.96
486500.0,3863500.0,128.85221,34.91386,147,110.42,11.72
390500.0,3843500.0,127.804,34.72772,146,138.63,10.43
391500.0,3848500.0,127.81428,34.77291,146,102.85,28.83
507500.0,3877500.0,129.08223,35.04016,146,20.56,40.93
