cell_x,cell_y,cell_lon,cell_lat,points,direction_deg,anisotropy
265500.0,-1332500.0,-77.15406,-12.04545,530,7.28,9.69
266500.0,-1323500.0,-77.14423,-11.96419,449,30.19,2.77
266500.0,-1332500.0,-77.14487,-12.04552,243,146.17,2.86
255500.0,-1331500.0,-77.24579,-12.03569,206,2.43,7.97
263500.0,-1332500.0,-77.17242,-12.04531,189,167.71,5.52
264500.0,-1332500.0,-77.16324,-12.04538,176,161.37,11.22
265500.0,-1323500.0,-77.15341,-11.96412,170,78.04,1.96
262500.0,-1331500.0,-77.18153,-12.0362,158,154.31,6.73
262500.0,-1329500.0,-77.18138,-12.01813,151,106.15,3.19
256500.0,-1330500.0,-77.23653,-12.02673,143,54.13,7.41
265500.0,-1333500.0,-77.15413,-12.05449,141,139.09,6.4
262500.0,-1319500.0,-77.18066,-11.92776,132,45.78,3.48
262500.0,-1332500.0,-77.1816,-12.04524,131,162.53,12.94
266500.0,-1322500.0,-77.14416,-11.95515,119,14.81,5.16
262500.0,-1330500.0,-77.18145,-12.02717,117,147.03,9.13
263500.0,-1329500.0,-77.1722,-12.0182,117,69.94,6.37
254500.0,-1331500.0,-77.25497,-12.03562,109,173.12,4.81
263500.0,-1330500.0,-77.17227,-12.02724,108,98.37,3.16
256500.0,-1331500.0,-77.23661,-12.03577,103,173.43,1.8
262500.0,-1318500.0,-77.18058,-11.91872,103,80.62,5.33
263500.0,-1318500.0,-77.17141,-11.91879,99,27.64,8.79
267500.0,-1322500.0,-77.13498,-11.95522,97,40.05,2.08
259500.0,-1332500.0,-77.20914,-12.04502,93,53.09,9.41
260500.0,-1330500.0,-77.19981,-12.02702,89,138.76,20.99
253500.0,-1331500.0,-77.26415,-12.03554,75,115.62,507.81
265500.0,-1324500.0,-77.15348,-11.97316,74,59.01,7.08
261500.0,-1329500.0,-77.19056,-12.01806,71,118.7,1.86
258500.0,-1332500.0,-77.21832,-12.04495,70,0.32,38.11
260500.0,-1331500.0,-77.19989,-12.03606,67,147.65,11.94
254500.0,-1330500.0,-77.25489,-12.02658,67,21.63,93.21
263500.0,-1328500.0,-77.17213,-12.00916,67,69.83,15.09
266500.0,-1333500.0,-77.14495,-12.05456,64,139.69,4.05
259500.0,-1328500.0,-77.20885,-12.00888,64,83.07,2.16
253500.0,-1332500.0,-77.26423,-12.04458,61,54.66,3.53
252500.0,-1332500.0,-77.27341,-12.04451,61,39.76,63.49
252500.0,-1347500.0,-77.27455,-12.18005,60,57.34,1896.35
252500.0,-1334500.0,-77.27356,-12.06258,57,56.33,19.85
264500.0,-1318500.0,-77.16223,-11.91887,55,10.85,4.03
253500.0,-1347500.0,-77.26537,-12.18012,55,150.56,3.44
257500.0,-1329500.0,-77.22728,-12.01777,53,42.68,2.26
261500.0,-1331500.0,-77.19071,-12.03613,52,166.95,15.24
262500.0,-1328500.0,-77.18131,-12.00909,49,102.54,28.93
262500.0,-1317500.0,-77.18051,-11.90969,49,70.05,4.16
