cell_x,cell_y,cell_lon,cell_lat,points,direction_deg,anisotropy
435500.0,2783500.0,56.35996,25.16616,2378,51.44,2.97
436500.0,2783500.0,56.36988,25.1662,1876,13.92,4.8
437500.0,2784500.0,56.37976,25.17528,1724,29.67,3.54
437500.0,2783500.0,56.37981,25.16625,1425,171.07,5.89
436500.0,2784500.0,56.36984,25.17523,1224,11.1,1.43
438500.0,2783500.0,56.38973,25.16629,1112,173.19,5.97
439500.0,2784500.0,56.39961,25.17536,905,11.02,66.01
440500.0,2784500.0,56.40953,25.1754,896,13.42,29.53
438500.0,2784500.0,56.38968,25.17532,830,13.09,2.41
438500.0,2782500.0,56.38977,25.15726,632,136.27,11.79
435500.0,2784500.0,56.35991,25.17519,627,51.82,8.17
437500.0,2785500.0,56.37971,25.18431,627,68.29,4.77
439500.0,2783500.0,56.39965,25.16633,601,8.32,7.41
441500.0,2784500.0,56.41945,25.17544,537,17.22,30.77
438500.0,2786500.0,56.38959,25.19338,486,68.03,21.26
435500.0,2804500.0,56.35896,25.3558,432,104.21,5.85
439500.0,2781500.0,56.39974,25.14827,425,138.49,9.3
438500.0,2785500.0,56.38964,25.18435,391,64.46,19.73
438500.0,2787500.0,56.38955,25.20241,390,82.18,5.74
441500.0,2785500.0,56.41941,25.18447,367,25.61,47.5
436500.0,2805500.0,56.36886,25.36487,357,29.61,7.47
442500.0,2785500.0,56.42933,25.18451,301,26.0,35.61
445500.0,2788500.0,56.45899,25.21171,287,39.0,11.62
442500.0,2784500.0,56.42938,25.17548,283,15.43,10.84
443500.0,2785500.0,56.43926,25.18454,282,28.25,21.51
439500.0,2789500.0,56.39938,25.22051,280,65.53,18.44
440500.0,2790500.0,56.40927,25.22958,271,64.61,9.77
449500.0,2783500.0,56.49888,25.1667,267,0.38,5.28
436500.0,2803500.0,56.36895,25.34681,263,105.15,2.11
439500.0,2788500.0,56.39943,25.21148,263,63.4,22.47
450500.0,2788500.0,56.50862,25.21188,256,48.27,2.72
448500.0,2783500.0,56.48896,25.16666,255,174.21,1.75
440500.0,2805500.0,56.40861,25.36503,255,172.69,31.89
440500.0,2782500.0,56.40962,25.15734,251,89.47,1.76
440500.0,2783500.0,56.40957,25.16637,248,3.51,8.58
445500.0,2784500.0,56.45915,25.17559,243,32.31,2.63
434500.0,2778500.0,56.35028,25.12097,243,165.78,24.91
439500.0,2805500.0,56.39867,25.36499,242,174.01,27.5
440500.0,2780500.0,56.4097,25.13928,242,41.19,94.39
451500.0,2786500.0,56.51862,25.19385,241,54.33,2.84
443500.0,2784500.0,56.4393,25.17551,237,4.35,21.25
446500.0,2788500.0,56.46891,25.21175,235,42.41,17.7
