cell_x,cell_y,cell_lon,cell_lat,points,direction_deg,anisotropy
558500.0,5932500.0,9.88272,53.53815,3934,162.13,2.38
564500.0,5933500.0,9.97345,53.54643,3280,162.1,2.21
563500.0,5933500.0,9.95836,53.54655,2801,7.97,11.72
559500.0,5932500.0,9.89781,53.53803,2492,179.68,3.33
561500.0,5932500.0,9.92798,53.5378,2234,169.33,3.65
560500.0,5932500.0,9.9129,53.53792,2181,177.61,4.62
562500.0,5932500.0,9.94307,53.53769,2152,149.12,2.41
564500.0,5932500.0,9.97325,53.53744,2111,112.39,1.4
565500.0,5932500.0,9.98833,53.53732,1994,139.34,3.33
470500.0,5930500.0,8.55503,53.5226,1915,32.41,18.94
510500.0,5972500.0,9.1598,53.90083,1840,26.46,3.34
557500.0,5933500.0,9.86782,53.54724,1832,171.38,2.15
556500.0,5933500.0,9.85273,53.54735,1732,175.93,21.47
562500.0,5930500.0,9.94267,53.51971,1548,103.25,3.9
511500.0,5973500.0,9.17506,53.9098,1458,48.04,1.43
471500.0,5931500.0,8.57003,53.53164,1407,59.21,4.33
562500.0,5933500.0,9.94327,53.54667,1399,6.09,17.0
557500.0,5932500.0,9.86764,53.53826,1381,160.39,3.88
509500.0,5971500.0,9.14455,53.89186,1365,47.0,10.93
562500.0,5929500.0,9.94247,53.51072,1250,101.23,8.08
469500.0,5935500.0,8.53946,53.56748,1242,121.17,23.47
555500.0,5933500.0,9.83764,53.54746,1228,174.39,6.6
562500.0,5931500.0,9.94287,53.5287,1194,93.72,38.98
468500.0,5937500.0,8.52416,53.5854,1178,120.56,24.55
524500.0,5960500.0,9.37192,53.7925,1176,29.39,2.69
560500.0,5933500.0,9.91309,53.54691,1123,1.74,10.51
564500.0,5931500.0,9.97304,53.52846,1112,106.38,1.93
477500.0,6062500.0,8.65078,54.70931,1078,46.49,342.39
481500.0,5969500.0,8.71862,53.87364,1038,122.27,7.38
563500.0,5932500.0,9.95816,53.53757,1023,122.66,2.81
577500.0,6027500.0,10.1935,54.38936,1022,64.06,18.03
519500.0,5985500.0,9.29761,54.01741,1008,75.46,1.16
561500.0,5933500.0,9.92818,53.54679,982,7.33,16.23
508500.0,5970500.0,9.12931,53.88289,972,13.91,12.09
622500.0,5980500.0,10.86705,53.95833,969,10.84,3.09
511500.0,5970500.0,9.17495,53.88283,968,2.07,14.29
476500.0,6061500.0,8.63534,54.70027,962,48.97,303.25
577500.0,6026500.0,10.19324,54.38038,954,56.21,5.58
523500.0,5960500.0,9.35674,53.79255,930,4.51,23.63
565500.0,5933500.0,9.98854,53.54631,929,104.73,1.82
470500.0,5934500.0,8.55466,53.55855,914,119.25,23.82
576500.0,6020500.0,10.17631,54.32662,905,157.84,42.83
478500.0,5974500.0,8.67264,53.91847,898,119.05,57.71
576500.0,6025500.0,10.17759,54.37154,897,55.94,73.59
376500.0,5949500.0,7.13016,53.67961,896,115.56,36.89
478500.0,6063500.0,8.66623,54.71834,894,51.89,45.19
509500.0,5972500.0,9.14459,53.90085,886,2.06,5.27
479500.0,5972500.0,8.688,53.90053,884,118.88,159.77
513500.0,5975500.0,9.2056,53.92773,866,52.82,5.47
575500.0,6021500.0,10.16119,54.33575,859,172.98,3.1
516500.0,5979500.0,9.2515,53.96359,836,51.16,367.9
518500.0,5981500.0,9.2821,53.9815,829,158.92,1.07
482500.0,5968500.0,8.73389,53.86469,829,135.13,47.45
470500.0,5933500.0,8.55475,53.54956,827,125.15,14.33
481500.0,5968500.0,8.71868,53.86466,824,113.47,1.72
507500.0,5970500.0,9.1141,53.88291,821,13.14,20.27
463500.0,5981500.0,8.44343,53.98054,817,168.0,18.84
543500.0,6095500.0,9.6801,55.00447,809,36.29,59.87
497500.0,5966500.0,8.962,53.847,803,10.35,138.91
510500.0,5970500.0,9.15974,53.88285,802,177.15,18.29
500500.0,5967500.0,9.0076,53.856,801,19.23,124.57
501500.0,5967500.0,9.0228,53.85599,798,23.13,170.92
476500.0,5977500.0,8.64196,53.94534,791,136.82,78.31
563500.0,5931500.0,9.95796,53.52858,779,125.89,2.56
477500.0,5976500.0,8.65727,53.9364,776,126.62,77.65
496500.0,5966500.0,8.9468,53.847,776,9.92,141.36
525500.0,5961500.0,9.38718,53.80144,767,115.09,1.75
376500.0,5948500.0,7.13056,53.67063,765,106.56,70.12
483500.0,5967500.0,8.74915,53.85573,762,138.07,34.23
487500.0,5965500.0,8.81004,53.83787,759,176.95,243.16
529500.0,6003500.0,9.45198,54.17871,759,121.25,1.33
509500.0,5970500.0,9.14452,53.88287,749,179.39,3.62
480500.0,5970500.0,8.70335,53.88259,748,117.72,17.93
488500.0,5965500.0,8.82524,53.83789,747,178.31,67.64
623500.0,5980500.0,10.88229,53.9581,746,23.4,18.64
502500.0,5968500.0,9.03802,53.86498,738,27.13,25.03
479500.0,5973500.0,8.68794,53.90952,724,119.19,296.73
467500.0,5980500.0,8.50452,53.97182,721,168.93,284.84
376500.0,5950500.0,7.12976,53.6886,721,80.0,7.52
574500.0,6024500.0,10.14656,54.36285,718,170.64,6.51
377500.0,5947500.0,7.14608,53.66188,711,111.27,29.93
519500.0,5986500.0,9.29767,54.0264,710,81.1,514.66
462500.0,5981500.0,8.42818,53.98047,702,170.84,23.58
377500.0,5945500.0,7.14687,53.64391,701,113.38,10.89
489500.0,5965500.0,8.84043,53.83791,697,0.56,154.84
475500.0,6060500.0,8.61991,54.69124,694,49.97,373.01
505500.0,5969500.0,9.08365,53.87394,693,22.75,34.35
537500.0,6006500.0,9.57492,54.20515,693,129.98,1.63
566500.0,5931500.0,10.00321,53.52821,687,134.7,5.79
578500.0,6029500.0,10.20943,54.40718,686,73.21,4.18
506500.0,5970500.0,9.09888,53.88292,684,12.75,29.54
466500.0,5980500.0,8.48928,53.97176,682,169.05,221.76
480500.0,5971500.0,8.70329,53.89158,681,117.77,113.19
479500.0,6064500.0,8.68168,54.72736,676,44.38,11.32
560500.0,5931500.0,9.9127,53.52893,676,142.43,4.93
517500.0,5980500.0,9.2668,53.97255,672,51.17,369.86
486500.0,5965500.0,8.79485,53.83785,667,170.88,71.14
623500.0,6085500.0,10.92603,54.90124,666,147.37,190.05
624500.0,6084500.0,10.94119,54.89201,665,141.88,15.59
495500.0,5966500.0,8.9316,53.84699,660,8.56,206.02
466500.0,5940500.0,8.49363,53.61224,657,130.87,108.26
575500.0,6024500.0,10.16195,54.36271,645,22.29,4.74
524500.0,6000500.0,9.37513,54.15201,639,29.71,1.61
468500.0,5980500.0,8.51977,53.97188,635,168.98,240.87
490500.0,5965500.0,8.85563,53.83793,634,3.11,489.09
464500.0,5981500.0,8.45867,53.98061,633,168.93,137.57
622500.0,5979500.0,10.86665,53.94935,633,61.6,2.39
467500.0,5939500.0,8.50885,53.60332,631,127.04,48.69
474500.0,5978500.0,8.61141,53.95424,631,153.44,33.52
