cell_x,cell_y,cell_lon,cell_lat,points,direction_deg,anisotropy
298500.0,3294500.0,-95.08408,29.76441,4391,23.26,2.36
296500.0,3292500.0,-95.10437,29.74604,3633,37.08,5.61
297500.0,3293500.0,-95.09422,29.75522,2738,56.49,6.57
295500.0,3291500.0,-95.11452,29.73686,2187,22.25,27.82
297500.0,3294500.0,-95.09441,29.76424,2180,22.84,2.1
294500.0,3291500.0,-95.12485,29.73669,2091,17.02,12.97
327500.0,3245500.0,-94.77652,29.32677,2033,78.32,4.52
290500.0,3292500.0,-95.16638,29.74504,1904,152.99,7.68
327500.0,3246500.0,-94.77667,29.33579,1899,70.93,7.4
299500.0,3295500.0,-95.07392,29.77359,1797,75.26,26.26
328500.0,3252500.0,-94.76731,29.39006,1795,42.88,110.96
304500.0,3288500.0,-95.02097,29.71125,1769,98.21,30.1
299500.0,3296500.0,-95.07411,29.78261,1703,54.77,8.42
304500.0,3289500.0,-95.02115,29.72027,1642,99.25,23.02
301500.0,3291500.0,-95.05251,29.73783,1633,142.65,47.2
299500.0,3294500.0,-95.07374,29.76457,1622,146.74,5.07
319500.0,3263500.0,-94.86183,29.48802,1620,114.28,212.17
293500.0,3291500.0,-95.13519,29.73653,1595,171.66,16.81
319500.0,3262500.0,-94.86166,29.479,1591,113.45,127.19
303500.0,3290500.0,-95.03166,29.72913,1564,163.44,16.41
305500.0,3287500.0,-95.01045,29.70239,1549,162.36,48.12
327500.0,3251500.0,-94.77746,29.3809,1539,44.08,85.49
323500.0,3253500.0,-94.81898,29.39838,1514,113.22,120.36
327500.0,3247500.0,-94.77683,29.34481,1451,126.64,3.83
312500.0,3274500.0,-94.93589,29.58621,1445,123.13,168.23
322500.0,3255500.0,-94.8296,29.41628,1441,112.56,315.93
300500.0,3292500.0,-95.06303,29.74669,1414,113.95,109.61
326500.0,3244500.0,-94.78665,29.31761,1413,43.41,3.62
320500.0,3261500.0,-94.85119,29.47012,1380,113.69,108.64
302500.0,3290500.0,-95.04199,29.72898,1370,168.75,65.61
274500.0,3203500.0,-95.31352,28.93962,1360,16.23,9.33
322500.0,3256500.0,-94.82976,29.4253,1359,112.69,292.29
310500.0,3277500.0,-94.95705,29.61297,1349,118.82,4.1
291500.0,3291500.0,-95.15585,29.73619,1318,145.37,12.19
314500.0,3271500.0,-94.91474,29.55945,1312,123.53,134.37
304500.0,3287500.0,-95.02078,29.70223,1305,136.42,3.24
299500.0,3297500.0,-95.0743,29.79163,1297,177.61,1.83
323500.0,3254500.0,-94.81914,29.4074,1297,113.77,275.47
320500.0,3260500.0,-94.85103,29.4611,1296,112.77,295.51
308500.0,3285500.0,-94.97911,29.68482,1296,118.85,3.28
324500.0,3251500.0,-94.80836,29.38048,1293,113.25,61.79
300500.0,3293500.0,-95.06322,29.75571,1293,116.85,55.26
315500.0,3269500.0,-94.90408,29.54156,1276,122.9,438.11
317500.0,3266500.0,-94.88295,29.51479,1229,122.77,212.43
309500.0,3280500.0,-94.9679,29.63988,1227,107.7,217.52
292500.0,3291500.0,-95.14552,29.73636,1218,171.35,39.66
296500.0,3295500.0,-95.10494,29.7731,1200,92.29,7.21
311500.0,3275500.0,-94.94638,29.59508,1164,122.9,213.57
333500.0,3256500.0,-94.71641,29.42681,1148,40.5,7.64
287500.0,3292500.0,-95.19738,29.74453,1129,24.41,14.61
329500.0,3253500.0,-94.75717,29.39921,1086,44.06,47.58
304500.0,3290500.0,-95.02133,29.72929,1083,128.61,5.96
310500.0,3278500.0,-94.95722,29.62199,1061,106.07,83.14
318500.0,3265500.0,-94.87247,29.50592,1061,122.65,325.82
417500.0,3315500.0,-93.85509,29.96758,1048,80.14,2.23
308500.0,3283500.0,-94.97875,29.66678,1046,106.84,268.63
285500.0,3290500.0,-95.21766,29.72615,1043,2.09,12.16
