cell_x,cell_y,cell_lon,cell_lat,points,direction_deg,anisotropy
435500.0,2783500.0,56.35996,25.16616,2474,55.32,3.06
303500.0,2765500.0,55.05308,24.99225,2067,124.98,2.97
303500.0,2766500.0,55.05294,25.00127,1865,105.88,8.37
436500.0,2783500.0,56.36988,25.1662,1682,15.81,4.49
302500.0,2767500.0,55.04289,25.01017,1569,110.36,84.17
302500.0,2769500.0,55.0426,25.02822,1475,164.36,2.25
302500.0,2768500.0,55.04275,25.01919,1400,107.77,4.87
437500.0,2784500.0,56.37976,25.17528,1347,30.74,4.24
303500.0,2769500.0,55.05251,25.02835,1267,7.45,15.52
436500.0,2784500.0,56.36984,25.17523,1255,17.25,1.66
437500.0,2783500.0,56.37981,25.16625,1092,173.22,6.03
438500.0,2783500.0,56.38973,25.16629,891,173.11,6.88
301500.0,2770500.0,55.03255,25.03711,879,129.32,55.83
300500.0,2771500.0,55.0225,25.04601,834,134.62,59.29
438500.0,2784500.0,56.38968,25.17532,811,11.24,11.49
301500.0,2769500.0,55.0327,25.02809,774,121.31,41.14
165500.0,2757500.0,53.68914,24.89597,754,102.3,1.77
304500.0,2764500.0,55.06312,24.98335,751,36.41,4.45
439500.0,2784500.0,56.39961,25.17536,715,10.99,13.68
440500.0,2784500.0,56.40953,25.1754,714,12.63,33.81
299500.0,2772500.0,55.01245,25.0549,697,133.07,21.02
165500.0,2756500.0,53.68938,24.88695,667,146.81,1.95
311500.0,2774500.0,55.13108,25.0745,645,20.31,2.54
437500.0,2785500.0,56.37971,25.18431,642,82.05,3.91
304500.0,2765500.0,55.06298,24.99237,602,31.5,7.84
435500.0,2784500.0,56.35991,25.17519,600,50.61,5.71
326500.0,2795500.0,55.27708,25.26586,593,62.32,1.68
263500.0,2746500.0,54.66024,24.81508,507,48.8,6.61
441500.0,2784500.0,56.41945,25.17544,492,11.15,49.73
435500.0,2804500.0,56.35896,25.3558,489,101.74,4.39
264500.0,2746500.0,54.67012,24.81524,454,47.29,4.64
302500.0,2766500.0,55.04303,25.00114,453,108.31,34.87
313500.0,2777500.0,55.15049,25.10182,451,64.85,1.51
303500.0,2764500.0,55.05322,24.98322,447,112.19,4.19
436500.0,2805500.0,56.36886,25.36487,442,28.31,8.69
304500.0,2769500.0,55.06242,25.02848,438,5.56,4.69
166500.0,2756500.0,53.69926,24.88717,428,31.89,1.91
311500.0,2776500.0,55.1308,25.09255,413,27.35,8.23
