cell_x,cell_y,cell_lon,cell_lat,points,direction_deg,anisotropy
382500.0,3732500.0,-118.26827,33.72602,1539,107.46,13.06
383500.0,3731500.0,-118.25734,33.71711,1379,149.86,9.31
387500.0,3734500.0,-118.21456,33.74459,1154,110.26,4.96
384500.0,3730500.0,-118.24642,33.7082,1138,124.3,5.64
382500.0,3731500.0,-118.26813,33.717,1096,144.3,2.43
389500.0,3732500.0,-118.19272,33.72677,936,157.75,10.92
381500.0,3733500.0,-118.27919,33.73492,803,104.97,22.14
381500.0,3734500.0,-118.27932,33.74394,762,72.48,4.91
384500.0,3729500.0,-118.24629,33.69918,756,95.69,9.05
388500.0,3733500.0,-118.20364,33.73568,681,144.56,7.44
390500.0,3732500.0,-118.18193,33.72687,628,148.58,2.23
383500.0,3732500.0,-118.25747,33.72613,610,80.21,5.4
384500.0,3731500.0,-118.24655,33.71722,589,3.92,8.89
387500.0,3735500.0,-118.21469,33.75361,572,91.66,11.99
385500.0,3731500.0,-118.23576,33.71733,486,27.96,17.78
383500.0,3736500.0,-118.258,33.7622,417,35.11,2.0
382500.0,3735500.0,-118.26866,33.75307,390,52.33,9.33
384500.0,3728500.0,-118.24616,33.69017,383,84.8,10.2
386500.0,3733500.0,-118.22523,33.73547,379,50.88,9.74
387500.0,3736500.0,-118.21482,33.76263,371,110.64,74.31
390500.0,3731500.0,-118.18181,33.71786,368,87.83,16.49
384500.0,3727500.0,-118.24603,33.68115,366,81.35,15.32
388500.0,3734500.0,-118.20377,33.7447,344,122.48,1.46
390500.0,3733500.0,-118.18206,33.73589,340,41.91,1.61
384500.0,3724500.0,-118.24564,33.6541,334,87.16,21.64
391500.0,3733500.0,-118.17126,33.73599,330,7.69,3.66
386500.0,3731500.0,-118.22497,33.71743,315,21.76,19.87
384500.0,3736500.0,-118.2472,33.7623,306,16.83,19.97
382500.0,3733500.0,-118.2684,33.73503,300,101.15,5.82
384500.0,3726500.0,-118.2459,33.67213,297,79.3,17.72
383500.0,3730500.0,-118.25721,33.70809,285,151.9,15.11
385500.0,3729500.0,-118.2355,33.69929,280,134.53,20.0
387500.0,3733500.0,-118.21443,33.73558,278,86.39,1.36
384500.0,3725500.0,-118.24577,33.66312,276,85.16,36.71
387500.0,3737500.0,-118.21494,33.77165,272,24.72,3.21
382500.0,3734500.0,-118.26853,33.74405,263,61.15,28.12
381500.0,3731500.0,-118.27892,33.71689,260,124.75,4.88
388500.0,3732500.0,-118.20352,33.72666,258,2.58,9.78
