cell_x,cell_y,cell_lon,cell_lat,points,direction_deg,anisotropy
315500.0,-4190500.0,144.90314,-37.84329,524,117.51,21.39
316500.0,-4191500.0,144.91424,-37.8525,470,115.99,9.4
316500.0,-4192500.0,144.91399,-37.86151,382,125.68,10.63
317500.0,-4199500.0,144.92358,-37.92476,310,89.19,1933.37
317500.0,-4198500.0,144.92383,-37.91575,297,87.75,120.75
315500.0,-4191500.0,144.90289,-37.8523,274,135.73,8.32
302500.0,-4243500.0,144.74085,-38.31788,267,140.03,2.68
317500.0,-4193500.0,144.9251,-37.87072,256,106.39,9.02
315500.0,-4188500.0,144.90365,-37.82528,243,49.2,13.42
316500.0,-4187500.0,144.91526,-37.81647,233,46.29,1.95
297500.0,-4240500.0,144.68456,-38.28975,212,168.32,68.28
299500.0,-4241500.0,144.70713,-38.2992,205,163.23,27.9
317500.0,-4197500.0,144.92409,-37.90675,181,88.99,393.46
275500.0,-4222500.0,144.43891,-38.12245,165,8.45,206.17
317500.0,-4194500.0,144.92485,-37.87972,154,102.46,7.65
344500.0,-4292500.0,145.21012,-38.76752,154,53.26,1336.83
314500.0,-4189500.0,144.89204,-37.83408,153,89.79,12.03
298500.0,-4241500.0,144.6957,-38.29898,139,164.88,3828.7
312500.0,-4244500.0,144.8549,-38.32903,139,163.98,565.11
313500.0,-4244500.0,144.86633,-38.32924,137,170.42,1853.69
317500.0,-4200500.0,144.92333,-37.93377,136,88.27,3301.94
296500.0,-4238500.0,144.67371,-38.27151,135,47.59,6.2
296500.0,-4237500.0,144.674,-38.26251,135,145.39,5.81
302500.0,-4244500.0,144.74057,-38.32688,134,14.96,44.66
317500.0,-4195500.0,144.92459,-37.88873,132,90.12,1030.45
301500.0,-4242500.0,144.7297,-38.30865,129,53.96,138.07
269500.0,-4222500.0,144.37053,-38.12094,128,66.57,544.25
310500.0,-4243500.0,144.8323,-38.3196,127,165.89,901.15
269500.0,-4220500.0,144.37118,-38.10293,125,91.97,1.99
301500.0,-4243500.0,144.72942,-38.31766,124,149.39,41.24
317500.0,-4196500.0,144.92434,-37.89774,123,90.09,1415.28
314500.0,-4244500.0,144.87776,-38.32945,122,175.14,408.02
270500.0,-4222500.0,144.38193,-38.12119,121,154.08,22.68
309500.0,-4243500.0,144.82087,-38.31939,121,166.81,3197.5
308500.0,-4243500.0,144.80944,-38.31918,119,165.89,42.28
305500.0,-4242500.0,144.77542,-38.30953,118,167.93,782.55
298500.0,-4240500.0,144.69598,-38.28997,116,160.88,25.86
271500.0,-4222500.0,144.39333,-38.12145,112,89.66,164.83
300500.0,-4241500.0,144.71855,-38.29942,111,164.99,5.52
317500.0,-4192500.0,144.92535,-37.86171,108,114.19,5.57
273500.0,-4222500.0,144.41612,-38.12195,104,98.65,18820.96
311500.0,-4244500.0,144.84346,-38.32882,101,163.87,3679.68
274500.0,-4222500.0,144.42752,-38.1222,100,98.84,11717.38
446500.0,-4287500.0,146.38445,-38.73455,100,124.96,11.21
452500.0,-4290500.0,146.45328,-38.76193,98,145.08,281.77
304500.0,-4242500.0,144.76399,-38.30931,96,167.53,1633.41
276500.0,-4222500.0,144.45031,-38.1227,93,93.99,1613.87
272500.0,-4222500.0,144.40472,-38.1217,91,9.02,256.08
317500.0,-4215500.0,144.91951,-38.06887,90,90.53,787.75
285500.0,-4256500.0,144.54259,-38.43102,88,0.21,6138.81
277500.0,-4328500.0,144.42785,-39.07726,88,88.05,2203.47
315500.0,-4189500.0,144.9034,-37.83429,86,78.69,8.1
447500.0,-4333500.0,146.39243,-39.14912,84,104.42,2125.93
324500.0,-4281500.0,144.98283,-38.6647,84,76.52,470.38
318500.0,-4234500.0,144.92606,-38.2402,84,88.16,1066.32
306500.0,-4242500.0,144.78685,-38.30974,82,167.66,2723.41
277500.0,-4222500.0,144.46171,-38.12295,78,82.46,1639.99
317500.0,-4206500.0,144.9218,-37.98781,78,179.02,5417.34
310500.0,-4228500.0,144.83631,-38.18451,78,31.1,7485.0
288500.0,-4278500.0,144.57028,-38.62983,77,126.75,1078.28
268500.0,-4261500.0,144.34637,-38.47179,77,140.3,12379.96
317500.0,-4201500.0,144.92307,-37.94277,76,88.8,2043.24
412500.0,-4328500.0,145.98808,-39.10125,76,61.32,3260.75
