cell_x,cell_y,cell_lon,cell_lat,points,direction_deg,anisotropy
573500.0,-450500.0,39.66217,-4.07547,468,144.29,1.45
573500.0,-451500.0,39.66218,-4.08452,415,43.04,3.36
571500.0,-448500.0,39.64414,-4.05739,338,102.2,9.21
572500.0,-449500.0,39.65316,-4.06643,292,129.05,5.83
576500.0,-450500.0,39.6892,-4.07545,244,157.92,38.75
574500.0,-451500.0,39.67119,-4.08451,244,6.17,15.87
577500.0,-451500.0,39.69822,-4.08449,237,149.73,495.76
575500.0,-450500.0,39.68019,-4.07546,227,18.85,19.9
571500.0,-449500.0,39.64415,-4.06644,206,121.63,26.73
570500.0,-447500.0,39.63513,-4.04836,188,164.82,6.59
572500.0,-450500.0,39.65317,-4.07548,184,137.79,14.18
578500.0,-451500.0,39.70723,-4.08448,180,156.8,9.36
571500.0,-447500.0,39.64414,-4.04835,161,135.59,6.4
597500.0,-445500.0,39.87833,-4.03004,157,69.82,25.29
599500.0,-458500.0,39.89648,-4.14761,120,66.19,308.34
598500.0,-473500.0,39.88762,-4.28331,116,149.79,178.95
601500.0,-463500.0,39.91455,-4.19282,111,166.71,1351.4
590500.0,-465500.0,39.81546,-4.21102,97,90.53,112.57
597500.0,-444500.0,39.87832,-4.02099,95,69.53,167.4
578500.0,-452500.0,39.70723,-4.09353,94,7.15,63.0
588500.0,-447500.0,39.79728,-4.04821,92,170.6,11941.74
605500.0,-463500.0,39.95059,-4.19278,92,121.31,17.4
595500.0,-461500.0,39.86047,-4.17479,86,8.37,482.2
587500.0,-456500.0,39.78835,-4.12963,84,72.6,2.21
593500.0,-472500.0,39.84256,-4.27431,84,62.85,77.93
598500.0,-444500.0,39.88733,-4.02098,82,124.02,3.11
590500.0,-457500.0,39.81539,-4.13865,77,102.73,398.14
593500.0,-447500.0,39.84232,-4.04817,77,84.38,41.65
595500.0,-459500.0,39.86045,-4.1567,76,25.81,32.03
594500.0,-452500.0,39.85137,-4.09339,75,10.45,170.19
614500.0,-453500.0,40.03155,-4.10222,75,164.25,52.67
600500.0,-463500.0,39.90554,-4.19283,75,170.53,2862.89
581500.0,-458500.0,39.73431,-4.14778,74,74.54,94.31
588500.0,-465500.0,39.79744,-4.21104,73,82.1,6.16
608500.0,-450500.0,39.97747,-4.07515,72,76.04,307.76
592500.0,-459500.0,39.83342,-4.15673,71,7.61,124.82
603500.0,-463500.0,39.93257,-4.1928,71,49.08,5.52
595500.0,-463500.0,39.86049,-4.19288,68,54.02,2.36
594500.0,-464500.0,39.85149,-4.20194,68,126.55,9600.07
595500.0,-460500.0,39.86046,-4.16574,67,34.8,27.49
580500.0,-480500.0,39.72549,-4.3468,65,2.02,3533.9
592500.0,-452500.0,39.83336,-4.09341,63,85.62,299.2
584500.0,-474500.0,39.76148,-4.29249,63,137.76,45962.28
595500.0,-488500.0,39.86074,-4.41902,63,79.8,159.45
612500.0,-453500.0,40.01354,-4.10224,62,24.4,14.32
580500.0,-479500.0,39.72548,-4.33776,62,0.61,1365.17
581500.0,-466500.0,39.73438,-4.22015,62,175.48,56.04
569500.0,-447500.0,39.62612,-4.04836,61,1.97,2.58
592500.0,-451500.0,39.83335,-4.08436,60,177.7,2072.89
590500.0,-456500.0,39.81538,-4.12961,60,170.77,4418.54
575500.0,-470500.0,39.68035,-4.25638,59,175.89,1979.06
594500.0,-468500.0,39.85153,-4.23812,59,90.98,1073.11
594500.0,-459500.0,39.85144,-4.15671,57,18.59,11.05
581500.0,-465500.0,39.73437,-4.2111,57,153.73,612.72
598500.0,-453500.0,39.88742,-4.10239,56,4.26,8437.67
585500.0,-472500.0,39.77047,-4.27439,56,172.37,29.89
595500.0,-442500.0,39.86029,-4.00292,56,176.55,90.52
600500.0,-445500.0,39.90535,-4.03001,56,158.27,1385.12
593500.0,-460500.0,39.84244,-4.16576,54,167.74,61695.95
582500.0,-468500.0,39.74341,-4.23823,54,92.87,152.77
600500.0,-473500.0,39.90564,-4.28329,54,147.67,29082.18
595500.0,-453500.0,39.86039,-4.10242,54,35.18,2128.11
597500.0,-446500.0,39.87834,-4.03908,53,69.92,95.9
595500.0,-443500.0,39.8603,-4.01196,53,113.02,2965.43
595500.0,-462500.0,39.86048,-4.18383,51,62.85,831.6
588500.0,-454500.0,39.79734,-4.11153,51,167.14,5110.83
590500.0,-475500.0,39.81556,-4.30148,51,25.8,4910.84
614500.0,-483500.0,40.03191,-4.37358,51,22.49,5520.65
597500.0,-443500.0,39.87831,-4.01194,50,99.25,1.77
585500.0,-473500.0,39.77048,-4.28343,50,167.02,5704.28
590500.0,-464500.0,39.81545,-4.20197,50,107.82,224.26
608500.0,-451500.0,39.97748,-4.0842,50,157.92,768.34
603500.0,-472500.0,39.93266,-4.27421,49,75.17,150.61
586500.0,-467500.0,39.77944,-4.22915,48,47.49,3702.31
602500.0,-455500.0,39.92347,-4.12044,48,138.7,687.24
600500.0,-456500.0,39.90547,-4.12951,48,108.28,3221.85
604500.0,-471500.0,39.94166,-4.26515,48,160.17,7674.9
599500.0,-444500.0,39.89634,-4.02097,48,42.94,43.65
575500.0,-471500.0,39.68036,-4.26543,47,175.4,711.43
588500.0,-455500.0,39.79735,-4.12058,47,93.48,2.15
583500.0,-466500.0,39.7524,-4.22013,47,149.4,6.7
592500.0,-450500.0,39.83334,-4.07531,46,177.58,2867.91
589500.0,-463500.0,39.80643,-4.19294,46,36.08,33135.85
579500.0,-451500.0,39.71623,-4.08447,45,9.25,34.08
597500.0,-461500.0,39.87849,-4.17477,45,131.93,459.62
598500.0,-452500.0,39.88741,-4.09335,45,3.95,5511.21
588500.0,-453500.0,39.79733,-4.10249,45,167.17,6558.17
585500.0,-458500.0,39.77035,-4.14774,44,134.02,35.96
579500.0,-460500.0,39.71631,-4.16589,44,18.77,1977.45
578500.0,-459500.0,39.70729,-4.15685,44,150.3,20.78
594500.0,-458500.0,39.85143,-4.14766,44,151.94,4348.24
579500.0,-462500.0,39.71632,-4.18398,43,97.5,950.11
588500.0,-467500.0,39.79746,-4.22913,43,95.33,101.48
598500.0,-462500.0,39.88751,-4.1838,43,102.49,25943.39
588500.0,-466500.0,39.79745,-4.22009,43,88.48,6.92
592500.0,-449500.0,39.83333,-4.06627,43,80.09,119.71
599500.0,-456500.0,39.89646,-4.12952,43,47.51,2261.56
596500.0,-433500.0,39.86921,-3.9215,43,172.37,6120.87
593500.0,-453500.0,39.84237,-4.10244,42,31.72,3.55
593500.0,-457500.0,39.84241,-4.13862,42,67.96,442.91
614500.0,-592500.0,40.03342,-5.3595,42,167.82,116495.52
629500.0,-467500.0,40.16686,-4.22866,42,89.73,65907.86
585500.0,-471500.0,39.77046,-4.26534,41,35.37,2245.16
583500.0,-480500.0,39.75252,-4.34677,41,160.04,18394.27
609500.0,-453500.0,39.98651,-4.10228,41,72.26,2424.04
601500.0,-445500.0,39.91436,-4.03,41,1.04,1.61
588500.0,-468500.0,39.79747,-4.23818,40,95.18,43.42
593500.0,-454500.0,39.84238,-4.11149,40,177.09,2445.85
594500.0,-467500.0,39.85152,-4.22907,40,90.56,850.61
600500.0,-464500.0,39.90555,-4.20188,40,64.68,412.18
600500.0,-462500.0,39.90553,-4.18378,40,168.97,1510.68
589500.0,-469500.0,39.80649,-4.24721,40,21.72,11844.32
605500.0,-448500.0,39.95042,-4.05709,40,17.1,105.26
598500.0,-443500.0,39.88732,-4.01194,39,71.35,14.58
581500.0,-459500.0,39.73432,-4.15682,39,65.02,585.07
578500.0,-460500.0,39.7073,-4.1659,39,25.13,14134.93
589500.0,-479500.0,39.80658,-4.33767,39,170.39,818.75
595500.0,-469500.0,39.86055,-4.24716,39,18.04,6684.73
586500.0,-464500.0,39.77941,-4.20201,38,105.83,698.07
594500.0,-451500.0,39.85136,-4.08434,38,102.49,2.3
594500.0,-453500.0,39.85138,-4.10243,38,39.56,598.41
587500.0,-468500.0,39.78846,-4.23819,38,49.09,916.24
586500.0,-458500.0,39.77936,-4.14774,38,69.94,379.51
590500.0,-476500.0,39.81556,-4.31053,38,161.37,2648.3
568500.0,-447500.0,39.61711,-4.04837,37,0.61,1.35
596500.0,-460500.0,39.86947,-4.16573,37,64.76,107.31
586500.0,-456500.0,39.77934,-4.12964,37,131.61,27.16
587500.0,-455500.0,39.78834,-4.12059,37,38.73,549.88
601500.0,-472500.0,39.91464,-4.27423,37,70.39,4460.26
595500.0,-489500.0,39.86075,-4.42807,37,170.73,4963.59
614500.0,-461500.0,40.03165,-4.17458,37,163.76,918.13
592500.0,-453500.0,39.83337,-4.10245,36,4.24,3448.38
606500.0,-463500.0,39.9596,-4.19276,36,113.6,503.2
587500.0,-452500.0,39.78831,-4.09345,36,74.78,1553.75
587500.0,-453500.0,39.78832,-4.1025,36,148.46,16856.43
604500.0,-472500.0,39.94167,-4.2742,35,66.75,415.06
588500.0,-477500.0,39.79755,-4.31959,35,119.08,7407.31
630500.0,-467500.0,40.17587,-4.22865,35,90.08,36328.69
603500.0,-473500.0,39.93268,-4.28325,35,73.96,147.65
611500.0,-487500.0,40.00493,-4.4098,35,170.02,891.72
593500.0,-458500.0,39.84242,-4.14767,34,82.98,5.84
614500.0,-552500.0,40.03283,-4.9977,34,167.0,3486.88
594500.0,-454500.0,39.85139,-4.11148,34,40.05,1863.3
582500.0,-469500.0,39.74341,-4.24728,34,91.65,2313.34
586500.0,-451500.0,39.7793,-4.08441,34,63.05,3.15
585500.0,-491500.0,39.77065,-4.44626,34,135.69,1786.14
589500.0,-468500.0,39.80648,-4.23817,34,0.46,3823.16
594500.0,-460500.0,39.85145,-4.16575,33,55.59,297.15
588500.0,-462500.0,39.79741,-4.1839,33,37.64,5968.95
614500.0,-593500.0,40.03343,-5.36855,33,168.3,95570.17
604500.0,-463500.0,39.94158,-4.19279,33,43.95,432.75
587500.0,-465500.0,39.78843,-4.21105,32,23.74,364.33
583500.0,-479500.0,39.75251,-4.33773,32,75.94,4571.37
612500.0,-445500.0,40.01345,-4.02988,32,159.98,1244.15
608500.0,-459500.0,39.97757,-4.15656,32,149.96,2749.8
604500.0,-462500.0,39.94157,-4.18374,32,175.74,343.04
598500.0,-459500.0,39.88748,-4.15667,31,101.79,906.07
589500.0,-458500.0,39.80639,-4.14771,31,21.19,1572.0
592500.0,-473500.0,39.83356,-4.28337,31,79.56,187.39
606500.0,-452500.0,39.95948,-4.09326,31,151.39,556.39
598500.0,-491500.0,39.88781,-4.44613,31,21.04,1610.38
605500.0,-447500.0,39.95041,-4.04805,31,19.5,18.57
585500.0,-465500.0,39.77041,-4.21107,30,26.12,63.53
597500.0,-462500.0,39.8785,-4.18381,30,19.26,1.9
598500.0,-461500.0,39.8875,-4.17476,30,105.82,57.21
614500.0,-551500.0,40.03281,-4.98866,30,167.42,6429.0
597500.0,-474500.0,39.87862,-4.29236,30,154.67,369.44
598500.0,-472500.0,39.88761,-4.27426,30,161.86,6116.64
605500.0,-472500.0,39.95068,-4.27419,30,158.8,29987.17
591500.0,-452500.0,39.82435,-4.09341,30,2.7,1210.48
591500.0,-465500.0,39.82447,-4.21101,30,82.82,362.67
598500.0,-468500.0,39.88757,-4.23808,30,96.44,3035.05
626500.0,-395500.0,40.13895,-3.57746,30,176.59,4428.37
593500.0,-459500.0,39.84243,-4.15672,29,21.81,63.0
586500.0,-463500.0,39.7794,-4.19297,29,106.15,893.8
587500.0,-466500.0,39.78844,-4.22009,29,89.3,76.69
595500.0,-457500.0,39.86043,-4.13861,29,50.95,48.45
596500.0,-444500.0,39.86931,-4.021,29,164.67,3896.49
597500.0,-456500.0,39.87844,-4.12954,29,161.74,1970.34
582500.0,-510500.0,39.74378,-4.61816,29,81.23,21.44
577500.0,-505500.0,39.69867,-4.57298,29,142.34,5659.32
595500.0,-458500.0,39.86044,-4.14765,29,171.97,18843.44
585500.0,-463500.0,39.77039,-4.19297,28,119.81,331.74
586500.0,-465500.0,39.77942,-4.21106,28,124.98,41.54
592500.0,-448500.0,39.83332,-4.05722,28,79.96,16.83
571500.0,-450500.0,39.64416,-4.07549,28,135.0,3.46
619500.0,-456500.0,40.07663,-4.1293,28,48.19,601.55
601500.0,-453500.0,39.91444,-4.10236,28,163.47,4046.35
593500.0,-446500.0,39.84231,-4.03912,28,170.27,366.36
584500.0,-491500.0,39.76163,-4.44627,28,88.27,9847.12
582500.0,-467500.0,39.7434,-4.22918,28,101.39,439.68
603500.0,-456500.0,39.93249,-4.12948,28,38.66,886.2
589500.0,-504500.0,39.80683,-4.56382,28,167.36,21867.26
619500.0,-441500.0,40.07645,-3.99362,28,111.7,21439.47
588500.0,-456500.0,39.79736,-4.12963,27,37.81,260.47
614500.0,-594500.0,40.03345,-5.37759,27,168.32,87049.61
590500.0,-474500.0,39.81555,-4.29243,27,29.03,55687.35
589500.0,-466500.0,39.80646,-4.22008,27,165.49,1004.61
578500.0,-504500.0,39.70767,-4.56392,27,143.63,120462.45
588500.0,-481500.0,39.79759,-4.35577,27,168.45,8532.36
644500.0,-469500.0,40.30202,-4.24654,27,78.43,49434.16
604500.0,-470500.0,39.94165,-4.25611,27,159.08,13228.91
598500.0,-445500.0,39.88734,-4.03003,27,9.12,14.22
597500.0,-452500.0,39.8784,-4.09336,27,163.79,508.51
590500.0,-502500.0,39.81582,-4.54572,27,67.14,6.29
602500.0,-456500.0,39.92348,-4.12949,27,136.0,880.7
624500.0,-469500.0,40.12184,-4.24682,26,71.26,126384.37
596500.0,-462500.0,39.86949,-4.18382,26,22.06,3645.45
718500.0,-431500.0,40.96775,-3.90154,26,96.23,15950.28
585500.0,-467500.0,39.77043,-4.22916,26,143.55,183.76
614500.0,-553500.0,40.03284,-5.00675,26,166.55,2400.57
592500.0,-463500.0,39.83346,-4.19291,26,173.96,149.22
606500.0,-471500.0,39.95968,-4.26513,26,158.29,16288.9
596500.0,-446500.0,39.86933,-4.03909,26,151.23,1169.29
596500.0,-441500.0,39.86928,-3.99386,26,158.29,1385.51
580500.0,-467500.0,39.72538,-4.2292,26,148.42,3079.48
593500.0,-456500.0,39.8424,-4.12958,26,157.79,1145.76
586500.0,-470500.0,39.77947,-4.25629,26,11.1,7053.77
590500.0,-469500.0,39.8155,-4.2472,26,163.35,938.57
586500.0,-481500.0,39.77957,-4.35579,26,80.54,55.43
