cell_x,cell_y,cell_lon,cell_lat,points,direction_deg,anisotropy
583500.0,4505500.0,-74.01168,40.69617,7658,46.5,2.34
582500.0,4505500.0,-74.02352,40.69627,5534,27.8,3.27
582500.0,4506500.0,-74.02339,40.70528,4038,91.1,6.59
581500.0,4504500.0,-74.03548,40.68737,3465,56.68,16.72
579500.0,4500500.0,-74.05966,40.65153,2971,47.01,7.05
578500.0,4499500.0,-74.07161,40.64262,2833,27.88,6.39
583500.0,4504500.0,-74.01182,40.68717,2828,53.32,7.02
580500.0,4496500.0,-74.04834,40.6154,2747,101.64,31.71
582500.0,4503500.0,-74.02378,40.67826,2598,66.53,3.36
582500.0,4507500.0,-74.02326,40.71429,2524,77.55,2.66
581500.0,4505500.0,-74.03535,40.69637,2197,57.55,4.21
582500.0,4501500.0,-74.02404,40.66025,2175,61.35,10.56
580500.0,4495500.0,-74.04847,40.6064,2114,101.47,17.87
580500.0,4502500.0,-74.04757,40.66945,2048,62.26,18.14
580500.0,4497500.0,-74.04821,40.62441,1980,96.43,33.86
581500.0,4507500.0,-74.03509,40.71439,1817,3.78,2.14
582500.0,4502500.0,-74.02391,40.66925,1807,95.74,11.54
580500.0,4501500.0,-74.0477,40.66044,1779,63.71,37.01
581500.0,4503500.0,-74.03561,40.67836,1671,57.53,12.14
579500.0,4499500.0,-74.05978,40.64252,1402,93.0,1.77
483500.0,4415500.0,-75.19299,39.8894,1337,85.98,13.57
581500.0,4500500.0,-74.036,40.65134,1325,53.57,5.72
577500.0,4500500.0,-74.08331,40.65172,1311,14.38,15.19
584500.0,4506500.0,-73.99972,40.70508,1310,32.75,3.5
578500.0,4500500.0,-74.07148,40.65163,1286,8.8,4.19
581500.0,4499500.0,-74.03613,40.64233,1190,66.65,14.3
580500.0,4498500.0,-74.04808,40.63342,1057,86.87,12.5
582500.0,4504500.0,-74.02365,40.68727,1054,55.0,9.57
581500.0,4494500.0,-74.03678,40.59729,1040,112.86,19.89
580500.0,4503500.0,-74.04744,40.67846,947,49.55,8.8
580500.0,4494500.0,-74.0486,40.59739,941,86.23,8.05
572500.0,4499500.0,-74.14256,40.64317,937,3.13,10.07
579500.0,4498500.0,-74.05991,40.63352,931,102.37,8.52
582500.0,4509500.0,-74.02299,40.7323,930,103.49,3.43
573500.0,4499500.0,-74.13073,40.64308,919,2.0,9.11
582500.0,4500500.0,-74.02418,40.65124,918,58.97,2.59
582500.0,4508500.0,-74.02312,40.7233,868,88.22,16.21
585500.0,4506500.0,-73.98788,40.70498,846,13.12,23.97
579500.0,4497500.0,-74.06003,40.62451,841,103.09,8.32
583500.0,4512500.0,-74.01075,40.75923,820,42.36,2.32
574500.0,4499500.0,-74.11891,40.64299,805,17.9,14.93
579500.0,4501500.0,-74.05953,40.66054,781,53.53,2.96
581500.0,4495500.0,-74.03665,40.6063,750,111.33,12.73
571500.0,4499500.0,-74.15438,40.64326,676,148.23,3.1
586500.0,4506500.0,-73.97604,40.70487,672,177.38,1.82
580500.0,4500500.0,-74.04783,40.65144,664,49.79,1.46
576500.0,4500500.0,-74.09514,40.65182,649,19.96,19.21
584500.0,4505500.0,-73.99985,40.69607,645,66.19,3.07
570500.0,4499500.0,-74.16621,40.64334,600,165.29,3.4
578500.0,4501500.0,-74.07136,40.66064,580,48.9,2.26
572500.0,4501500.0,-74.14233,40.66118,557,69.03,7.35
587500.0,4508500.0,-73.96393,40.72278,545,78.48,7.91
575500.0,4499500.0,-74.10708,40.6429,543,9.35,13.85
581500.0,4506500.0,-74.03522,40.70538,535,73.49,19.17
567500.0,4498500.0,-74.20179,40.63458,524,57.57,16.94
