cell_x,cell_y,cell_lon,cell_lat,points,direction_deg,anisotropy
486500.0,5992500.0,-3.20635,54.08052,165,61.0,67.47
485500.0,5993500.0,-3.22168,54.08948,151,161.75,1.77
488500.0,5991500.0,-3.17574,54.07158,150,57.0,207.63
487500.0,5986500.0,-3.19082,54.02662,147,140.17,202.58
486500.0,5985500.0,-3.20604,54.0176,131,115.88,68.42
619500.0,6056500.0,-1.14825,54.64173,98,63.23,53.01
489500.0,5990500.0,-3.16043,54.06261,96,10.12,88.8
617500.0,6050500.0,-1.18163,54.58831,86,48.24,42.06
618500.0,6052500.0,-1.16535,54.60604,74,62.87,80.22
616500.0,6050500.0,-1.1971,54.58854,70,45.16,4.43
487500.0,5992500.0,-3.19106,54.08054,70,64.11,806.69
617500.0,6051500.0,-1.18123,54.59729,70,49.34,49.88
621500.0,6058500.0,-1.11645,54.65922,69,31.33,9.04
485500.0,5992500.0,-3.22163,54.08049,67,49.03,388.59
487500.0,5991500.0,-3.19102,54.07156,67,53.66,156.24
620500.0,6057500.0,-1.13235,54.65048,65,50.91,49.17
616500.0,6049500.0,-1.19749,54.57956,62,31.33,11.48
488500.0,5987500.0,-3.17559,54.03563,58,137.39,415.8
619500.0,6055500.0,-1.14866,54.63275,58,69.29,33.77
619500.0,6053500.0,-1.14947,54.61479,58,87.59,31.22
600500.0,6096500.0,-1.42864,55.00521,57,19.27,2.23
489500.0,5989500.0,-3.16039,54.05363,51,176.86,170.44
615500.0,6049500.0,-1.21296,54.57979,48,177.93,9.93
484500.0,5984500.0,-3.23651,54.00856,48,82.91,232.88
485500.0,5984500.0,-3.22125,54.00859,47,115.15,61.07
620500.0,6058500.0,-1.13194,54.65946,47,53.47,62.22
613500.0,6098500.0,-1.22469,55.02038,44,0.43,33.37
481500.0,5986500.0,-3.28241,54.02644,43,78.22,478.11
619500.0,6057500.0,-1.14784,54.65071,43,66.42,28.76
614500.0,6098500.0,-1.20906,55.02015,43,2.02,930.52
476500.0,5987500.0,-3.35881,54.03522,42,75.56,314.92
619500.0,6054500.0,-1.14907,54.62377,39,99.63,361.72
612500.0,6098500.0,-1.24033,55.0206,39,179.76,29.3
623500.0,6055500.0,-1.08673,54.63179,39,19.78,23.23
614500.0,6113500.0,-1.20303,55.15488,38,153.62,257.8
485500.0,5985500.0,-3.2213,54.01758,37,82.19,145.48
617500.0,6061500.0,-1.17721,54.68711,37,135.09,37.31
477500.0,5987500.0,-3.34354,54.03527,36,75.6,258.68
497500.0,5983500.0,-3.03814,53.9998,34,12.02,27.66
482500.0,5984500.0,-3.26703,54.0085,33,81.63,494.36
599500.0,6095500.0,-1.44462,54.99643,33,122.46,2.69
498500.0,5983500.0,-3.02288,53.9998,32,12.3,357.11
481500.0,5984500.0,-3.28229,54.00846,31,80.47,359.9
618500.0,6051500.0,-1.16576,54.59706,31,82.38,88.35
474500.0,5985500.0,-3.38918,54.01715,31,37.6,5480.51
599500.0,6096500.0,-1.44427,55.00541,30,82.64,11.29
479500.0,5986500.0,-3.31294,54.02636,30,72.87,481.74
483500.0,5984500.0,-3.25177,54.00853,30,82.76,294.54
479500.0,5987500.0,-3.31301,54.03535,30,166.21,49.52
482500.0,5986500.0,-3.26714,54.02647,29,80.17,612.98
621500.0,6059500.0,-1.11603,54.6682,29,47.34,3.67
477500.0,5981500.0,-3.3431,53.98134,29,38.64,2151.85
602500.0,6106500.0,-1.39379,55.09463,29,62.71,709.36
681500.0,6055500.0,-0.18919,54.61427,29,30.97,9975.72
478500.0,5987500.0,-3.32827,54.03531,28,77.38,356.53
488500.0,5988500.0,-3.17563,54.04462,27,153.42,307.86
483500.0,5986500.0,-3.25188,54.02651,27,71.92,356.12
615500.0,6098500.0,-1.19343,55.01992,27,0.17,907.37
618500.0,6077500.0,-1.15518,54.83059,27,50.2,4954.72
487500.0,5987500.0,-3.19086,54.03561,26,140.99,2739.92
480500.0,5986500.0,-3.29767,54.0264,26,77.29,384.63
478500.0,5986500.0,-3.3282,54.02632,26,74.35,320.69
616500.0,6062500.0,-1.19232,54.69633,26,125.34,36.35
458500.0,5997500.0,-3.635,54.12396,26,86.74,272.73
457500.0,6064500.0,-3.6599,54.72599,25,31.21,2639.54
624500.0,6076500.0,-1.06226,54.82016,25,34.32,1712.99
619500.0,6052500.0,-1.14988,54.6058,25,81.03,5.43
681500.0,6084500.0,-0.1711,54.87457,25,41.47,14132.99
458500.0,6062500.0,-3.64409,54.7081,24,29.29,453.74
622500.0,6068500.0,-1.09675,54.7488,24,66.48,11311.68
463500.0,5991500.0,-3.55778,54.07042,24,96.21,333.67
461500.0,5996500.0,-3.58897,54.11521,24,52.05,649.0
618500.0,6055500.0,-1.16414,54.63299,24,83.69,26.72
618500.0,6054500.0,-1.16455,54.624,24,96.76,115.78
617500.0,6072500.0,-1.17277,54.78592,24,155.22,62976.18
679500.0,6031500.0,-0.23472,54.39955,24,38.78,10524.92
683500.0,6052500.0,-0.16014,54.58662,24,31.23,11620.32
456500.0,6065500.0,-3.67558,54.73489,23,30.31,1531.93
484500.0,5986500.0,-3.23661,54.02654,23,79.45,772.7
616500.0,6093500.0,-1.17983,54.97478,23,38.35,5187.11
614500.0,6117500.0,-1.20141,55.1908,23,169.84,214.48
468500.0,5984500.0,-3.48064,54.00783,23,10.13,300.68
628500.0,6057500.0,-1.00844,54.6485,23,65.87,1035.4
602500.0,6097500.0,-1.39703,55.01378,23,17.14,862.45
617500.0,6101500.0,-1.16093,55.04639,23,165.61,2.3
629500.0,6062500.0,-0.99073,54.69315,23,107.82,2.87
613500.0,6099500.0,-1.2243,55.02936,23,94.02,166.94
614500.0,6099500.0,-1.20866,55.02913,23,104.58,128.42
666500.0,6071500.0,-0.41209,54.76308,23,34.67,6011.08
640500.0,6095500.0,-0.80416,54.98655,22,116.03,3063.94
608500.0,6094500.0,-1.30438,54.98556,22,71.1,1355.98
609500.0,6094500.0,-1.28876,54.98534,22,71.37,816.72
612500.0,6099500.0,-1.23993,55.02959,22,94.06,175.61
473500.0,5986500.0,-3.40453,54.02609,22,35.52,3578.08
691500.0,6027500.0,-0.0527,54.35927,22,25.03,24298.54
489500.0,5988500.0,-3.16036,54.04464,21,169.35,85.28
633500.0,6066500.0,-0.92688,54.72803,21,94.93,2514.0
642500.0,6096500.0,-0.77243,54.99496,21,116.82,9519.77
601500.0,6097500.0,-1.41266,55.01399,21,15.2,527.45
504500.0,5987500.0,-2.93129,54.03574,21,106.74,66.54
609500.0,6099500.0,-1.28684,55.03026,21,111.62,1246.89
615500.0,6129500.0,-1.18079,55.29835,21,142.75,19.36
687500.0,6022500.0,-0.11732,54.31588,21,45.61,9681.41
714500.0,5990500.0,0.27431,54.01812,21,40.15,17465.2
617500.0,6078500.0,-1.17034,54.83981,21,49.7,4776.56
635500.0,6079500.0,-0.88978,54.84425,21,59.81,29208.97
689500.0,6032500.0,-0.08025,54.4049,21,25.05,22152.84
459500.0,5997500.0,-3.6197,54.12404,20,63.95,748.94
476500.0,5983500.0,-3.3585,53.99927,20,33.65,129404.55
643500.0,6060500.0,-0.77467,54.6714,20,64.24,8314.04
690500.0,6029500.0,-0.06678,54.3776,20,25.49,18577.49
691500.0,6028500.0,-0.05205,54.36825,20,25.01,14311.41
667500.0,6069500.0,-0.39772,54.74479,20,38.18,1006.77
682500.0,6053500.0,-0.17497,54.59596,20,31.73,3980.08
684500.0,6081500.0,-0.12632,54.84655,20,42.36,19767.15
457500.0,6063500.0,-3.65976,54.717,19,28.06,1565.04
624500.0,6067500.0,-1.06613,54.73932,19,59.96,17846.19
602500.0,6136500.0,-1.3829,55.3641,19,9.92,46714.33
462500.0,5995500.0,-3.57355,54.10629,19,58.0,649.77
476500.0,5982500.0,-3.35842,53.99028,19,33.85,23178.54
603500.0,6097500.0,-1.3814,55.01358,19,18.13,1538.49
615500.0,6103500.0,-1.1914,55.06483,19,167.95,271.08
607500.0,6098500.0,-1.3185,55.02171,19,105.11,4494.1
630500.0,6118500.0,-0.94979,55.19582,19,33.46,24549.11
609500.0,6105500.0,-1.28454,55.08415,19,158.39,8.58
682500.0,6083500.0,-0.15616,54.86523,19,42.25,22258.19
630500.0,6068500.0,-0.97254,54.74678,18,117.46,5963.59
480500.0,5987500.0,-3.29774,54.03539,18,74.66,803.9
475500.0,5988500.0,-3.37416,54.04416,18,75.74,199.8
625500.0,6075500.0,-1.04714,54.81093,18,34.09,5870.13
623500.0,6145500.0,-1.0478,55.4401,18,41.44,9745.78
683500.0,6026500.0,-0.17627,54.35324,18,45.73,9800.2
682500.0,6027500.0,-0.19102,54.36257,18,45.94,9841.34
622500.0,6064500.0,-1.09843,54.71287,18,78.61,483.8
608500.0,6105500.0,-1.3002,55.08437,18,158.65,37.85
648500.0,6053500.0,-0.70075,54.60709,18,69.36,1490.58
633500.0,6080500.0,-0.92044,54.85376,18,59.85,17174.95
678500.0,6032500.0,-0.24951,54.40887,18,42.33,13691.15
668500.0,6068500.0,-0.38278,54.73548,18,40.86,3996.59
471500.0,5983500.0,-3.43478,53.99902,17,178.63,6847.39
489500.0,5991500.0,-3.16046,54.0716,17,42.19,337.35
643500.0,6074500.0,-0.76777,54.79712,17,87.38,5307.11
697500.0,6002500.0,0.02304,54.13261,17,32.96,20347.6
485500.0,5994500.0,-3.22173,54.09847,17,115.25,101.73
480500.0,5985500.0,-3.29761,54.01741,17,75.44,1021.73
623500.0,6068500.0,-1.08122,54.74855,17,62.65,1426.54
614500.0,6112500.0,-1.20343,55.1459,17,155.51,1671.15
621500.0,6100500.0,-1.09879,55.03645,17,170.84,8800.41
630500.0,6066500.0,-0.97344,54.72882,17,95.87,1906.63
637500.0,6078500.0,-0.85913,54.83472,17,59.36,53534.44
626500.0,6094500.0,-1.02325,54.98132,17,15.69,8077.74
