cell_x,cell_y,cell_lon,cell_lat,points,direction_deg,anisotropy
409500.0,3294500.0,122.06377,29.77752,3037,73.29,9.53
409500.0,3293500.0,122.06385,29.76849,2567,86.46,4.78
429500.0,3312500.0,122.26947,29.94125,2418,151.64,2.42
376500.0,3314500.0,121.72014,29.95511,2333,65.05,15.55
378500.0,3316500.0,121.74064,29.97335,2198,23.14,25.83
408500.0,3291500.0,122.05368,29.75037,2133,69.07,53.58
409500.0,3295500.0,122.06369,29.78654,2104,53.14,8.24
430500.0,3312500.0,122.27984,29.94131,1997,163.78,1.48
428500.0,3313500.0,122.25905,29.95022,1983,142.45,3.65
407500.0,3289500.0,122.04351,29.73225,1948,60.11,69.17
377500.0,3315500.0,121.73039,29.96423,1938,49.53,23.26
410500.0,3296500.0,122.07395,29.79564,1804,49.46,18.28
406500.0,3311500.0,122.03126,29.93069,1802,153.01,4.9
379500.0,3316500.0,121.751,29.97345,1784,11.43,43.79
407500.0,3288500.0,122.0436,29.72323,1753,60.33,35.85
408500.0,3290500.0,122.05377,29.74135,1733,67.12,55.59
430500.0,3311500.0,122.2799,29.93229,1712,116.49,3.29
406500.0,3287500.0,122.03334,29.71413,1710,73.74,11.07
416500.0,3308500.0,122.13509,29.90434,1682,122.57,7.06
417500.0,3306500.0,122.1456,29.88636,1681,96.87,20.35
402500.0,3315500.0,121.98946,29.96647,1518,127.6,4.29
410500.0,3295500.0,122.07403,29.78661,1516,39.38,5.96
375500.0,3313500.0,121.7099,29.94599,1461,179.69,19.22
417500.0,3307500.0,122.14552,29.89539,1454,108.11,25.85
401500.0,3316500.0,121.979,29.97542,1438,105.83,1.54
416500.0,3310500.0,122.13493,29.92239,1434,167.66,3.85
386500.0,3317500.0,121.82344,29.98314,1431,129.66,8.46
405500.0,3310500.0,122.02099,29.92159,1421,146.69,5.06
408500.0,3292500.0,122.0536,29.7594,1408,73.35,33.59
404500.0,3311500.0,122.01054,29.93054,1391,112.16,5.87
374500.0,3313500.0,121.69954,29.94588,1382,2.92,15.12
381500.0,3317500.0,121.77162,29.98267,1349,14.86,15.54
403500.0,3312500.0,122.00009,29.93948,1318,140.6,3.68
401500.0,3314500.0,121.97918,29.95737,1316,132.73,3.07
400500.0,3316500.0,121.96864,29.97534,1302,144.19,7.4
391500.0,3315500.0,121.87546,29.96555,1277,16.88,1.83
380500.0,3316500.0,121.76136,29.97355,1272,13.83,21.55
436500.0,3315500.0,122.34183,29.96871,1264,41.47,14.37
402500.0,3313500.0,121.98964,29.94843,1262,132.23,7.77
411500.0,3297500.0,122.08421,29.80473,1258,46.53,25.76
435500.0,3314500.0,122.33152,29.95963,1255,54.46,52.05
427500.0,3296500.0,122.24983,29.79675,1253,139.0,36.8
415500.0,3310500.0,122.12458,29.92232,1209,166.06,6.48
406500.0,3286500.0,122.03343,29.7051,1203,92.58,5.84
373500.0,3312500.0,121.6893,29.93676,1197,71.47,39.99
384500.0,3318500.0,121.8026,29.99198,1188,178.64,2.35
403500.0,3314500.0,121.99991,29.95753,1173,133.34,10.97
428500.0,3295500.0,122.26024,29.78779,1170,138.53,21.77
416500.0,3309500.0,122.13501,29.91337,1165,134.47,8.35
402500.0,3312500.0,121.98973,29.9394,1151,142.11,1.99
432500.0,3292500.0,122.30181,29.76094,1133,139.0,8.52
385500.0,3318500.0,121.81297,29.99207,1129,141.46,4.64
426500.0,3297500.0,122.23942,29.80572,1127,136.4,74.33
405500.0,3312500.0,122.02081,29.93964,1125,139.71,3.28
420500.0,3313500.0,122.17615,29.94973,1117,91.7,1.79
399500.0,3320500.0,121.95789,30.01135,1111,126.23,9.03
412500.0,3298500.0,122.09448,29.81383,1110,48.86,20.07
404500.0,3313500.0,122.01036,29.94859,1095,111.9,3.13
415500.0,3309500.0,122.12465,29.9133,1093,147.81,7.42
415500.0,3336500.0,122.12251,30.15693,1086,174.2,1.6
394500.0,3327500.0,121.90536,30.07409,1086,125.52,13.67
412500.0,3302500.0,122.09415,29.84992,1081,107.1,20.3
395500.0,3229500.0,121.92517,29.18987,1074,9.5,2.75
407500.0,3310500.0,122.0417,29.92175,1072,176.16,43.83
411500.0,3309500.0,122.08322,29.91302,1059,22.79,8.06
419500.0,3309500.0,122.16609,29.91357,1055,133.46,1.39
396500.0,3229500.0,121.93545,29.18995,1055,179.57,5.42
417500.0,3305500.0,122.14568,29.87734,1049,75.1,12.64
404500.0,3312500.0,122.01045,29.93956,1046,129.35,3.94
415500.0,3311500.0,122.1245,29.93134,1045,164.09,2.69
434500.0,3312500.0,122.32128,29.94153,1034,59.46,6.52
397500.0,3229500.0,121.94574,29.19003,1030,162.59,1.63
411500.0,3296500.0,122.08429,29.79571,1025,38.29,7.85
413500.0,3300500.0,122.10466,29.83195,1024,74.2,5.51
387500.0,3316500.0,121.83391,29.97421,1023,136.03,8.99
382500.0,3317500.0,121.78198,29.98277,1021,15.73,29.86
427500.0,3345500.0,122.2465,30.23892,1018,106.28,3.09
427500.0,3347500.0,122.24636,30.25697,1017,74.11,5.12
413500.0,3311500.0,122.10378,29.93121,1012,2.73,8.03
409500.0,3292500.0,122.06394,29.75947,1009,77.43,24.61
434500.0,3313500.0,122.32122,29.95055,1004,60.93,42.36
401500.0,3315500.0,121.97909,29.96639,993,138.0,10.0
406500.0,3288500.0,122.03326,29.72315,992,55.3,7.01
406500.0,3310500.0,122.03135,29.92167,988,167.76,11.98
371500.0,3310500.0,121.66882,29.91851,979,7.77,58.96
405500.0,3311500.0,122.0209,29.93062,978,138.01,27.83
412500.0,3299500.0,122.0944,29.82285,974,44.97,5.83
420500.0,3311500.0,122.1763,29.93168,971,2.96,1.28
425500.0,3298500.0,122.229,29.81468,971,127.96,28.17
384500.0,3316500.0,121.80282,29.97393,971,139.43,4.5
427500.0,3314500.0,122.24862,29.95918,969,144.31,3.45
369500.0,3309500.0,121.64823,29.90927,967,64.37,35.71
395500.0,3326500.0,121.91583,30.06515,966,131.38,24.23
409500.0,3311500.0,122.06234,29.93092,959,4.25,6.43
424500.0,3299500.0,122.21858,29.82364,959,122.55,6.52
387500.0,3314500.0,121.83412,29.95617,957,172.13,4.27
404500.0,3293500.0,122.01214,29.76812,948,31.98,9.33
407500.0,3286500.0,122.04377,29.70518,948,150.32,3.81
408500.0,3308500.0,122.05223,29.90377,947,18.77,10.99
427500.0,3346500.0,122.24643,30.24794,945,82.73,7.49
425500.0,3299500.0,122.22893,29.8237,945,119.74,3.46
407500.0,3311500.0,122.04162,29.93077,942,179.16,8.42
410500.0,3311500.0,122.0727,29.93099,941,2.78,10.27
366500.0,3309500.0,121.61716,29.90895,937,16.17,53.38
409500.0,3309500.0,122.06251,29.91287,933,17.5,9.31
411500.0,3311500.0,122.08306,29.93106,931,4.78,12.13
410500.0,3309500.0,122.07286,29.91294,930,22.29,9.05
429500.0,3294500.0,122.27066,29.77882,928,138.45,15.7
370500.0,3310500.0,121.65846,29.9184,923,18.63,22.15
391500.0,3314500.0,121.87556,29.95653,923,12.03,5.08
372500.0,3311500.0,121.67906,29.92763,920,46.3,39.67
388500.0,3316500.0,121.84427,29.9743,917,112.66,1.82
413500.0,3299500.0,122.10474,29.82292,916,50.02,6.83
390500.0,3314500.0,121.8652,29.95644,910,7.81,5.53
376500.0,3313500.0,121.72026,29.94609,909,33.47,16.79
427500.0,3344500.0,122.24657,30.22989,909,103.02,6.65
391500.0,3312500.0,121.87577,29.93848,903,44.71,1.47
416500.0,3303500.0,122.13548,29.85922,898,54.61,42.39
433500.0,3312500.0,122.31092,29.94148,896,160.46,4.73
409500.0,3308500.0,122.06259,29.90385,896,21.75,9.06
393500.0,3329500.0,121.89479,30.09205,893,114.69,25.27
400500.0,3318500.0,121.96845,29.99338,891,110.67,4.68
410500.0,3308500.0,122.07295,29.90392,891,34.15,4.57
394500.0,3229500.0,121.91488,29.18979,886,3.78,1.98
373500.0,3313500.0,121.68918,29.94578,885,54.33,22.24
423500.0,3301500.0,122.20809,29.84163,881,119.99,14.36
431500.0,3310500.0,122.29032,29.92332,880,157.15,8.23
403500.0,3293500.0,122.0018,29.76804,877,34.87,11.34
416500.0,3297500.0,122.13595,29.80508,876,109.55,4.41
383500.0,3316500.0,121.79245,29.97384,875,157.05,1.95
412500.0,3311500.0,122.09342,29.93113,873,3.55,10.39
396500.0,3325500.0,121.92631,30.05621,871,127.96,31.3
422500.0,3302500.0,122.19767,29.85059,871,103.73,3.42
385500.0,3315500.0,121.81329,29.96501,868,154.65,5.69
416500.0,3296500.0,122.13602,29.79606,865,124.47,2.42
414500.0,3310500.0,122.11422,29.92225,860,177.39,27.08
433500.0,3291500.0,122.31222,29.75197,850,142.54,10.0
368500.0,3308500.0,121.63799,29.90015,847,4.08,1.75
392500.0,3315500.0,121.88583,29.96564,847,19.98,3.23
417500.0,3310500.0,122.14529,29.92246,842,169.71,5.71
438500.0,3315500.0,122.36255,29.96881,842,76.41,2.54
394500.0,3314500.0,121.90665,29.95679,838,21.91,3.65
424500.0,3289500.0,122.21928,29.7334,835,151.19,28.16
402500.0,3314500.0,121.98955,29.95745,833,134.01,24.97
416500.0,3317500.0,122.13439,29.98556,833,97.98,2.51
411500.0,3319500.0,122.08239,30.00325,831,163.38,2.05
392500.0,3314500.0,121.88593,29.95662,829,10.33,3.05
400500.0,3315500.0,121.96873,29.96631,827,161.84,2.74
422500.0,3303500.0,122.1976,29.85962,826,111.72,8.5
401500.0,3317500.0,121.97891,29.98444,825,130.38,3.04
420500.0,3310500.0,122.17637,29.92266,825,160.57,1.3
389500.0,3314500.0,121.85484,29.95635,824,170.21,4.71
393500.0,3314500.0,121.89629,29.9567,824,6.55,3.79
439500.0,3315500.0,122.37292,29.96886,824,38.52,4.43
414500.0,3301500.0,122.11493,29.84104,820,51.76,30.23
383500.0,3318500.0,121.79223,29.99189,817,20.44,3.62
411500.0,3298500.0,122.08413,29.81376,815,43.31,10.58
416500.0,3304500.0,122.1354,29.86825,812,56.53,17.88
389500.0,3315500.0,121.85474,29.96537,809,153.55,6.5
438500.0,3314500.0,122.36261,29.95978,805,102.86,13.62
397500.0,3314500.0,121.93774,29.95704,803,24.76,12.75
414500.0,3296500.0,122.11533,29.79592,803,26.14,3.62
420500.0,3312500.0,122.17622,29.9407,801,76.89,2.82
414500.0,3311500.0,122.11414,29.93128,800,170.89,2.79
407500.0,3309500.0,122.04179,29.91272,796,167.17,10.78
414500.0,3300500.0,122.11501,29.83202,795,49.69,20.88
411500.0,3295500.0,122.08438,29.78668,792,19.19,2.53
408500.0,3316500.0,122.05155,29.97596,792,37.51,3.96
409500.0,3285500.0,122.06452,29.6963,792,164.19,27.07
403500.0,3313500.0,122.0,29.94851,791,131.68,37.81
416500.0,3312500.0,122.13478,29.94044,790,164.69,7.09
388500.0,3315500.0,121.84437,29.96528,789,147.73,11.29
388500.0,3314500.0,121.84448,29.95626,788,171.63,2.93
424500.0,3300500.0,122.21851,29.83267,787,124.8,11.77
417500.0,3312500.0,122.14514,29.9405,784,169.63,5.8
415500.0,3303500.0,122.12513,29.85916,784,52.62,12.72
417500.0,3308500.0,122.14545,29.90441,783,117.58,7.69
405500.0,3263500.0,122.02509,29.49748,780,96.52,63.21
397500.0,3324500.0,121.93677,30.04727,779,117.28,5.23
408500.0,3309500.0,122.05215,29.9128,779,174.73,5.31
414500.0,3309500.0,122.1143,29.91323,775,0.65,3.18
408500.0,3311500.0,122.05198,29.93084,772,11.3,3.78
380500.0,3317500.0,121.76125,29.98257,770,17.42,3.62
419500.0,3293500.0,122.16729,29.76918,767,128.11,7.13
429500.0,3311500.0,122.26954,29.93223,766,2.52,1.9
431500.0,3312500.0,122.2902,29.94137,765,22.82,4.92
377500.0,3316500.0,121.73027,29.97326,763,33.82,55.28
413500.0,3310500.0,122.10386,29.92218,763,2.13,33.5
421500.0,3310500.0,122.18673,29.92272,762,168.96,5.82
367500.0,3309500.0,121.62751,29.90906,759,156.88,7.28
408500.0,3310500.0,122.05206,29.92182,757,177.76,30.62
431500.0,3293500.0,122.29141,29.76991,754,139.43,28.23
412500.0,3309500.0,122.09358,29.91309,752,20.37,4.76
421500.0,3332500.0,122.18511,30.12124,751,2.86,10.06
376500.0,3315500.0,121.72003,29.96413,746,63.1,9.58
405500.0,3294500.0,122.02239,29.77722,745,38.46,6.59
399500.0,3321500.0,121.9578,30.02037,744,86.87,3.05
401500.0,3313500.0,121.97928,29.94835,742,134.73,4.09
430500.0,3346500.0,122.27761,30.24812,742,27.26,5.67
417500.0,3309500.0,122.14537,29.91343,740,125.2,5.37
