cell_x,cell_y,cell_lon,cell_lat,points,direction_deg,anisotropy
664500.0,-2246500.0,118.57553,-20.30935,1597,55.58,4.27
665500.0,-2244500.0,118.58492,-20.2912,1315,77.27,39.44
665500.0,-2243500.0,118.58483,-20.28217,1127,101.45,36.57
664500.0,-2240500.0,118.57498,-20.25515,984,114.04,491.51
665500.0,-2245500.0,118.58501,-20.30023,914,58.04,20.63
665500.0,-2242500.0,118.58474,-20.27313,823,113.04,307.92
664500.0,-2241500.0,118.57507,-20.26419,717,113.84,336.18
664500.0,-2247500.0,118.57562,-20.31839,665,107.8,6.22
663500.0,-2239500.0,118.56532,-20.24621,506,121.57,6.05
664500.0,-2239500.0,118.57489,-20.24612,483,114.09,196.05
663500.0,-2238500.0,118.56523,-20.23717,315,122.08,9.5
665500.0,-2248500.0,118.58529,-20.32733,294,137.64,5.22
664500.0,-2245500.0,118.57544,-20.30032,266,43.04,10.03
664500.0,-2248500.0,118.57571,-20.32742,246,144.09,6.54
662500.0,-2237500.0,118.55557,-20.22823,225,124.36,101.2
659500.0,-2234500.0,118.52659,-20.20138,219,128.76,134.84
665500.0,-2241500.0,118.58464,-20.2641,177,113.03,221.13
661500.0,-2233500.0,118.54564,-20.19218,148,84.66,4.76
651500.0,-2203500.0,118.44747,-19.92198,119,30.81,262.85
652500.0,-2204500.0,118.45711,-19.93094,115,113.02,116.75
663500.0,-2247500.0,118.56604,-20.31847,113,93.21,1.63
662500.0,-2236500.0,118.55548,-20.21919,102,119.95,14.34
655500.0,-2227500.0,118.48772,-20.13847,93,120.38,567.73
660500.0,-2235500.0,118.53625,-20.21033,82,131.39,521.03
646500.0,-2174500.0,118.39742,-19.66037,79,103.06,1532.76
649500.0,-2213500.0,118.42918,-20.01248,76,155.64,7509.08
663500.0,-2237500.0,118.56514,-20.22814,75,111.88,46.36
661500.0,-2236500.0,118.54591,-20.21928,74,131.94,566.0
663500.0,-2248500.0,118.56614,-20.3275,68,145.66,1.66
662500.0,-2235500.0,118.55539,-20.21016,66,108.09,461.89
662500.0,-2238500.0,118.55566,-20.23726,62,133.59,14.25
662500.0,-2223500.0,118.55431,-20.10176,62,0.11,989.83
661500.0,-2232500.0,118.54555,-20.18314,62,67.99,13.18
661500.0,-2230500.0,118.54537,-20.16508,62,90.53,321.29
667500.0,-2224500.0,118.60222,-20.11037,62,92.65,5372.71
652500.0,-2205500.0,118.45719,-19.93997,61,107.37,84.64
647500.0,-2181500.0,118.40751,-19.72354,61,104.13,2902.35
660500.0,-2236500.0,118.53634,-20.21936,61,42.79,520.76
647500.0,-2175500.0,118.40704,-19.66933,61,12.91,15735.92
643500.0,-2168500.0,118.36835,-19.60639,60,103.9,6093.51
643500.0,-2169500.0,118.36843,-19.61542,60,13.95,65941.96
648500.0,-2189500.0,118.41769,-19.79574,60,10.02,3901.42
656500.0,-2228500.0,118.49737,-20.14743,59,118.72,587.23
648500.0,-2215500.0,118.41979,-20.03062,59,157.81,2316.8
659500.0,-2236500.0,118.52677,-20.21945,58,66.67,62.22
662500.0,-2224500.0,118.5544,-20.1108,57,25.71,92.0
651500.0,-2196500.0,118.4469,-19.85874,57,14.8,5725.07
661500.0,-2231500.0,118.54546,-20.17411,57,92.67,146.66
658500.0,-2233500.0,118.51694,-20.19243,56,117.74,466.8
652500.0,-2199500.0,118.45669,-19.88577,55,14.72,19592.06
662500.0,-2222500.0,118.55423,-20.09273,53,174.81,1153.85
650500.0,-2221500.0,118.4394,-20.08467,52,53.96,2316.43
648500.0,-2177500.0,118.41673,-19.68733,52,12.6,32592.47
661500.0,-2234500.0,118.54573,-20.20121,50,99.21,14.26
663500.0,-2245500.0,118.56586,-20.30041,50,148.42,4.84
648500.0,-2176500.0,118.41665,-19.67829,50,13.51,9779.2
