cell_x,cell_y,cell_lon,cell_lat,points,direction_deg,anisotropy
754500.0,324500.0,101.2895,2.93347,1100,57.66,13.06
753500.0,322500.0,101.28047,2.91541,917,53.36,8.45
752500.0,321500.0,101.27146,2.90639,859,51.45,46.06
751500.0,319500.0,101.26243,2.88833,859,76.65,27.43
751500.0,318500.0,101.26242,2.87929,838,80.54,31.38
751500.0,320500.0,101.26245,2.89737,768,68.39,14.05
753500.0,323500.0,101.28049,2.92445,754,58.18,35.9
761500.0,334500.0,101.35263,3.02373,735,90.54,10.64
755500.0,325500.0,101.29851,2.94249,694,59.11,9.61
761500.0,333500.0,101.35261,3.0147,613,84.51,5.82
755500.0,326500.0,101.29853,2.95153,584,61.1,11.6
761500.0,335500.0,101.35265,3.03277,582,84.84,12.17
751500.0,317500.0,101.2624,2.87025,538,86.94,25.0
732500.0,308500.0,101.09141,2.78921,469,152.08,4.89
713500.0,321500.0,100.92077,2.90704,454,127.92,2.5
712500.0,322500.0,100.91179,2.9161,453,139.61,9.61
730500.0,309500.0,101.07345,2.79828,447,153.8,20.52
750500.0,315500.0,101.25337,2.85219,447,77.45,46.99
756500.0,327500.0,101.30754,2.96055,446,58.47,15.8
710500.0,324500.0,100.89383,2.93422,439,143.38,4.24
731500.0,308500.0,101.08242,2.78922,432,64.36,975.22
754500.0,323500.0,101.28948,2.92443,430,57.8,3.52
756500.0,328500.0,101.30755,2.96959,425,54.69,37.44
714500.0,320500.0,100.92974,2.89799,403,83.2,7.59
709500.0,325500.0,100.88485,2.94327,396,143.33,4.31
826500.0,247500.0,101.93511,2.23624,386,50.75,1976.09
750500.0,316500.0,101.25339,2.86123,385,77.06,52.25
711500.0,323500.0,100.90281,2.92516,374,136.88,11.43
752500.0,322500.0,101.27148,2.91543,371,51.98,79.86
724500.0,308500.0,101.01948,2.78933,371,7.36,6.11
827500.0,246500.0,101.94407,2.22719,367,51.05,1905.71
757500.0,329500.0,101.31656,2.97861,365,42.61,30.62
723500.0,309500.0,101.01051,2.79839,358,153.78,24.58
757500.0,328500.0,101.31655,2.96958,358,49.53,11.38
729500.0,309500.0,101.06446,2.79829,354,171.87,3.97
733500.0,303500.0,101.10033,2.74398,354,61.24,209.94
826500.0,246500.0,101.93509,2.22721,352,68.48,7.94
732500.0,303500.0,101.09134,2.744,350,151.54,6.05
754500.0,325500.0,101.28952,2.94251,344,58.28,26.27
825500.0,247500.0,101.92612,2.23626,333,47.73,269.4
719500.0,316500.0,100.97465,2.86174,331,135.29,12.04
825500.0,248500.0,101.92614,2.2453,329,141.04,12.44
811500.0,258500.0,101.80056,2.33591,327,47.26,563.11
842500.0,234500.0,102.07856,2.11851,317,33.16,2.56
824500.0,248500.0,101.91716,2.24532,311,42.2,4.02
718500.0,317500.0,100.96567,2.8708,309,44.01,331.46
725500.0,307500.0,101.02846,2.78027,309,145.54,3.76
715500.0,319500.0,100.93872,2.88893,307,133.61,3.66
716500.0,319500.0,100.94771,2.88891,305,122.57,1.46
717500.0,317500.0,100.95668,2.87081,303,28.68,9.56
738500.0,301500.0,101.14525,2.72582,301,151.81,88.09
739500.0,304500.0,101.15429,2.75293,297,153.23,25.63
804500.0,255500.0,101.73763,2.30892,296,141.93,9.07
