cell_x,cell_y,cell_lon,cell_lat,points,direction_deg,anisotropy
437500.0,3455500.0,32.34373,31.23201,740,74.01,42.16
438500.0,3459500.0,32.35398,31.26815,643,74.21,50.99
437500.0,3453500.0,32.34385,31.21396,593,76.25,14.26
437500.0,3454500.0,32.34379,31.22298,560,73.88,113.7
438500.0,3458500.0,32.35405,31.25913,522,76.26,110.91
439500.0,3461500.0,32.36437,31.28624,472,74.94,122.3
441500.0,3470500.0,32.38485,31.36755,462,77.6,6.25
382500.0,3481500.0,31.76323,31.4623,457,101.59,2.5
439500.0,3462500.0,32.36431,31.29527,450,73.38,609.52
440500.0,3465500.0,32.37463,31.32239,447,76.19,688.38
434500.0,3439500.0,32.31327,31.08748,439,91.17,206.94
438500.0,3457500.0,32.35411,31.2501,435,76.32,19.41
440500.0,3464500.0,32.37469,31.31336,410,75.75,392.18
434500.0,3442500.0,32.31308,31.11455,409,74.88,128.53
436500.0,3451500.0,32.33348,31.19586,408,78.99,13.5
435500.0,3446500.0,32.32331,31.1507,400,75.6,545.52
434500.0,3441500.0,32.31314,31.10553,396,77.99,16.25
436500.0,3450500.0,32.33355,31.18684,389,78.0,21.41
438500.0,3456500.0,32.35417,31.24108,384,76.39,63.1
436500.0,3449500.0,32.33361,31.17782,372,75.01,259.62
439500.0,3463500.0,32.36425,31.30429,372,73.38,224.19
440500.0,3466500.0,32.37457,31.33141,368,77.02,197.47
434500.0,3443500.0,32.31301,31.12357,366,75.74,340.7
435500.0,3445500.0,32.32337,31.14167,348,75.84,761.58
434500.0,3438500.0,32.31334,31.07846,338,91.14,61.55
440500.0,3467500.0,32.37451,31.34043,337,75.7,118.86
441500.0,3469500.0,32.38491,31.35852,330,78.12,62.04
439500.0,3460500.0,32.36443,31.27722,330,77.1,317.61
434500.0,3440500.0,32.31321,31.09651,329,88.4,95.59
434500.0,3437500.0,32.3134,31.06944,325,91.41,128.12
441500.0,3468500.0,32.38497,31.3495,307,76.1,671.57
435500.0,3447500.0,32.32324,31.15972,305,75.61,909.98
441500.0,3471500.0,32.38479,31.37657,300,79.92,1.82
437500.0,3452500.0,32.34392,31.20494,297,75.63,80.07
436500.0,3452500.0,32.33342,31.20488,278,76.19,73.58
438500.0,3453500.0,32.35435,31.21401,253,71.11,6.48
434500.0,3444500.0,32.31295,31.1326,237,75.88,249.09
259500.0,3496500.0,30.46573,31.57847,234,103.01,65.9
434500.0,3432500.0,32.31373,31.02433,226,91.39,641.69
443500.0,3478500.0,32.40543,31.43982,225,100.92,2.41
434500.0,3433500.0,32.31366,31.03335,224,91.52,779.93
442500.0,3473500.0,32.39519,31.39466,206,75.08,670.48
442500.0,3480500.0,32.39479,31.45782,206,146.82,8.86
438500.0,3460500.0,32.35392,31.27717,204,76.87,356.61
434500.0,3435500.0,32.31353,31.05139,187,91.81,753.1
440500.0,3463500.0,32.37475,31.30434,185,78.0,639.99
434500.0,3436500.0,32.31347,31.06042,182,91.68,966.51
434500.0,3434500.0,32.3136,31.04237,182,91.22,167.29
442500.0,3472500.0,32.39525,31.38564,176,75.33,835.88
434500.0,3458500.0,32.31203,31.25891,172,59.14,10.73
438500.0,3473500.0,32.35312,31.39446,171,71.8,7.91
