cell_x,cell_y,cell_lon,cell_lat,points,direction_deg,anisotropy
420500.0,-3190500.0,32.18505,-28.83971,114,21.98,34.92
418500.0,-3189500.0,32.16462,-28.83056,105,127.42,1127.14
412500.0,-3219500.0,32.10079,-29.10091,96,135.36,2570.44
422500.0,-3198500.0,32.205,-28.91204,91,175.42,2.16
410500.0,-3185500.0,32.08294,-28.79393,87,41.73,1.44
377500.0,-3243500.0,31.73851,-29.31458,81,133.43,12768.64
370500.0,-3252500.0,31.66539,-29.39509,76,169.99,4216.67
370500.0,-3251500.0,31.6655,-29.38607,73,170.05,5631.3
395500.0,-3233500.0,31.92479,-29.22597,72,54.39,5425.25
413500.0,-3218500.0,32.11114,-29.09196,70,134.89,3131.56
422500.0,-3190500.0,32.20555,-28.83983,68,29.26,7.29
417500.0,-3194500.0,32.154,-28.87562,67,28.43,249.14
420500.0,-3191500.0,32.18498,-28.84874,67,43.66,6.88
378500.0,-3242500.0,31.74892,-29.30566,66,132.29,4987.44
422500.0,-3199500.0,32.20493,-28.92106,64,11.79,488.75
370500.0,-3253500.0,31.66527,-29.40411,64,170.94,7921.65
418500.0,-3193500.0,32.16433,-28.86666,58,58.57,1630.13
465500.0,-3187500.0,32.64642,-28.81463,57,68.09,7.43
417500.0,-3190500.0,32.1543,-28.83952,56,88.91,1760.27
409500.0,-3186500.0,32.07262,-28.80288,53,124.07,4.27
417500.0,-3197500.0,32.15378,-28.9027,52,60.82,49.59
407500.0,-3187500.0,32.05204,-28.81177,51,55.68,3.0
411500.0,-3228500.0,32.0898,-29.18207,51,124.4,14048.92
408500.0,-3186500.0,32.06237,-28.80281,50,9.62,3.35
393500.0,-3273500.0,31.90034,-29.58675,50,147.14,22894.08
359500.0,-3256500.0,31.55154,-29.43,48,161.38,17081.73
379500.0,-3231500.0,31.76041,-29.2065,48,31.17,126.59
386500.0,-3241500.0,31.83138,-29.29738,48,133.71,1168.67
558500.0,-3226500.0,33.60157,-29.16576,48,107.56,30716.01
411500.0,-3226500.0,32.08995,-29.16402,45,112.51,412.2
568500.0,-3252500.0,33.70601,-29.3999,45,124.45,9644.32
406500.0,-3231500.0,32.03812,-29.20878,44,79.84,1733.47
422500.0,-3251500.0,32.20131,-29.39036,44,147.9,8161.63
436500.0,-3194500.0,32.34883,-28.87671,43,22.5,754.46
416500.0,-3194500.0,32.14375,-28.87556,42,68.6,26.89
440500.0,-3174500.0,32.39089,-28.69638,42,130.74,12205.48
567500.0,-3157500.0,33.68999,-28.54255,42,143.53,12725.51
560500.0,-3225500.0,33.62208,-29.15664,42,107.12,73104.22
559500.0,-3225500.0,33.6118,-29.15669,42,106.82,6665.46
335500.0,-3287500.0,31.29952,-29.70674,42,54.39,1007.41
392500.0,-3237500.0,31.89354,-29.26181,42,143.56,16742.61
422500.0,-3197500.0,32.20507,-28.90301,41,151.49,2.44
404500.0,-3247500.0,32.01617,-29.35302,41,142.34,32325.86
418500.0,-3194500.0,32.16426,-28.87569,40,170.76,351.1
422500.0,-3191500.0,32.20548,-28.84886,40,170.39,1860.48
385500.0,-3242500.0,31.82099,-29.30631,40,133.7,1533.89
403500.0,-3248500.0,32.00578,-29.36197,40,142.74,112987.23
491500.0,-3199500.0,32.9128,-28.92338,39,145.62,5353.4
417500.0,-3198500.0,32.15371,-28.91172,38,4.06,5787.0
454500.0,-3203500.0,32.53304,-28.9587,37,18.2,1007.26
359500.0,-3257500.0,31.55141,-29.43902,37,161.47,1954.33
421500.0,-3252500.0,32.19093,-29.39932,36,48.43,208.3
379500.0,-3232500.0,31.7603,-29.21552,36,171.81,104.7
567500.0,-3253500.0,33.69577,-29.40898,36,124.3,12935.72
392500.0,-3274500.0,31.88991,-29.59569,36,147.42,25282.07
371500.0,-3250500.0,31.67592,-29.37715,36,169.62,27231.66
360500.0,-3255500.0,31.56197,-29.42109,35,162.69,14021.15
426500.0,-3192500.0,32.24642,-28.85812,34,3.44,269.61
492500.0,-3168500.0,32.92326,-28.64357,34,149.73,989.12
423500.0,-3208500.0,32.21457,-29.00235,33,158.92,37945.47
412500.0,-3218500.0,32.10087,-29.09189,33,134.8,3561.11
378500.0,-3231500.0,31.75013,-29.2064,33,61.43,364.61
401500.0,-3251500.0,31.98491,-29.38888,33,143.62,47214.91
416500.0,-3193500.0,32.14382,-28.86653,32,22.91,35.72
396500.0,-3232500.0,31.93517,-29.21702,32,145.91,2973.26
415500.0,-3226500.0,32.13108,-29.16429,32,143.0,428593.99
399500.0,-3227500.0,31.96648,-29.17215,32,45.22,4174.68
417500.0,-3196500.0,32.15386,-28.89367,31,25.89,1.36
420500.0,-3192500.0,32.18491,-28.85776,31,15.16,1186.69
411500.0,-3232500.0,32.08948,-29.21816,30,141.69,47998.95
395500.0,-3232500.0,31.92488,-29.21694,30,54.53,6943.26
372500.0,-3238500.0,31.68761,-29.26897,30,137.63,7428.8
425500.0,-3194500.0,32.23603,-28.87611,30,138.18,2.53
491500.0,-3200500.0,32.91279,-28.93241,30,145.29,11758.27
466500.0,-3186500.0,32.6567,-28.80563,30,158.22,64.47
394500.0,-3271500.0,31.91085,-29.56879,30,148.07,17540.65
400500.0,-3252500.0,31.97452,-29.39783,30,143.17,296763.47
416500.0,-3192500.0,32.1439,-28.85751,29,145.0,4911.49
394500.0,-3234500.0,31.91441,-29.23491,29,54.9,4454.59
335500.0,-3277500.0,31.30103,-29.61653,29,94.34,557.14
402500.0,-3250500.0,31.9953,-29.37994,29,142.67,99777.91
355500.0,-3257500.0,31.51018,-29.43857,29,143.12,2232.28
356500.0,-3256500.0,31.52062,-29.42966,29,144.54,3318.84
455500.0,-3179500.0,32.54425,-28.74212,28,143.89,1390.37
455500.0,-3203500.0,32.5433,-28.95874,28,18.64,1116.85
412500.0,-3227500.0,32.10016,-29.17311,28,122.7,8401.66
427500.0,-3197500.0,32.25635,-28.9033,28,149.29,39556.16
453500.0,-3202500.0,32.52282,-28.94964,27,74.14,46679.27
410500.0,-3233500.0,32.07911,-29.22712,27,142.12,80330.9
567500.0,-3156500.0,33.68994,-28.53352,27,142.16,19950.39
511500.0,-3140500.0,33.11739,-28.3908,27,141.51,10821.31
340500.0,-3278500.0,31.35251,-29.6262,27,176.59,67079.77
370500.0,-3254500.0,31.66515,-29.41314,27,171.5,5531.0
419500.0,-3270500.0,32.16899,-29.56163,27,19.34,152.74
393500.0,-3235500.0,31.90402,-29.24385,26,54.53,6965.97
466500.0,-3183500.0,32.65679,-28.77855,26,156.18,26123.22
333500.0,-3304500.0,31.27623,-29.85982,26,78.47,128.66
415500.0,-3190500.0,32.1338,-28.83939,25,167.32,16.84
410500.0,-3221500.0,32.08008,-29.11882,25,138.6,2028.7
466500.0,-3184500.0,32.65676,-28.78758,25,129.63,3811.13
324500.0,-3284500.0,31.18634,-29.67817,25,72.21,39.86
421500.0,-3190500.0,32.1953,-28.83977,24,14.05,175.6
360500.0,-3256500.0,31.56185,-29.43011,24,162.49,31199.35
411500.0,-3220500.0,32.09043,-29.10987,24,135.49,3563.61
413500.0,-3229500.0,32.11029,-29.19123,24,141.79,16432.88
489500.0,-3186500.0,32.8924,-28.80603,24,142.27,17824.05
470500.0,-3173500.0,32.69803,-28.68839,24,142.4,10337.45
402500.0,-3249500.0,31.99539,-29.37091,24,142.72,87733.72
340500.0,-3279500.0,31.35236,-29.63522,24,176.7,54937.56
340500.0,-3277500.0,31.35266,-29.61718,24,177.51,33625.69
423500.0,-3204500.0,32.21485,-28.96625,23,160.57,10958.8
418500.0,-3190500.0,32.16455,-28.83959,23,88.41,622.56
421500.0,-3221500.0,32.19313,-29.11955,23,137.61,326.28
412500.0,-3205500.0,32.10188,-28.97457,23,134.18,2.49
424500.0,-3207500.0,32.22491,-28.99338,23,159.79,41917.67
376500.0,-3244500.0,31.72811,-29.32351,23,133.23,4591.2
379500.0,-3241500.0,31.75932,-29.29673,23,132.67,9304.47
416500.0,-3225500.0,32.14144,-29.15533,23,143.26,105561.42
344500.0,-3305500.0,31.38992,-29.87028,23,179.42,117857.18
392500.0,-3275500.0,31.88982,-29.60471,23,145.38,172808.5
420500.0,-3222500.0,32.18278,-29.12851,22,142.64,922.92
407500.0,-3185500.0,32.05221,-28.79372,22,117.54,25.82
419500.0,-3195500.0,32.17444,-28.88478,21,164.09,122.61
410500.0,-3246500.0,32.07806,-29.34444,21,132.37,2545.34
375500.0,-3245500.0,31.7177,-29.33243,21,133.26,6894.74
536500.0,-3216500.0,33.37502,-29.07633,21,11.66,144.32
561500.0,-3225500.0,33.63237,-29.15659,21,107.0,105170.16
325500.0,-3297500.0,31.19457,-29.79557,21,171.76,45.22
394500.0,-3272500.0,31.91076,-29.57781,21,147.97,88659.99
392500.0,-3236500.0,31.89364,-29.25279,21,143.12,36157.73
405500.0,-3246500.0,32.02656,-29.34407,21,142.49,98991.62
415500.0,-3199500.0,32.13312,-28.92062,20,153.32,1929.67
409500.0,-3247500.0,32.06767,-29.35339,20,132.6,2838.18
439500.0,-3174500.0,32.38066,-28.69634,20,131.44,14811.35
411500.0,-3219500.0,32.09051,-29.10084,20,134.73,3970.84
